"CRR125941"	"CRR125949"	"SRR11092059"	"SRR11092060"	"SRR11092061"	"SRR11092062"	"CRR125979"	"CRR125993"	"SRR5677655"	"CRR125952"	"CRR125963"	"SRR11092063"	"CRR125947"	"CRR125943"	"SRR10971381"	"CRR119894"	"CRR119895"	"CRR119896"	"CRR119897"	"CRR125934"	"CRR125935"	"CRR125936"	"CRR125937"	"CRR125938"	"CRR125939"	"CRR125940"	"CRR125942"	"CRR125944"	"CRR125945"	"CRR125946"	"CRR125948"	"CRR125950"	"CRR125951"	"CRR125953"	"CRR125954"	"CRR125955"	"CRR125956"	"CRR125957"	"CRR125958"	"CRR125959"	"CRR125960"	"CRR125961"	"CRR125962"	"CRR125964"	"CRR125965"	"CRR125966"	"CRR125967"	"CRR125968"	"CRR125969"	"CRR125970"	"CRR125971"	"CRR125972"	"CRR125973"	"CRR125974"	"CRR125975"	"CRR125976"	"CRR125977"	"CRR125978"	"CRR125980"	"CRR125981"	"CRR125982"	"CRR125983"	"CRR125984"	"CRR125985"	"CRR125986"	"CRR125987"	"CRR125988"	"CRR125989"	"CRR125990"	"CRR125991"	"CRR125992"	"CRR125994"	"SRR10903401"	"SRR10903402"	"SRR11092056"	"SRR11092057"	"SRR11092058"	"SRR11092064"	"SRR5677652"	"SRR5677654"	"SRR5677656"	"SRR5677657"	"SRR5677658"	"SRR5677659"	"SRR5677660"	"SRR5677661"
"GO:0003824-catalytic activity"	0.0251349819931473	0.0252884448859168	0.0470642472287748	0.0463088500835425	0.0473378822604669	0.0386858743123808	0.0293232113593487	0.0459826960919325	0.064827534197306	0.0592267500615188	0.0523728505376903	0.0480951492614168	0.0386546748418285	0.0550352538113532	0.0596902247025417	0.0250815756892386	0.025113046900557	0.0250975716790032	0.0250318237054051	0.0952229219143577	0.0560589297616945	0.0274054192405869	0.0322622970757389	0.0251812124679752	0.0401098474979871	0.0301560088900042	0.0873071172650294	0.0270511498599895	0.0322185632952915	0.0252176760899848	0.0292988183413371	0.0507357462693031	0.0504330384638444	0.0491228544215298	0.0522512233967773	0.0582151584675745	0.0380826734597429	0.0651377201953355	0.0293958674591967	0.0430403154398204	0.0380320094227771	0.0343968330483478	0.0474166657660481	0.0474259336032548	0.0459661241229552	0.0567562517422589	0.0437986540325332	0.067052661536844	0.0421325020297758	0.0152383724131189	0.0452449243671299	0.033974839047371	0.0599061715207426	0.0238708900698338	0.0474331244082953	0.0154196262634728	0.0371629263243994	0.061917687148228	0.0593927450995011	0.0371999516202525	0.0516142726487364	0.0483809120961476	0.0465480355481196	0.0388075956028535	0.0322435536326552	0.0329745300181928	0.040809074889321	0.0288924228300264	0.0311151582074256	0.0426819281989367	0.0654549245118736	0.0405742854851215	0.0250331726477785	0.0251133954739469	0.0446450794466435	0.0303995173615766	0.0368591314577002	0.0471717383441836	0.0666228979201263	0.0507944650032365	0.0518269859656588	0.0442215079356252	0.053105661565353	0.0531625978993233	0.0613805873293301	0.0472480228021252
"GO:0008152-metabolic process"	0.00957345061878181	0.00963081732708299	0.0292269911025367	0.0287970065543284	0.0293909127150877	0.0216185993625707	0.0149627464645943	0.0189615062197876	0.042389576637932	0.0340145399466279	0.0360235163731449	0.0289583685200737	0.0293698211752523	0.0353058571642135	0.0267140352848292	0.00969876864299114	0.00971087495204764	0.0096896205208647	0.00966046817032846	0.0260815491183879	0.0360786413795854	0.0126495665828636	0.0179277342882068	0.00972400588714835	0.0294903358642585	0.0159842236130635	0.0231106442681814	0.0122976799500425	0.0179179876880988	0.00962647408721774	0.0152452599779692	0.034369469633325	0.0324192924222357	0.0330880117808386	0.0327336875615069	0.0335005571733616	0.0312723014365989	0.0337391942257299	0.0306435843225003	0.031147725438206	0.0308741234248889	0.0255386385081783	0.0321538832870415	0.0349289662495899	0.0331704241341237	0.0385238547957312	0.0317658924612501	0.0377312521444972	0.0325958119320427	0.0143430179983762	0.0289130798838126	0.0183656765339358	0.0365359282880971	0.0108667131778926	0.0332168543613582	0.0178019635456369	0.0302658173850436	0.0401540001111914	0.0358228691110466	0.0165754476777971	0.0285955277367628	0.0321939870987913	0.0268839278212747	0.0246535492924804	0.0204159088966716	0.0232861185711398	0.0285544387960179	0.0123207538486646	0.0240384687196325	0.0163333792129213	0.0374531690086073	0.0261329305135952	0.00966051175416477	0.00971097467209167	0.0284827658190752	0.0147072815261062	0.0209347667440011	0.0296795883474716	0.0415764949434701	0.0374467201602364	0.0338880877520626	0.0327879792238992	0.03745870943187	0.0391745158635102	0.0413155207918736	0.0290684693172415
"GO:0009987-cellular process"	0.00730888555088508	0.00729363671833142	0.0310048726684295	0.0301088587981658	0.0302477487530983	0.0195910043673903	0.0179638810507317	0.0217339197642808	0.0374476453458018	0.0319482238377718	0.0335082341939841	0.0242054368148149	0.0240492724291693	0.0320775611572025	0.0244731686051759	0.00774570309691116	0.00771171627036879	0.00771601155920944	0.00772294448953151	0.0212638539042821	0.0333292694737682	0.00961265401790212	0.0142994800741882	0.00743675329295788	0.0239741448183736	0.0129405044375592	0.0167448940352817	0.00924474268025491	0.013866604922827	0.00729220147732637	0.0122055935278938	0.0333417055686913	0.0301846068315974	0.0311138431608314	0.03053436584619	0.0303344620463658	0.0386622410141129	0.0328167595577287	0.0268757072888144	0.0339802263065461	0.0392197151892987	0.0236512247280554	0.0346576028416316	0.0369492700564031	0.0340511799724888	0.0360162192890732	0.032137997686491	0.0329572282650147	0.0351617959282914	0.0155872996856167	0.0315357896550313	0.0215191083146178	0.0304443400221365	0.0153041407233833	0.0277637649812152	0.0200585032959512	0.0391628759201609	0.0330977401113804	0.0288060532440167	0.0179686689513645	0.0294818220629497	0.0316490650531727	0.0307414735534826	0.0290280376564145	0.0231002296514059	0.0277585260908487	0.0314579101497606	0.016826847104255	0.0189209024584538	0.0217922421902648	0.0303935562880665	0.0302549260754485	0.00772197298399494	0.0077114495195089	0.0272744060570538	0.0126292549809929	0.0165561110566502	0.0297291132373249	0.0366131762998436	0.0412621062787772	0.0341638889545558	0.0378652222753612	0.0357389543325142	0.03564545781642	0.0340907124439753	0.0251700585622921
"GO:0071704-organic substance metabolic process"	0.00797076816667983	0.00801344437938961	0.0207598807900367	0.0206783758682766	0.021147072570934	0.0163596162883418	0.0125196559376654	0.0144137044978714	0.0255751760624659	0.0231817302202016	0.0236917069284985	0.0219582914280098	0.0251856430682042	0.0267050878970431	0.0209821432981753	0.00802942574996923	0.00804176375928289	0.00803733575628555	0.00801917601980687	0.0198142317380353	0.0283973201314867	0.0106295398569021	0.0150858006226012	0.00810104441239875	0.0250878733321512	0.0135546016405528	0.0156985669571583	0.0103077926882303	0.0149255517149459	0.00800883162760295	0.0129047416215218	0.0242520562498737	0.0239928926097312	0.0227122273485683	0.0241106902057001	0.0235459020342215	0.0242567972059198	0.0283732200197076	0.0236931746867989	0.0219946872263506	0.0240628461871739	0.0194453497388216	0.0234151815466863	0.0235410027475913	0.0233393228500298	0.025296686147505	0.0226532223972684	0.0246970004640599	0.025332036592408	0.0132625166909259	0.0219445190455083	0.0146465406057328	0.0244187216403659	0.0102527645090843	0.0233656664217307	0.0169856442561176	0.0238314021447871	0.0252773138087653	0.0230575104615482	0.0121009871166997	0.0203286182285824	0.0235403381164971	0.0202531341709843	0.0190328616536078	0.0158839924975027	0.0180628952611973	0.0198073969883423	0.0108901668878477	0.0166139278445494	0.0137403745081206	0.0242635146355859	0.018587746972168	0.00801974388933788	0.00804179931079896	0.020670579450658	0.0116324076997262	0.0164853118975264	0.0210322548826198	0.0233852884565414	0.0248671820613344	0.0245226669188278	0.0246410339113123	0.0254533152273507	0.0284345473095861	0.0262083167494419	0.0208754463064148
"GO:0044237-cellular metabolic process"	0.00637555901208585	0.00640168869248204	0.0202672695506043	0.0196889646835783	0.0199637153026299	0.0139519604485902	0.0110552601585569	0.0134481425066413	0.0316077084614403	0.0234459625726579	0.0247155696399813	0.0166618900973184	0.0232188562183048	0.026755245205106	0.0211319804677084	0.00646677188200326	0.00647709909341034	0.0064752114247566	0.00645864284455592	0.0199798488664987	0.0287596492927175	0.00887950970522943	0.0131106438613438	0.00650744047681421	0.023046254701966	0.0118227072520298	0.0151017167856905	0.00856823644338908	0.0127830037179738	0.00640217725506591	0.011202523636722	0.0223654163166206	0.0196216295763363	0.0222765254632288	0.022588305077891	0.0241315685759013	0.0228852777408935	0.0269915108034429	0.0235974024472001	0.0213733960168874	0.0229399998443374	0.0193398468505761	0.0226397489795992	0.0246100276949752	0.0224585670116647	0.0269555600730866	0.0223038852543025	0.0275012567070705	0.021752250120484	0.0132866611460483	0.0208939908757072	0.0136493466656596	0.0256918075799627	0.00815481133767672	0.0239288656698769	0.016784169708066	0.0228000831283032	0.0270155037311752	0.0249350869177489	0.0122972037382958	0.0217203832619389	0.0252023227693001	0.0190189188228258	0.0169278446965267	0.0170101941698501	0.0178354847093477	0.0201961379521932	0.00895606210993618	0.0168498512330476	0.0123649353761764	0.0264271218144755	0.0180105873860386	0.00645856615609597	0.00647718237856096	0.0190206264201238	0.0100419930026078	0.0121012101210121	0.0205131682777668	0.0295324611051752	0.0284639529061176	0.0235849428303507	0.0242072716352838	0.0270274080095479	0.0289915075879677	0.0285444823230138	0.0200532288103421
"GO:0005488-binding"	0.0115822137953254	0.0116891057552891	0.0232899912911487	0.0229682938439408	0.0229428880300005	0.0179376177674787	0.00900606681763071	0.0136195309458903	0.0145914306598137	0.0237601267168533	0.0201568912670788	0.0195881518325254	0.017092563213066	0.0245090343138695	0.0206025041611332	0.011685869099408	0.01168245232489	0.0116234742753902	0.011632923998887	0.0143611460957179	0.0230040847485629	0.0126109784571186	0.0154529996889333	0.011719503222666	0.0173149605967477	0.0135876298665173	0.0135382060435336	0.0124316089702292	0.015189274400839	0.0117733860028613	0.0133116175605798	0.020979667015991	0.0224558649595849	0.023056735816046	0.0243726059266135	0.0244445146797343	0.0184150187165872	0.0190556196243119	0.0185383948401723	0.0207912412615636	0.0187039011646158	0.0184759809609032	0.0188985795444311	0.0181433030132593	0.0191235701854959	0.0162667637259568	0.0158989178704299	0.0175076802016505	0.0202695368637684	0.017910782366935	0.0191925134995449	0.0116732357198238	0.0180438259281268	0.00752630621406151	0.0159899445707516	0.010987682449067	0.0192323322404054	0.0141388895053982	0.0123221602862367	0.0184299306558803	0.0171253737773989	0.0152977255067839	0.0188603957505852	0.0190401707402643	0.0140722368083693	0.0166803834936036	0.0219129158743941	0.00889303767253402	0.0146126964989865	0.0146904613807339	0.0169171363598429	0.0214722081116488	0.0116338279513967	0.0116829891043394	0.0233201390617347	0.0146153812886792	0.0171660730429479	0.024318775892681	0.0117407993851397	0.0157818243994187	0.0201847080053269	0.0194303255441492	0.0185977887520498	0.0154470222340515	0.0155311748317096	0.0199790238469576
"GO:0044238-primary metabolic process"	0.00795950886441117	0.00800748332641703	0.0177312892328345	0.0178349422957661	0.0181414251492152	0.0146647051671902	0.0113205008567062	0.0114767011330294	0.0216524927196575	0.0185889610125881	0.0196027499264031	0.0195401899760308	0.0235885199459812	0.0228676558524327	0.0142967247011497	0.00798108228549077	0.00799199364109389	0.00799116135974771	0.00797577023224172	0.0169760705289673	0.0241837624123374	0.0104979552504063	0.0147326346416067	0.00807113566577039	0.0229602489837902	0.0129076995855553	0.0142508152222348	0.0102097654227626	0.0146418227242391	0.00799943028745166	0.0125108031470988	0.0207371608883808	0.0212077113004235	0.0184767997189892	0.0204900905342503	0.0176810957088313	0.0236396738812309	0.0248023798348166	0.0236101644826969	0.0191328340174059	0.0237919932338649	0.0152498840787467	0.0214383238408139	0.0215497247205995	0.021050488656911	0.021006012238722	0.0207023035862108	0.018062640483465	0.024101145792177	0.00783456538517927	0.0191399011231195	0.0121983122242082	0.0185866473872853	0.0100249978515068	0.0193898713202972	0.0167763538850812	0.0236082586584356	0.0199064497833415	0.0173766365944245	0.0106132377224596	0.0152830876296341	0.0215828118749971	0.0176182542488146	0.0169424628698398	0.0120615234186539	0.0161244910335268	0.0165989601421219	0.0101111404841817	0.015913616270019	0.0104097482812544	0.0154532138121986	0.0167058792075502	0.00797631536101651	0.00799204117514475	0.0184023958442059	0.0108150361762582	0.0151183435175201	0.0182432432432432	0.0210180572302584	0.0230168907778551	0.0217725349282523	0.0237012156465838	0.0229159716381372	0.0258814019626689	0.0218820842057902	0.0172135638722535
"GO:0016787-hydrolase activity"	0.0186920941630751	0.0188025233322305	0.0136964058955121	0.014336048477421	0.0144645210876584	0.0174783398412802	0.0141658259934983	0.0226210604770354	0.00905488972166467	0.0145977623867874	0.0110330406774378	0.0197894150830917	0.0203514303854726	0.0217510724003506	0.0198202793691405	0.0183971019343307	0.0184254635240064	0.0184637770977327	0.0184503995494099	0.0317071788413098	0.0220571295098871	0.0193384557591499	0.0200453268656402	0.0186314094009087	0.0197961899883966	0.0193046159892178	0.0355869560106354	0.0192424817836427	0.0206129182442177	0.0187278378366303	0.0193826573829674	0.0139051281385056	0.0194635664491936	0.012221606760472	0.0151275587336375	0.0117533170610937	0.0132048678494461	0.0315920274290261	0.00684478100261627	0.0105228141067349	0.0126667860080062	0.00931540986607061	0.0135498060067654	0.0114985900590538	0.0128225609213017	0.0122259403937475	0.0122210230277064	0.0144962647954459	0.0151657903534632	0.00482735429050366	0.015894783500071	0.0136968006336591	0.0119328363177017	0.0153349801110423	0.00709508200749243	0.00838805288185832	0.0126800380564008	0.00896673069329166	0.0111178517865773	0.0183596590171418	0.0145279950149904	0.016132855783245	0.0160860155248438	0.0120417202666355	0.006703450101133	0.0105366889023651	0.0103826493411305	0.0175600991609125	0.00279115410718563	0.0209559760411593	0.0128130371152612	0.012397735475764	0.018451414809751	0.018425813583113	0.0144802447229604	0.0176005172361598	0.0191484494984152	0.0135001561780759	0.00856971078775638	0.0128360141183942	0.0163904714624556	0.0139248812714796	0.0110421433975031	0.0145549000182368	0.0121653659127485	0.0153147118627897
"GO:0006807-nitrogen compound metabolic process"	0.00796192651064121	0.00800742624166123	0.0160995422406777	0.0161441409642374	0.0165603317751231	0.0138519811063428	0.0106011675916837	0.0106444236937244	0.0118591268229862	0.0162046582300255	0.0152670268585381	0.0181619486519776	0.0239281176518176	0.0204405814550628	0.0168533080750997	0.00795605968049311	0.00797126345865104	0.00796541165678111	0.00795571018699248	0.0172698362720403	0.0224857147740285	0.0104711571054033	0.0148042033768281	0.00807791092417344	0.0238225230979203	0.0130902597349469	0.0131541256899359	0.0101499799390695	0.0144004569072412	0.00799987977548885	0.0124922330056143	0.0182572470357956	0.0195725755023955	0.0165397839729257	0.018252251801152	0.0176305741878606	0.0221663653283747	0.0239630963963656	0.0234336040005335	0.0175135632273877	0.0218124836229955	0.0169687606996067	0.0196280805657325	0.0183525076904625	0.0182880538123439	0.0166958615493049	0.0175929311561156	0.0163967843123945	0.0212985355221625	0.00780282591785796	0.0178366272234317	0.0113515176351497	0.0152638461533421	0.00977589495703956	0.0181482991536271	0.0164528036256486	0.0219998324572717	0.012741415572204	0.0117668882312431	0.00924876898354184	0.0151287262487759	0.0185869360318898	0.015439694313166	0.0157181908548708	0.0123886778824284	0.0149224638308932	0.0158175777081912	0.00968968381138776	0.0152917525632986	0.0123675701151465	0.0138071614684751	0.0150479239633185	0.00795624480609508	0.00797129756125868	0.0169049932155216	0.0106366415977235	0.0143940136587916	0.016987448214638	0.0106704199082001	0.0167710890460313	0.0196528056862328	0.0208150281945479	0.0182030908603944	0.0205878148920335	0.0139564261858203	0.013148191949689
"GO:0016740-transferase activity"	0.00639298281658076	0.00645719901146029	0.0155037797109539	0.01484971796684	0.0151509134539163	0.011072137359772	0.0104196186507393	0.0129151624063569	0.0350407815201123	0.0183581757933541	0.0248995618820025	0.0132315875021406	0.0106312966809538	0.0159336327264302	0.0134860861925099	0.00643417824593067	0.0064397936051763	0.00641444796138216	0.00639016200042922	0.00900692695214106	0.0161202294751354	0.00703392657187963	0.00935983403537741	0.00641310361616843	0.0105522704583712	0.00768684915937971	0.00957512161581946	0.00687438467981373	0.00872957967336809	0.00644859366430365	0.00765188493580898	0.0197599189336659	0.0168691509829891	0.0195424116943737	0.0170428174428167	0.0184906372368032	0.0128806795332448	0.016852500598378	0.0187901601743704	0.0183354287643154	0.0130803296934225	0.0130062399229652	0.0166416294711208	0.0187780365757685	0.0182682615463132	0.0266971884049856	0.0184081644304105	0.0270268583220537	0.0136895897464843	0.00725997463738767	0.0176433713047973	0.0127381423984579	0.0253976173165474	0.00742014517162388	0.0232677688019097	0.00566144720631782	0.0122793890664748	0.0328959584557226	0.0285843124956173	0.0123474929205209	0.0223052741558628	0.0202599552181849	0.0187281422160303	0.016229826920828	0.0122604811192359	0.0123162667128707	0.0131454889392747	0.0086456220903179	0.00431679463997155	0.00884007619243543	0.0250959736374315	0.0144263160709034	0.00639074152222355	0.00643976426054899	0.0138058113674136	0.00839643816303318	0.0100371423280942	0.0148613714079043	0.0475372451531358	0.0248732886332271	0.0171863549325075	0.0166609202433518	0.0252277735749762	0.0234465490642574	0.0316507172893557	0.0198060997804991
