	CRR125941	CRR125949	SRR11092059	SRR11092060	SRR11092061	SRR11092062	CRR125979	CRR125993	SRR5677655	CRR125952	CRR125963	SRR11092063	CRR125947	CRR125943	SRR10971381	CRR119894	CRR119895	CRR119896	CRR119897	CRR125934	CRR125935	CRR125936	CRR125937	CRR125938	CRR125939	CRR125940	CRR125942	CRR125944	CRR125945	CRR125946	CRR125948	CRR125950	CRR125951	CRR125953	CRR125954	CRR125955	CRR125956	CRR125957	CRR125958	CRR125959	CRR125960	CRR125961
GO:0003824	0.025134982	0.025288445	0.047064247	0.04630885	0.047337882	0.038685874	0.029323211	0.045982696	0.064827534	0.05922675	0.052372851	0.048095149	0.038654675	0.055035254	0.059690225	0.025081576	0.025113047	0.025097572	0.025031824	0.095222922	0.05605893	0.027405419	0.032262297	0.025181212	0.040109847	0.030156009	0.087307117	0.02705115	0.032218563	0.025217676	0.029298818	0.050735746	0.050433038	0.049122854	0.052251223	0.058215158	0.038082673	0.06513772	0.029395867	0.043040315	0.038032009	0.034396833
GO:0008152	0.009573451	0.009630817	0.029226991	0.028797007	0.029390913	0.021618599	0.014962746	0.018961506	0.042389577	0.03401454	0.036023516	0.028958369	0.029369821	0.035305857	0.026714035	0.009698769	0.009710875	0.009689621	0.009660468	0.026081549	0.036078641	0.012649567	0.017927734	0.009724006	0.029490336	0.015984224	0.023110644	0.01229768	0.017917988	0.009626474	0.01524526	0.03436947	0.032419292	0.033088012	0.032733688	0.033500557	0.031272301	0.033739194	0.030643584	0.031147725	0.030874123	0.025538639
GO:0009987	0.007308886	0.007293637	0.031004873	0.030108859	0.030247749	0.019591004	0.017963881	0.02173392	0.037447645	0.031948224	0.033508234	0.024205437	0.024049272	0.032077561	0.024473169	0.007745703	0.007711716	0.007716012	0.007722944	0.021263854	0.033329269	0.009612654	0.01429948	0.007436753	0.023974145	0.012940504	0.016744894	0.009244743	0.013866605	0.007292201	0.012205594	0.033341706	0.030184607	0.031113843	0.030534366	0.030334462	0.038662241	0.03281676	0.026875707	0.033980226	0.039219715	0.023651225
GO:0071704	0.007970768	0.008013444	0.020759881	0.020678376	0.021147073	0.016359616	0.012519656	0.014413704	0.025575176	0.02318173	0.023691707	0.021958291	0.025185643	0.026705088	0.020982143	0.008029426	0.008041764	0.008037336	0.008019176	0.019814232	0.02839732	0.01062954	0.015085801	0.008101044	0.025087873	0.013554602	0.015698567	0.010307793	0.014925552	0.008008832	0.012904742	0.024252056	0.023992893	0.022712227	0.02411069	0.023545902	0.024256797	0.02837322	0.023693175	0.021994687	0.024062846	0.01944535
GO:0044237	0.006375559	0.006401689	0.02026727	0.019688965	0.019963715	0.01395196	0.01105526	0.013448143	0.031607708	0.023445963	0.02471557	0.01666189	0.023218856	0.026755245	0.02113198	0.006466772	0.006477099	0.006475211	0.006458643	0.019979849	0.028759649	0.00887951	0.013110644	0.00650744	0.023046255	0.011822707	0.015101717	0.008568236	0.012783004	0.006402177	0.011202524	0.022365416	0.01962163	0.022276525	0.022588305	0.024131569	0.022885278	0.026991511	0.023597402	0.021373396	0.02294	0.019339847
GO:0005488	0.011582214	0.011689106	0.023289991	0.022968294	0.022942888	0.017937618	0.009006067	0.013619531	0.014591431	0.023760127	0.020156891	0.019588152	0.017092563	0.024509034	0.020602504	0.011685869	0.011682452	0.011623474	0.011632924	0.014361146	0.023004085	0.012610978	0.015453	0.011719503	0.017314961	0.01358763	0.013538206	0.012431609	0.015189274	0.011773386	0.013311618	0.020979667	0.022455865	0.023056736	0.024372606	0.024444515	0.018415019	0.01905562	0.018538395	0.020791241	0.018703901	0.018475981
GO:0044238	0.007959509	0.008007483	0.017731289	0.017834942	0.018141425	0.014664705	0.011320501	0.011476701	0.021652493	0.018588961	0.01960275	0.01954019	0.02358852	0.022867656	0.014296725	0.007981082	0.007991994	0.007991161	0.00797577	0.016976071	0.024183762	0.010497955	0.014732635	0.008071136	0.022960249	0.0129077	0.014250815	0.010209765	0.014641823	0.00799943	0.012510803	0.020737161	0.021207711	0.0184768	0.020490091	0.017681096	0.023639674	0.02480238	0.023610164	0.019132834	0.023791993	0.015249884
GO:0016787	0.018692094	0.018802523	0.013696406	0.014336048	0.014464521	0.01747834	0.014165826	0.02262106	0.00905489	0.014597762	0.011033041	0.019789415	0.02035143	0.021751072	0.019820279	0.018397102	0.018425464	0.018463777	0.0184504	0.031707179	0.02205713	0.019338456	0.020045327	0.018631409	0.01979619	0.019304616	0.035586956	0.019242482	0.020612918	0.018727838	0.019382657	0.013905128	0.019463566	0.012221607	0.015127559	0.011753317	0.013204868	0.031592027	0.006844781	0.010522814	0.012666786	0.00931541
GO:0006807	0.007961927	0.008007426	0.016099542	0.016144141	0.016560332	0.013851981	0.010601168	0.010644424	0.011859127	0.016204658	0.015267027	0.018161949	0.023928118	0.020440581	0.016853308	0.00795606	0.007971263	0.007965412	0.00795571	0.017269836	0.022485715	0.010471157	0.014804203	0.008077911	0.023822523	0.01309026	0.013154126	0.01014998	0.014400457	0.00799988	0.012492233	0.018257247	0.019572576	0.016539784	0.018252252	0.017630574	0.022166365	0.023963096	0.023433604	0.017513563	0.021812484	0.016968761
GO:0016740	0.006392983	0.006457199	0.01550378	0.014849718	0.015150913	0.011072137	0.010419619	0.012915162	0.035040782	0.018358176	0.024899562	0.013231588	0.010631297	0.015933633	0.013486086	0.006434178	0.006439794	0.006414448	0.006390162	0.009006927	0.016120229	0.007033927	0.009359834	0.006413104	0.01055227	0.007686849	0.009575122	0.006874385	0.00872958	0.006448594	0.007651885	0.019759919	0.016869151	0.019542412	0.017042817	0.018490637	0.01288068	0.016852501	0.01879016	0.018335429	0.01308033	0.01300624
GO:0043170	0.007940695	0.007992683	0.011368962	0.011589572	0.011919308	0.011284637	0.010661947	0.010396353	0.014444083	0.014159127	0.015444525	0.015204203	0.017674195	0.019303893	0.011464357	0.007912769	0.007927416	0.007925802	0.007925101	0.015740869	0.020525263	0.009718132	0.012730347	0.008001873	0.017526032	0.011213424	0.013394458	0.009438685	0.012392421	0.007977952	0.010870946	0.017441676	0.017806629	0.014254882	0.01635914	0.013408795	0.021970903	0.021541608	0.020734604	0.015933429	0.021577952	0.011667376
GO:0034641	0.00636073	0.006392239	0.010097163	0.009868406	0.010021903	0.008546736	0.00664336	0.008788559	0.01090253	0.012737385	0.011840442	0.008957392	0.020705076	0.017792101	0.014413557	0.006341259	0.00635232	0.006354998	0.006351771	0.016342884	0.02042642	0.008589242	0.012608259	0.006467799	0.020738223	0.011167397	0.011822648	0.008302002	0.012293998	0.006387203	0.010573889	0.013564465	0.012067302	0.012611712	0.013266224	0.014152251	0.018842464	0.020699993	0.023193347	0.013785816	0.019201503	0.00806911
GO:1901360	0.006360277	0.006391509	0.009663637	0.009444185	0.009586918	0.008267142	0.006441797	0.007810032	0.01003469	0.010411615	0.010403138	0.008565458	0.020635844	0.014823753	0.012997193	0.006313545	0.006324076	0.00635383	0.006348831	0.01438539	0.018232164	0.008556669	0.012597735	0.006467731	0.020648182	0.011120497	0.010617895	0.008272911	0.012279426	0.00638631	0.01053472	0.011579668	0.010949959	0.009963725	0.011119863	0.012733339	0.017188283	0.019917439	0.023064189	0.012435608	0.017478836	0.011610378
GO:0046483	0.006359419	0.006391474	0.009452633	0.009234048	0.009384971	0.008161032	0.006436276	0.007808135	0.010027729	0.010398953	0.010349022	0.008439521	0.020647523	0.014789627	0.012962874	0.006309899	0.006320363	0.006347776	0.006344162	0.014382872	0.018189437	0.008550894	0.012590016	0.006465285	0.020655173	0.011115424	0.01061578	0.008267297	0.01227135	0.006386223	0.010531958	0.011562346	0.010775545	0.009901241	0.011025496	0.012667972	0.017175851	0.019892572	0.023062024	0.012279062	0.017460676	0.007916873
GO:0044419	0.024240177	0.024222782	0.00073336	0.001378993	0.001368013	0.012047894	0.023000125	0.015689631	0.000510494	0.000729386	0.001171057	0.009097746	0.007745313	0.000443029	0.005574017	0.024260466	0.024252324	0.024271903	0.024336294	0.008279597	0.000337319	0.021256343	0.016377546	0.024123296	0.007508759	0.0187246	0.011760219	0.021421416	0.016608706	0.024262969	0.0194313	0.002123372	0.004044236	0.002078872	0.001639862	0.000629723	0.000350866	0.001416679	0.013095387	0.000528342	0.000317033	0.007329252
GO:0044403	0.023950059	0.023947973	0.000558086	0.001200974	0.001198647	0.011837624	0.022991522	0.01567809	0.000310357	0.000212389	0.001103953	0.008899425	0.007696428	0.000263516	0.005342508	0.023881706	0.023885016	0.023894922	0.023952386	0.008162154	0.000201047	0.021092667	0.016179914	0.023834928	0.007436023	0.018484305	0.011605169	0.021271126	0.016382963	0.023984519	0.019199142	0.001742291	0.0036082	0.001918439	0.00136254	0.000268171	0.000252789	0.001396474	0.013090658	0.000410933	0.000279155	0.007106066
GO:0009058	0.003220181	0.003242883	0.009111864	0.008736218	0.008975127	0.006506948	0.007762111	0.010514618	0.021546913	0.012764621	0.01637098	0.007753049	0.010156111	0.013272221	0.01349317	0.003300362	0.00330737	0.003289762	0.003267712	0.008876259	0.012564675	0.004136298	0.005638728	0.003278783	0.010871579	0.005647997	0.007942589	0.004001088	0.005376438	0.003244015	0.005172667	0.011433875	0.007439868	0.012660686	0.012321594	0.016377593	0.002633911	0.008775175	0.01143712	0.009779221	0.002695039	0.010528603
GO:0016032	0.023062532	0.023094018	0.000403548	0.001141506	0.001131383	0.011463833	0.019429721	0.013093349	0.000263369	0.00019256	0.000891821	0.008699633	0.00526923	0.0001661	0.005137101	0.022743846	0.022775222	0.022772804	0.022791151	0.007827771	0.000159003	0.020305595	0.014995755	0.022937683	0.005113777	0.017060817	0.011130991	0.02053626	0.015226132	0.02312121	0.01782154	0.001709091	0.003504641	0.001796848	0.001205583	9.15E-05	0.000239753	0.001201419	0.010005265	0.000396257	0.000267221	0.007101403
GO:0043167	0.004806502	0.004850848	0.010661868	0.010428773	0.010497729	0.008079306	0.004193212	0.005692974	0.008636052	0.011056189	0.01044643	0.009143943	0.011264194	0.008184645	0.010926831	0.004791751	0.004795744	0.004787621	0.004778441	0.005565176	0.007804376	0.005851861	0.00802061	0.004853996	0.011450698	0.007007164	0.004934472	0.005724062	0.00757433	0.004847447	0.006720074	0.010589434	0.010099689	0.010693273	0.010463148	0.011829459	0.009738082	0.007639034	0.004332939	0.010023824	0.009860708	0.007818671
GO:0016772	0.003202791	0.003234411	0.006101789	0.005746828	0.00593577	0.004605599	0.007164285	0.00898145	0.02570686	0.008912228	0.013580792	0.00583634	0.006880274	0.009499815	0.006972924	0.00323132	0.003231743	0.003230457	0.003219118	0.005475126	0.009071503	0.003650352	0.004182093	0.003222755	0.006693655	0.004399816	0.006064624	0.003575958	0.004011573	0.003231873	0.004351204	0.008776412	0.00590284	0.00884745	0.007078465	0.009774837	0.003709906	0.00673525	0.009995181	0.007939808	0.003384624	0.001979724
GO:1901576	0.003215008	0.003239854	0.008450016	0.008162204	0.00833173	0.006106334	0.006516977	0.007906636	0.014180135	0.010425949	0.011559042	0.00696006	0.009589202	0.010855348	0.012106724	0.003269487	0.003276474	0.00325059	0.003232953	0.007568955	0.010281546	0.004073228	0.005390342	0.00326734	0.010089926	0.005381496	0.006294827	0.003955928	0.005141417	0.003239948	0.00499975	0.00866382	0.006355228	0.010401116	0.010312932	0.013238315	0.002475918	0.007088059	0.011364593	0.007709881	0.002641595	0.009318446
GO:0044249	0.003214935	0.003239796	0.008257672	0.0079798	0.008160671	0.006001756	0.006511149	0.007890193	0.014164472	0.010209976	0.011476787	0.006844716	0.009619867	0.010630559	0.012004453	0.003265927	0.003273468	0.003249277	0.003231915	0.007523929	0.010085056	0.004069077	0.005387068	0.003266886	0.01011224	0.005379717	0.006274124	0.003952051	0.005138439	0.003239872	0.004998314	0.008255313	0.006240768	0.010255882	0.010200269	0.01310399	0.002429211	0.00640653	0.011363225	0.007636501	0.002617207	0.009285122
GO:0065007	0.013208116	0.013173931	0.00604865	0.006258579	0.006048698	0.008558162	0.009757439	0.005169638	0.002157998	0.003311027	0.004619288	0.006360095	0.000636191	0.001754395	0.004638048	0.013080936	0.013088215	0.013092083	0.013089698	0.004804786	0.001442708	0.011401393	0.00763049	0.013100341	0.000743182	0.009145768	0.006633236	0.01159948	0.007829835	0.013163436	0.009560641	0.007332923	0.006905724	0.004853516	0.003574379	0.00249878	0.011668707	0.003382001	0.002797393	0.007298949	0.012170741	0.006474205
GO:0044260	0.001617303	0.001627435	0.007188149	0.007018396	0.007090139	0.004788558	0.006023318	0.004986392	0.011918298	0.009457416	0.011100144	0.006267408	0.007996839	0.012281867	0.006797985	0.001676619	0.001683211	0.001677086	0.001678127	0.008740869	0.012654346	0.002694281	0.004917193	0.001672851	0.008142829	0.00382454	0.007001927	0.002541549	0.004783186	0.00162914	0.003525682	0.00987202	0.008415499	0.008815364	0.009869986	0.009347918	0.010363407	0.011198994	0.00765705	0.008830162	0.010241044	0.005834863
GO:0050789	0.013170597	0.013140307	0.005801717	0.006002183	0.00580001	0.008396035	0.009640408	0.005130269	0.002119711	0.002902256	0.00421234	0.006104691	0.000557926	0.001574355	0.00450203	0.013030491	0.013036102	0.013047075	0.013044044	0.004753463	0.001310538	0.011377211	0.007623941	0.01305799	0.000673051	0.009115443	0.00657669	0.011574862	0.00782691	0.013124807	0.009530804	0.006559213	0.006327976	0.004461722	0.00324891	0.002176496	0.010070558	0.003086698	0.002682249	0.006594493	0.010455858	0.006363751
GO:1901564	0.001626751	0.001633278	0.009791976	0.009828231	0.010287676	0.007515799	0.005633087	0.005533918	0.006424685	0.009765607	0.008190902	0.012158478	0.009452234	0.009161785	0.010650429	0.001695824	0.001699963	0.001661257	0.0016553	0.005815491	0.008444719	0.002679363	0.004251791	0.001692213	0.009633169	0.004070798	0.004022243	0.002578335	0.004055792	0.001638449	0.003719241	0.010012039	0.011108023	0.010049852	0.011059199	0.011652035	0.009164471	0.007816216	0.000690289	0.008742105	0.00848465	0.00980913
GO:0050794	0.01164434	0.011619335	0.005454926	0.005633538	0.005452556	0.007563106	0.007876192	0.005104024	0.002098827	0.002723074	0.003978562	0.005618599	0.000508528	0.001318429	0.004029449	0.011532903	0.011538402	0.011543891	0.011542827	0.004189861	0.001112738	0.010057184	0.00680207	0.011551144	0.000620233	0.008072664	0.005807214	0.010231447	0.006952695	0.011611673	0.008439127	0.006349907	0.005842885	0.004252315	0.002936923	0.00181638	0.00999018	0.002874546	0.002678318	0.006457515	0.010417461	0.006310945
GO:0051701	0.015117739	0.015064521	0.00019651	0.000438691	0.000239914	0.006545756	0.015847445	0.008094467	0.000191435	4.40E-05	0.00059094	0.002259798	0.002733064	0.000164693	0.003376832	0.01500245	0.015008519	0.015018642	0.015036387	0.005115239	0.000114339	0.013184116	0.009143023	0.015016287	0.002663962	0.010983916	0.007245725	0.013383446	0.009465244	0.015070532	0.011459444	0.000326228	0.000386982	0.000638354	0.000131921	0.000181973	0.000107487	0.000898344	0.00467307	9.78E-06	6.43E-05	0.005915065
GO:0016779	0.003197921	0.003229453	0.001531574	0.001409303	0.001510238	0.002327533	0.006118635	0.00781019	0.014828694	0.005134613	0.010106586	0.002372788	0.005788852	0.005503225	0.003846988	0.003192006	0.003195542	0.003201935	0.003190758	0.003839106	0.005265794	0.00359026	0.004030536	0.003210921	0.006031687	0.004144643	0.005094854	0.00351352	0.003879182	0.003224627	0.00399207	0.005603624	0.002414551	0.005785716	0.004355312	0.006897505	0.00034275	0.003589491	0.00971829	0.004667022	0.000210663	0.000455119
GO:0035821	0.01482829	0.014785961	8.17E-05	0.000393309	0.000189838	0.00640028	0.01228585	0.006786761	0.000157209	2.96E-05	0.000419935	0.002148573	0.000362667	0.000122853	0.003274381	0.014630965	0.014644349	0.014650487	0.014650404	0.004997481	9.19E-05	0.012713118	0.008143633	0.014708127	0.000397257	0.010037834	0.007080403	0.012945683	0.008492288	0.01478625	0.010560113	0.00031035	0.000310676	0.000530273	7.51E-05	6.15E-05	9.53E-05	0.000707174	0.002589212	0	5.45E-05	0.00591062
GO:0051817	0.01482829	0.014785961	8.17E-05	0.000393309	0.000189787	0.00640028	0.01228585	0.006786761	0.000157209	2.96E-05	0.000419935	0.002148573	0.000362667	0.000122853	0.003274381	0.014630965	0.014644349	0.014650487	0.014650404	0.004997481	9.19E-05	0.012713118	0.008143633	0.014708127	0.000397257	0.010037834	0.007080403	0.012945683	0.008492288	0.01478625	0.010560113	0.00031035	0.000310676	0.000530273	7.51E-05	6.15E-05	9.53E-05	0.000707174	0.002589212	0	5.45E-05	0.005910583
GO:0044003	0.01482829	0.014785961	8.16E-05	0.000393199	0.000189633	0.006400141	0.01228585	0.006786761	0.000157209	2.96E-05	0.000419935	0.002147691	0.000362667	0.000122801	0.003274358	0.014630965	0.014644349	0.014650487	0.014650404	0.004997481	9.19E-05	0.012713118	0.008143633	0.014708127	0.000397257	0.010037834	0.007080403	0.012945683	0.008492288	0.01478625	0.010560113	0.000300246	0.000305225	0.000530273	7.51E-05	6.15E-05	9.53E-05	0.000707174	0.002589212	0	5.45E-05	0.005910583
GO:0019048	0.0148058	0.014766036	8.09E-05	0.000391391	0.000188453	0.006388227	0.010531109	0.005635106	0.000142706	2.68E-05	0.000363655	0.00214004	0.000362194	9.97E-05	0.0032676	0.014601463	0.014615265	0.014623497	0.014624465	0.004986776	8.25E-05	0.012668635	0.008143166	0.014691844	0.000396633	0.010031041	0.007063752	0.012900714	0.008492226	0.014771953	0.010553739	0.000300246	0.000305225	0.000488054	7.13E-05	1.51E-05	9.52E-05	0.000615475	0.002589098	0	5.34E-05	0.005910403
GO:0044068	0.011641008	0.011617912	6.32E-05	0.000306875	0.000147868	0.005022934	0.00702133	0.003753312	9.98E-05	2.01E-05	0.000233778	0.001687492	0.000284449	8.35E-05	0.002567619	0.011505258	0.011513163	0.011518506	0.011520519	0.003916247	6.23E-05	0.010014716	0.006507843	0.011541653	0.000311284	0.007915112	0.005549448	0.010199036	0.006751589	0.011610157	0.008331642	0.000241063	0.00023982	0.000327621	5.58E-05	7.18E-06	7.59E-05	0.000416533	0.001990194	0	4.15E-05	0.004727896
GO:0019054	0.011641008	0.011617912	6.31E-05	0.000306766	0.000147766	0.005022865	0.00702133	0.003753154	9.98E-05	1.96E-05	0.000233778	0.00168661	0.000284433	7.69E-05	0.00256726	0.011505258	0.011513163	0.011518506	0.011520519	0.003916247	6.16E-05	0.010014716	0.006507843	0.011541653	0.000311283	0.007915112	0.005548791	0.010199031	0.006751571	0.011610157	0.008331642	0.000241063	0.00023982	0.000325932	5.58E-05	7.18E-06	7.59E-05	0.000416533	0.001990194	0	4.15E-05	0.004727859
