feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0000049.tRNA.binding	outcome	Survived	0.000135328376970461	5.66919456772474e-05	14	0	0.0348617941560037	0.571818451224074
GO.0000413.protein.peptidyl.prolyl.isomerization	outcome	Survived	4.32999538909998e-05	1.80013933643447e-05	14	0	0.0338052664394018	0.571818451224074
GO.0000774.adenyl.nucleotide.exchange.factor.activity	outcome	Survived	2.18054634941427e-05	9.80412750260037e-06	14	0	0.0261869063400651	0.571818451224074
GO.0000910.cytokinesis	outcome	Survived	2.77883753915882e-05	1.30185451478339e-05	14	0	0.0352300992124078	0.571818451224074
GO.0000917.division.septum.assembly	outcome	Survived	2.25918722983371e-05	1.0769133456856e-05	14	0	0.0363589640072524	0.571818451224074
GO.0000966.RNA.5.end.processing	outcome	Survived	1.63082939952153e-05	7.43364194743425e-06	14	0	0.0343398182485677	0.571818451224074
GO.0001882.nucleoside.binding	outcome	Survived	0.000200548132280403	8.48353649412723e-05	14	1	0.0358611849112606	0.571818451224074
GO.0001883.purine.nucleoside.binding	outcome	Survived	0.000183404178728667	7.85457014218613e-05	14	1	0.0377850485723951	0.571818451224074
GO.0002134.UTP.binding	outcome	Survived	-0.000823231207559003	0.000271631756911152	14	3	0.0104532073002862	0.571818451224074
GO.0003697.single.stranded.DNA.binding	outcome	Survived	3.67537333969863e-05	1.59008647799047e-05	14	0	0.0404360531443187	0.571818451224074
GO.0003723.RNA.binding	outcome	Survived	0.00125492530813297	0.000418304190195043	14	13	0.0111373457876087	0.571818451224074
GO.0003729.mRNA.binding	outcome	Survived	3.37089590611332e-05	1.42311176984585e-05	14	0	0.0371680798790332	0.571818451224074
GO.0003743.translation.initiation.factor.activity	outcome	Survived	4.05550046361869e-05	1.75633369812318e-05	14	0	0.0401412670143691	0.571818451224074
GO.0003755.peptidyl.prolyl.cis.trans.isomerase.activity	outcome	Survived	4.32999538909998e-05	1.80013933643447e-05	14	0	0.0338052664394018	0.571818451224074
GO.0003899.DNA.directed.5.3.RNA.polymerase.activity	outcome	Survived	9.15531380422755e-05	3.75293860626994e-05	14	0	0.0313245697501906	0.571818451224074
GO.0003924.GTPase.activity	outcome	Survived	0.000150701591533875	6.41055009203297e-05	14	1	0.0371307442684192	0.571818451224074
GO.0003964.RNA.directed.DNA.polymerase.activity	outcome	Survived	-0.000822798970318506	0.000274352064677991	14	3	0.0110859947504792	0.571818451224074
GO.0004148.dihydrolipoyl.dehydrogenase.activity	outcome	Survived	1.74040229731474e-05	7.76116974849536e-06	14	0	0.0303320688413922	0.571818451224074
GO.0004170.dUTP.diphosphatase.activity	outcome	Survived	-0.000820637071942818	0.000271645249425661	14	3	0.0106433553047916	0.571818451224074
GO.0004175.endopeptidase.activity	outcome	Survived	-0.000921243185599042	0.000292078409790497	14	13	0.00839214061804273	0.571818451224074
GO.0004190.aspartic.type.endopeptidase.activity	outcome	Survived	-0.000818212517526653	0.000274523531959827	14	3	0.0114754638658477	0.571818451224074
GO.0004360.glutamine.fructose.6.phosphate.transaminase..isomerizing..activity	outcome	Survived	1.79819261304606e-05	8.09425008697075e-06	14	0	0.0278115466377526	0.571818451224074
GO.0004521.endoribonuclease.activity	outcome	Survived	-0.000792361084879934	0.000274930877759349	14	3	0.0137783696515163	0.571818451224074
GO.0004523.RNA.DNA.hybrid.ribonuclease.activity	outcome	Survived	-0.000824478643246588	0.000274287278720802	14	3	0.0109461275102743	0.571818451224074
GO.0004533.exoribonuclease.H.activity	outcome	Survived	-0.000829434706966213	0.000273297207284674	14	3	0.0103713578197176	0.571818451224074
GO.0004540.ribonuclease.activity	outcome	Survived	-0.00197818661743393	0.000636324095583974	14	10	0.00925992504317697	0.571818451224074
GO.0004634.phosphopyruvate.hydratase.activity	outcome	Survived	1.56956379307449e-05	6.85994795777062e-06	14	0	0.0368715304198005	0.571818451224074
GO.0005198.structural.molecule.activity	outcome	Survived	0.00062066319480336	0.000263253808339178	14	1	0.0365765809780514	0.571818451224074
GO.0005261.cation.channel.activity	outcome	Survived	2.3585409426717e-05	9.79471169026016e-06	14	0	0.0161906276286408	0.571818451224074
GO.0005518.collagen.binding	outcome	Survived	1.54147144610411e-05	6.8383660506003e-06	14	0	0.0397352700402697	0.571818451224074
GO.0005525.GTP.binding	outcome	Survived	0.000182943223161703	7.84325076326294e-05	14	1	0.0379473616271974	0.571818451224074
GO.0006002.fructose.6.phosphate.metabolic.process	outcome	Survived	1.91959941520249e-05	8.76055904854977e-06	14	0	0.0286123207009684	0.571818451224074
GO.0006006.glucose.metabolic.process	outcome	Survived	7.50704871376213e-05	3.10618218641982e-05	14	0	0.0325525360952363	0.571818451224074
GO.0006090.pyruvate.metabolic.process	outcome	Survived	0.00013872912192846	5.78642055007207e-05	14	0	0.0336834360313509	0.571818451224074
GO.0006094.gluconeogenesis	outcome	Survived	3.3657642010674e-05	1.47270962338529e-05	14	0	0.0419932730214289	0.571818451224074
GO.0006096.glycolytic.process	outcome	Survived	9.14250686590099e-05	3.80895810386942e-05	14	0	0.0335183710697461	0.571818451224074
GO.0006163.purine.nucleotide.metabolic.process	outcome	Survived	0.000317656589363812	0.000136005763309826	14	6	0.038840364071782	0.571818451224074
GO.0006165.nucleoside.diphosphate.phosphorylation	outcome	Survived	9.2857984187417e-05	3.86060353831268e-05	14	0	0.0332002855564296	0.571818451224074
GO.0006188.IMP.biosynthetic.process	outcome	Survived	5.11027295954467e-05	2.13512666572252e-05	14	0	0.0349948798292527	0.571818451224074
GO.0006220.pyrimidine.nucleotide.metabolic.process	outcome	Survived	-0.00153695981035117	0.000546793634728848	14	4	0.0157243368777987	0.571818451224074
GO.0006221.pyrimidine.nucleotide.biosynthetic.process	outcome	Survived	-0.000714506735065501	0.000274625053038034	14	3	0.0231509471718607	0.571818451224074
GO.0006226.dUMP.biosynthetic.process	outcome	Survived	-0.000820406084942879	0.000271629054277124	14	3	0.0106566210590668	0.571818451224074
GO.0006244.pyrimidine.nucleotide.catabolic.process	outcome	Survived	-0.000823170442634468	0.0002716323430296	14	3	0.0104576809740206	0.571818451224074
GO.0006278.RNA.dependent.DNA.biosynthetic.process	outcome	Survived	-0.000822075960406126	0.000274357743299092	14	3	0.0111417053552408	0.571818451224074
GO.0006353.DNA.templated.transcription..termination	outcome	Survived	2.27618638121354e-05	9.16049400367615e-06	14	0	0.0130771195198792	0.571818451224074
GO.0006401.RNA.catabolic.process	outcome	Survived	2.84393637333218e-05	1.30444417424565e-05	14	0	0.0310141918984193	0.571818451224074
GO.0006413.translational.initiation	outcome	Survived	4.4189330324303e-05	1.87844157498096e-05	14	0	0.0366947478729358	0.571818451224074
GO.0006720.isoprenoid.metabolic.process	outcome	Survived	9.30353941401263e-05	3.80805876012489e-05	14	0	0.0310475337187417	0.571818451224074
GO.0006721.terpenoid.metabolic.process	outcome	Survived	4.47244915862493e-05	1.84218384063132e-05	14	0	0.0319057540265067	0.571818451224074
GO.0006754.ATP.biosynthetic.process	outcome	Survived	4.67598050267074e-05	1.90366607933714e-05	14	0	0.0319449699224984	0.571818451224074
GO.0006757.ATP.generation.from.ADP	outcome	Survived	9.14250686590099e-05	3.80895810386942e-05	14	0	0.0335183710697461	0.571818451224074
GO.0006801.superoxide.metabolic.process	outcome	Survived	2.37000245805508e-05	9.68732704797296e-06	14	0	0.0144284243944383	0.571818451224074
GO.0006886.intracellular.protein.transport	outcome	Survived	8.70671962896252e-05	3.6278883311157e-05	14	0	0.0343569113039304	0.571818451224074
GO.0006986.response.to.unfolded.protein	outcome	Survived	1.88428921747212e-05	8.78857967768713e-06	14	0	0.0323064448328082	0.571818451224074
GO.0008135.translation.factor.activity..RNA.binding	outcome	Survived	0.000173612909077693	7.53201878503533e-05	14	1	0.0424902788511908	0.571818451224074
GO.0008270.zinc.ion.binding	outcome	Survived	-0.000888220117063507	0.000267621977920004	14	14	0.00613136328648187	0.571818451224074
GO.0008299.isoprenoid.biosynthetic.process	outcome	Survived	9.2777733087448e-05	3.8055214388455e-05	14	0	0.0313582202731889	0.571818451224074
GO.0008443.phosphofructokinase.activity	outcome	Survived	2.19853870666721e-05	9.90038973541316e-06	14	0	0.0264391930351507	0.571818451224074
GO.0008551.cadmium.transmembrane.transporter.activity..phosphorylative.mechanism	outcome	Survived	2.13509589209053e-05	8.95218137890329e-06	14	0	0.0172947868700232	0.571818451224074
GO.0008658.penicillin.binding	outcome	Survived	3.99003670716671e-05	1.74860561818442e-05	14	0	0.0427760867571179	0.571818451224074
GO.0008861.formate.C.acetyltransferase.activity	outcome	Survived	1.68476908717241e-05	6.88654954009389e-06	14	0	0.0330957876726352	0.571818451224074
GO.0008963.phospho.N.acetylmuramoyl.pentapeptide.transferase.activity	outcome	Survived	1.68749582708716e-05	7.30031951406213e-06	14	0	0.0278468052692545	0.571818451224074
GO.0009116.nucleoside.metabolic.process	outcome	Survived	0.000112663881988897	4.76190046163721e-05	14	0	0.0362809737989898	0.571818451224074
GO.0009123.nucleoside.monophosphate.metabolic.process	outcome	Survived	-0.000662506403826097	0.000279099371966216	14	3	0.0351619519377836	0.571818451224074
GO.0009124.nucleoside.monophosphate.biosynthetic.process	outcome	Survived	-0.000681257779198055	0.000277658481503124	14	3	0.0303933823255093	0.571818451224074
GO.0009126.purine.nucleoside.monophosphate.metabolic.process	outcome	Survived	7.96714116139753e-05	3.36982072760588e-05	14	0	0.0368710869487112	0.571818451224074
GO.0009127.purine.nucleoside.monophosphate.biosynthetic.process	outcome	Survived	7.27980099613104e-05	3.10317744899048e-05	14	0	0.0382173369287038	0.571818451224074
GO.0009129.pyrimidine.nucleoside.monophosphate.metabolic.process	outcome	Survived	-0.000781259062595556	0.000272544056930967	14	3	0.0141805492025979	0.571818451224074
GO.0009130.pyrimidine.nucleoside.monophosphate.biosynthetic.process	outcome	Survived	-0.000781264530191388	0.000272543093325107	14	3	0.0141797542231603	0.571818451224074
GO.0009132.nucleoside.diphosphate.metabolic.process	outcome	Survived	0.000101280086894173	4.19871270229158e-05	14	0	0.0327885459924948	0.571818451224074
GO.0009135.purine.nucleoside.diphosphate.metabolic.process	outcome	Survived	9.71120217253116e-05	4.04742892960862e-05	14	0	0.0336056712729126	0.571818451224074
GO.0009141.nucleoside.triphosphate.metabolic.process	outcome	Survived	-0.000730277558163856	0.000276106377865126	14	3	0.0213789095261494	0.571818451224074
GO.0009142.nucleoside.triphosphate.biosynthetic.process	outcome	Survived	6.22783096182385e-05	2.61165935659429e-05	14	0	0.0363559967266218	0.571818451224074
GO.0009143.nucleoside.triphosphate.catabolic.process	outcome	Survived	-0.00081645851201259	0.00027163072946446	14	3	0.0109487357943973	0.571818451224074
GO.0009144.purine.nucleoside.triphosphate.metabolic.process	outcome	Survived	4.88313282447027e-05	1.98594411900259e-05	14	0	0.0319173881266927	0.571818451224074
