feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0072527.pyrimidine.containing.compound.metabolic.process.pyrimidine.containing.compound.metabolic.process	outcome	Survived	-4.81533793917083	0.867123705850247	25	12	2.80437649573946e-08	1.18905563419353e-05
GO.0034654.nucleobase.containing.compound.biosynthetic.process.nucleobase.containing.compound.biosynthetic.process	outcome	Survived	-0.629839870935129	0.116851388461202	25	25	7.04211640232378e-08	1.49292867729264e-05
GO.0046914.transition.metal.ion.binding.transition.metal.ion.binding	outcome	Survived	-0.545489118342333	0.105975203553449	25	25	2.64223275763936e-07	3.73435563079696e-05
GO.0019438.aromatic.compound.biosynthetic.process.aromatic.compound.biosynthetic.process	outcome	Survived	-0.477522534563344	0.115894959270254	25	25	3.7837183138878e-05	0.00401074141272106
GO.0018130.heterocycle.biosynthetic.process.heterocycle.biosynthetic.process	outcome	Survived	-0.393053717084906	0.100170822680755	25	25	8.7150663131973e-05	0.00739037623359131
GO.0009059.macromolecule.biosynthetic.process.macromolecule.biosynthetic.process	outcome	Survived	0.382498363765729	0.103299197281824	25	25	0.000213215919834688	0.0150672583349846
GO.0016070.RNA.metabolic.process.RNA.metabolic.process	outcome	Survived	-0.31022767806246	0.0857473096918203	25	25	0.00029696983653525	0.0179878872415637
GO.0090501.RNA.phosphodiester.bond.hydrolysis.RNA.phosphodiester.bond.hydrolysis	outcome	Survived	-1.41192392791933	0.402249679533007	25	17	0.000447991273865205	0.0237435375148559
GO.0000287.magnesium.ion.binding.magnesium.ion.binding	outcome	Survived	-2.33594657722001	0.708784861696108	25	11	0.000981746695391069	0.0360534989045242
GO.0003723.RNA.binding.RNA.binding	outcome	Survived	0.988573546028821	0.303036596854267	25	23	0.00110541388150664	0.0360534989045242
GO.0008270.zinc.ion.binding.zinc.ion.binding	outcome	Survived	-0.879558407744366	0.265798361700162	25	24	0.000935900505503228	0.0360534989045242
GO.0016310.phosphorylation.phosphorylation	outcome	Survived	2.89736756818973	0.88796984506685	25	13	0.001102737097204	0.0360534989045242
GO.1901565.organonitrogen.compound.catabolic.process.organonitrogen.compound.catabolic.process	outcome	Survived	-2.38751901012188	0.720827739604757	25	12	0.000925683881670454	0.0360534989045242
GO.0004175.endopeptidase.activity.endopeptidase.activity	outcome	Survived	-0.994621856499963	0.309442256440222	25	21	0.001307900413059	0.0369699850091345
GO.0072528.pyrimidine.containing.compound.biosynthetic.process.pyrimidine.containing.compound.biosynthetic.process	outcome	Survived	-5.50476081911299	1.71141850551102	25	7	0.00129768974011836	0.0369699850091345
GO.0006310.DNA.recombination.DNA.recombination	outcome	Survived	-2.12991242376079	0.667191802659265	25	12	0.00141118262921759	0.037396339674266
GO.0016491.oxidoreductase.activity.oxidoreductase.activity	outcome	Survived	2.54138736818241	0.800687914594846	25	13	0.00150351150027702	0.037499345653968
GO.0005975.carbohydrate.metabolic.process.carbohydrate.metabolic.process	outcome	Survived	2.24455841865394	0.717090713970349	25	15	0.00174752799093735	0.0389974667451283
GO.0140098.catalytic.activity..acting.on.RNA.catalytic.activity..acting.on.RNA	outcome	Survived	-0.546045944409562	0.173992364481792	25	25	0.00169911841004806	0.0389974667451283
GO.0016462.pyrophosphatase.activity.pyrophosphatase.activity	outcome	Survived	-0.325699331119073	0.107200258024348	25	25	0.00237970104067155	0.0480472972021304
GO.0097159.organic.cyclic.compound.binding.organic.cyclic.compound.binding	outcome	Survived	0.443179595894663	0.14521280995876	25	25	0.00227373737445345	0.0480472972021304
