feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0000018.regulation.of.DNA.recombination	outcome	Survived	7.81189596370466e-06	3.13782890543915e-06	14	0	0.0284536781902312	0.0998904172794514
GO.0000023.maltose.metabolic.process	outcome	Survived	1.08255067376265e-05	5.02650882659271e-06	14	0	0.0522981981751239	0.0998904172794514
GO.0000027.ribosomal.large.subunit.assembly	outcome	Survived	1.00574936686015e-05	3.64881347037585e-06	14	0	0.0173956500057657	0.0998904172794514
GO.0000030.mannosyltransferase.activity	outcome	Survived	6.53445536598053e-06	2.439279685711e-06	14	0	0.0200797174108817	0.0998904172794514
GO.0000041.transition.metal.ion.transport	outcome	Survived	0.000203794680011417	9.2217825027717e-05	14	3	0.0472866042473614	0.0998904172794514
GO.0000049.tRNA.binding	outcome	Survived	0.000113013369669762	4.83050660542001e-05	14	0	0.0374144305539306	0.0998904172794514
GO.0000103.sulfate.assimilation	outcome	Survived	1.21190946721822e-05	5.46408914307947e-06	14	0	0.0466096332131775	0.0998904172794514
GO.0000104.succinate.dehydrogenase.activity	outcome	Survived	1.75608092571589e-05	6.91034394204715e-06	14	0	0.0258794577624925	0.0998904172794514
GO.0000154.rRNA.modification	outcome	Survived	5.82900211876636e-05	2.47981445459181e-05	14	0	0.0366739920168527	0.0998904172794514
GO.0000155.phosphorelay.sensor.kinase.activity	outcome	Survived	0.000347098734050274	0.000156474297585087	14	5	0.0465849881429553	0.0998904172794514
GO.0000160.phosphorelay.signal.transduction.system	outcome	Survived	0.000498780028997254	0.000232446202705142	14	5	0.0530406392330965	0.0998904172794514
GO.0000166.nucleotide.binding	outcome	Survived	0.00266198268606497	0.00110631311727992	14	14	0.0331432739852742	0.0998904172794514
GO.0000270.peptidoglycan.metabolic.process	outcome	Survived	0.000152371074092236	6.41735738035653e-05	14	0	0.0351217100413401	0.0998904172794514
GO.0000272.polysaccharide.catabolic.process	outcome	Survived	5.56598853491019e-05	2.15922592236058e-05	14	0	0.0241969063306509	0.0998904172794514
GO.0000302.response.to.reactive.oxygen.species	outcome	Survived	1.17949036539737e-05	5.49840688862247e-06	14	0	0.0531010272699897	0.0998904172794514
GO.0000413.protein.peptidyl.prolyl.isomerization	outcome	Survived	3.63102849089539e-05	1.53242233908642e-05	14	0	0.0354356036270393	0.0998904172794514
GO.0000715.nucleotide.excision.repair..DNA.damage.recognition	outcome	Survived	1.6245741217821e-05	6.76465735058785e-06	14	0	0.0334233329513556	0.0998904172794514
GO.0000716.transcription.coupled.nucleotide.excision.repair..DNA.damage.recognition	outcome	Survived	1.39529294747865e-05	5.77102634501893e-06	14	0	0.032450166437927	0.0998904172794514
GO.0000725.recombinational.repair	outcome	Survived	2.88223888010026e-05	1.32731507527147e-05	14	0	0.0506605185362362	0.0998904172794514
GO.0000820.regulation.of.glutamine.family.amino.acid.metabolic.process	outcome	Survived	1.02323913240997e-05	4.68220794360774e-06	14	0	0.04941555003805	0.0998904172794514
GO.0000902.cell.morphogenesis	outcome	Survived	1.30950015828484e-05	5.10912727344958e-06	14	0	0.0248611126194472	0.0998904172794514
GO.0000910.cytokinesis	outcome	Survived	2.9376618677269e-05	1.16936264000298e-05	14	0	0.027297823762443	0.0998904172794514
GO.0000917.division.septum.assembly	outcome	Survived	2.257594875334e-05	9.52294392571551e-06	14	0	0.0353570020464796	0.0998904172794514
GO.0001101.response.to.acid.chemical	outcome	Survived	8.96364721605883e-06	3.97270522682758e-06	14	0	0.0434996140034651	0.0998904172794514
GO.0001123.transcription.initiation.from.bacterial.type.RNA.polymerase.promoter	outcome	Survived	1.02645125200667e-05	4.42838408469196e-06	14	0	0.0389157005548255	0.0998904172794514
GO.0001216.DNA.binding.transcription.activator.activity	outcome	Survived	8.25919530220673e-06	3.82163465286183e-06	14	0	0.0516034417380754	0.0998904172794514
GO.0001510.RNA.methylation	outcome	Survived	0.000111393164123858	4.2029979154512e-05	14	0	0.0211662791828214	0.0998904172794514
GO.0001522.pseudouridine.synthesis	outcome	Survived	4.40114926981098e-05	1.87809645999704e-05	14	0	0.0371548578127815	0.0998904172794514
GO.0001681.sialate.O.acetylesterase.activity	outcome	Survived	8.17876823295403e-06	3.1497952373978e-06	14	0	0.0233717788540515	0.0998904172794514
