metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
survival	GO.0002134.UTP.binding	Survived	-0.000649545335610662	0.000292625521576641	25	1	0.0464475869334882	0.255390745214285
survival	GO.0003723.RNA.binding	Survived	0.00154964549203613	0.000512860055501975	25	2	0.0107253003232165	0.255390745214285
survival	GO.0003964.RNA.directed.DNA.polymerase.activity	Survived	-0.000641369391556483	0.000296118778231229	25	1	0.0511528752780614	0.255390745214285
survival	GO.0004170.dUTP.diphosphatase.activity	Survived	-0.000647617294945796	0.000292846859481223	25	1	0.0471417600253536	0.255390745214285
survival	GO.0004175.endopeptidase.activity	Survived	-0.000747064083112268	0.000228768600577168	25	2	0.0308120962759259	0.255390745214285
survival	GO.0004190.aspartic.type.endopeptidase.activity	Survived	-0.000643217225819359	0.000295778600452469	25	1	0.0503589892287827	0.255390745214285
survival	GO.0004521.endoribonuclease.activity	Survived	-0.000617707611441612	0.000298379225207654	25	1	0.0606485998669061	0.255390745214285
survival	GO.0004523.RNA.DNA.hybrid.ribonuclease.activity	Survived	-0.000648054807221893	0.000295019825682026	25	1	0.0484130816292556	0.255390745214285
survival	GO.0004533.exoribonuclease.H.activity	Survived	-0.000653222484694839	0.000293593858457692	25	1	0.0460156695589896	0.255390745214285
survival	GO.0004540.ribonuclease.activity	Survived	-0.00186883911129306	0.000615753966847228	25	15	0.0104438512410091	0.255390745214285
survival	GO.0005198.structural.molecule.activity	Survived	0.000779803502616211	0.000339179131511367	25	1	0.0430029242036261	0.255390745214285
survival	GO.0006220.pyrimidine.nucleotide.metabolic.process	Survived	-0.00137495935289437	0.000578143482871045	25	2	0.0348610080036216	0.255390745214285
survival	GO.0006226.dUMP.biosynthetic.process	Survived	-0.000646724255495367	0.000292942920638268	25	1	0.0474629641645816	0.255390745214285
survival	GO.0006244.pyrimidine.nucleotide.catabolic.process	Survived	-0.000649498582078008	0.000292632294721974	25	1	0.0464652128874783	0.255390745214285
survival	GO.0006278.RNA.dependent.DNA.biosynthetic.process	Survived	-0.000640975367317074	0.000296142561369856	25	1	0.0512905058630295	0.255390745214285
survival	GO.0006281.DNA.repair	Survived	0.00187430570238877	0.000877904292080555	25	2	0.057851260845359	0.255390745214285
survival	GO.0006412.translation	Survived	0.000995013746695847	0.000462509696908672	25	2	0.0595560023995351	0.255390745214285
survival	GO.0006518.peptide.metabolic.process	Survived	0.00102747180011582	0.000475086518739814	25	2	0.0583517860037641	0.255390745214285
survival	GO.0006950.response.to.stress	Survived	0.00207161628151293	0.000981187173178788	25	2	0.0632472378430361	0.255390745214285
survival	GO.0006974.cellular.response.to.DNA.damage.stimulus	Survived	0.00196471118779735	0.000920041816355878	25	2	0.0605049093640257	0.255390745214285
survival	GO.0008270.zinc.ion.binding	Survived	-0.000733306069672291	0.000215679977090586	25	2	0.00830649005864483	0.255390745214285
survival	GO.0009059.macromolecule.biosynthetic.process	Survived	0.0011992592231031	0.000571622012063639	25	25	0.0596427679149161	0.255390745214285
