feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0009987.cellular.process	case	Uninfected	0.0161657180835199	0.00180668256253229	86	74	8.57148360295811e-14	7.02861655442565e-12
GO.0008152.metabolic.process	case	Uninfected	0.0130626815444588	0.00195962973966898	86	76	2.89704985567671e-09	1.04538185555385e-07
GO.0019054.modulation.by.virus.of.host.cellular.process	case	Uninfected	-0.00677101272258924	0.00103798264193123	86	11	5.09942368562854e-09	1.04538185555385e-07
GO.0044068.modulation.by.symbiont.of.host.cellular.process	case	Uninfected	-0.00677122626183188	0.00103788277121711	86	11	5.08069944016415e-09	1.04538185555385e-07
GO.0016787.hydrolase.activity	case	Community Acquired Pneumonia	-0.00794176602295394	0.00123758166689701	86	69	1.53622958986087e-08	2.51941652737183e-07
GO.0019048.modulation.by.virus.of.host.process	case	Uninfected	-0.00839439172153544	0.00134779489763497	86	18	1.8684113418359e-08	2.55349550050906e-07
GO.0071704.organic.substance.metabolic.process	case	Uninfected	0.00752642590894908	0.00121551251998945	86	76	2.192276755415e-08	2.56809562777185e-07
GO.0044260.cellular.macromolecule.metabolic.process	case	Uninfected	0.00374649917408683	0.000605998321142322	86	4	2.73964213263862e-08	2.80813318595458e-07
GO.0035821.modulation.of.process.of.other.organism	case	Uninfected	-0.00840059541844547	0.00139898741312985	86	18	4.95677911833467e-08	3.38713239752869e-07
GO.0044003.modulation.by.symbiont.of.host.process	case	Uninfected	-0.00840142569428038	0.00139899451731956	86	18	4.94484786080321e-08	3.38713239752869e-07
GO.0044237.cellular.metabolic.process	case	Uninfected	0.00850518337786076	0.00141020101534525	86	72	4.54652412564758e-08	3.38713239752869e-07
GO.0051817.modulation.of.process.of.other.organism.involved.in.symbiotic.interaction	case	Uninfected	-0.00840059646554358	0.00139898591084353	86	18	4.95662367332063e-08	3.38713239752869e-07
GO.0016787.hydrolase.activity	case	Uninfected	-0.00759329261841112	0.00120251217805443	86	69	7.83883666554525e-08	4.94449697365162e-07
GO.0051701.interaction.with.host	case	Uninfected	-0.00889307112093734	0.00151264262732081	86	20	8.77403992215311e-08	5.13908052583253e-07
GO.0016032.viral.process	case	Uninfected	-0.0130382075833952	0.00231870029324048	86	31	2.82224556804409e-07	1.54282757719743e-06
GO.0016740.transferase.activity	case	Uninfected	0.00933171253118376	0.00164239757571041	86	58	3.04701807031959e-07	1.56159676103879e-06
GO.0009987.cellular.process	case	Community Acquired Pneumonia	0.00970193528274545	0.00175561054070104	86	74	3.75144822889541e-07	1.69508985722913e-06
GO.0044238.primary.metabolic.process	case	Uninfected	0.00579846752626686	0.00105102966470293	86	74	4.06924196207654e-07	1.69508985722913e-06
GO.0044403.symbiotic.process	case	Uninfected	-0.013754318619907	0.00248368430520589	86	31	4.13436550543691e-07	1.69508985722913e-06
