feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0072527.pyrimidine.containing.compound.metabolic.process.pyrimidine.containing.compound.metabolic.process	outcome	Survived	-4.81533793917083	0.867123705850247	25	12	2.80437649573946e-08	1.18905563419353e-05
GO.0034654.nucleobase.containing.compound.biosynthetic.process.nucleobase.containing.compound.biosynthetic.process	outcome	Survived	-0.629839870935129	0.116851388461202	25	25	7.04211640232378e-08	1.49292867729264e-05
GO.0046914.transition.metal.ion.binding.transition.metal.ion.binding	outcome	Survived	-0.545489118342333	0.105975203553449	25	25	2.64223275763936e-07	3.73435563079696e-05
GO.0019438.aromatic.compound.biosynthetic.process.aromatic.compound.biosynthetic.process	outcome	Survived	-0.477522534563344	0.115894959270254	25	25	3.7837183138878e-05	0.00401074141272106
GO.0018130.heterocycle.biosynthetic.process.heterocycle.biosynthetic.process	outcome	Survived	-0.393053717084906	0.100170822680755	25	25	8.7150663131973e-05	0.00739037623359131
GO.0009059.macromolecule.biosynthetic.process.macromolecule.biosynthetic.process	outcome	Survived	0.382498363765729	0.103299197281824	25	25	0.000213215919834688	0.0150672583349846
GO.0016070.RNA.metabolic.process.RNA.metabolic.process	outcome	Survived	-0.31022767806246	0.0857473096918203	25	25	0.00029696983653525	0.0179878872415637
GO.0090501.RNA.phosphodiester.bond.hydrolysis.RNA.phosphodiester.bond.hydrolysis	outcome	Survived	-1.41192392791933	0.402249679533007	25	17	0.000447991273865205	0.0237435375148559
GO.0000287.magnesium.ion.binding.magnesium.ion.binding	outcome	Survived	-2.33594657722001	0.708784861696108	25	11	0.000981746695391069	0.0360534989045242
GO.0003723.RNA.binding.RNA.binding	outcome	Survived	0.988573546028821	0.303036596854267	25	23	0.00110541388150664	0.0360534989045242
GO.0008270.zinc.ion.binding.zinc.ion.binding	outcome	Survived	-0.879558407744366	0.265798361700162	25	24	0.000935900505503228	0.0360534989045242
GO.0016310.phosphorylation.phosphorylation	outcome	Survived	2.89736756818973	0.88796984506685	25	13	0.001102737097204	0.0360534989045242
GO.1901565.organonitrogen.compound.catabolic.process.organonitrogen.compound.catabolic.process	outcome	Survived	-2.38751901012188	0.720827739604757	25	12	0.000925683881670454	0.0360534989045242
GO.0004175.endopeptidase.activity.endopeptidase.activity	outcome	Survived	-0.994621856499963	0.309442256440222	25	21	0.001307900413059	0.0369699850091345
GO.0072528.pyrimidine.containing.compound.biosynthetic.process.pyrimidine.containing.compound.biosynthetic.process	outcome	Survived	-5.50476081911299	1.71141850551102	25	7	0.00129768974011836	0.0369699850091345
GO.0006310.DNA.recombination.DNA.recombination	outcome	Survived	-2.12991242376079	0.667191802659265	25	12	0.00141118262921759	0.037396339674266
GO.0016491.oxidoreductase.activity.oxidoreductase.activity	outcome	Survived	2.54138736818241	0.800687914594846	25	13	0.00150351150027702	0.037499345653968
GO.0005975.carbohydrate.metabolic.process.carbohydrate.metabolic.process	outcome	Survived	2.24455841865394	0.717090713970349	25	15	0.00174752799093735	0.0389974667451283
GO.0140098.catalytic.activity..acting.on.RNA.catalytic.activity..acting.on.RNA	outcome	Survived	-0.546045944409562	0.173992364481792	25	25	0.00169911841004806	0.0389974667451283
GO.0016462.pyrophosphatase.activity.pyrophosphatase.activity	outcome	Survived	-0.325699331119073	0.107200258024348	25	25	0.00237970104067155	0.0480472972021304
GO.0097159.organic.cyclic.compound.binding.organic.cyclic.compound.binding	outcome	Survived	0.443179595894663	0.14521280995876	25	25	0.00227373737445345	0.0480472972021304
GO.0016817.hydrolase.activity..acting.on.acid.anhydrides.hydrolase.activity..acting.on.acid.anhydrides	outcome	Survived	-0.322528512544199	0.107458882798181	25	25	0.00268729613909557	0.051791525589842
GO.0043412.macromolecule.modification.macromolecule.modification	outcome	Survived	3.40530125452624	1.15932962589754	25	13	0.00331081491467726	0.0610341532097026
GO.0032555.purine.ribonucleotide.binding.purine.ribonucleotide.binding	outcome	Survived	0.76109586330449	0.264852161466576	25	23	0.00405741616051122	0.0666826048776072
GO.0055114.oxidation.reduction.process.oxidation.reduction.process	outcome	Survived	2.82253605224355	0.981181942524693	25	13	0.00401896435668195	0.0666826048776072
GO.0071840.cellular.component.organization.or.biogenesis.cellular.component.organization.or.biogenesis	outcome	Survived	1.28315535421872	0.446903919905755	25	21	0.00408902765758912	0.0666826048776072
GO.0071705.nitrogen.compound.transport.nitrogen.compound.transport	outcome	Survived	6.0149778561429	2.16950498922507	25	11	0.00556255283709233	0.0873526815898943
GO.0006810.transport.transport	outcome	Survived	2.24445181224257	0.822855021008622	25	15	0.00637892898842679	0.0885706412107802
GO.0036094.small.molecule.binding.small.molecule.binding	outcome	Survived	0.399697173477325	0.145909107355691	25	25	0.00615594381820702	0.0885706412107802
GO.0051179.localization.localization	outcome	Survived	2.23513621216546	0.820935609710481	25	15	0.00647568367342968	0.0885706412107802
GO.0051234.establishment.of.localization.establishment.of.localization	outcome	Survived	2.24099064933696	0.821893962918598	25	15	0.00639871219630474	0.0885706412107802
GO.0000166.nucleotide.binding.nucleotide.binding	outcome	Survived	0.371649822348895	0.138280977350404	25	25	0.00719584059565396	0.0923575090313441
GO.0009117.nucleotide.metabolic.process.nucleotide.metabolic.process	outcome	Survived	-1.19503850566645	0.446240682915337	25	19	0.00740602666760778	0.0923575090313441
GO.1901265.nucleoside.phosphate.binding.nucleoside.phosphate.binding	outcome	Survived	0.371649822348895	0.138280977350404	25	25	0.00719584059565396	0.0923575090313441
GO.0006753.nucleoside.phosphate.metabolic.process.nucleoside.phosphate.metabolic.process	outcome	Survived	-1.16054272380026	0.437745737956508	25	19	0.00802110928618518	0.0971700096383576
GO.0017076.purine.nucleotide.binding.purine.nucleotide.binding	outcome	Survived	1.07817181033341	0.411548713805551	25	23	0.00879835492929947	0.103625069167305
GO.0005976.polysaccharide.metabolic.process.polysaccharide.metabolic.process	outcome	Survived	2.58015961313421	0.994254257038396	25	11	0.00945715955850747	0.105521990863347
GO.0017111.nucleoside.triphosphatase.activity.nucleoside.triphosphatase.activity	outcome	Survived	0.534829106144626	0.206008517719444	25	23	0.00942747749915831	0.105521990863347
GO.0016773.phosphotransferase.activity..alcohol.group.as.acceptor.phosphotransferase.activity..alcohol.group.as.acceptor	outcome	Survived	4.00015327421753	1.55337481439267	25	11	0.010020033051901	0.108317522445071
GO.0035639.purine.ribonucleoside.triphosphate.binding.purine.ribonucleoside.triphosphate.binding	outcome	Survived	0.784421331807812	0.305419368548201	25	23	0.0102186341929313	0.108317522445071
GO.0044262.cellular.carbohydrate.metabolic.process.cellular.carbohydrate.metabolic.process	outcome	Survived	2.23960307952021	0.875199676779999	25	12	0.0104985090921619	0.108569947684797
GO.0003676.nucleic.acid.binding.nucleic.acid.binding	outcome	Survived	0.466719534737309	0.183239580330961	25	25	0.0108639290599685	0.109673950510158
GO.0055085.transmembrane.transport.transmembrane.transport	outcome	Survived	2.76267883213184	1.09199377423533	25	13	0.0114082002829104	0.112490160929163
GO.0044264.cellular.polysaccharide.metabolic.process.cellular.polysaccharide.metabolic.process	outcome	Survived	2.60522252965386	1.05337412801386	25	8	0.0133902905900893	0.129033709322679
GO.0005524.ATP.binding.ATP.binding	outcome	Survived	0.626919056582568	0.25623699959746	25	23	0.0144195777470853	0.135864465883648
GO.0004540.ribonuclease.activity.ribonuclease.activity	outcome	Survived	-0.964144386541924	0.402288136113692	25	19	0.0165456607771325	0.15250782977183
GO.0016051.carbohydrate.biosynthetic.process.carbohydrate.biosynthetic.process	outcome	Survived	2.54939479803333	1.08716432944555	25	9	0.0190273403318658	0.168074839598148
GO.0090503.RNA.phosphodiester.bond.hydrolysis..exonucleolytic.RNA.phosphodiester.bond.hydrolysis..exonucleolytic	outcome	Survived	-0.968238698054045	0.412063225423045	25	17	0.0187868647769821	0.168074839598148
GO.0005215.transporter.activity.transporter.activity	outcome	Survived	2.51010724538422	1.08557137399414	25	13	0.0207641723364604	0.172623256244886
GO.0016043.cellular.component.organization.cellular.component.organization	outcome	Survived	0.924181863027467	0.400959632530789	25	21	0.0211707767092785	0.172623256244886
GO.0016853.isomerase.activity.isomerase.activity	outcome	Survived	1.43131417713345	0.617006441296682	25	15	0.0203532223586989	0.172623256244886
GO.0022857.transmembrane.transporter.activity.transmembrane.transporter.activity	outcome	Survived	2.48693784179765	1.07521964577698	25	13	0.0207249504648096	0.172623256244886
GO.0000271.polysaccharide.biosynthetic.process.polysaccharide.biosynthetic.process	outcome	Survived	2.56853626457897	1.12645891889034	25	8	0.0225966378300128	0.180773102640103
GO.0034637.cellular.carbohydrate.biosynthetic.process.cellular.carbohydrate.biosynthetic.process	outcome	Survived	2.55916712833645	1.14302815921707	25	7	0.0251600673830288	0.197553121674152
GO.0008879.glucose.1.phosphate.thymidylyltransferase.activity.glucose.1.phosphate.thymidylyltransferase.activity	outcome	Survived	2.74160143917652	1.23702532635708	25	5	0.0266719474100545	0.205274146910066
