taxid	CRR119890	CRR119891	CRR119892	CRR119893	CRR125445	CRR125446
0	1991882	1929375	1933442	1725224	858902	1080733
1	46	54	54	59	33	19
2	6589	5938	6602	6264	90904	117868
9	29	24	28	28	118	104
20	0	0	0	0	2	0
22	0	0	0	1	1	0
24	0	1	1	0	0	1
29	52	43	53	61	34	63
32	2	1	1	2	2	0
34	18	11	46	22	9	10
35	26	35	19	17	6	83
43	5	6	3	6	1	8
48	55	38	38	88	32	47
49	0	3	0	0	1	0
52	4	10	17	5	9	36
56	3629	68840	73572	410	4423	261
63	3	0	1	0	0	31
69	70	29	72	55	52	76
75	0	1	0	2	15	2
94	7	37	5	10	0	4
107	0	0	0	0	1	0
113	0	1	0	3	7	6
114	10	5	10	6	3	11
122	0	0	0	1	0	0
134	0	0	0	0	0	1
138	0	2	3	1	1	1
139	7	5	8	12	1	6
140	0	1	0	0	1	2
141	0	0	0	0	1	1
142	0	2	0	3	1	0
143	1	0	0	0	1	0
154	0	0	0	0	2	1
158	12	14	3	4	4	4
159	6	2	2	4	6	13
160	0	0	0	0	1	0
162	123	133	179	143	80	128
171	1	1	0	0	2	5
173	7	4	5	6	5	11
174	3	2	0	2	4	1
176	3	3	1	0	0	3
191	1	1	3	4	1	2
192	19	8	8	25	30	7
194	19	10	17	21	15	17
195	2	5	11	3	6	3
196	1	2	2	0	5	0
197	13	21	20	25	28	50
198	1	0	0	1	3	0
199	0	1	2	1	2	0
201	1	1	6	3	5	4
204	0	0	0	3	0	1
206	7	6	4	4	4	6
209	1	0	1	1	0	2
210	270	440	285	269	627	754
212	1	1	1	1	0	1
213	1	1	2	1	8	10
217	4	1	0	1	0	0
222	0	1	0	2	9	0
226	0	1	0	2	0	1
234	0	0	1	1	1	0
235	2	1	4	2	5	1
237	3	3	2	0	7	10
238	5	4	5	6	1	4
246	7	3	3	1	14	12
247	1	6	7	6	11	13
250	43	33	49	62	3	3
253	5	3	8	2	1	6
254	4	1	1	3	1	1
259	3	3	0	0	10	9
262	5	1	2	2	3	8
263	2	3	0	2	0	0
264	1	0	1	0	0	0
265	1	0	0	1	7	7
266	0	0	0	0	2	0
270	6	2	4	2	0	1
274	8	4	3	1	11	28
285	1	1	0	0	1	1
286	43	50	54	71	87	71
287	9	7	7	8	13	12
292	1	0	0	4	0	0
293	0	6	2	1	5	1
294	44	20	43	37	24	41
296	3	0	1	5	0	3
297	0	1	1	14	0	3
300	1	0	0	0	2	0
301	1	0	0	0	3	1
303	6	10	11	21	5	4
305	7	12	4	15	7	17
316	6	0	3	5	26	35
317	1	1	2	1	0	1
329	0	1	0	0	12	6
337	4	1	1	1	4	6
338	3	1	5	3	6	19
339	2	2	1	0	3	1
340	1	0	1	0	0	4
343	0	5	4	2	0	0
346	0	0	1	0	2	1
347	0	2	0	1	0	2
352	0	0	0	0	0	1
353	0	2	1	0	0	5
354	3	0	1	1	0	0
356	23	22	27	21	59	89
357	0	5	1	0	1	0
358	8	9	19	20	20	25
359	1	7	7	0	0	0
374	15	14	14	17	30	34
375	1	1	3	2	1	4
376	1	3	1	1	0	0
379	2	8	12	15	2	13
380	33	19	20	19	16	17
381	1	0	5	1	3	7
382	39	26	32	32	113	247
384	7	4	1	3	11	8
387	2	1	4	4	2	3
394	1	0	0	0	0	1
396	3	2	0	0	0	4
399	0	1	3	1	0	1
407	20	34	13	9	12	10
408	0	4	0	1	21	2
416	0	1	1	2	1	0
417	0	0	1	0	0	0
433	1	0	1	0	0	1
434	1	1	1	1	0	2
435	0	0	0	0	0	1
438	10	1	8	5	4	7
441	0	1	0	0	0	0
442	0	1	0	0	0	0
446	2	2	1	2	3	0
449	0	0	0	1	0	0
450	0	1	0	0	0	0
451	0	1	0	0	0	2
452	0	0	0	1	0	1
454	0	0	1	1	1	1
456	1	0	0	0	0	2
463	4	1	0	0	2	1
468	2	1	0	0	8	3
469	16	17	8	8	125	40
470	15	16	17	11	40	39
471	0	0	0	0	9	67
475	0	1	0	0	1	0
476	3	1	0	2	0	4
480	2	0	0	1	0	0
481	0	0	0	0	5	0
482	2	6	5	3	35	26
483	1	0	0	0	0	1
484	1	0	0	0	0	1
485	50	23	4	59	13	23
486	0	0	0	1	6	3
487	13	24	13	11	64	66
489	0	0	0	0	1	1
492	0	3	0	1	3	0
493	1	0	0	0	0	0
495	3	3	1	2	4	3
497	0	0	0	0	5	2
506	0	0	0	1	7	1
507	7	6	7	5	2	0
511	59	34	23	36	17	34
517	11	43	20	22	1	3
518	0	1	0	1	12	19
519	1	1	0	0	2	1
521	28	24	20	31	9	11
522	2	1	1	1	15	71
528	2	4	5	3	0	1
529	6	8	11	3	0	0
535	9	13	17	13	2	0
536	0	1	2	3	1	0
539	0	0	0	0	1	1
542	0	0	0	1	1	0
543	2526	1416	1685	1025	73	122
544	0	5	1	0	3	0
545	0	2	0	0	0	2
546	11	14	8	6	3	2
547	1	1	5	0	0	0
548	0	1	1	1	0	1
549	11	9	5	42	23	44
550	7	3	4	6	28	36
551	1	1	0	0	1	0
552	12	10	17	14	5	20
553	0	2	0	2	1	1
556	16	8	13	2	2	2
561	17	10	23	9	11	9
562	276	161	197	146	298	301
564	0	1	0	1	0	0
565	1	0	0	0	0	0
569	3	1	6	2	0	1
570	153	68	146	140	19	15
571	6	18	4	2	11	9
573	174	182	211	185	83	137
575	3	0	1	1	2	1
577	1	0	0	0	0	0
582	5	10	9	4	2	8
583	1	1	1	1	1	2
584	19	22	38	18	15	15
585	5	10	7	3	7	10
586	1	1	1	0	1	0
587	0	0	3	1	2	4
588	4	4	5	3	17	16
595	1	3	0	0	3	4
613	11	11	9	10	32	53
614	1	2	3	0	6	10
615	19	17	21	18	63	44
618	0	1	0	3	1	0
621	0	0	1	0	2	4
622	24	14	23	67	28	55
623	1	0	2	4	5	7
624	2	2	1	0	6	7
628	3	4	4	2	3	4
629	1	2	2	1	2	0
630	2	0	5	2	3	5
631	0	0	0	0	2	0
632	0	0	0	0	2	1
633	1	1	3	1	3	9
635	2	0	1	4	0	0
638	0	1	0	0	0	0
642	0	1	0	1	21	2
644	32	21	26	33	15	31
645	2	0	3	0	2	5
648	0	0	0	1	0	1
651	0	0	0	0	4	0
654	15	9	16	14	6	13
662	6	1	2	2	5	11
663	24	33	27	31	17	20
666	32	32	20	9	49	86
668	1	0	0	0	0	0
669	2	1	5	5	2	3
670	9	8	10	7	14	59
672	4	2	6	4	3	2
674	1	0	0	1	0	1
675	3	0	1	1	2	4
676	0	1	1	0	1	0
680	6	6	3	6	7	3
687	3	2	1	1	0	0
691	0	0	0	0	1	1
703	2	0	1	1	0	4
712	0	4	0	3	3	0
714	2	2	6	10	1	0
715	4	1	0	0	0	1
716	0	0	0	1	1	0
724	2	0	1	2	3	2
725	2	0	0	1	0	0
726	18	3	1	3	4	12
727	31	35	37	29	97	123
728	3	5	8	1	19	23
729	0	1	2	1	4	1
730	3	3	1	1	2	1
731	3	2	1	1	1	9
732	0	0	3	1	0	0
735	5	1	3	4	0	0
738	4	4	5	4	11	17
747	1	3	5	0	62	20
749	1	0	0	0	0	0
754	1	0	0	0	0	0
758	2	0	1	4	2	5
762	0	0	0	0	0	1
766	0	0	0	0	0	4
773	5	1	1	2	1	1
774	0	0	0	1	0	0
777	1	0	1	1	4	3
779	2	1	0	0	5	7
780	1	2	1	1	6	6
782	2	0	0	1	0	0
784	47	58	34	60	10	26
785	1	1	1	1	0	0
803	0	1	0	0	0	2
807	4	1	3	1	1	1
813	0	0	0	0	0	1
816	4	17	1	5	2	3
817	51	46	38	42	32	57
818	9	4	6	4	0	1
820	9	1	2	1	12	17
821	0	2	0	0	2	1
823	10	2	12	3	16	11
824	0	0	0	0	2	0
831	0	0	0	1	0	0
836	0	0	0	0	1	0
837	1	1	0	1	3	1
838	69	43	52	56	31	53
847	0	0	0	2	0	0
848	49	22	40	25	20	27
851	7	2	8	4	4	4
853	24	17	28	24	7	11
856	47	39	47	35	13	21
859	2	3	2	5	4	2
860	1	0	1	6	0	1
861	7	11	8	22	6	8
870	1	0	0	0	0	0
872	0	1	2	1	1	1
881	4	7	6	7	0	0
883	1	1	1	3	1	2
897	0	1	1	1	0	0
901	2	3	0	0	0	0
907	0	0	0	1	1	0
920	0	0	3	2	0	0
926	1	1	0	0	0	0
943	0	0	1	0	0	1
944	8	11	6	9	42	55
945	0	0	1	1	5	1
948	1	0	0	1	1	0
953	1	1	2	0	1	2
955	1	0	0	1	0	0
959	0	1	3	2	8	9
960	4	7	3	3	3	1
963	0	0	0	0	2	0
964	2	1	4	5	3	1
976	752	421	721	587	313	525
979	1	2	0	0	0	1
986	5	9	11	11	11	9
996	15	11	16	12	13	17
1010	10	4	4	7	1	0
1014	0	0	0	0	0	2
1016	0	3	1	1	3	0
1017	0	1	3	0	13	0
1019	3	4	1	4	2	6
1041	0	0	0	0	1	0
1063	7	71	73	17	8	17
1075	4	5	11	7	5	3
1076	4	1	2	2	2	2
1079	1	0	3	1	0	3
1085	1	0	1	0	2	1
1108	1	0	1	0	1	2
1112	0	3	0	1	2	4
1117	10	7	4	6	28	40
1125	3	6	1	0	1	2
1126	3	1	0	2	1	3
1147	0	1	0	0	0	0
1161	51	34	43	41	21	33
1162	1	1	6	3	3	7
1177	3	0	1	0	1	4
1184	0	0	1	0	0	0
1186	1	0	0	0	1	2
1218	1	0	4	0	2	9
1219	96	66	92	85	8	7
1224	1296	1345	1642	1775	2846	10454
1227	0	1	0	0	0	1
1236	271	290	295	299	244	339
1238	35	30	47	55	66	92
1239	71	69	65	68	325	386
1243	0	1	0	0	2	1
1244	0	0	0	0	0	1
1245	0	0	1	0	1	1
1246	1	0	0	0	0	1
1247	0	0	2	1	0	1
1249	0	2	1	0	0	0
1252	7	3	5	3	0	0
1254	0	0	0	0	1	0
1255	2	1	2	3	4	1
1260	0	0	1	0	0	0
1268	1	1	0	0	15	10
1269	3	0	2	2	8	5
1270	8	2	10	15	28	16
1274	0	0	1	1	1	0
1275	3	0	3	7	25	45
1279	37	23	24	19	37	21
1280	28	29	31	27	100	658
1282	4	9	7	3	38	39
1283	3	7	7	5	5	4
1286	105	99	89	60	118	164
1288	2	0	4	1	4	4
1290	0	9	4	5	7	4
1292	2221	4	446	929	0	158
1294	5	1	0	0	1	3
1295	1	0	1	1	0	0
1296	1	0	3	0	1	0
1298	0	1	12	1	2	2
1299	0	0	2	1	8	19
1300	0	0	0	0	1	0
1301	46	37	31	33	46	11
1302	121	34	90	51	54	24
1303	1	2	2	0	3	1
1304	0	0	1	0	0	1
1305	3	3	3	5	3	0
1307	11	10	12	9	5	14
1308	5	5	7	2	6	8
1309	2	4	3	1	0	7
1311	1	1	0	0	1	2
1313	8	10	6	10	72	79
1314	28	34	23	14	20	51
1326	0	0	0	0	1	0
1328	39	36	39	40	39	56
1329	0	3	0	0	0	0
1334	0	0	0	0	0	1
1335	4	6	4	1	4	23
1338	0	3	1	0	0	0
1340	2	4	11	1	6	2
1346	1	2	1	2	4	0
1348	1	0	7	4	0	0
1349	4	0	2	0	2	3
1350	3	3	5	7	3	1
1351	60	99	83	57	133	172
1352	20	14	22	19	7	15
1353	0	1	0	0	0	0
1354	7	8	15	11	9	11
1357	1	1	0	1	0	0
1358	4	2	1	1	3	4
1359	5	3	2	8	4	14
1360	10	5	4	11	3	4
1363	4	0	0	2	1	0
1364	0	0	1	1	1	0
1366	4	2	0	0	3	1
1374	3	1	2	0	0	1
1375	0	0	0	0	4	0
1377	1	0	0	0	1	0
1379	3	3	5	1	3	10
1385	78	69	33	21	257	304
1386	29	31	32	26	45	41
1390	2	4	6	7	0	3
1392	11	23	19	10	29	43
1393	2	3	3	1	4	8
1394	0	0	0	0	0	2
1396	79	45	75	56	62	79
1397	1	7	4	3	9	6
1398	4	0	5	1	8	18
1401	3	1	0	0	0	1
1402	0	0	1	0	0	1
1404	159	91	154	145	42	69
1405	66	20	71	50	19	17
1406	2	3	2	1	0	2
1408	22	10	19	15	5	10
1421	5	8	6	10	6	7
1422	4	1	4	5	18	22
1423	15	22	30	32	10	32
1426	2	0	0	1	3	4
1428	34	33	25	22	69	104
1440	0	0	1	0	0	1
1441	0	0	0	0	0	1
1452	56	54	102	94	47	47
1464	0	1	0	0	3	3
1465	31	51	50	52	5	5
1467	1	1	1	2	2	1
1474	1	1	1	0	1	1
1476	22	14	15	18	2	4
1477	1	0	1	1	0	0
1478	0	2	2	2	2	14
1479	0	0	1	1	0	1
1482	8	11	10	12	0	0
1485	46	47	26	38	22	22
1488	2	2	1	0	1	1
1490	2	9	10	4	4	2
