taxid	domain	phylum	class	order	family	genus	species	CRR119890_read_counts	CRR119890_perc_of_reads	CRR119891_read_counts	CRR119891_perc_of_reads	CRR119892_read_counts	CRR119892_perc_of_reads	CRR119893_read_counts	CRR119893_perc_of_reads	CRR125445_read_counts	CRR125445_perc_of_reads	CRR125446_read_counts	CRR125446_perc_of_reads
0	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1991882	96.85367373	1929375	94.02164855	1933442	93.61804532	1725224	96.61088229	858902	79.19950502	1080733	73.81269482
1	NA	NA	NA	NA	NA	NA	NA	46	0.002236713	54	0.00263151	54	0.002614702	59	0.003303943	33	0.003042936	19	0.001297676
2	Bacteria	NA	NA	NA	NA	NA	NA	6589	0.32038487	5938	0.289368603	6602	0.319671516	6264	0.350777967	90904	8.382273885	117868	8.050235084
9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	29	0.001410102	24	0.00116956	28	0.001355771	28	0.001567973	118	0.010880801	104	0.007103068
20	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	NA	0	0	0	0	0	0	0	0	2	0.00018442	0	0
22	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	NA	0	0	0	0	0	0	1	5.60E-05	1	9.22E-05	0	0
24	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	0	0	1	4.87E-05	1	4.84E-05	0	0	0	0	1	6.83E-05
29	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA	NA	52	0.002528459	43	0.002095461	53	0.002566281	61	0.003415941	34	0.003135146	63	0.00430282
32	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	NA	2	9.72E-05	1	4.87E-05	1	4.84E-05	2	0.000111998	2	0.00018442	0	0
34	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	18	0.000875236	11	0.000536048	46	0.002227339	22	0.001231979	9	0.000829892	10	0.000682987
35	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus macrosporus	26	0.001264229	35	0.001705608	19	0.000919988	17	0.000951984	6	0.000553261	83	0.005668795
43	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter	Cystobacter fuscus	5	0.000243121	6	0.00029239	3	0.000145261	6	0.000335994	1	9.22E-05	8	0.00054639
48	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium	Archangium gephyra	55	0.002674331	38	0.001851803	38	0.001839975	88	0.004927915	32	0.002950726	47	0.00321004
49	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA	NA	0	0	3	0.000146195	0	0	0	0	1	9.22E-05	0	0
52	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	Chondromyces crocatus	4	0.000194497	10	0.000487317	17	0.000823147	5	0.000279995	9	0.000829892	36	0.002458754
56	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	3629	0.176457231	68840	3.354687547	73572	3.562386061	410	0.022959605	4423	0.407845611	261	0.017825969
63	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla filiformis	3	0.000145873	0	0	1	4.84E-05	0	0	0	0	31	0.002117261
69	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter enzymogenes	70	0.003403694	29	0.001413218	72	0.003486269	55	0.003079947	52	0.004794929	76	0.005190704
75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	0	0	1	4.87E-05	0	0	2	0.000111998	15	0.001383153	2	0.000136597
94	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Stella	Stella humosa	7	0.000340369	37	0.001803071	5	0.000242102	10	0.00055999	0	0	4	0.000273195
107	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	NA	0	0	0	0	0	0	0	0	1	9.22E-05	0	0
113	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmata	NA	0	0	1	4.87E-05	0	0	3	0.000167997	7	0.000645471	6	0.000409792
114	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmata	Gemmata obscuriglobus	10	0.000486242	5	0.000243658	10	0.000484204	6	0.000335994	3	0.000276631	11	0.000751286
122	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia maris	0	0	0	0	0	0	1	5.60E-05	0	0	0	0
134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis	Methylocystis parvus	0	0	0	0	0	0	0	0	0	0	1	6.83E-05
138	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	NA	0	0	2	9.75E-05	3	0.000145261	1	5.60E-05	1	9.22E-05	1	6.83E-05
139	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	7	0.000340369	5	0.000243658	8	0.000387363	12	0.000671988	1	9.22E-05	6	0.000409792
140	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia hermsii	0	0	1	4.87E-05	0	0	0	0	1	9.22E-05	2	0.000136597
141	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia parkeri	0	0	0	0	0	0	0	0	1	9.22E-05	1	6.83E-05
142	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia turicatae	0	0	2	9.75E-05	0	0	3	0.000167997	1	9.22E-05	0	0
143	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia anserina	1	4.86E-05	0	0	0	0	0	0	1	9.22E-05	0	0
154	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta thermophila	0	0	0	0	0	0	0	0	2	0.00018442	1	6.83E-05
158	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola	12	0.00058349	14	0.000682243	3	0.000145261	4	0.000223996	4	0.000368841	4	0.000273195
159	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira hyodysenteriae	6	0.000291745	2	9.75E-05	2	9.68E-05	4	0.000223996	6	0.000553261	13	0.000887884
160	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pallidum	0	0	0	0	0	0	0	0	1	9.22E-05	0	0
162	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema phagedenis	123	0.005980777	133	0.006481311	179	0.008667253	143	0.008007862	80	0.007376814	128	0.008742238
171	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	NA	1	4.86E-05	1	4.87E-05	0	0	0	0	2	0.00018442	5	0.000341494
173	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	7	0.000340369	4	0.000194927	5	0.000242102	6	0.000335994	5	0.000461051	11	0.000751286
174	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira borgpetersenii	3	0.000145873	2	9.75E-05	0	0	2	0.000111998	4	0.000368841	1	6.83E-05
176	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	3	0.000145873	3	0.000146195	1	4.84E-05	0	0	0	0	3	0.000204896
191	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	NA	1	4.86E-05	1	4.87E-05	3	0.000145261	4	0.000223996	1	9.22E-05	2	0.000136597
192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	19	0.00092386	8	0.000389853	8	0.000387363	25	0.001399976	30	0.002766305	7	0.000478091
194	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA	19	0.00092386	10	0.000487317	17	0.000823147	21	0.00117598	15	0.001383153	17	0.001161078
195	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	2	9.72E-05	5	0.000243658	11	0.000532624	3	0.000167997	6	0.000553261	3	0.000204896
196	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus	1	4.86E-05	2	9.75E-05	2	9.68E-05	0	0	5	0.000461051	0	0
197	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	13	0.000632115	21	0.001023365	20	0.000968408	25	0.001399976	28	0.002581885	50	0.003414937
198	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter hyointestinalis	1	4.86E-05	0	0	0	0	1	5.60E-05	3	0.000276631	0	0
199	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	0	0	1	4.87E-05	2	9.68E-05	1	5.60E-05	2	0.00018442	0	0
201	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari	1	4.86E-05	1	4.87E-05	6	0.000290522	3	0.000167997	5	0.000461051	4	0.000273195
204	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter showae	0	0	0	0	0	0	3	0.000167997	0	0	1	6.83E-05
206	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sputorum	7	0.000340369	6	0.00029239	4	0.000193682	4	0.000223996	4	0.000368841	6	0.000409792
209	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	1	4.86E-05	0	0	1	4.84E-05	1	5.60E-05	0	0	2	0.000136597
210	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	270	0.013128535	440	0.021441931	285	0.013799816	269	0.015063741	627	0.057815781	754	0.051497245
212	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter acinonychis	1	4.86E-05	1	4.87E-05	1	4.84E-05	1	5.60E-05	0	0	1	6.83E-05
213	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cinaedi	1	4.86E-05	1	4.87E-05	2	9.68E-05	1	5.60E-05	8	0.000737681	10	0.000682987
217	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter mustelae	4	0.000194497	1	4.87E-05	0	0	1	5.60E-05	0	0	0	0
222	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	NA	0	0	1	4.87E-05	0	0	2	0.000111998	9	0.000829892	0	0
226	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA	0	0	1	4.87E-05	0	0	2	0.000111998	0	0	1	6.83E-05
234	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	NA	0	0	0	0	1	4.84E-05	1	5.60E-05	1	9.22E-05	0	0
235	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella abortus	2	9.72E-05	1	4.87E-05	4	0.000193682	2	0.000111998	5	0.000461051	1	6.83E-05
237	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	3	0.000145873	3	0.000146195	2	9.68E-05	0	0	7	0.000645471	10	0.000682987
238	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia meningoseptica	5	0.000243121	4	0.000194927	5	0.000242102	6	0.000335994	1	9.22E-05	4	0.000273195
246	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium balustinum	7	0.000340369	3	0.000146195	3	0.000145261	1	5.60E-05	14	0.001290942	12	0.000819585
247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter brevis	1	4.86E-05	6	0.00029239	7	0.000338943	6	0.000335994	11	0.001014312	13	0.000887884
250	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium gleum	43	0.002090841	33	0.001608145	49	0.0023726	62	0.00347194	3	0.000276631	3	0.000204896
253	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes	5	0.000243121	3	0.000146195	8	0.000387363	2	0.000111998	1	9.22E-05	6	0.000409792
254	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indoltheticum	4	0.000194497	1	4.87E-05	1	4.84E-05	3	0.000167997	1	9.22E-05	1	6.83E-05
259	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium thalpophilum	3	0.000145873	3	0.000146195	0	0	0	0	10	0.000922102	9	0.000614689
