	namespace	depth	name	baseMean	log2FoldChange	lfcSE	pvalue	padj
GO:0039646	biological_process	9	modulation by virus of host G0/G1 transition checkpoint	6401.44793358758	29.9487337849719	0.876203920824522	1.71452263048175e-256	3.30199913404481e-252
GO:0039511	biological_process	9	suppression by virus of host interferon receptor activity	2058.020843269	29.9469221944645	0.891546654535165	8.46449344902553e-248	8.15088396673914e-244
GO:0039587	biological_process	7	suppression by virus of host tetherin activity	3804.38937466694	29.9462267751419	0.897366547178887	1.28603063227365e-244	8.25588798231938e-241
GO:0039595	biological_process	10	induction by virus of catabolism of host mRNA	209249.041245523	25.724920446546	0.819971422926554	1.23226770292693e-216	5.93306092266746e-213
GO:0000175	molecular_function	8	3'-5'-exoribonuclease activity	193467.427404316	12.4219040809163	0.447424169344136	4.47182490892246e-172	1.72245751841875e-168
GO:0004527	molecular_function	5	exonuclease activity	209760.999933929	10.1127315244316	0.366848577679799	3.77454113654859e-171	1.21156479581315e-167
GO:0039644	biological_process	12	suppression by virus of host NF-kappaB transcription factor activity	208946.037644893	22.9233403452952	0.835113595373464	1.29001189613772e-167	3.22327608513627e-164
GO:0046911	molecular_function	5	metal chelating activity	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:0051651	biological_process	4	maintenance of location in cell	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1901628	biological_process	8	positive regulation of postsynaptic membrane organization	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1901630	biological_process	7	negative regulation of presynaptic membrane organization	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1903002	biological_process	7	positive regulation of lipid transport across blood-brain barrier	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905855	biological_process	5	positive regulation of heparan sulfate binding	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905860	biological_process	6	positive regulation of heparan sulfate proteoglycan binding	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905890	biological_process	4	regulation of cellular response to very-low-density lipoprotein particle stimulus	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905906	biological_process	6	regulation of amyloid fibril formation	36.7503728638173	-26.6716606532931	0.968671795131452	2.20161068272186e-167	3.22327608513627e-164
GO:0043602	biological_process	6	nitrate catabolic process	27.7372829089827	-26.674032899808	0.989047778665708	1.08479423099305e-160	1.1606695608164e-157
GO:0047726	molecular_function	4	iron-cytochrome-c reductase activity	27.7372829089827	-26.674032899808	0.989047778665708	1.08479423099305e-160	1.1606695608164e-157
GO:0034593	molecular_function	7	phosphatidylinositol bisphosphate phosphatase activity	33.3800346832877	-26.3352608674807	0.981902450843115	5.55548774788858e-159	5.63121781771506e-156
GO:0035397	biological_process	8	helper T cell enhancement of adaptive immune response	22.5032061041368	-26.173209535451	0.986005333176232	8.4775868433724e-156	8.16349225082545e-153
