ID,SampleType,SampleID,Trim,TrimType
ENVHA_235033541_trim25_num,ENVHA,235033541,trim25,num
ENVHA_235033541_trim25_frac,ENVHA,235033541,trim25,frac
ENVHA_235033541_trim30_num,ENVHA,235033541,trim30,num
ENVHA_235033541_trim30_frac,ENVHA,235033541,trim30,frac
ENVHA_235057263_trim25_num,ENVHA,235057263,trim25,num
ENVHA_235057263_trim25_frac,ENVHA,235057263,trim25,frac
ENVHA_235057263_trim30_num,ENVHA,235057263,trim30,num
ENVHA_235057263_trim30_frac,ENVHA,235057263,trim30,frac
ENVHA_235057491_trim25_num,ENVHA,235057491,trim25,num
ENVHA_235057491_trim25_frac,ENVHA,235057491,trim25,frac
ENVHA_235057491_trim30_num,ENVHA,235057491,trim30,num
ENVHA_235057491_trim30_frac,ENVHA,235057491,trim30,frac
ENVHA_235057493_trim25_num,ENVHA,235057493,trim25,num
ENVHA_235057493_trim25_frac,ENVHA,235057493,trim25,frac
ENVHA_235057493_trim30_num,ENVHA,235057493,trim30,num
ENVHA_235057493_trim30_frac,ENVHA,235057493,trim30,frac
ENVHA_235057560_trim25_num,ENVHA,235057560,trim25,num
ENVHA_235057560_trim25_frac,ENVHA,235057560,trim25,frac
ENVHA_235057560_trim30_num,ENVHA,235057560,trim30,num
ENVHA_235057560_trim30_frac,ENVHA,235057560,trim30,frac
ENVHA_235063938_trim25_num,ENVHA,235063938,trim25,num
ENVHA_235063938_trim25_frac,ENVHA,235063938,trim25,frac
ENVHA_235063938_trim30_num,ENVHA,235063938,trim30,num
ENVHA_235063938_trim30_frac,ENVHA,235063938,trim30,frac
ENVHA_235072464_trim25_num,ENVHA,235072464,trim25,num
ENVHA_235072464_trim25_frac,ENVHA,235072464,trim25,frac
ENVHA_235072464_trim30_num,ENVHA,235072464,trim30,num
ENVHA_235072464_trim30_frac,ENVHA,235072464,trim30,frac
ENVHA_332760487_trim25_num,ENVHA,332760487,trim25,num
ENVHA_332760487_trim25_frac,ENVHA,332760487,trim25,frac
ENVHA_332760487_trim30_num,ENVHA,332760487,trim30,num
ENVHA_332760487_trim30_frac,ENVHA,332760487,trim30,frac
ENVHA_332760505_trim25_num,ENVHA,332760505,trim25,num
ENVHA_332760505_trim25_frac,ENVHA,332760505,trim25,frac
ENVHA_332760505_trim30_num,ENVHA,332760505,trim30,num
ENVHA_332760505_trim30_frac,ENVHA,332760505,trim30,frac
ENVHA_332761261_trim25_num,ENVHA,332761261,trim25,num
ENVHA_332761261_trim25_frac,ENVHA,332761261,trim25,frac
ENVHA_332761261_trim30_num,ENVHA,332761261,trim30,num
ENVHA_332761261_trim30_frac,ENVHA,332761261,trim30,frac
ENVHA_332763462_trim25_num,ENVHA,332763462,trim25,num
ENVHA_332763462_trim25_frac,ENVHA,332763462,trim25,frac
