name	dmm1	dmm2	dmm3	dmm4
oxidation-reduction process	9.228947716	170.216359	57.66033228	899.0656087
phosphorylation	7.513916497	30.86669402	36.41280005	407.8502475
biological_process	7.665460665	38.3597679	49.40291895	272.7075226
signal transduction	1.745574214	12.76309794	4.180063282	203.289477
methylation	4.141756258	15.03943291	9.484281152	175.7649418
biosynthetic process	10.16325609	15.96995234	54.18480108	167.0534055
metabolic process	2.599283879	24.66087892	8.312896274	155.9252176
electron transport chain	1.127491793	127.6203601	6.241357492	108.0650031
liver development	0.013385266	117.3093967	0.054444185	0.402411526
cellular response to DNA damage stimulus	0.843408217	2.224346888	4.821189325	102.8970403
determination of adult lifespan	0.034488829	100.2365724	0.11740451	0.559580666
ion transport	0.72332983	84.06065784	3.862370075	74.91157544
osteoblast differentiation	0.010056239	86.77500278	0.055502217	0.397997727
cell division	0.707976895	3.449113305	4.330506518	84.44108708
ATP metabolic process	0.192067575	84.2607964	0.569726761	8.960502281
angiogenesis	0.020228216	80.26702198	0.04593894	0.406879151
response to manganese ion	0.006772652	79.04239405	0.045792752	0.395546235
nematode larval development	0.013363601	78.79370283	0.045896492	0.393982318
embryonic morphogenesis	0.010056109	78.73725196	0.045755074	0.390473802
defecation	0.010056109	78.73047821	0.045755074	0.38961878
inductive cell migration	0.010056109	78.73047821	0.045755074	0.38961878
gonad development	0.010056109	78.73048151	0.04592303	0.392032687
behavior	0.010056109	78.60840164	0.037764702	0.385962168
mating behavior	0.013458888	78.62119231	0.073285567	0.392257385
response to mercury ion	0.054456208	77.72776831	0.212308806	1.905332901
carbohydrate transport	0.548164798	0.212140018	2.223873987	66.49518053
chemotaxis	0.370703386	0.113044298	0.886596579	58.75500874
cell cycle	0.5403141	1.065414468	3.165005444	59.28519395
carbohydrate biosynthetic process	0.139777352	51.5935693	0.257479329	4.332506283
response to estradiol	0.000344676	48.11746236	0.014801889	0.074356395
response to cadmium ion	0.065632225	48.87971553	0.206383588	2.456410637
spermatid differentiation	0.003544099	44.2001698	0.022408143	0.315175567
nitrogen compound metabolic process	0.372985421	18.77898243	1.491902757	41.88443825
response to testosterone	0.000322141	38.54291956	0.01461368	0.075643889
dephosphorylation	0.444036712	2.289385162	1.660334999	39.91280936
cell redox homeostasis	0.47924335	0.902887416	3.360821179	39.79995015
response to nicotine	0.000322141	36.83291772	0.000688892	0.038463515
cellular response to hormone stimulus	0.000322141	36.78806804	0.000688892	0.037815939
cellular oxidant detoxification	0.460869899	10.52453005	2.651924954	40.09564526
neuron differentiation	0.013615835	35.23084338	0.02160949	0.079362775
fin regeneration	0.006807328	35.28043755	0.037499071	0.230063889
midgut development	0.000322141	35.07248329	0.000688892	0.003337891
determination of left/right symmetry	0.003549807	35.08304301	0.014393345	0.077224091
embryonic viscerocranium morphogenesis	0.003549807	35.05655968	0.000688892	0.037815939
neural crest cell development	0.000322141	35.04117061	0.000688892	0.003337891
face development	0.000322141	35.03331842	0.000688892	0.003337891
positive regulation of cell population proliferation	0.020541238	35.12114289	0.021681651	0.234072782
determination of bilateral symmetry	0.000322141	35.02703272	0.000688892	0.003337891
ureter maturation	0.000322141	35.02703272	0.000688892	0.003337891
embryonic digestive tract development	0.000322141	35.02703272	0.000688892	0.003337891
regulation of endothelial cell proliferation	0.000322141	35.02703272	0.000688892	0.003337891
face morphogenesis	0.006895299	35.02839673	0.000688892	0.003337891
pancreas development	0.003549807	35.02703223	0.007576693	0.003337886
hindbrain morphogenesis	0.003549807	35.02000163	0.000688892	0.003337891
digestive tract morphogenesis	0.003549807	35.02000163	0.000688892	0.003337891
myelination in peripheral nervous system	0.003549807	35.02000163	0.000688892	0.003337891
pancreas field specification	0.003549807	35.02000163	0.000688892	0.003337891
forebrain development	0.00356624	35.03353638	0.007498547	0.038463515
neural tube development	0.000322141	35.02703269	0.000688892	0.037815939
embryonic limb morphogenesis	0.003549807	35.02703252	0.007443739	0.037815939
somitogenesis	0.003549807	35.02000158	0.000688892	0.037815939
pituitary gland development	0.013593421	35.02703251	0.007443739	0.080838714
pronephros development	0.035912719	35.02661733	0.051171581	0.04290078
pathogenesis	0.556721542	0.960957257	2.594114275	34.45251873
response to salt stress	0.051980394	33.36039649	0.167017896	1.179909773
NADPH regeneration	0.034348149	33.00857167	0.022178688	0.437102641
regulation of cellular response to drug	0.000322141	32.83439335	0.000688892	0.003337891
methylglyoxal metabolic process	0.006833161	32.72918147	0.000688892	0.243053723
acetaldehyde catabolic process	0.000322141	32.71257088	0.014312109	0.216853379
response to cold	0.034413267	32.55827539	0.082806799	1.038680402
response to hypoxia	0.020600365	31.9999873	0.071012855	0.277043694
protein folding	0.477789589	3.580555957	3.856422087	30.98268204
response to drug	0.063689494	24.20269562	0.227456441	3.290501591
pteridine-containing compound metabolic process	0.157704509	24.4966542	0.298065577	7.217128426
chromosome segregation	0.325402685	0.109996625	0.828213024	23.13115232
cobalamin biosynthetic process	0.283485584	0.224471733	0.909090807	22.05710506
nucleobase-containing compound metabolic process	0.348833833	0.280426422	1.047313773	20.7720254
cellular metabolic process	0.327062145	0.175115786	0.879660605	20.15432028
cell adhesion	1.397285688	0.643014384	2.754325751	20.48500054
protein metabolic process	0.318713086	0.209241289	1.369356386	18.11830682
response to bacterium	0.006853878	17.3850628	0.131826201	0.686435998
response to hormone	0.000328857	15.66578731	0.021716742	0.123127547
ribosome biogenesis	1.615151189	0.335496991	2.168834003	16.90850393
necroptotic process	0.000322141	15.33640619	0.000688892	0.038463515
protein catabolic process	0.30960253	3.689046753	1.06256371	16.30449423
lipid catabolic process	0.208847855	0.109996729	0.527040336	14.61774522
cardiovascular system development	0.000322141	14.03167677	0.000688892	0.003337891
circadian rhythm	0.006820519	14.06405621	0.045706792	0.12338365
response to light stimulus	0.010352109	14.10204985	0.063845531	0.276006232
aging	0.010098121	13.91650578	0.063510333	0.41332466
response to water deprivation	0.000328861	13.63605551	0.028469759	0.222851712
carbohydrate catabolic process	0.112273374	14.12789374	0.291740557	1.728309393
transposition	0.334029503	0.565032897	0.912097682	12.72290862
bacterial-type flagellum organization	0.202627393	0.053483126	0.398405909	12.26745202
cellular respiration	0.246641286	12.55483745	0.314917951	6.810832072
FtsZ-dependent cytokinesis	0.221800315	0.018233855	0.892654548	11.97911797
response to heat	0.256606043	0.918143499	1.285803624	11.80995505
tetrapyrrole biosynthetic process	0.18136347	0.035678339	0.756778289	11.26572581
polysaccharide biosynthetic process	0.237900143	0.035383402	0.55518124	10.3733156
organic substance metabolic process	0.164895296	0.054242722	0.633628108	9.27034074
polysaccharide catabolic process	0.295890167	2.128163419	0.810090315	9.436323708
carboxylic acid metabolic process	0.261850981	0.089873943	0.732206503	8.780707367
cellular response to oxidative stress	0.034080417	8.894603695	0.119952361	1.589322326
response to starvation	0.030851584	8.57504188	0.145629013	0.763526443
response to activity	0.000344676	8.298275757	0.014801889	0.038910393
response to nutrient	0.003553627	8.422858695	0.039187008	0.650645509
hemoglobin metabolic process	0.000344657	7.7236501	0.022258993	0.038463515
cell septum assembly	0.160416133	0.05378614	0.822038018	8.017065318
response to fatty acid	0.000344676	7.699163966	0.014750297	0.041049441
response to lead ion	0.000344676	7.687774471	0.021980248	0.037815939
response to light intensity	0.000344676	7.666996981	0.014862716	0.003337891
lipid biosynthetic process	0.190694047	0.092978993	0.555883581	7.923457602
response to inactivity	0.000344676	7.641215739	0.014750297	0.003337891
cellular response to growth factor stimulus	0.000344676	7.641215723	0.014750297	0.038910393
response to ozone	0.000344676	7.641215721	0.014836568	0.039253474
positive regulation of cell division	0.006860451	7.677690868	0.022656109	0.29158633
response to toxic substance	0.045052476	8.039887248	0.144349015	2.445291544
response to hydrogen peroxide	0.047653203	7.936146561	0.162559571	1.445147772
response to UV	0.027566136	7.648169151	0.140927305	0.680699385
response to radiation	0.067519799	7.846031667	0.229829425	3.61739693
regulation of gene expression	0.181703151	1.010016034	0.599827102	7.639826008
archaeal or bacterial-type flagellum-dependent cell motility	0.12855865	0.018233861	0.304626664	7.113924287
regulation of nitrogen utilization	0.118384167	0.035383597	0.218632642	6.787270616
cellular response to heat	0.237919428	1.464546344	0.867525392	7.081094857
antibiotic biosynthetic process	0.132803116	0.00160944	0.32667263	6.244630412
cellular aromatic compound metabolic process	0.150180879	0.001608564	0.420892747	5.770200191
nitrate metabolic process	0.082901531	0.035383727	0.254641225	5.517705269
cytolysis	0.092421696	0.00161015	0.367443568	5.45116423
cell communication	0.182375515	0.00161106	0.457245786	5.368057084
chromosome organization	0.191668379	0.018679825	0.288382969	5.263680486
removal of superoxide radicals	0.180587744	0.089870309	0.599937803	5.329704046
ribosomal small subunit biogenesis	0.170379191	3.261033125	0.432350745	5.338239053
hydrogen sulfide biosynthetic process	0.138613702	0.195804151	0.274448294	5.112502502
detection of chemical stimulus involved in sensory perception of smell	0.010115945	4.837809775	0.035842446	0.078671181
carbon fixation	0.412864979	1.200976074	0.956083729	5.531889542
sulfur compound metabolic process	0.099506827	0.018233808	0.22148917	4.439506185
post-embryonic development	0.016968557	4.336618314	0.079130134	0.180968278
protein unfolding	0.083735237	0.227068976	0.298284359	4.368815187
chaperone-mediated protein folding	0.086861053	0.326521147	0.255641046	4.205481432
vacuolar transport	0.000328861	4.004583244	0.007443739	0.080486123
conjugation	0.159652902	0.001611719	0.53246017	4.155678314
organophosphate ester transport	0.081229866	0.497773079	0.244177892	3.757392992
peptide metabolic process	0.100540635	0.071807425	0.489673849	3.600049294
response to differentiation-inducing factor 1	0.000322141	3.362835397	0.000688892	0.037815939
fructose 6-phosphate metabolic process	0.099608854	1.9120832	0.519182519	3.780997052
carbon utilization	0.085789509	0.0182338	0.313961864	3.379362908
poly-hydroxybutyrate biosynthetic process	0.112426411	0.018233855	0.228337801	3.353252024
cobalamin metabolic process	0.000328854	3.252323654	0.014840219	0.037815939
ion transmembrane transport	0.185690494	1.226175158	0.499416576	3.716330447
glucose 6-phosphate metabolic process	0.074625118	1.714146888	0.31187188	3.339910542
drug transport	0.063459434	0.493065011	0.199807627	3.192167782
quorum sensing	0.038426135	0.001619809	0.151777969	2.995604414
polysaccharide metabolic process	0.077524509	0.001610945	0.142709961	2.942162617
sporulation resulting in formation of a cellular spore	0.098302024	0.01823381	0.258474839	2.977118201
antibiotic catabolic process	0.067297868	0.0016155	0.196073466	2.859286158
lipid transport	0.082665057	1.168813707	0.223982121	3.051925811
multicellular organism development	0.132889569	3.06591161	0.286266918	0.789704924
unidirectional conjugation	0.142698427	0.018233844	0.308211299	2.809915103
cellular biosynthetic process	0.074985733	0.001610915	0.270786567	2.717349449
DNA mediated transformation	0.073458626	0.001616077	0.208973857	2.632021408
phospholipid metabolic process	0.079874784	1.28858458	0.333492262	2.848328855
cellular modified amino acid biosynthetic process	0.064109305	0.001614811	0.138300721	2.532914747
mannosylation	0.172533849	0.001608351	0.392810713	2.632309578
protein stabilization	0.062764265	0.359169513	0.215249952	2.572799793
response to methanol	0.000344659	2.360388628	0.022288258	0.003337891
organic acid metabolic process	0.057270725	0.001610966	0.367196133	2.433126466
cellular response to hypoxia	0.000322141	2.326033716	0.014468434	0.039532842
septum digestion after cytokinesis	0.068179992	0.001618585	0.259252758	2.385489083
cell adhesion involved in single-species biofilm formation	0.123062393	0.001608249	0.204396687	2.34696171
apoptotic process	0.112394241	2.358533241	0.086709857	0.452048857
spermatogenesis	0.006772652	2.201542825	0.01458235	0.307845929
homophilic cell adhesion via plasma membrane adhesion molecules	0.298587682	0.001605188	0.452171923	2.325137546
cellular lipid metabolic process	0.02034436	0.071208022	0.05311916	2.148735678
autolysis	0.067434972	0.001618631	0.237365997	2.144438413
NAD metabolic process	0.057414883	0.001611458	0.19762956	2.091969159
response to cytokinin	0.013499193	2.117825505	0.115067197	0.528258489
single-species biofilm formation	0.044989604	0.001617061	0.193193961	1.975399188
cellular response to drug	0.010097993	1.858825221	0.028722888	0.077269808
"pentose-phosphate shunt, non-oxidative branch"	0.085844502	0.517329185	0.237912416	2.026368564
viral process	0.091482757	1.846963245	0.224936448	1.441218351
oxygen transport	0.038509225	0.001624875	0.073526654	1.773743833
nitrogen utilization	0.050416014	0.001618815	0.126948951	1.790026869
aldehyde catabolic process	0.000322141	1.697489643	0.000688892	0.040317414
formaldehyde catabolic process	0.065719193	0.035678503	0.182028622	1.74967433
cellular response to cold	0.04620588	0.001627842	0.11627103	1.689742136
organic phosphonate metabolic process	0.027607878	0.001619785	0.037695636	1.652822793
humoral immune response	0.000322141	1.640931655	0.000688892	0.037815939
response to immobilization stress	0.000322141	1.622003898	0.000688892	0.037815939
response to muscle stretch	0.000322141	1.622003917	0.000688892	0.078610086
methylglyoxal biosynthetic process	0.010066953	1.712361787	0.036629244	0.643253786
thiamine transport	0.020613391	0.001628033	0.082285981	1.61675099
phosphate-containing compound metabolic process	0.035002007	0.001612553	0.130817417	1.616425414
lipid storage	0.006801808	1.623149238	0.022397425	0.295287298
macromolecule metabolic process	0.000322141	1.544460312	0.000688892	0.038463515
regulation of chemotaxis	0.038983397	0.035678596	0.103737202	1.543982694
cellular response to antibiotic	0.019639533	0.001629012	0.078459169	1.514232943
erythrocyte development	0.000322141	1.478843157	0.000688892	0.003337891
"fructose 1,6-bisphosphate metabolic process"	0.027405162	1.61431052	0.125130067	0.57556574
regulation of blood pressure	0.000322141	1.422976984	0.000688892	0.039532842
regulation of eclosion	0.000322141	1.41899385	0.007443739	0.039532842
female pregnancy	0.003544099	1.418392991	0.014312115	0.037815939
plasmid maintenance	0.034801075	1.430850928	0.122915646	1.101305028
toxin biosynthetic process	0.027397695	0.001615874	0.108703409	1.427538721
monosaccharide metabolic process	0.046109749	0.001621121	0.158350952	1.439368661
antigen processing and presentation of peptide antigen via MHC class I	0.000328856	1.360690478	0.007498547	0.003337891
hemolysis in other organism	0.016544861	0.00162149	0.126330983	1.400541352
immune system process	0.003544099	1.40141634	0.021769849	0.16165469
negative regulation of hydrolase activity	0.148309585	0.001615151	0.124506831	1.42114296
photosynthesis	0.255036574	0.091928266	0.53464915	1.526917476
antigen processing and presentation of endogenous peptide antigen via MHC class I	0.003568255	1.285773941	0.000688892	0.003337891
regulation of cell cycle	0.03414276	0.198676864	0.072101916	1.34653712
sulfate reduction	0.061057651	0.001615825	0.143921338	1.313834092
viral DNA genome replication	0.097193611	0.001615817	0.06469747	1.278787684
cell-cell signaling	0.003570744	1.25594274	0.014360697	0.126922099
response to stimulus	0.034418263	0.001619269	0.081695316	1.235752914
