feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0044271.cellular.nitrogen.compound.biosynthetic.process	case	Control_Sick	-0.00399765423819665	0.000550688005238723	141	137	3.50468489632291e-11	1.35631305487696e-08
GO.0003677.DNA.binding	case	Control_Sick	-0.00358362794676858	0.000548003514896492	141	136	1.1306061318472e-09	2.18772286512433e-07
GO.0043169.cation.binding	case	Control_Sick	0.00644792397646114	0.00103601898237509	141	136	5.53716921237505e-09	7.14294828396381e-07
GO.0046872.metal.ion.binding	case	Control_Sick	0.00633468027247613	0.00103585512524546	141	136	9.46391819038393e-09	9.15634084919645e-07
GO.0016740.transferase.activity	case	Community_acquired_pneumonia	0.0106691276821559	0.00174213278763705	141	135	1.30798739498316e-08	1.01238224371697e-06
GO.0018130.heterocycle.biosynthetic.process	case	Control_Sick	-0.00309343920768674	0.00052057942620922	141	135	2.56531781660584e-08	1.65462999171077e-06
GO.0034660.ncRNA.metabolic.process	case	Control_Healthy	0.00437467073789199	0.000713551656619359	141	133	4.55206039824765e-08	2.51663910588834e-06
GO.0140098.catalytic.activity..acting.on.RNA	case	Control_Healthy	0.00323171537971029	0.000529088500191051	141	134	6.41918029688238e-08	3.10527846861685e-06
GO.0043170.macromolecule.metabolic.process	case	Control_Healthy	0.00630131837208354	0.00105949273685178	141	136	1.69688700406758e-07	7.29661411749058e-06
GO.0019538.protein.metabolic.process	case	Control_Healthy	0.00170263321227161	0.000306910908658135	141	134	1.90182958593086e-07	7.32430052972548e-06
GO.0016070.RNA.metabolic.process	case	Control_Healthy	0.00461654008839421	0.000820848714469539	141	135	2.08184252782895e-07	7.32430052972548e-06
GO.0043168.anion.binding	case	Control_Healthy	0.00222506131109265	0.000443286403081793	141	137	1.95412388070139e-06	6.30204951526198e-05
GO.1901362.organic.cyclic.compound.biosynthetic.process	case	Control_Healthy	-0.0033643086543402	0.000684684883263199	141	138	5.25778239933759e-06	0.000156520137580281
GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	case	Community_acquired_pneumonia	0.00687289101659587	0.00146456224987589	141	133	7.43245269031814e-06	0.000205454227939509
GO.0065007.biological.regulation	case	Control_Healthy	0.00312679069038018	0.000688952682402899	141	134	1.54600535080938e-05	0.000398869380508819
GO.0050794.regulation.of.cellular.process	case	Control_Healthy	0.0026237615641409	0.000609920522630235	141	134	3.73791562412458e-05	0.000597170690361064
GO.0016051.carbohydrate.biosynthetic.process	case	Community_acquired_pneumonia	0.00251546432456462	0.000590009668577457	141	127	4.02044980350147e-05	0.000597170690361064
GO.0019438.aromatic.compound.biosynthetic.process	case	Control_Sick	-0.00252237855326702	0.000599010093003073	141	138	4.71569384528705e-05	0.000597170690361064
GO.0044260.cellular.macromolecule.metabolic.process	case	Control_Healthy	0.00307327137032628	0.00073021525213332	141	135	4.88794970641471e-05	0.000597170690361064
GO.0005976.polysaccharide.metabolic.process	case	Community_acquired_pneumonia	0.00250827426245965	0.000586481747874031	141	127	3.81600594543332e-05	0.000597170690361064
GO.0044264.cellular.polysaccharide.metabolic.process	case	Community_acquired_pneumonia	0.00250158479863531	0.000588660991523326	141	127	4.24265852243902e-05	0.000597170690361064
GO.0000271.polysaccharide.biosynthetic.process	case	Community_acquired_pneumonia	0.00250323470418983	0.000589905363896775	141	127	4.34473736269308e-05	0.000597170690361064
GO.0090304.nucleic.acid.metabolic.process	case	Control_Healthy	0.00426829740767083	0.00098821021514736	141	135	3.35982868196637e-05	0.000597170690361064
GO.0034637.cellular.carbohydrate.biosynthetic.process	case	Community_acquired_pneumonia	0.00250265276057631	0.000589823774277941	141	127	4.35189799717715e-05	0.000597170690361064
GO.0033692.cellular.polysaccharide.biosynthetic.process	case	Community_acquired_pneumonia	0.00250085425113444	0.000590295619056244	141	127	4.46176382507942e-05	0.000597170690361064
GO.0046379.extracellular.polysaccharide.metabolic.process	case	Community_acquired_pneumonia	0.00249416092022979	0.00059237752102038	141	127	4.93783694041102e-05	0.000597170690361064
GO.0045226.extracellular.polysaccharide.biosynthetic.process	case	Community_acquired_pneumonia	0.00249416011290885	0.000592377395895845	141	127	4.93784550169355e-05	0.000597170690361064
GO.0016491.oxidoreductase.activity	case	Control_Sick	-0.0032587005712914	0.000774034462078211	141	133	4.72406361395127e-05	0.000597170690361064
GO.0016829.lyase.activity	case	Control_Healthy	-0.00552709066487817	0.00128615226076005	141	135	4.34041016999236e-05	0.000597170690361064
GO.0016779.nucleotidyltransferase.activity	case	Community_acquired_pneumonia	0.00496577790616571	0.00115709898921978	141	130	3.64176349744643e-05	0.000597170690361064
GO.0016301.kinase.activity	case	Community_acquired_pneumonia	0.0019028479927338	0.000436205629923049	141	131	2.8678072943e-05	0.000597170690361064
GO.0008879.glucose.1.phosphate.thymidylyltransferase.activity	case	Community_acquired_pneumonia	0.00249937789747412	0.000592162451590536	141	126	4.74560304056035e-05	0.000597170690361064
GO.0050789.regulation.of.biological.process	case	Control_Healthy	0.00262002823963768	0.000622074387350701	141	134	5.26814357094654e-05	0.000599638694693033
GO.0016740.transferase.activity	case	Control_Healthy	0.00755333129413026	0.00179717817701638	141	135	5.16526211123806e-05	0.000599638694693033
GO.0044262.cellular.carbohydrate.metabolic.process	case	Community_acquired_pneumonia	0.00315206791801233	0.000769791731926701	141	127	7.72904274390302e-05	0.000854611297682991
GO.0071704.organic.substance.metabolic.process	case	Control_Sick	-0.00456402303828108	0.00114777565320323	141	138	0.000112764834448716	0.00119183701237237
GO.0034645.cellular.macromolecule.biosynthetic.process	case	Community_acquired_pneumonia	0.00224095976797552	0.00055888574351919	141	134	0.000113948241492966	0.00119183701237237
GO.0009987.cellular.process	case	Control_Healthy	0.00644096990843387	0.00164110072773896	141	138	0.000136963770448285	0.00139486787272332
GO.0009059.macromolecule.biosynthetic.process	case	Community_acquired_pneumonia	0.00218454698181722	0.000559929889542856	141	134	0.000168242446099116	0.00166948273436815
GO.0006793.phosphorus.metabolic.process	case	Community_acquired_pneumonia	0.00213048103494805	0.000551395928356298	141	133	0.000182088051714985	0.00172517734729555
GO.0044260.cellular.macromolecule.metabolic.process	case	Community_acquired_pneumonia	0.00269536872182169	0.000697575616752184	141	135	0.000182770726716066	0.00172517734729555
GO.0044281.small.molecule.metabolic.process	case	Control_Healthy	-0.00495625711530468	0.00128206140361591	141	137	0.000214348051103977	0.00197506418517236
GO.0006796.phosphate.containing.compound.metabolic.process	case	Community_acquired_pneumonia	0.00209691782995679	0.000550894038311178	141	133	0.000224116971729235	0.00201705274556311
GO.1901566.organonitrogen.compound.biosynthetic.process	case	Control_Healthy	-0.00347304714651889	0.00090326314704279	141	137	0.000233276049073057	0.0020517688861653
GO.0044283.small.molecule.biosynthetic.process	case	Control_Healthy	-0.00524989197246606	0.00137005191282804	141	135	0.000239010450118951	0.00205548987102298
GO.0019438.aromatic.compound.biosynthetic.process	case	Control_Healthy	-0.00231252249191812	0.000619562538089486	141	138	0.000281715291108786	0.00237008299258914
GO.0003676.nucleic.acid.binding	case	Community_acquired_pneumonia	-0.00305793601995198	0.00079427224949388	141	138	0.000295299021083524	0.00243150470551753
GO.0009987.cellular.process	case	Community_acquired_pneumonia	0.00565694407480291	0.00155778950062707	141	138	0.000401519883435078	0.00323725406019532
GO.0006082.organic.acid.metabolic.process	case	Community_acquired_pneumonia	-0.00520430651694321	0.00145525342174024	141	136	0.000491252017649515	0.003855820837809
GO.0006139.nucleobase.containing.compound.metabolic.process	case	Control_Healthy	0.00365412068587645	0.00102097202380397	141	136	0.000508131428238395	0.003855820837809
