feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0065008.regulation.of.biological.quality	case	Control_Healthy	0.000763441403935819	9.64380037313312e-05	141	127	1.35903271134314e-12	3.23313882028534e-09
GO.0044271.cellular.nitrogen.compound.biosynthetic.process	case	Control_Sick	-0.00399765423819665	0.000550688005238723	141	137	3.50468489632291e-11	2.1822342086645e-08
GO.0036211.protein.modification.process	case	Control_Healthy	0.000919840384637511	0.000127801985096627	141	129	3.66916218354687e-11	2.1822342086645e-08
GO.0006464.cellular.protein.modification.process	case	Control_Healthy	0.000919841315405027	0.000127800841233006	141	129	3.66776345944272e-11	2.1822342086645e-08
GO.0016741.transferase.activity..transferring.one.carbon.groups	case	Control_Healthy	0.00287602591068209	0.000392979508349167	141	133	4.66251551773861e-11	2.21842488334003e-08
GO.0000049.tRNA.binding	case	Control_Healthy	0.000635023446765219	9.08945853664435e-05	141	124	2.85643521845349e-10	1.13257656411681e-07
GO.0023051.regulation.of.signaling	case	Control_Healthy	0.000421628777480793	5.89841387515181e-05	141	123	3.85688189323248e-10	1.14694025300001e-07
GO.0010646.regulation.of.cell.communication	case	Control_Healthy	0.00042181145924392	5.89576560910087e-05	141	123	3.73869477251566e-10	1.14694025300001e-07
GO.0032259.methylation	case	Control_Healthy	0.00248759905349745	0.000363912969368302	141	133	7.06174558184031e-10	1.16461881064552e-07
GO.0042398.cellular.modified.amino.acid.biosynthetic.process	case	Control_Healthy	0.000404636513941885	6.46138757637793e-05	141	112	7.34311986535638e-10	1.16461881064552e-07
GO.0018193.peptidyl.amino.acid.modification	case	Control_Healthy	0.000375795287534228	5.59694729098204e-05	141	127	6.68101025649114e-10	1.16461881064552e-07
GO.0009451.RNA.modification	case	Control_Healthy	0.00172604155605647	0.000250675657402531	141	130	7.26334866835225e-10	1.16461881064552e-07
GO.0006468.protein.phosphorylation	case	Control_Healthy	0.000811918948270707	0.000121699079881765	141	129	5.87344278407431e-10	1.16461881064552e-07
GO.0004672.protein.kinase.activity	case	Control_Healthy	0.000825342722250103	0.000122766374554301	141	129	4.46759370397333e-10	1.16461881064552e-07
