feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0008152.metabolic.process	outcome	Survived	-0.00458384644646967	0.00337682554850152	39	37	0.185847073072017	0.692760775886813
GO.0051179.localization	outcome	Survived	0.00350044394418609	0.00201223187014681	39	33	0.0902462550062317	0.692760775886813
GO.0044237.cellular.metabolic.process	outcome	Survived	-0.00341780088625824	0.00259043021562433	39	37	0.198084397169374	0.692760775886813
GO.0071704.organic.substance.metabolic.process	outcome	Survived	-0.00368105428704558	0.00251300726671507	39	37	0.154465648874273	0.692760775886813
GO.0006807.nitrogen.compound.metabolic.process	outcome	Survived	-0.00292107461842535	0.00218461780398634	39	37	0.189349636625241	0.692760775886813
GO.0051234.establishment.of.localization	outcome	Survived	0.00349647871856327	0.00201198053171423	39	33	0.0905587480602473	0.692760775886813
GO.0009058.biosynthetic.process	outcome	Survived	-0.00435940084701123	0.00300504252358643	39	37	0.247410387411749	0.692760775886813
GO.0044281.small.molecule.metabolic.process	outcome	Survived	-0.00477380445276689	0.00278484219540521	39	36	0.0948569589365786	0.692760775886813
GO.0044283.small.molecule.biosynthetic.process	outcome	Survived	-0.00481032474544274	0.00300011822765287	39	34	0.120411098288836	0.692760775886813
GO.1901360.organic.cyclic.compound.metabolic.process	outcome	Survived	-0.00227572963382902	0.00121155489273069	39	37	0.0682300443219979	0.692760775886813
GO.0006082.organic.acid.metabolic.process	outcome	Survived	-0.00455327940362031	0.00310611619322927	39	35	0.154231394430486	0.692760775886813
GO.0006810.transport	outcome	Survived	0.00348106641715137	0.00201205348411656	39	33	0.0919458750347563	0.692760775886813
GO.0071941.nitrogen.cycle.metabolic.process	outcome	Survived	-0.00108759144395707	0.00102565467954845	39	29	0.29584149659888	0.692760775886813
GO.0044249.cellular.biosynthetic.process	outcome	Survived	-0.00407969931881871	0.00288236504731738	39	37	0.168260902264847	0.692760775886813
GO.0005975.carbohydrate.metabolic.process	outcome	Survived	-0.00129115362620825	0.00135288663702941	39	32	0.348372977421883	0.692760775886813
GO.1901564.organonitrogen.compound.metabolic.process	outcome	Survived	-0.00195322055737677	0.00169481514028423	39	37	0.25652054211818	0.692760775886813
GO.1901576.organic.substance.biosynthetic.process	outcome	Survived	-0.00394742955214244	0.00287662694496146	39	37	0.181160411406844	0.692760775886813
GO.1901362.organic.cyclic.compound.biosynthetic.process	outcome	Survived	-0.00219018142588328	0.00118859442823752	39	37	0.0763934095116591	0.692760775886813
GO.1901566.organonitrogen.compound.biosynthetic.process	outcome	Survived	-0.00246012779288742	0.00187721913720645	39	36	0.198097978197821	0.692760775886813
GO.0006811.ion.transport	outcome	Survived	0.00163739652398863	0.00143892940384714	39	30	0.26246610990183	0.692760775886813
GO.0043436.oxoacid.metabolic.process	outcome	Survived	-0.00454821530393345	0.00311250385643233	39	35	0.155491203539828	0.692760775886813
GO.0009399.nitrogen.fixation	outcome	Survived	-0.00109328177684525	0.00102778860730646	39	28	0.29434770555587	0.692760775886813
GO.0055085.transmembrane.transport	outcome	Survived	0.00211367618858252	0.00141957671701581	39	33	0.144975940806168	0.692760775886813
GO.0016053.organic.acid.biosynthetic.process	outcome	Survived	-0.00356780605576147	0.0032365323551048	39	34	0.279965179479592	0.692760775886813
GO.0019752.carboxylic.acid.metabolic.process	outcome	Survived	-0.00457315293077521	0.00311582350980126	39	35	0.153744382533278	0.692760775886813
GO.0006812.cation.transport	outcome	Survived	0.00108172620863535	0.000845671034922911	39	30	0.208814204049677	0.692760775886813
GO.0046939.nucleotide.phosphorylation	outcome	Survived	-0.000557297592342157	0.000603902518938879	39	27	0.364159731700092	0.692760775886813
GO.0015672.monovalent.inorganic.cation.transport	outcome	Survived	0.0012626834348722	0.000775270159870013	39	28	0.136922744999933	0.692760775886813
GO.0046394.carboxylic.acid.biosynthetic.process	outcome	Survived	-0.00356871116754574	0.0032374623963828	39	34	0.2799808761686	0.692760775886813
GO.0006520.cellular.amino.acid.metabolic.process	outcome	Survived	-0.00239589967655723	0.00204327599014068	39	35	0.251172356171306	0.692760775886813
GO.0016070.RNA.metabolic.process	outcome	Survived	-0.00111119029599553	0.0010636203592534	39	35	0.330838838714447	0.692760775886813
GO.0043648.dicarboxylic.acid.metabolic.process	outcome	Survived	-0.00115757200172278	0.0011147680587641	39	32	0.308216012261026	0.692760775886813
GO.0009072.aromatic.amino.acid.family.metabolic.process	outcome	Survived	-0.00117281489223724	0.00111891131457072	39	32	0.303770164743174	0.692760775886813
GO.0008652.cellular.amino.acid.biosynthetic.process	outcome	Survived	-0.00225278592369544	0.00214499702731898	39	33	0.302840786069646	0.692760775886813
GO.0043650.dicarboxylic.acid.biosynthetic.process	outcome	Survived	-0.00123276481326378	0.00113171407953909	39	32	0.285574359360058	0.692760775886813
GO.0009132.nucleoside.diphosphate.metabolic.process	outcome	Survived	-0.000561643227571783	0.00061595629188692	39	27	0.369819662315517	0.692760775886813
GO.0046417.chorismate.metabolic.process	outcome	Survived	-0.00128755278102188	0.00113440523763589	39	32	0.266274701314063	0.692760775886813
GO.0006165.nucleoside.diphosphate.phosphorylation	outcome	Survived	-0.000557297592342157	0.000603902518938879	39	27	0.364159731700092	0.692760775886813
GO.0009135.purine.nucleoside.diphosphate.metabolic.process	outcome	Survived	-0.000565375333378573	0.000616074787779379	39	27	0.366785647339357	0.692760775886813
GO.0009423.chorismate.biosynthetic.process	outcome	Survived	-0.00128500558219362	0.00113586008608938	39	32	0.267799351690414	0.692760775886813
GO.0009073.aromatic.amino.acid.family.biosynthetic.process	outcome	Survived	-0.00121105027700202	0.00112786605459626	39	32	0.292356559263905	0.692760775886813
GO.0009185.ribonucleoside.diphosphate.metabolic.process	outcome	Survived	-0.000564898466086444	0.000616081188708998	39	27	0.367188793846121	0.692760775886813
GO.0009179.purine.ribonucleoside.diphosphate.metabolic.process	outcome	Survived	-0.000565375333378573	0.000616074787779379	39	27	0.366785647339357	0.692760775886813
GO.0046031.ADP.metabolic.process	outcome	Survived	-0.000557114093107943	0.000604016914498965	39	27	0.364404686011234	0.692760775886813
GO.0006757.ATP.generation.from.ADP	outcome	Survived	-0.000557118698828294	0.00060401690245455	39	27	0.364400771258133	0.692760775886813
GO.0006096.glycolytic.process	outcome	Survived	-0.000557118698828294	0.00060401690245455	39	27	0.364400771258133	0.692760775886813
GO.0005215.transporter.activity	outcome	Survived	0.00161997465976125	0.000976371192389478	39	33	0.105534045070495	0.692760775886813
GO.0005488.binding	outcome	Survived	-0.00401410829299393	0.00346807130047351	39	37	0.260938917776962	0.692760775886813
GO.0043167.ion.binding	outcome	Survived	-0.00183372529175063	0.00150296092126461	39	37	0.237205278476569	0.692760775886813
GO.0051540.metal.cluster.binding	outcome	Survived	-0.00205159450247158	0.00201315925111889	39	31	0.314776907336622	0.692760775886813
GO.0022857.transmembrane.transporter.activity	outcome	Survived	0.00147167782218013	0.00097422493818927	39	33	0.139380831756089	0.692760775886813
GO.0016829.lyase.activity	outcome	Survived	-0.00420031953449247	0.0027931511132133	39	34	0.164853148194049	0.692760775886813
GO.0022803.passive.transmembrane.transporter.activity	outcome	Survived	0.0015919576974108	0.00107513254925158	39	27	0.161723572259334	0.692760775886813
GO.0016835.carbon.oxygen.lyase.activity	outcome	Survived	-0.00110506565710267	0.00111734418928695	39	32	0.331355227122927	0.692760775886813
GO.0015318.inorganic.molecular.entity.transmembrane.transporter.activity	outcome	Survived	0.000749636430265937	0.000641903170251943	39	27	0.253023874828187	0.692760775886813
GO.0016788.hydrolase.activity..acting.on.ester.bonds	outcome	Survived	0.00148819907753582	0.00122509445392138	39	33	0.244178139978285	0.692760775886813
GO.0017171.serine.hydrolase.activity	outcome	Survived	0.00929534063953509	0.00634999335951331	39	27	0.165197019447834	0.692760775886813
GO.0051536.iron.sulfur.cluster.binding	outcome	Survived	-0.00192274508614906	0.00202167907088282	39	30	0.347743821722763	0.692760775886813
GO.0043169.cation.binding	outcome	Survived	-0.00179760254244819	0.00128894253619002	39	35	0.174469239767344	0.692760775886813
GO.0015075.ion.transmembrane.transporter.activity	outcome	Survived	0.000709051709365437	0.000645801248936923	39	28	0.281868780864885	0.692760775886813
GO.0004518.nuclease.activity	outcome	Survived	0.00171837024508057	0.00126179379155306	39	31	0.187939938210082	0.692760775886813
