feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0001302.obsolete.replicative.cell.aging	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	37	2.0120688226287e-08	1.47431947658091e-07
GO.0048511.rhythmic.process	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	76	2.0120688226287e-08	1.47431947658091e-07
GO.0023052.signaling	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	88	2.0120688226287e-08	1.47431947658091e-07
GO.0007610.behavior	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	80	2.0120688226287e-08	1.47431947658091e-07
GO.0040007.growth	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	69	2.0120688226287e-08	1.47431947658091e-07
GO.0008340.determination.of.adult.lifespan	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	62	2.0120688226287e-08	1.47431947658091e-07
GO.0009791.post.embryonic.development	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	67	2.0120688226287e-08	1.47431947658091e-07
GO.0008037.cell.recognition	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	82	2.0120688226287e-08	1.47431947658091e-07
GO.0043335.protein.unfolding	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	61	2.0120688226287e-08	1.47431947658091e-07
GO.0000920.septum.digestion.after.cytokinesis	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	42	2.0120688226287e-08	1.47431947658091e-07
GO.0003006.developmental.process.involved.in.reproduction	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	87	2.0120688226287e-08	1.47431947658091e-07
GO.0007568.aging	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	72	2.0120688226287e-08	1.47431947658091e-07
GO.0001906.cell.killing	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	41	2.0120688226287e-08	1.47431947658091e-07
GO.0014854.response.to.inactivity	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	40	2.0120688226287e-08	1.47431947658091e-07
GO.0009847.spore.germination	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	35	2.0120688226287e-08	1.47431947658091e-07
GO.0001775.cell.activation	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	59	2.0120688226287e-08	1.47431947658091e-07
GO.0002252.immune.effector.process	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	105	2.0120688226287e-08	1.47431947658091e-07
GO.0021700.developmental.maturation	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	51	2.0120688226287e-08	1.47431947658091e-07
GO.0008283.cell.population.proliferation	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	34	2.0120688226287e-08	1.47431947658091e-07
GO.0022412.cellular.process.involved.in.reproduction.in.multicellular.organism	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	72	2.0120688226287e-08	1.47431947658091e-07
GO.0007631.feeding.behavior	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	51	2.0120688226287e-08	1.47431947658091e-07
GO.0048589.developmental.growth	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	58	2.0120688226287e-08	1.47431947658091e-07
GO.0044110.growth.involved.in.symbiotic.interaction	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	7	2.0120688226287e-08	1.47431947658091e-07
GO.0007638.mechanosensory.behavior	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	7	2.0120688226287e-08	1.47431947658091e-07
GO.0030029.actin.filament.based.process	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	66	2.0120688226287e-08	1.47431947658091e-07
GO.0006276.plasmid.maintenance	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	69	2.0120688226287e-08	1.47431947658091e-07
GO.0014823.response.to.activity	case	Community_acquired_pneumonia	2.52904550975459e+31	4.17074761310761e+30	141	51	2.0120688226287e-08	1.47431947658091e-07
