"namespace"	"depth"	"name"
"GO:0008150"	"biological_process"	" 0"	"biological_process"
"GO:0040011"	"biological_process"	" 1"	"locomotion"
"GO:0019740"	"biological_process"	" 1"	"nitrogen utilization"
"GO:0006791"	"biological_process"	" 1"	"sulfur utilization"
"GO:0008152"	"biological_process"	" 1"	"metabolic process"
"GO:0002376"	"biological_process"	" 1"	"immune system process"
"GO:0023052"	"biological_process"	" 1"	"signaling"
"GO:0009758"	"biological_process"	" 1"	"carbohydrate utilization"
"GO:0015976"	"biological_process"	" 1"	"carbon utilization"
"GO:0050896"	"biological_process"	" 1"	"response to stimulus"
"GO:0043473"	"biological_process"	" 1"	"pigmentation"
"GO:0000003"	"biological_process"	" 1"	"reproduction"
"GO:0048511"	"biological_process"	" 1"	"rhythmic process"
"GO:0007610"	"biological_process"	" 1"	"behavior"
"GO:0032502"	"biological_process"	" 1"	"developmental process"
"GO:0044419"	"biological_process"	" 1"	"interspecies interaction between organisms"
"GO:0022414"	"biological_process"	" 1"	"reproductive process"
"GO:0009845"	"biological_process"	" 2"	"seed germination"
"GO:0007566"	"biological_process"	" 2"	"embryo implantation"
"GO:0007635"	"biological_process"	" 2"	"chemosensory behavior"
"GO:0045494"	"biological_process"	" 2"	"photoreceptor cell maintenance"
"GO:0006807"	"biological_process"	" 2"	"nitrogen compound metabolic process"
"GO:0010118"	"biological_process"	" 2"	"stomatal movement"
"GO:0019748"	"biological_process"	" 2"	"secondary metabolic process"
"GO:1990748"	"biological_process"	" 2"	"cellular detoxification"
"GO:0043934"	"biological_process"	" 2"	"sporulation"
"GO:0044403"	"biological_process"	" 2"	"symbiotic process"
"GO:0007622"	"biological_process"	" 2"	"rhythmic behavior"
"GO:0007155"	"biological_process"	" 2"	"cell adhesion"
"GO:0051606"	"biological_process"	" 2"	"detection of stimulus"
"GO:0016049"	"biological_process"	" 2"	"cell growth"
"GO:0007638"	"biological_process"	" 2"	"mechanosensory behavior"
"GO:0007623"	"biological_process"	" 2"	"circadian rhythm"
"GO:0032963"	"biological_process"	" 2"	"collagen metabolic process"
"GO:0051301"	"biological_process"	" 2"	"cell division"
"GO:0009653"	"biological_process"	" 2"	"anatomical structure morphogenesis"
"GO:0007154"	"biological_process"	" 2"	"cell communication"
"GO:0044237"	"biological_process"	" 2"	"cellular metabolic process"
"GO:0032504"	"biological_process"	" 2"	"multicellular organism reproduction"
"GO:0016037"	"biological_process"	" 2"	"light absorption"
"GO:0008283"	"biological_process"	" 2"	"cell population proliferation"
"GO:0098743"	"biological_process"	" 2"	"cell aggregation"
"GO:0007624"	"biological_process"	" 2"	"ultradian rhythm"
"GO:0007585"	"biological_process"	" 2"	"respiratory gaseous exchange by respiratory system"
"GO:0055114"	"biological_process"	" 2"	"oxidation-reduction process"
"GO:0030431"	"biological_process"	" 2"	"sleep"
"GO:0009058"	"biological_process"	" 2"	"biosynthetic process"
"GO:0007568"	"biological_process"	" 2"	"aging"
"GO:0051775"	"biological_process"	" 2"	"response to redox state"
"GO:0009847"	"biological_process"	" 2"	"spore germination"
"GO:0050817"	"biological_process"	" 2"	"coagulation"
"GO:0014823"	"biological_process"	" 2"	"response to activity"
"GO:0006734"	"biological_process"	" 2"	"NADH metabolic process"
"GO:0007626"	"biological_process"	" 2"	"locomotory behavior"
"GO:0071722"	"biological_process"	" 2"	"detoxification of arsenic-containing substance"
"GO:0001503"	"biological_process"	" 2"	"ossification"
"GO:0007389"	"biological_process"	" 2"	"pattern specification process"
"GO:0007059"	"biological_process"	" 2"	"chromosome segregation"
"GO:0048771"	"biological_process"	" 2"	"tissue remodeling"
"GO:0071704"	"biological_process"	" 2"	"organic substance metabolic process"
"GO:0044238"	"biological_process"	" 2"	"primary metabolic process"
"GO:0006457"	"biological_process"	" 2"	"protein folding"
"GO:0030029"	"biological_process"	" 2"	"actin filament-based process"
"GO:0032196"	"biological_process"	" 2"	"transposition"
"GO:0014854"	"biological_process"	" 2"	"response to inactivity"
"GO:0009846"	"biological_process"	" 2"	"pollen germination"
"GO:0048856"	"biological_process"	" 2"	"anatomical structure development"
"GO:0006739"	"biological_process"	" 2"	"NADP metabolic process"
"GO:0008219"	"biological_process"	" 2"	"cell death"
"GO:0016203"	"biological_process"	" 2"	"muscle attachment"
"GO:0035176"	"biological_process"	" 2"	"social behavior"
"GO:0009405"	"biological_process"	" 2"	"pathogenesis"
"GO:0010127"	"biological_process"	" 2"	"mycothiol-dependent detoxification"
"GO:0043335"	"biological_process"	" 2"	"protein unfolding"
"GO:0007017"	"biological_process"	" 2"	"microtubule-based process"
"GO:0008340"	"biological_process"	" 2"	"determination of adult lifespan"
"GO:0019882"	"biological_process"	" 2"	"antigen processing and presentation"
"GO:0009791"	"biological_process"	" 2"	"post-embryonic development"
"GO:0019674"	"biological_process"	" 2"	"NAD metabolic process"
"GO:0044281"	"biological_process"	" 2"	"small molecule metabolic process"
"GO:0006955"	"biological_process"	" 2"	"immune response"
"GO:0048066"	"biological_process"	" 2"	"developmental pigmentation"
"GO:0030447"	"biological_process"	" 2"	"filamentous growth"
"GO:0044764"	"biological_process"	" 2"	"multi-organism cellular process"
"GO:0070988"	"biological_process"	" 2"	"demethylation"
"GO:0010073"	"biological_process"	" 2"	"meristem maintenance"
"GO:0046034"	"biological_process"	" 2"	"ATP metabolic process"
"GO:0007340"	"biological_process"	" 2"	"acrosome reaction"
"GO:0000920"	"biological_process"	" 2"	"septum digestion after cytokinesis"
"GO:0048589"	"biological_process"	" 2"	"developmental growth"
"GO:0060384"	"biological_process"	" 2"	"innervation"
"GO:0007163"	"biological_process"	" 2"	"establishment or maintenance of cell polarity"
"GO:0010312"	"biological_process"	" 2"	"detoxification of zinc ion"
"GO:0032259"	"biological_process"	" 2"	"methylation"
"GO:0007049"	"biological_process"	" 2"	"cell cycle"
"GO:0022611"	"biological_process"	" 2"	"dormancy process"
"GO:0097194"	"biological_process"	" 2"	"execution phase of apoptosis"
"GO:0036268"	"biological_process"	" 2"	"swimming"
"GO:0006276"	"biological_process"	" 2"	"plasmid maintenance"
"GO:0035640"	"biological_process"	" 2"	"exploration behavior"
"GO:0019954"	"biological_process"	" 2"	"asexual reproduction"
"GO:0030534"	"biological_process"	" 2"	"adult behavior"
"GO:0009056"	"biological_process"	" 2"	"catabolic process"
"GO:0019835"	"biological_process"	" 2"	"cytolysis"
"GO:0060135"	"biological_process"	" 3"	"maternal process involved in female pregnancy"
"GO:0035878"	"biological_process"	" 3"	"nail development"
"GO:0001825"	"biological_process"	" 3"	"blastocyst formation"
"GO:0010273"	"biological_process"	" 3"	"detoxification of copper ion"
"GO:0010842"	"biological_process"	" 3"	"retina layer formation"
"GO:0042335"	"biological_process"	" 3"	"cuticle development"
"GO:0008104"	"biological_process"	" 3"	"protein localization"
"GO:0021575"	"biological_process"	" 3"	"hindbrain morphogenesis"
"GO:0048598"	"biological_process"	" 3"	"embryonic morphogenesis"
"GO:0010035"	"biological_process"	" 3"	"response to inorganic substance"
"GO:0060465"	"biological_process"	" 3"	"pharynx development"
"GO:0009798"	"biological_process"	" 3"	"axis specification"
"GO:0048855"	"biological_process"	" 3"	"adenohypophysis morphogenesis"
"GO:0061077"	"biological_process"	" 3"	"chaperone-mediated protein folding"
"GO:0021987"	"biological_process"	" 3"	"cerebral cortex development"
"GO:0030917"	"biological_process"	" 3"	"midbrain-hindbrain boundary development"
"GO:0051191"	"biological_process"	" 3"	"prosthetic group biosynthetic process"
"GO:0048512"	"biological_process"	" 3"	"circadian behavior"
"GO:0061635"	"biological_process"	" 3"	"regulation of protein complex stability"
"GO:0001525"	"biological_process"	" 3"	"angiogenesis"
"GO:0060041"	"biological_process"	" 3"	"retina development in camera-type eye"
"GO:0016334"	"biological_process"	" 3"	"establishment or maintenance of polarity of follicular epithelium"
"GO:0035910"	"biological_process"	" 3"	"ascending aorta morphogenesis"
"GO:0009404"	"biological_process"	" 3"	"toxin metabolic process"
"GO:0060325"	"biological_process"	" 3"	"face morphogenesis"
"GO:0044248"	"biological_process"	" 3"	"cellular catabolic process"
"GO:0051321"	"biological_process"	" 3"	"meiotic cell cycle"
"GO:0006116"	"biological_process"	" 3"	"NADH oxidation"
"GO:0051409"	"biological_process"	" 3"	"response to nitrosative stress"
"GO:0003014"	"biological_process"	" 3"	"renal system process"
"GO:0050877"	"biological_process"	" 3"	"nervous system process"
"GO:0015979"	"biological_process"	" 3"	"photosynthesis"
"GO:0051649"	"biological_process"	" 3"	"establishment of localization in cell"
"GO:0006952"	"biological_process"	" 3"	"defense response"
