feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0016740.transferase.activity	case	Community_acquired_pneumonia	0.0106335149991542	0.00183363899951098	102	71	1.20867119975675e-07	7.73549567844318e-06
GO.0043170.macromolecule.metabolic.process	case	Control_Healthy	0.0067341264650225	0.00122622890508945	102	42	6.00654203154088e-07	1.92209345009308e-05
GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	case	Community_acquired_pneumonia	0.00722393425209743	0.00149041552208011	102	13	6.68950997847127e-06	0.000142709546207387
GO.0016779.nucleotidyltransferase.activity	case	Community_acquired_pneumonia	0.0052608523970289	0.00111878393215285	102	6	1.32888203884936e-05	0.000212621126215897
GO.0016740.transferase.activity	case	Control_Healthy	0.00843786870031078	0.00182944242174915	102	71	1.75675031097555e-05	0.00022486403980487
GO.0016070.RNA.metabolic.process	case	Control_Healthy	0.00460715429137296	0.00103903097790162	102	4	9.1890903207057e-05	0.000980169634208608
GO.0044260.cellular.macromolecule.metabolic.process	case	Control_Healthy	0.00323119760589484	0.000793901451326956	102	0	0.000113405757154332	0.00103685263683961
GO.0009987.cellular.process	case	Control_Healthy	0.00605547424039603	0.0015297211243358	102	99	0.000196787807347519	0.00157430245878015
GO.0016829.lyase.activity	case	Control_Healthy	-0.00506178027312664	0.00129786949703325	102	12	0.000249446571006454	0.00177384228271256
GO.0090304.nucleic.acid.metabolic.process	case	Control_Healthy	0.00385585499386021	0.00104067818739735	102	8	0.000348121054282421	0.0022279747474075
GO.1901566.organonitrogen.compound.biosynthetic.process	case	Control_Healthy	-0.00334242320283552	0.000945073309323585	102	5	0.00075667801593854	0.0044024902745515
GO.0044281.small.molecule.metabolic.process	case	Control_Healthy	-0.0048388698261728	0.00141240152981897	102	10	0.00105127409564733	0.00560679517678573
GO.0044260.cellular.macromolecule.metabolic.process	case	Community_acquired_pneumonia	0.00265150401957315	0.000792695096624662	102	0	0.00116463668494068	0.00573359598740026
GO.0009987.cellular.process	case	Community_acquired_pneumonia	0.00499832966759423	0.0015842573479119	102	99	0.00218486179428116	0.00998793963099961
GO.0043170.macromolecule.metabolic.process	case	Community_acquired_pneumonia	0.00365639468376208	0.00122955023723105	102	42	0.00370034505224369	0.0157881388895731
GO.0044238.primary.metabolic.process	case	Control_Healthy	0.00302331431451994	0.00104403110115311	102	92	0.00520536575063579	0.0207725738003046
GO.0044249.cellular.biosynthetic.process	case	Control_Healthy	-0.00408119031681344	0.00144583139103344	102	17	0.00580541760288205	0.0207725738003046
GO.1901576.organic.substance.biosynthetic.process	case	Control_Healthy	-0.00406404925533306	0.0014408908115027	102	17	0.00584228638133566	0.0207725738003046
GO.0006139.nucleobase.containing.compound.metabolic.process	case	Control_Healthy	0.00311080905835572	0.00114934663966555	102	14	0.00810378503789295	0.0272969601276394
GO.0034641.cellular.nitrogen.compound.metabolic.process	case	Control_Healthy	0.0029496395730723	0.00111311492322706	102	34	0.00944597431234092	0.0302271177994909
GO.0006807.nitrogen.compound.metabolic.process	case	Community_acquired_pneumonia	-0.00333502144018585	0.00138679703686002	102	85	0.0185689884492224	0.0565912028928684
GO.1901564.organonitrogen.compound.metabolic.process	case	Control_Healthy	-0.00215775716289602	0.000900518320852822	102	7	0.0208109115153687	0.0605408334992544
GO.0046483.heterocycle.metabolic.process	case	Control_Healthy	0.00237270886010121	0.00103562900345749	102	21	0.0241904804676722	0.0673126413013487
GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	case	Control_Healthy	0.00341237127624301	0.00149473557983694	102	13	0.0256789570951195	0.0684772189203188
GO.0044281.small.molecule.metabolic.process	case	Community_acquired_pneumonia	-0.00320741640044913	0.00146220893364427	102	10	0.0308009790413274	0.0788505063457982
GO.0016070.RNA.metabolic.process	case	Community_acquired_pneumonia	0.00200824320218158	0.00107390298802827	102	4	0.0652877363687333	0.154756115836997
GO.0016779.nucleotidyltransferase.activity	case	Control_Healthy	0.00209867319003121	0.00111000172409913	102	6	0.063875824963247	0.154756115836997
GO.0008152.metabolic.process	case	Control_Healthy	0.00268252215393659	0.00153258855545705	102	100	0.0832905781062567	0.190378464242873
GO.0009058.biosynthetic.process	case	Control_Healthy	-0.00263593251633549	0.0016504476964495	102	40	0.113646644884679	0.231876144959873
