"V1"	"V2"	"V3"	"V4"	"V5"
"phenylalanine transport"	0.067728705496096	0.00151843849022341	0.00820534257666574	0.481610724115445	0.16241843545864
"pyrimidine deoxyribonucleoside triphosphate biosynthetic process"	0.230263688768279	0.0169712384886008	0.178170805872034	3.53032621952675	0.162421244316751
"protein targeting to chloroplast"	0.0263087390059139	0.032858884214771	0.00810924560043124	0.192311388328594	0.162416683488203
"cytochrome c-heme linkage via heme-L-cysteine"	0.0163306309340064	0.00151843456546403	0.000725561406145307	0.119353078974911	0.162416864712614
"FMN biosynthetic process"	0.12360953350675	0.00151840053043636	0.0863362827885797	1.67640706126083	0.162418700283626
"pyrimidine ribonucleotide biosynthetic process"	1.2216417436297	0.186092817751545	1.10657349467129	22.235306673212	0.162422642462096
"7-methylguanosine mRNA capping"	0.015895559496759	0.0170996634612583	0.000725463689129982	0.107911477450383	0.162416842486948
"regulation of translation initiation in response to endoplasmic reticulum stress"	0.0107914623257368	0.00151768267109864	0.00813912347466834	0.00219052633454141	0.16241668905809
"mitochondrial calcium ion homeostasis"	0.000507631753828223	0.0492336841704398	0.00072504639655476	0.0772529567559283	0.162416680749912
"2'-deoxyribonucleotide biosynthetic process"	0.325151878757053	0.281564719631167	0.394339145898969	7.69062092290511	0.162421797607769
"regulation of translational initiation by eIF2 alpha phosphorylation"	0.0107914623257365	0.00151768395796475	0.00813912347438569	0.0262185375266543	0.162416689123951
"purine deoxyribonucleotide metabolic process"	0.049193852270243	0.0506255310221603	0.0772957591288176	0.700537619525217	0.162417900454277
"bacterial transcription"	0.0476259020162005	0.0015184131652343	0.0159134717316625	0.126528086061523	0.162416968597425
"methionine biosynthetic process"	1.09147054327167	0.415848276186505	0.780761691897084	25.3182072521861	0.162422415929058
"ubiquitin-dependent protein catabolic process via the N-end rule pathway"	0.0664285506608443	0.00151841993638103	0.0564452486841535	0.696489015677654	0.162418322895147
"zymogen inhibition"	0.000507631753890436	0.0014377896532024	0.0157741604176691	0.0255010262775051	0.162416676012533
"negative regulation of peptidyl-serine phosphorylation"	0.00559537255841323	0.0015184001529587	0.000725559926852882	0.00219052633446445	0.162417825014269
"UDP metabolic process"	0.0259852104993376	0.00151840180212967	0.00810924505815551	0.169545991027574	0.162417780215236
"ERK1 and ERK2 cascade"	0.00564232814215849	0.0328586820880524	0.000725180780077244	0.00219052633447747	0.162416678888888
"modulation by virus of host protein serine/threonine phosphatase activity"	0.000507631753908044	0.00143592807576935	0.0081743197579185	0.026162036728261	0.162416676260726
"N-terminal peptidyl-serine acetylation"	0.00441514364178568	0.001517233326387	0.000725100373485512	0.221227577674813	0.162416702049984
"malonic acid transmembrane transport"	0.000507631701772045	0.0015172683126628	0.000725096429399047	0.174512132217842	0.162416695595068
"proline transport"	0.064115607318875	0.0015184074584838	0.0320367862824599	0.959940030578654	0.162417115925288
"intra-S DNA damage checkpoint"	0.0559349223527434	0.0015184092998089	0.142500588617311	0.16158341451636	0.162416929613728
"UMP metabolic process"	0.682148268220228	0.0853046790323421	0.70175431973996	14.2993030475548	0.162421496033398
"D-alanine family amino acid metabolic process"	0.216748051378361	0.00151840276237502	0.212192776265484	3.90145342981623	0.162418468361292
"cysteine catabolic process"	0.00440695046970539	0.00151725105756454	0.0081092456411273	0.254144394620032	0.162416724321749
"GDP metabolic process"	0.147946313702776	0.0171869031638578	0.128327345217543	1.55973130482485	0.162418857578046
"cAMP metabolic process"	0.126838298160709	0.00151839993762913	0.106936559998529	1.72412317621965	0.162418692512689
"positive regulation of histone phosphorylation"	0.00558337703021079	0.00154148288526142	0.000725038629275885	0.025023139279448	0.162416690726424
"histidine transport"	0.0166434774088656	0.00151840017601119	0.0007255095039871	0.125974664868827	0.162416930682759
"purine ribonucleoside diphosphate biosynthetic process"	0.00556234491980036	0.0169700602452417	0.000725059109848915	0.075847373352328	0.162416714499368
"tRNA 3'-trailer cleavage, endonucleolytic"	0.085605185411612	0.00151841259145908	0.0320539116059104	0.534463783373627	0.162419600311794
"methionine transport"	0.164736427297321	0.203332232826298	0.0904013786951093	2.41404395505028	0.16241885044511
"neurotransmitter receptor transport, endosome to plasma membrane"	0.000507631753889595	0.00152756746496767	0.00810924564586133	0.026162036728261	0.162416732353922
"leucine transport"	0.0430269470038806	0.00151843795203828	0.000724822979898515	0.46114943155853	0.162418148522784
"D-glucuronate catabolic process"	0.0498751165659993	0.0169709264541126	0.024160891493137	0.214305894046269	0.162416846177682
"mitotic G2/M transition checkpoint"	0.0394701040442096	0.00151842376063157	0.00072539926752967	0.0253072436913474	0.162418320385374
"snRNA export from nucleus"	0.010724543912272	0.00151822465495752	0.0232782368653901	0.00219052633452058	0.162416688214092
"tetrapyrrole biosynthetic process from glutamate"	0.0161035023616714	0.0169713402027766	0.000725527443933331	0.265559473510442	0.162418013709088
"asparagine biosynthetic process"	0.360013809493532	0.127182431714898	0.519626470046047	4.41671838890933	0.162421847442656
