"V1"	"V2"	"V3"	"V4"	"V5"
"GO:0034220-ion transmembrane transport"	3.04460352514493	122.030635455658	0.957559576912459	63.5317574713064	60.3885064752139
"GO:0051604-protein maturation"	0.47572090262262	1.94088745122906	0.209822491316382	4.17626303335589	3.86425019967466
"GO:0042215-anaerobic phenol-containing compound metabolic process"	0.000274619670938286	0.000971647773909644	0.00105662862179306	0.0030757059252832	0.173733719137713
"GO:0034340-response to type I interferon"	0.000274142933980593	0.000971628809647215	0.00105662862830373	0.00307575761139953	0.146290902512533
"GO:0071514-genetic imprinting"	0.00268726232155521	0.000992759598058631	0.0010566272270498	0.0356966904726916	0.146290898567231
"GO:0051621-regulation of norepinephrine uptake"	0.000274268294917585	0.000969815729742003	0.00105662855315871	0.0351383812818293	0.0118713671030067
"GO:0044264-cellular polysaccharide metabolic process"	18.8343382262325	48.5606620458414	0.516616785667502	27.6472574075668	25.0715384092053
"GO:0010556-regulation of macromolecule biosynthetic process"	4.74928517976071	21.772719700581	1.87653827294723	100.504440624524	105.455703357974
"GO:0016310-phosphorylation"	22.3577809078013	60.2251929679253	2.00382165537438	157.504250274916	152.747734428011
"GO:0048660-regulation of smooth muscle cell proliferation"	0.0261827903097445	0.00100429063515276	0.011784098365024	0.0351383805042886	0.011871609752885
"GO:0043063-intercellular bridge organization"	0.00269676756591965	0.000965810024095895	0.00105662825469238	0.00306868996432388	0.0118713673237849
"GO:1902182-shoot apical meristem development"	0.000274142933980593	0.000971628809647215	0.00105662862830373	0.00307575761139953	0.146290902512533
"GO:0048538-thymus development"	0.0054640607480817	0.00100478436301766	0.0122607364505117	0.142419188995304	0.0118728354254024
"GO:0050953-sensory perception of light stimulus"	0.0395048256331708	0.000995265632603671	0.033510025049444	0.15260358613006	0.173772900458904
"GO:0043443-acetone metabolic process"	0.000274142933980593	0.000971628809647215	0.00105662862830373	0.00307575761139953	0.146290902512533
"GO:0046717-acid secretion"	0.000259485235363944	0.000986135547540164	0.00105662711646732	0.0351372542033305	0.173733715410323
"GO:0006508-proteolysis"	3.47807623007032	2089.01567382802	1.67196294434369	62.9638967797211	54.1999164360406
"GO:0042338-cuticle development involved in collagen and cuticulin-based cuticle molting cycle"	0.00270191568317375	0.0009817388154984	0.00105662707822484	0.00307571789272659	0.168728655768539
"GO:0001562-response to protozoan"	0.0002744880931427	0.000971641123651539	0.00105662862407602	0.00307572462966665	0.162887508016938
"GO:0010885-regulation of cholesterol storage"	0.000274142933980593	0.000971628809647215	0.00105662862830373	0.00307575761139953	0.146290902512533
"GO:0031590-wybutosine metabolic process"	0.000274619670938286	0.000971647773909644	0.00105662862179306	0.0030757059252832	0.173733719137713
"GO:0051026-chiasma assembly"	0.000274142933980593	0.000971628809647215	0.00105662862830373	0.00307575761139953	0.146290902512533
"GO:0050912-detection of chemical stimulus involved in sensory perception of taste"	0.000274142933980593	0.000971628809647215	0.00105662862830373	0.00307575761139953	0.146290902512533
"GO:0050801-ion homeostasis"	0.545635671802618	32.8722768347273	0.21794194992529	4.66405296303708	5.70707127171224
"GO:0002191-cap-dependent translational initiation"	0.0002744880931427	0.000971641123651539	0.00105662862407602	0.00307572462966665	0.162887508016938
"GO:0042403-thyroid hormone metabolic process"	0.000274354184176915	0.000971636197768678	0.00105662862576715	0.00307573807705787	0.155752494013627
"GO:2001014-regulation of skeletal muscle cell differentiation"	0.000274142933980593	0.000971628809647215	0.00105662862830373	0.00307575761139953	0.146290902512533
"GO:0097291-renal phosphate ion absorption"	0.000274619670938286	0.000971647773909644	0.00105662862179306	0.0030757059252832	0.173733719137713
"GO:0035864-response to potassium ion"	0.000274354184176915	0.000971636197768678	0.00105662862576715	0.00307573807705787	0.155752494013627
"GO:0042157-lipoprotein metabolic process"	0.243322025408299	0.180990520658873	0.168011864286619	1.44218836081417	1.27068142888048
"GO:0009553-embryo sac development"	0.000242391175353569	0.000991724205438454	0.00105662711450682	0.0701266623746565	0.168728655559078
"GO:0071260-cellular response to mechanical stimulus"	0.00270819557475037	0.000981732815438094	0.00105662705472123	0.00307576085960038	0.146290898786093
"GO:0031326-regulation of cellular biosynthetic process"	4.77935191253993	22.0552143136123	1.88568254853602	100.824477448841	105.879601163325
