"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"valyl-tRNA aminoacylation"	4.09474716855723	0.287509984740671	0.570783023023915	1.5158848849095	9.19700529273249	2.04267294094138
"positive regulation of transcription by RNA polymerase I"	0.00185595862310023	0.000776704129007609	0.0160787198789448	0.0366155031590899	0.002364198619662	0.00271447773178025
"cysteinyl-tRNA aminoacylation"	0.0211173399937552	0.101060012186394	0.247974650088867	0.333692028957021	2.90605579209381	0.666261692202615
"arginine biosynthetic process via ornithine"	0.0207883589359376	0.17418207005218	0.39656860958146	0.742333044041377	3.76201761837985	0.284457478919897
"dUTP metabolic process"	0.00185471727834576	0.0516262676760674	0.0931425723838079	0.269602262069076	1.47636685308195	0.0695813707465043
"glycine biosynthetic process from serine"	0.0404092566885446	0.131341828326742	0.287709078198565	0.471889520474886	3.62957008179968	1.05650948568327
"GTP biosynthetic process"	0.105956645516632	0.0694346889322318	0.119082810167804	0.174370458685734	1.00353477932241	0.171167691546413
"glycine decarboxylation via glycine cleavage system"	0.0407931487318599	0.187667362313413	0.376696037773413	0.593378723072488	5.76022410636179	0.952451431945877
"negative regulation of mRNA polyadenylation"	0.00185458073111344	0.000776704129007593	0.00142939969479961	0.00160704332944474	0.0266855420265362	0.0322880579062519
"tRNA methylation"	0.637421861479941	0.312431075599302	0.460761911413479	1.3247465532113	9.61960507093658	0.845643317232456
"negative regulation of transcription by RNA polymerase II"	2.08819210728484	0.105722948520089	0.206447380811788	0.269304707453126	0.34277590960841	0.163589792805669
"NAD biosynthetic process"	0.505742850466391	0.354217697770952	0.770508203810038	1.48676915396827	13.6135092988195	1.58463250315987
"L-aspartate transmembrane transport"	0.00185608161298606	0.0434047315522838	0.0468388368584051	0.0367005726794913	0.39807951443422	0.0796605839646911
"asparaginyl-tRNA aminoacylation"	0.00185470426909795	0.0674485534016821	0.0165886161772709	0.164930832134256	1.23589200920433	0.513838975292139
"guanosine catabolic process"	0.0207889967259589	0.00077670412900813	0.00142948988658848	0.018219117389147	0.156820642257717	0.00271448013285525
"enterobactin transport"	0.00185473589661628	0.0262729832167334	0.0014302979054259	0.0564861992223794	0.356754799503968	0.0800270721209154
"ADP biosynthetic process"	0.00185460355943895	0.000776704129007581	0.00142939224332105	0.00160704332944474	0.0812876000838001	0.0316007517867017
"methionyl-tRNA aminoacylation"	0.0207885869704318	0.153745542459073	0.203888015576973	0.481183274114114	4.52679106709904	0.498610307872209
"positive regulation of transcription by RNA polymerase II"	0.12682526056847	0.0514906457750604	0.232622994924593	0.343290030916566	0.378038953711292	0.0668580605973603
