metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
case	GO.0004518.nuclease.activity	COVID19	0.00662474784581779	0.000625940398253495	86	85	9.63386923595702e-15	2.28793508952189e-12
case	GO.0016788.hydrolase.activity..acting.on.ester.bonds	COVID19	0.00623508773428797	0.00059922960371276	86	86	1.65792397791441e-14	2.28793508952189e-12
case	GO.0090305.nucleic.acid.phosphodiester.bond.hydrolysis	COVID19	0.00308244478543165	0.000392835884146377	86	85	3.85217201934614e-11	3.54399825779845e-09
case	GO.0016741.transferase.activity..transferring.one.carbon.groups	Control_Healthy	0.00246384414078562	0.0003858784513964	86	86	1.66230806716379e-08	1.14699256634302e-06
case	GO.0008168.methyltransferase.activity	Control_Healthy	0.00209813705265819	0.00036658553942093	86	86	1.96669449997484e-07	1.08561536398611e-05
case	GO.0031323.regulation.of.cellular.metabolic.process	COVID19	0.00253251633149357	0.000452693151976729	86	85	3.3986966226075e-07	1.47956467476292e-05
case	GO.0051171.regulation.of.nitrogen.compound.metabolic.process	COVID19	0.00211977370768409	0.000382422240110089	86	84	4.25132347086731e-07	1.47956467476292e-05
case	GO.0080090.regulation.of.primary.metabolic.process	COVID19	0.00211714633105719	0.000382090503425169	86	84	4.28859326018238e-07	1.47956467476292e-05
case	GO.0032259.methylation	Control_Healthy	0.00209105000291987	0.00037302305055636	86	86	7.2265610437488e-07	2.21614538674963e-05
case	GO.0043170.macromolecule.metabolic.process	Control_Healthy	0.00484109964583999	0.000908460594940655	86	86	1.58178296065908e-06	4.36572097141905e-05
case	GO.0044238.primary.metabolic.process	Control_Healthy	0.00543858538049796	0.00105522850205866	86	86	2.00199426535483e-06	5.02318561125393e-05
case	GO.0009987.cellular.process	COVID19	-0.0106002616633163	0.00213559527734926	86	86	4.2242541488925e-06	8.32781532210236e-05
case	GO.0051179.localization	COVID19	-0.00404330932972834	0.000811740666328426	86	81	3.99267714141614e-06	8.32781532210236e-05
case	GO.0051234.establishment.of.localization	COVID19	-0.00403915584057223	0.000811676378988398	86	81	4.0687272035295e-06	8.32781532210236e-05
case	GO.0044403.symbiotic.process	Control_Healthy	-0.0110117973700395	0.00225502834280351	86	85	5.78189547396102e-06	0.000106386876720883
case	GO.0044419.interspecies.interaction.between.organisms	Control_Healthy	-0.0108992518047205	0.00224821625642401	86	86	6.629526887091e-06	0.00011435933880232
case	GO.0016787.hydrolase.activity	COVID19	0.00708027050871607	0.00136497891351851	86	86	7.11423710487353e-06	0.0001155017318203
case	GO.0006810.transport	COVID19	-0.00393308257816643	0.00082206389625785	86	81	8.54414481604908e-06	0.000131010220512753
case	GO.0006807.nitrogen.compound.metabolic.process	Control_Healthy	0.00474070506258254	0.00101466743930637	86	86	1.25874605870347e-05	0.00018284942747482
case	GO.0051701.interaction.with.host	Control_Healthy	-0.00585346623162782	0.00126521681366545	86	79	1.55577363504567e-05	0.000214696761636303
case	GO.0016032.viral.process	Control_Healthy	-0.00948522986859575	0.00207501639125935	86	85	1.88923762891202e-05	0.00023701344799078
case	GO.0071704.organic.substance.metabolic.process	Control_Healthy	0.00544438996546815	0.00118990555848627	86	86	1.85788731390126e-05	0.00023701344799078
case	GO.0140096.catalytic.activity..acting.on.a.protein	COVID19	0.00264594093842551	0.000590078291624284	86	86	2.55676220478445e-05	0.000306811464574134
case	GO.0005488.binding	Control_Healthy	0.0042810571965019	0.000963290613899606	86	86	3.07761550840002e-05	0.000353925783466002
case	GO.0008152.metabolic.process	Control_Healthy	0.00825855981518266	0.00188035015553053	86	86	3.68991601113768e-05	0.000360057253448217
case	GO.0019054.modulation.by.virus.of.host.cellular.process	COVID19	0.00416784026942159	0.000958120386907858	86	67	4.22992945629105e-05	0.000360057253448217
case	GO.0031347.regulation.of.defense.response	COVID19	0.00200160435583983	0.000461714047647312	86	62	4.45728697946386e-05	0.000360057253448217
case	GO.0031348.negative.regulation.of.defense.response	COVID19	0.00200027303313768	0.000462116470262973	86	61	4.56594343140855e-05	0.000360057253448217
case	GO.0039503.suppression.by.virus.of.host.innate.immune.response	COVID19	0.00200223591426924	0.000462223434687272	86	61	4.5124527104737e-05	0.000360057253448217
case	GO.0044068.modulation.by.symbiont.of.host.cellular.process	COVID19	0.00416738702105415	0.000958021458656278	86	67	4.2303296966461e-05	0.000360057253448217
case	GO.0044414.suppression.of.host.defenses.by.symbiont	COVID19	0.00200052397966115	0.000462171739487104	86	61	4.56554589880166e-05	0.000360057253448217
case	GO.0052031.modulation.by.symbiont.of.host.defense.response	COVID19	0.00200144673878182	0.000461949028886505	86	61	4.4985991646395e-05	0.000360057253448217
case	GO.0052167.modulation.by.symbiont.of.host.innate.immune.response	COVID19	0.00200131471833611	0.000462199361139589	86	61	4.54147632748791e-05	0.000360057253448217
case	GO.0052170.suppression.by.symbiont.of.host.innate.immune.response	COVID19	0.00200133296733944	0.000462198303134812	86	61	4.5406617570171e-05	0.000360057253448217
case	GO.0080134.regulation.of.response.to.stress	COVID19	0.00200004649671821	0.000461271917251551	86	63	4.44471406674527e-05	0.000360057253448217
case	GO.0048585.negative.regulation.of.response.to.stimulus	COVID19	0.00197860443469415	0.000461347410920075	86	62	5.27326846337747e-05	0.000393357323214103
case	GO.0052562.suppression.by.symbiont.of.host.immune.response	COVID19	0.00198045725825824	0.000461531748667201	86	61	5.22971168986309e-05	0.000393357323214103
case	GO.0052553.modulation.by.symbiont.of.host.immune.response	COVID19	0.00195889264054714	0.000461868960367616	86	61	6.25788526999045e-05	0.000432315333026376
case	GO.0052572.response.to.host.immune.response	COVID19	0.00195864595864668	0.000461847380879579	86	61	6.26543960907792e-05	0.000432315333026376
case	GO.0075528.modulation.by.virus.of.host.immune.response	COVID19	0.00196080597610133	0.000461889290947949	86	61	6.1695335731405e-05	0.000432315333026376
case	GO.0019222.regulation.of.metabolic.process	COVID19	0.00267465743650669	0.000637572907666142	86	85	7.3710869718106e-05	0.000496200001029201
case	GO.0034660.ncRNA.metabolic.process	Control_Healthy	0.0032156292173378	0.000774762308671253	86	68	8.57741854942639e-05	0.00056365893324802
case	GO.0009987.cellular.process	Control_Healthy	0.00706494635358122	0.00170444447595273	86	86	8.95743208304164e-05	0.000565917722230818
case	GO.0043412.macromolecule.modification	Control_Healthy	0.00164318661310428	0.000397262163386082	86	72	9.02187673121593e-05	0.000565917722230818
case	GO.0016817.hydrolase.activity..acting.on.acid.anhydrides	Control_Healthy	-0.00146114528561384	0.000362002045848372	86	86	0.000128355981216912	0.000787250018130393
case	GO.0060255.regulation.of.macromolecule.metabolic.process	COVID19	0.00226212904918518	0.000561421512179868	86	85	0.000134656938809495	0.00080794163285697
case	GO.0035821.modulation.of.process.of.other.organism	Control_Healthy	-0.00446219837951402	0.00111655782266432	86	73	0.000151522012167778	0.000853483362200016
case	GO.0044003.modulation.by.symbiont.of.host.process	Control_Healthy	-0.00446299511917742	0.00111656993150433	86	73	0.00015117049934264	0.000853483362200016
