"obs.tot"	"obs.groups"	"df"	"statistic"	"pvalue"
"GO:0003674"	126	3	2	17.3457616070159	0.00017116529969333
"GO:0003824"	126	3	2	17.8647288709813	0.000132045442205269
"GO:0008150"	126	3	2	18.7133030339352	8.63888866669224e-05
"GO:0008152"	126	3	2	17.6356961226765	0.000148066647985662
"GO:0009987"	126	3	2	18.0056092606217	0.000123064170123785
"GO:0044237"	126	3	2	17.1851340046536	0.0001854793501004
"GO:0071704"	126	3	2	16.664819770155	0.000240591547713166
"GO:0005488"	126	3	2	15.9351295693105	0.00034652181448295
"GO:0044238"	126	3	2	16.3760262552043	0.000277965618160951
"GO:0016787"	126	3	2	14.1755449524614	0.000835255847185323
"GO:0006807"	126	3	2	15.3412184072149	0.000466333645011717
"GO:0043170"	126	3	2	12.8163360777937	0.00164804088507667
"GO:0097159"	126	3	2	13.758914415225	0.00102870226542086
"GO:1901363"	126	3	2	13.758914415225	0.00102870226542086
"GO:0034641"	126	3	2	14.71901873575	0.000636510675525965
"GO:0016740"	126	3	2	22.263113238491	1.46428760203767e-05
"GO:1901360"	126	3	2	15.1350797470451	0.000516962679082633
"GO:0046483"	126	3	2	15.1288731671904	0.000518569456015288
"GO:0006725"	126	3	2	12.3445152643128	0.00208652008427884
"GO:0006139"	126	3	2	13.3780944025367	0.0012444679357315
"GO:0090304"	126	3	2	12.0712603456875	0.00239198868598634
"GO:0016070"	126	3	2	11.8236017950873	0.0027073069121698
"GO:0009058"	126	3	2	20.1538547543102	4.20383871579493e-05
"GO:0034660"	126	3	2	10.144316230124	0.00626887657481274
"GO:0044260"	126	3	2	15.3217521559738	0.000470894689562501
"GO:1901576"	126	3	2	20.4284965926408	3.66444601595869e-05
"GO:0003676"	126	3	2	15.2588980665409	0.000485928515043373
"GO:0044249"	126	3	2	20.0888643248154	4.3426870938225e-05
"GO:0065007"	126	3	2	14.3751390604469	0.000755924140386579
"GO:0140098"	126	3	2	10.2599114417453	0.0059168224596167
"GO:0016772"	126	3	2	21.9610003130162	1.70305774422794e-05
"GO:1901564"	126	3	2	14.4028758246524	0.00074551305488782
"GO:0016788"	126	3	2	11.6759131020452	0.00291479277464396
"GO:0043167"	126	3	2	16.0150867877729	0.000332941621592196
"GO:0004518"	126	3	2	9.68985945590238	0.00786817034801058
"GO:0050789"	126	3	2	14.8217457892063	0.000604642674788138
"GO:0050794"	126	3	2	15.4247865561615	0.000447249802089545
"GO:0006396"	126	3	2	11.2878140698504	0.00353901430712158
"GO:0034470"	126	3	2	10.7126161360966	0.00471829361003184
"GO:0016072"	126	3	2	9.73096512038664	0.00770810766792044
"GO:0006364"	126	3	2	9.69520285232015	0.00784717702778012
"GO:0007165"	126	3	2	17.4580773175146	0.000161817943738371
"GO:0036094"	126	3	2	15.2047052767563	0.000499275436082571
"GO:0009059"	126	3	2	19.5627793301108	5.64932347988009e-05
"GO:0000166"	126	3	2	15.9842924450442	0.000338107649845291
