feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0009987.cellular.process	case	Control_Healthy	0.0168612295679987	0.00204436741428196	86	74	4.63071034198906e-12	3.79718248043103e-10
GO.0019054.modulation.by.virus.of.host.cellular.process	case	Control_Healthy	-0.00738710995775653	0.00112338145085184	86	11	5.71429840484262e-09	1.56190823065698e-07
GO.0044068.modulation.by.symbiont.of.host.cellular.process	case	Control_Healthy	-0.00738723614697676	0.00112328620953585	86	11	5.6981537088186e-09	1.56190823065698e-07
GO.0008152.metabolic.process	case	Control_Healthy	0.013966279847236	0.00222149737974573	86	76	2.35362241982812e-08	4.82492596064764e-07
GO.0019048.modulation.by.virus.of.host.process	case	Control_Healthy	-0.0091496964206523	0.00148243121857731	86	18	3.25451389039471e-08	4.90409736962569e-07
GO.0071704.organic.substance.metabolic.process	case	Control_Healthy	0.00815749461927003	0.00132572620906082	86	76	3.58836392899441e-08	4.90409736962569e-07
GO.0035821.modulation.of.process.of.other.organism	case	Control_Healthy	-0.00915660083927703	0.00155056172208165	86	18	1.02025322159218e-07	8.47312549166785e-07
GO.0044003.modulation.by.symbiont.of.host.process	case	Control_Healthy	-0.00915741963752821	0.00155057153335893	86	18	1.01820275626792e-07	8.47312549166785e-07
GO.0044260.cellular.macromolecule.metabolic.process	case	Control_Healthy	0.00404241947030159	0.000673912644487275	86	4	1.03330798678876e-07	8.47312549166785e-07
GO.0051817.modulation.of.process.of.other.organism.involved.in.symbiotic.interaction	case	Control_Healthy	-0.00915660181810897	0.00155055974014612	86	18	1.02021737808065e-07	8.47312549166785e-07
GO.0044237.cellular.metabolic.process	case	Control_Healthy	0.00919022058299934	0.00155963823046067	86	72	1.18506209951209e-07	8.83409928727196e-07
GO.0051701.interaction.with.host	case	Control_Healthy	-0.00959693841592674	0.00170834660466812	86	20	3.61725404603151e-07	2.4717902647882e-06
GO.0044238.primary.metabolic.process	case	Control_Healthy	0.00637992052313462	0.00116142274838179	86	74	6.16969941914513e-07	3.89165655669154e-06
GO.0016032.viral.process	case	Control_Healthy	-0.0140070629120518	0.00263833040308823	86	31	1.48013464991966e-06	8.66936009238657e-06
