feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	case	Control_Healthy	0.0101939238922246	0.00201229144728823	86	14	6.73740323493351e-06	0.000828700597896821
GO.0016787.hydrolase.activity	case	Community_acquired_pneumonia	-0.00681693997104357	0.0014537310621339	86	69	3.91535248951837e-05	0.0024079417810538
GO.0009987.cellular.process	case	Community_acquired_pneumonia	0.0105029212586582	0.00247570971241692	86	74	0.000106430433712834	0.00436364778222618
GO.0009058.biosynthetic.process	case	Community_acquired_pneumonia	0.00606687951437837	0.00166823548137717	86	23	0.000684010426752869	0.0210333206226507
GO.0009058.biosynthetic.process	case	Control_Healthy	0.00652831450904356	0.00207053805786114	86	23	0.00281482480875069	0.0346223451476335
GO.0044260.cellular.macromolecule.metabolic.process	case	Community_acquired_pneumonia	0.00257545899694525	0.000794440631641595	86	4	0.00219197201032293	0.0346223451476335
GO.1901564.organonitrogen.compound.metabolic.process	case	Community_acquired_pneumonia	0.00314843901502263	0.000957821423587069	86	5	0.00198115972075625	0.0346223451476335
GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	case	Community_acquired_pneumonia	0.00512327773379018	0.00162129812609277	86	14	0.00276008988962991	0.0346223451476335
GO.0016779.nucleotidyltransferase.activity	case	Community_acquired_pneumonia	0.00419292215827266	0.00125175530751842	86	7	0.00160414365306112	0.0346223451476335
GO.0016779.nucleotidyltransferase.activity	case	Control_Healthy	0.00490101387607233	0.00155381452147478	86	7	0.00280663062292475	0.0346223451476335
GO.0019054.modulation.by.virus.of.host.cellular.process	case	Community_acquired_pneumonia	-0.00431701413351569	0.00141144349202806	86	11	0.00371600055326344	0.0380890056709503
GO.0044068.modulation.by.symbiont.of.host.cellular.process	case	Community_acquired_pneumonia	-0.00431732482971352	0.00141134992375197	86	11	0.00371168469636607	0.0380890056709503
GO.1901576.organic.substance.biosynthetic.process	case	Community_acquired_pneumonia	0.0038872743060714	0.0011881889760003	86	12	0.00519450116121247	0.049147972525318
GO.0044249.cellular.biosynthetic.process	case	Community_acquired_pneumonia	0.00386159031006634	0.00116174525828021	86	12	0.00658284543816992	0.0578349992067786
GO.0016740.transferase.activity	case	Community_acquired_pneumonia	0.00653583171155528	0.0022093981244999	86	58	0.00763938936740055	0.0626429928126845
GO.0019048.modulation.by.virus.of.host.process	case	Community_acquired_pneumonia	-0.00476954285205896	0.00185534361740578	86	18	0.0134593798096364	0.0973825715638402
GO.0044237.cellular.metabolic.process	case	Community_acquired_pneumonia	0.00506110287215576	0.00196428770673815	86	72	0.0132264013234237	0.0973825715638402
GO.0008152.metabolic.process	case	Community_acquired_pneumonia	0.00699456326188666	0.00275542886991003	86	76	0.0145261276548706	0.0992618723082827
GO.0016740.transferase.activity	case	Control_Healthy	0.0151785560219853	0.00316725426844466	86	58	0.0233827429370457	0.151372493750349
GO.0090304.nucleic.acid.metabolic.process	case	Community_acquired_pneumonia	-0.00225716320314652	0.00094893320455924	86	17	0.0263841956795289	0.162262803429103
GO.0035821.modulation.of.process.of.other.organism	case	Community_acquired_pneumonia	-0.00419487026006267	0.00193978184805419	86	18	0.0357959253687884	0.184490450017474
GO.0044003.modulation.by.symbiont.of.host.process	case	Community_acquired_pneumonia	-0.00419492142363353	0.0019397863982261	86	18	0.0357941926526438	0.184490450017474
GO.0051817.modulation.of.process.of.other.organism.involved.in.symbiotic.interaction	case	Community_acquired_pneumonia	-0.00419488731473737	0.001939779488454	86	18	0.0357949949760716	0.184490450017474
GO.0071704.organic.substance.metabolic.process	case	Community_acquired_pneumonia	0.00359808391963191	0.00166528726218775	86	76	0.0359981365887754	0.184490450017474
GO.0016787.hydrolase.activity	case	Control_Healthy	-0.00737502627282606	0.00237313429948618	86	69	0.0440976639184452	0.216960506478751
