feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0006468.protein.phosphorylation	outcome	Stabilized	0.00112269727268409	0.000272270233464847	39	0	0.000209933470113957	0.0163925895114204
GO.0097367.carbohydrate.derivative.binding	outcome	Stabilized	0.00321800967320274	0.000710097403838006	39	12	8.95184255247117e-05	0.0163925895114204
GO.0035639.purine.ribonucleoside.triphosphate.binding	outcome	Stabilized	0.002906726235311	0.000697627711304935	39	12	0.000244144950170091	0.0163925895114204
GO.0032553.ribonucleotide.binding	outcome	Stabilized	0.0030891666873738	0.000701569357745371	39	12	0.000127155870429174	0.0163925895114204
GO.0017076.purine.nucleotide.binding	outcome	Stabilized	0.00297143164177131	0.000702094421513726	39	12	0.000204263217728076	0.0163925895114204
GO.0004672.protein.kinase.activity	outcome	Stabilized	0.00121640064680534	0.000274083405569794	39	0	8.24373735785392e-05	0.0163925895114204
GO.0032555.purine.ribonucleotide.binding	outcome	Stabilized	0.00296854642503902	0.000698738549437218	39	12	0.000194833270187928	0.0163925895114204
GO.0030554.adenyl.nucleotide.binding	outcome	Stabilized	0.0027325008954089	0.000678565049589159	39	12	0.000354465163670106	0.0187993377843491
GO.0032559.adenyl.ribonucleotide.binding	outcome	Stabilized	0.00272786827259578	0.000678357978624747	39	12	0.00035998731927477	0.0187993377843491
GO.0005524.ATP.binding	outcome	Stabilized	0.00268359220109159	0.000677759292028519	39	12	0.000426389389512015	0.0200403013070647
GO.0016043.cellular.component.organization	outcome	Stabilized	0.00111108939803265	0.000306723144272978	39	0	0.000892537437880384	0.0381356905276164
GO.0016817.hydrolase.activity..acting.on.acid.anhydrides	outcome	Stabilized	0.0017388284695959	0.000587071000471572	39	3	0.00592316272822775	0.223411894791447
GO.0016818.hydrolase.activity..acting.on.acid.anhydrides..in.phosphorus.containing.anhydrides	outcome	Stabilized	0.0017283705727868	0.000586901980030789	39	3	0.00617947794104003	0.223411894791447
GO.0016462.pyrophosphatase.activity	outcome	Stabilized	0.00168479282292534	0.000584749271178867	39	3	0.00723498569339069	0.242888805420973
GO.0017111.nucleoside.triphosphatase.activity	outcome	Stabilized	0.00156955999773396	0.000581122670688962	39	3	0.0112166358232544	0.351454589128639
GO.0006629.lipid.metabolic.process	outcome	Recovered	0.000381696679454396	0.00015112741792788	39	0	0.0160968487487679	0.399205130600811
GO.0006508.proteolysis	outcome	Stabilized	0.00113337263402837	0.000447206092595408	39	1	0.015757824350687	0.399205130600811
GO.0005515.protein.binding	outcome	Recovered	0.000546940565958383	0.00021665765828002	39	0	0.0161380797476924	0.399205130600811
GO.0016829.lyase.activity	outcome	Stabilized	-0.00753662819281363	0.00293325597768393	39	23	0.0152378006657333	0.399205130600811
GO.0090407.organophosphate.biosynthetic.process	outcome	Stabilized	0.00129924399887492	0.000527698424708097	39	1	0.0187337538412525	0.436877456962609
GO.0046914.transition.metal.ion.binding	outcome	Stabilized	0.000759244952581104	0.0003118837006308	39	0	0.0200051616724816	0.436877456962609
GO.0019843.rRNA.binding	outcome	Recovered	0.000550170244554259	0.000222573065062327	39	0	0.0213791095960426	0.436877456962609
GO.0016887.ATPase.activity	outcome	Stabilized	0.00138075382596096	0.000569022718784047	39	3	0.0213667170066168	0.436877456962609
GO.0071840.cellular.component.organization.or.biogenesis	outcome	Stabilized	0.000861502641595784	0.000365790442172619	39	0	0.0240832024891673	0.471629382079526
GO.0007165.signal.transduction	outcome	Stabilized	0.00160323374779032	0.000700790406454198	39	1	0.0281314207501029	0.489695101946236
GO.0005515.protein.binding	outcome	Stabilized	0.00055680873553564	0.000241447972719254	39	0	0.0269718039918913	0.489695101946236
GO.0004386.helicase.activity	outcome	Stabilized	0.000810865485231925	0.000354009468282958	39	1	0.0279538616149803	0.489695101946236
GO.0005198.structural.molecule.activity	outcome	Recovered	0.000553338564008917	0.000238659922587095	39	0	0.0296892835029363	0.489993146750769
GO.0003735.structural.constituent.of.ribosome	outcome	Recovered	0.000547324160127895	0.000236982494925497	39	0	0.0302336196931326	0.489993146750769
GO.0050896.response.to.stimulus	outcome	Recovered	0.00168656504634458	0.000758003259605207	39	5	0.0363657715273285	0.518255759283654
GO.1901137.carbohydrate.derivative.biosynthetic.process	outcome	Recovered	0.00103046209031356	0.000471045160852205	39	1	0.0352737932781332	0.518255759283654
GO.0090407.organophosphate.biosynthetic.process	outcome	Recovered	0.00102926105176143	0.000473517768029377	39	1	0.0363881703326821	0.518255759283654
GO.0008270.zinc.ion.binding	outcome	Stabilized	0.000552465599113142	0.000253405378464955	39	0	0.0358640917880195	0.518255759283654
GO.0006281.DNA.repair	outcome	Recovered	0.00123141911540983	0.000572928538277727	39	4	0.0420204798078864	0.564275014563046
GO.0016651.oxidoreductase.activity..acting.on.NAD.P.H	outcome	Recovered	0.000425927507884322	0.000196759477299405	39	0	0.0408924192834095	0.564275014563046
GO.1901293.nucleoside.phosphate.biosynthetic.process	outcome	Recovered	0.000977670811957056	0.000476406797637025	39	1	0.0474786282185686	0.58245623443333
GO.0009165.nucleotide.biosynthetic.process	outcome	Recovered	0.000974289649971224	0.000476653217576316	39	1	0.0483196277188725	0.58245623443333
GO.0016757.transferase.activity..transferring.glycosyl.groups	outcome	Stabilized	0.000673459732928931	0.000320460643334479	39	0	0.044648479299083	0.58245623443333
GO.0016651.oxidoreductase.activity..acting.on.NAD.P.H	outcome	Stabilized	0.000425743314613983	0.00020705415337586	39	0	0.0483314747721274	0.58245623443333
GO.1901137.carbohydrate.derivative.biosynthetic.process	outcome	Stabilized	0.00104949488322421	0.00052494289788226	39	1	0.0531725641930696	0.605023166342567
GO.0090305.nucleic.acid.phosphodiester.bond.hydrolysis	outcome	Recovered	0.00120650348506862	0.000591766933597789	39	5	0.0527082677765908	0.605023166342567
GO.0004518.nuclease.activity	outcome	Recovered	0.00235697641031395	0.00116232273626982	39	9	0.0540658999710379	0.605023166342567
GO.0051716.cellular.response.to.stimulus	outcome	Recovered	0.00133819164479382	0.000622417321167339	39	4	0.060450593184847	0.608196456317009
GO.0033554.cellular.response.to.stress	outcome	Recovered	0.00133833551715798	0.000616556920500391	39	4	0.0608196456317009	0.608196456317009
GO.0006974.cellular.response.to.DNA.damage.stimulus	outcome	Recovered	0.00133967957572474	0.000606005944183299	39	4	0.0576137902289602	0.608196456317009
GO.0043412.macromolecule.modification	outcome	Stabilized	0.00133318026470196	0.000676691687463311	39	3	0.0574508148381869	0.608196456317009
GO.0006518.peptide.metabolic.process	outcome	Recovered	0.000704401311018995	0.000354479513832562	39	0	0.0587798085412941	0.608196456317009
GO.0009058.biosynthetic.process	outcome	Stabilized	-0.00655760521813956	0.00355531695447595	39	36	0.0745120469186464	0.621415610153217
GO.1901362.organic.cyclic.compound.biosynthetic.process	outcome	Stabilized	-0.00257064069115506	0.00137788996334087	39	32	0.0721143610583825	0.621415610153217
