feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0006468.protein.phosphorylation	outcome	Stabilized	0.00112269727268409	0.000272270233464847	39	0	0.000209933470113957	0.0163925895114204
GO.0097367.carbohydrate.derivative.binding	outcome	Stabilized	0.00321800967320274	0.000710097403838006	39	12	8.95184255247117e-05	0.0163925895114204
GO.0035639.purine.ribonucleoside.triphosphate.binding	outcome	Stabilized	0.002906726235311	0.000697627711304935	39	12	0.000244144950170091	0.0163925895114204
GO.0032553.ribonucleotide.binding	outcome	Stabilized	0.0030891666873738	0.000701569357745371	39	12	0.000127155870429174	0.0163925895114204
GO.0017076.purine.nucleotide.binding	outcome	Stabilized	0.00297143164177131	0.000702094421513726	39	12	0.000204263217728076	0.0163925895114204
GO.0004672.protein.kinase.activity	outcome	Stabilized	0.00121640064680534	0.000274083405569794	39	0	8.24373735785392e-05	0.0163925895114204
GO.0032555.purine.ribonucleotide.binding	outcome	Stabilized	0.00296854642503902	0.000698738549437218	39	12	0.000194833270187928	0.0163925895114204
GO.0030554.adenyl.nucleotide.binding	outcome	Stabilized	0.0027325008954089	0.000678565049589159	39	12	0.000354465163670106	0.0187993377843491
GO.0032559.adenyl.ribonucleotide.binding	outcome	Stabilized	0.00272786827259578	0.000678357978624747	39	12	0.00035998731927477	0.0187993377843491
GO.0005524.ATP.binding	outcome	Stabilized	0.00268359220109159	0.000677759292028519	39	12	0.000426389389512015	0.0200403013070647
GO.0016043.cellular.component.organization	outcome	Stabilized	0.00111108939803265	0.000306723144272978	39	0	0.000892537437880384	0.0381356905276164
GO.0016817.hydrolase.activity..acting.on.acid.anhydrides	outcome	Stabilized	0.0017388284695959	0.000587071000471572	39	3	0.00592316272822775	0.223411894791447
GO.0016818.hydrolase.activity..acting.on.acid.anhydrides..in.phosphorus.containing.anhydrides	outcome	Stabilized	0.0017283705727868	0.000586901980030789	39	3	0.00617947794104003	0.223411894791447
GO.0016462.pyrophosphatase.activity	outcome	Stabilized	0.00168479282292534	0.000584749271178867	39	3	0.00723498569339069	0.242888805420973
GO.0017111.nucleoside.triphosphatase.activity	outcome	Stabilized	0.00156955999773396	0.000581122670688962	39	3	0.0112166358232544	0.351454589128639
GO.0006629.lipid.metabolic.process	outcome	Recovered	0.000381696679454396	0.00015112741792788	39	0	0.0160968487487679	0.399205130600811
GO.0006508.proteolysis	outcome	Stabilized	0.00113337263402837	0.000447206092595408	39	1	0.015757824350687	0.399205130600811
GO.0005515.protein.binding	outcome	Recovered	0.000546940565958383	0.00021665765828002	39	0	0.0161380797476924	0.399205130600811
GO.0016829.lyase.activity	outcome	Stabilized	-0.00753662819281363	0.00293325597768393	39	23	0.0152378006657333	0.399205130600811
GO.0090407.organophosphate.biosynthetic.process	outcome	Stabilized	0.00129924399887492	0.000527698424708097	39	1	0.0187337538412525	0.436877456962609
GO.0046914.transition.metal.ion.binding	outcome	Stabilized	0.000759244952581104	0.0003118837006308	39	0	0.0200051616724816	0.436877456962609
GO.0019843.rRNA.binding	outcome	Recovered	0.000550170244554259	0.000222573065062327	39	0	0.0213791095960426	0.436877456962609
GO.0016887.ATPase.activity	outcome	Stabilized	0.00138075382596096	0.000569022718784047	39	3	0.0213667170066168	0.436877456962609
GO.0071840.cellular.component.organization.or.biogenesis	outcome	Stabilized	0.000861502641595784	0.000365790442172619	39	0	0.0240832024891673	0.471629382079526
GO.0007165.signal.transduction	outcome	Stabilized	0.00160323374779032	0.000700790406454198	39	1	0.0281314207501029	0.489695101946236
GO.0005515.protein.binding	outcome	Stabilized	0.00055680873553564	0.000241447972719254	39	0	0.0269718039918913	0.489695101946236
GO.0004386.helicase.activity	outcome	Stabilized	0.000810865485231925	0.000354009468282958	39	1	0.0279538616149803	0.489695101946236
GO.0005198.structural.molecule.activity	outcome	Recovered	0.000553338564008917	0.000238659922587095	39	0	0.0296892835029363	0.489993146750769
GO.0003735.structural.constituent.of.ribosome	outcome	Recovered	0.000547324160127895	0.000236982494925497	39	0	0.0302336196931326	0.489993146750769
