metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
case	GO.0006139.nucleobase.containing.compound.metabolic.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0006139.nucleobase.containing.compound.metabolic.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0006139.nucleobase.containing.compound.metabolic.process	publication	NA	NA	25	25	NA	NA
case	GO.0006725.cellular.aromatic.compound.metabolic.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0006725.cellular.aromatic.compound.metabolic.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0006725.cellular.aromatic.compound.metabolic.process	publication	NA	NA	25	25	NA	NA
case	GO.0006807.nitrogen.compound.metabolic.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0006807.nitrogen.compound.metabolic.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0006807.nitrogen.compound.metabolic.process	publication	NA	NA	25	25	NA	NA
case	GO.0008152.metabolic.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0008152.metabolic.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0008152.metabolic.process	publication	NA	NA	25	25	NA	NA
case	GO.0009058.biosynthetic.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0009058.biosynthetic.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0009058.biosynthetic.process	publication	NA	NA	25	25	NA	NA
case	GO.0009987.cellular.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0009987.cellular.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0009987.cellular.process	publication	NA	NA	25	25	NA	NA
case	GO.0016032.viral.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0016032.viral.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0016032.viral.process	publication	NA	NA	25	25	NA	NA
case	GO.0019048.modulation.by.virus.of.host.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0019048.modulation.by.virus.of.host.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0019048.modulation.by.virus.of.host.process	publication	NA	NA	25	25	NA	NA
case	GO.0019054.modulation.by.virus.of.host.cellular.process	case	NA	NA	25	23	NA	NA
sample_name	GO.0019054.modulation.by.virus.of.host.cellular.process	sample_name	NA	NA	25	23	NA	NA
publication	GO.0019054.modulation.by.virus.of.host.cellular.process	publication	NA	NA	25	23	NA	NA
case	GO.0034641.cellular.nitrogen.compound.metabolic.process	case	NA	NA	25	25	NA	NA
sample_name	GO.0034641.cellular.nitrogen.compound.metabolic.process	sample_name	NA	NA	25	25	NA	NA
publication	GO.0034641.cellular.nitrogen.compound.metabolic.process	publication	NA	NA	25	25	NA	NA
