metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
case	GO.0016787.hydrolase.activity	COVID19	0.00682218680345892	0.00147651028486151	86	86	3.83158230996317e-05	0.0045978987719558
case	GO.0009987.cellular.process	COVID19	-0.0105193560612869	0.00266840580244095	86	86	0.000273229988904849	0.016393799334291
case	GO.0009058.biosynthetic.process	COVID19	-0.00650574013587496	0.00178902871771852	86	86	0.000684407544392827	0.0248563502836318
case	GO.0019054.modulation.by.virus.of.host.cellular.process	COVID19	0.00429974730808327	0.00122619221219255	86	67	0.00103568126181799	0.0248563502836318
case	GO.0044068.modulation.by.symbiont.of.host.cellular.process	COVID19	0.00430008289372238	0.00122610407608728	86	67	0.00103408494987803	0.0248563502836318
case	GO.1901564.organonitrogen.compound.metabolic.process	COVID19	-0.00316606971586965	0.00094236493043331	86	86	0.00162015566922541	0.0324031133845082
case	GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	COVID19	-0.00556244013438285	0.00175263250668158	86	86	0.00265393024793415	0.0454959471074426
case	GO.0019048.modulation.by.virus.of.host.process	COVID19	0.00474673884943257	0.00169251424589367	86	72	0.00736982914038002	0.1105474371057
case	GO.1901576.organic.substance.biosynthetic.process	COVID19	-0.00413833704425717	0.00128442573770845	86	86	0.00953946937965995	0.114473632555919
case	GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	Control_Healthy	0.00625974661300272	0.00228208523905699	86	86	0.00858930280272817	0.114473632555919
case	GO.0016740.transferase.activity	COVID19	-0.0066514765481237	0.00230359873641778	86	86	0.0127786849975611	0.13940383633703
case	GO.0044260.cellular.macromolecule.metabolic.process	COVID19	-0.00266904841013017	0.00104561125517974	86	86	0.0141269105849862	0.141269105849862
case	GO.0044249.cellular.biosynthetic.process	COVID19	-0.00414127880314317	0.00124864629635972	86	86	0.0156339047619718	0.144312967033586
case	GO.0008152.metabolic.process	COVID19	-0.00704129139812714	0.00297423230506076	86	86	0.022097526667517	0.160320242645828
case	GO.0035821.modulation.of.process.of.other.organism	COVID19	0.00416708330598836	0.00177414551942039	86	73	0.0231840552906147	0.160320242645828
case	GO.0044003.modulation.by.symbiont.of.host.process	COVID19	0.00416713528670154	0.00177414898359733	86	73	0.0231826888690125	0.160320242645828
case	GO.0044237.cellular.metabolic.process	COVID19	-0.00511633217380096	0.00219336671202318	86	86	0.0240480363968741	0.160320242645828
case	GO.0051817.modulation.of.process.of.other.organism.involved.in.symbiotic.interaction	COVID19	0.00416710058662126	0.00177414313523464	86	73	0.0231833403528913	0.160320242645828
case	GO.0090304.nucleic.acid.metabolic.process	COVID19	0.00229561287585478	0.00108388601936203	86	86	0.0416157494924854	0.262836312584118
case	GO.0016032.viral.process	COVID19	0.00581854733921089	0.00303596126959288	86	85	0.061420743947343	0.323747976901239
