metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
case	GO.0016740.transferase.activity	COVID19	-0.0104441840153919	0.00196187485248064	102	95	9.08267618731642e-07	5.63125923613618e-05
case	GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	COVID19	-0.00705730848016071	0.00170842724368459	102	93	8.81369624193084e-05	0.00273224583499856
case	GO.0016779.nucleotidyltransferase.activity	COVID19	-0.00511675436908805	0.00136229730757559	102	90	0.000327070074303971	0.00675944820228206
case	GO.0090304.nucleic.acid.metabolic.process	Control_Healthy	0.00371850215527209	0.00111049537104631	102	96	0.00115126193481343	0.0178445599896082
case	GO.0044260.cellular.macromolecule.metabolic.process	COVID19	-0.00252685122099995	0.000791707880234309	102	96	0.00196503748093572	0.0243664647636029
case	GO.0009987.cellular.process	COVID19	-0.00481794104243988	0.00166095650865402	102	99	0.00484949588593371	0.0437126930214792
case	GO.0006725.cellular.aromatic.compound.metabolic.process	Control_Healthy	0.00323429176356895	0.00112466968249266	102	99	0.00493530405081217	0.0437126930214792
case	GO.0016829.lyase.activity	Control_Healthy	-0.00462828376690839	0.0016601845998675	102	96	0.00637747527861436	0.0494254334092613
case	GO.0043170.macromolecule.metabolic.process	COVID19	-0.00338919048634062	0.00124878048900726	102	97	0.00805250230510169	0.0499255142916305
case	GO.0006139.nucleobase.containing.compound.metabolic.process	Control_Healthy	0.00309830196766472	0.00114295746820772	102	97	0.00792018319358888	0.0499255142916305
