metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
outcome	GO.0030554.adenyl.nucleotide.binding	Stabilized	0.00245390268454196	0.000611023783175012	39	32	0.000373721815881729	0.0696685518866476
outcome	GO.0032559.adenyl.ribonucleotide.binding	Stabilized	0.00244927382270442	0.000610425672830986	39	32	0.000377398633344443	0.0696685518866476
outcome	GO.0005524.ATP.binding	Stabilized	0.00240502905861194	0.000609522068322094	39	32	0.000452393194069141	0.0696685518866476
outcome	GO.0016817.hydrolase.activity..acting.on.acid.anhydrides	Stabilized	0.00146656441781476	0.000506661168529267	39	30	0.00733454541328947	0.701877219784422
outcome	GO.0016818.hydrolase.activity..acting.on.acid.anhydrides..in.phosphorus.containing.anhydrides	Stabilized	0.00145613172953722	0.000506423530764182	39	30	0.00768481806140838	0.701877219784422
outcome	GO.0016462.pyrophosphatase.activity	Stabilized	0.00141257718877075	0.000503727894594607	39	30	0.00911528856862886	0.701877219784422
outcome	GO.0016829.lyase.activity	Stabilized	-0.0078044343730451	0.0030306080277741	39	34	0.0149881421594219	0.865565209706615
outcome	GO.0017111.nucleoside.triphosphatase.activity	Stabilized	0.00129764150531593	0.000498929178753509	39	30	0.014714722124726	0.865565209706615
outcome	GO.0008152.metabolic.process	Recovered	-0.0054419721870104	0.00392609876827863	39	37	0.178724025147837	0.933406676480722
outcome	GO.0008152.metabolic.process	Stabilized	-0.0031053153988805	0.00431973637538114	39	37	0.477258306715635	0.933406676480722
outcome	GO.0044419.interspecies.interaction.between.organisms	Recovered	0.000557485594012682	0.00134269665223081	39	30	0.680460866710437	0.933406676480722
outcome	GO.0044419.interspecies.interaction.between.organisms	Stabilized	-0.00104881679666799	0.00149633014024318	39	30	0.487855278021046	0.933406676480722
outcome	GO.0051179.localization	Recovered	0.00342579513557566	0.00234608789653154	39	32	0.152903426052414	0.933406676480722
outcome	GO.0051179.localization	Stabilized	0.00348952720905307	0.00261453100773532	39	32	0.190365811681223	0.933406676480722
outcome	GO.0050896.response.to.stimulus	Recovered	0.00134616971110381	0.000787624110840562	39	29	0.108027433525178	0.933406676480722
outcome	GO.0065007.biological.regulation	Recovered	-0.000632947486332282	0.00125445954193349	39	34	0.616943955202142	0.933406676480722
