"obs.tot"	"obs.groups"	"df.between"	"df.within"	"statistic"	"pvalue"
"GO:0003674"	126	3	2	62.1780516665753	6.77395367186523	0.00218042350029508
"GO:0003824"	126	3	2	62.5133257179605	7.18615615526099	0.00155196477369559
"GO:0008150"	126	3	2	61.1833433571042	5.49966060181203	0.00636102376029907
"GO:0008152"	126	3	2	61.7592759302857	6.15335475713367	0.00365665223972111
"GO:0009987"	126	3	2	60.7256631968387	4.78345484804519	0.0117714917759083
"GO:0044237"	126	3	2	61.7265102798668	5.99100908364158	0.00418898830775519
"GO:0071704"	126	3	2	61.4113178724042	5.56133288595066	0.00602826503646677
"GO:0005488"	126	3	2	61.1202258858974	5.31309802635102	0.00745673435591722
"GO:0044238"	126	3	2	60.48245146171	4.58889765954721	0.0139486042372371
"GO:0016787"	126	3	2	61.096752563405	4.60409189306165	0.0137257471526829
"GO:0006807"	126	3	2	60.6015863095028	4.32424897195893	0.0175583516442471
"GO:0043170"	126	3	2	59.7424164033088	3.71552455419094	0.0301375772567901
"GO:0097159"	126	3	2	61.220682921504	4.46781796554622	0.0154464340677223
"GO:1901363"	126	3	2	61.2205777444909	4.4677301734991	0.0154476246769293
"GO:0034641"	126	3	2	60.3333504582662	4.42884582610168	0.0160439476793754
"GO:0016740"	126	3	2	62.2879216749495	6.97083922821759	0.00185377892703417
"GO:1901360"	126	3	2	60.6632402573652	4.41751299990645	0.0161795848532426
"GO:0046483"	126	3	2	60.4990434643178	4.52462416306531	0.0147487659151448
"GO:0006725"	126	3	2	59.5032173261055	2.98072614351171	0.0583853612597579
"GO:0006139"	126	3	2	59.1734982980522	2.96325263589532	0.0593632664933564
"GO:0090304"	126	3	2	58.7940515813973	2.38967655599002	0.100508721136271
"GO:0016070"	126	3	2	65.5469461738719	1.70568515926451	0.189610833088406
"GO:0009058"	126	3	2	63.2193962628076	8.10826068080088	0.000733456855229523
"GO:0034660"	126	3	2	75.1839778822408	1.46855592536938	0.236786423231273
"GO:0044260"	126	3	2	60.7715642751593	5.22780457122916	0.00803606226769522
"GO:1901576"	126	3	2	63.4511075287952	8.3445923740359	0.000606257584181212
"GO:0003676"	126	3	2	62.2960118664137	4.47038359434899	0.0153396198492049
"GO:0044249"	126	3	2	63.4605872736101	8.33864307001144	0.000609047402160609
"GO:0065007"	126	3	2	60.2748821081605	1.97494585316659	0.147647077600931
"GO:0140098"	126	3	2	69.2932973301331	1.64248446586867	0.200941724573548
"GO:0016772"	126	3	2	62.4628253013685	7.46142071244358	0.00124240612254838
"GO:1901564"	126	3	2	62.1903586360783	6.17848774176662	0.00356884584594061
"GO:0016788"	126	3	2	63.132727271108	4.40569097359576	0.0161771786551533
"GO:0043167"	126	3	2	61.4387987013945	5.78830889021896	0.00497633671970086
"GO:0004518"	126	3	2	54.7437370735761	3.11869827450893	0.0521585410097056
"GO:0050789"	126	3	2	59.7993696220132	2.01520034264304	0.142246412988607
"GO:0050794"	126	3	2	60.0574453123835	1.94499897069794	0.151889308396441
"GO:0006396"	126	3	2	74.1623633619534	1.51053483252405	0.22750588900115
"GO:0034470"	126	3	2	76.2338005216307	1.46216780399952	0.238158102453497
"GO:0016072"	126	3	2	81.6639034767136	1.32415397173108	0.271678356978851
"GO:0006364"	126	3	2	81.690656006041	1.3207885013491	0.272563615844913
"GO:0007165"	126	3	2	62.8962919043234	1.42017514782193	0.249314040274877
"GO:0036094"	126	3	2	60.2738967780289	4.12417039547132	0.0209557726154296
"GO:0009059"	126	3	2	62.5479003076834	7.60720905906046	0.00110368674609261
"GO:0000166"	126	3	2	59.7872951327338	4.13645683692962	0.0207708771366438
"GO:1901265"	126	3	2	59.7872951327338	4.13645683692962	0.0207708771366438
"GO:0034645"	126	3	2	62.5324700246753	7.58662802847936	0.00112230472601008
"GO:0044271"	126	3	2	62.7881786931669	7.84955164776665	0.000906234889880453
"GO:0043412"	126	3	2	63.2402557915485	1.61523787615345	0.206938041512249
"GO:0016491"	126	3	2	60.7565199868467	4.50301785469722	0.01501096071928
"GO:1901566"	126	3	2	63.5735873860697	7.05209650953004	0.00171360373250629
"GO:0016798"	126	3	2	66.8792242908704	1.38296595974488	0.257912983938755
"GO:0008168"	126	3	2	70.0933485943999	1.67545552608777	0.194633089976112
"GO:0016741"	126	3	2	68.5458791983913	1.71433767742731	0.187713174182415
"GO:0032259"	126	3	2	74.0873422765241	1.54949533707251	0.219157469408647
"GO:0016829"	126	3	2	63.2407955169697	7.74083747876675	0.00098368536494239
"GO:0003677"	126	3	2	62.8572393549926	5.3379262517575	0.00722513486746658
"GO:0016779"	126	3	2	62.0404197134517	6.26583423947961	0.0033222805556707
"GO:0050896"	126	3	2	62.179230455686	6.12543694857453	0.0037307738079425
"GO:0044281"	126	3	2	63.1511458152909	7.21446771913378	0.00150703303624507
"GO:0016874"	126	3	2	60.2124069044793	2.28922817787375	0.110099772746664
"GO:0006950"	126	3	2	61.1073251725224	5.52510172092491	0.0062284603906792
"GO:0006399"	126	3	2	65.9161137814795	1.55514853571534	0.218805302972433
"GO:0140101"	126	3	2	69.2490954618232	1.53254645400549	0.223219763511544
"GO:0043168"	126	3	2	59.5076386946258	2.6227167723001	0.0809845103777423
"GO:0006259"	126	3	2	62.9511707450917	6.37252210171279	0.0030181358388151
"GO:0051716"	126	3	2	59.7995080599209	6.18657928724204	0.00361354431622245
"GO:0033554"	126	3	2	58.1405980252975	5.64533297146146	0.00574632164755492
"GO:0003723"	126	3	2	60.7744933586311	3.58937749128967	0.0336168175740407
"GO:0006793"	126	3	2	61.3739219080778	6.22806108270692	0.00344662758351103
"GO:0043169"	126	3	2	62.9175530083366	8.1469546823393	0.000713859071112493
"GO:0005975"	126	3	2	62.5609484895383	7.54690671983204	0.0011584186419405
"GO:0006796"	126	3	2	61.3755640334475	6.2092683361729	0.00350086210731018
"GO:0006974"	126	3	2	57.8283981815713	5.48517574211148	0.00658765226219696
"GO:0051179"	126	3	2	61.7722421643165	6.1731770785489	0.00359636063359052
"GO:0051234"	126	3	2	61.772689274216	6.18059873042774	0.00357417410497706
"GO:0006810"	126	3	2	61.7779577721893	5.94925817085224	0.004336493621387
"GO:0004553"	126	3	2	69.7910237077589	1.39762597298054	0.254014767437052
"GO:0046872"	126	3	2	62.9138437532942	8.12007238546345	0.000729304062873516
"GO:0019538"	126	3	2	59.0820388103796	3.16024200691193	0.0496693107612817
"GO:0043414"	126	3	2	81.4316915370197	1.29973338042121	0.278198753970949
"GO:0009451"	126	3	2	75.5942642005711	1.419657221252	0.24816896591116
"GO:0008757"	126	3	2	80.2986421614442	1.45795679636168	0.238804744640755
"GO:0001510"	126	3	2	81.9224040485585	1.20428528257662	0.305159275030428
"GO:0008173"	126	3	2	81.0920427032118	1.41672630972384	0.248444173569859
"GO:0140102"	126	3	2	81.8631508061815	1.3329090531536	0.269370815651881
"GO:0008649"	126	3	2	81.8632538663193	1.33288308856946	0.269377582213598
"GO:0090305"	126	3	2	50.8898724945008	1.8614549485068	0.165875952816965
"GO:0006281"	126	3	2	57.6761720222604	5.13719110641271	0.00884763196240037
"GO:0004519"	126	3	2	50.4166794716942	1.56995445052119	0.218055384000847
"GO:0018130"	126	3	2	62.1755746868194	6.77847249724815	0.00217239783877619
"GO:1901362"	126	3	2	62.5331624406733	6.33847846073449	0.00311520643543868
"GO:0019438"	126	3	2	59.957664106981	1.74690690932914	0.183066781455782
"GO:0034654"	126	3	2	58.2629963441156	1.97173912302422	0.148395041931776
"GO:0019637"	126	3	2	58.281666251697	1.74623865126828	0.183430709613357
"GO:0055086"	126	3	2	58.3999006403874	1.76273016251191	0.180581500986463
"GO:0090407"	126	3	2	59.6241417833499	1.52697392792886	0.225563359563333
"GO:0006753"	126	3	2	59.0317283505591	1.70689246954761	0.19026035664958
"GO:0009117"	126	3	2	59.0922108050832	1.69903245659245	0.191670593875038
"GO:1901293"	126	3	2	61.1574224206616	1.5699175022179	0.21633094894605
"GO:0009165"	126	3	2	61.241830029835	1.55861069359591	0.218659282123642
"GO:0072521"	126	3	2	60.9495420356005	1.72941509054921	0.185978417200697
"GO:0072522"	126	3	2	66.6506380189611	1.57474277864419	0.214666704031716
"GO:0006163"	126	3	2	61.2809696666517	1.73739559723936	0.184533470117077
"GO:0006164"	126	3	2	67.7583461080451	1.58665041241117	0.212116922075071
"GO:0006082"	126	3	2	62.0103459348723	2.47427937619518	0.0925034058478518
"GO:0043436"	126	3	2	62.0355927440048	2.45505015384516	0.0941625885410332
"GO:0019752"	126	3	2	62.0684922831228	2.44009542302571	0.0954724724182226
"GO:0006520"	126	3	2	61.875923342624	2.00920620798745	0.142750336228264
"GO:0004812"	126	3	2	69.0279243721759	1.54116025393107	0.221409235797766
"GO:0016875"	126	3	2	69.0279243721759	1.54116025393107	0.221409235797766
"GO:0043039"	126	3	2	70.1324120509997	1.53831286566877	0.221900470085054
"GO:0043038"	126	3	2	70.1391403929158	1.54206671540834	0.221103290121066
"GO:0006418"	126	3	2	71.9681517949285	1.51527437529845	0.226674805939373
"GO:0044262"	126	3	2	62.1803406909305	6.5481786185154	0.00262593419080344
"GO:0007166"	126	3	2	81.8961697232802	1.11049540535589	0.334304127208742
"GO:0016301"	126	3	2	62.0180081258286	6.64964224705028	0.00241855950136193
"GO:0016310"	126	3	2	62.0525323757686	6.66373569345829	0.00238992681279736
"GO:0071840"	126	3	2	61.4775427006741	2.34014438172749	0.104837435731791
"GO:0044267"	126	3	2	58.7087261625313	2.79839398815996	0.0690502643982103
"GO:0055114"	126	3	2	61.5039951337429	5.67431057933833	0.00547572917452135
"GO:0097367"	126	3	2	60.2890829745663	4.35808644086159	0.0170694218127778
"GO:0017076"	126	3	2	60.2174641509549	4.30385883910983	0.0179037370839978
"GO:0044283"	126	3	2	63.9209559929114	7.32309466820845	0.00136903418813459
"GO:0032553"	126	3	2	60.1997386406264	4.31529274996922	0.0177269007174664
"GO:0007155"	126	3	2	81.9100347189063	1.30979718135308	0.275466640205868
"GO:0022610"	126	3	2	81.7523918791145	1.35790105353308	0.262938844579716
"GO:0032555"	126	3	2	60.1495491653462	4.26266938842992	0.0185664157261899
"GO:0043603"	126	3	2	60.4796130758938	4.04637731697536	0.0224241856283021
"GO:0035639"	126	3	2	60.1230229096518	4.23198177283112	0.019074540850312
"GO:0016853"	126	3	2	63.5366778666573	7.64187577771974	0.00106176742572911
"GO:0060089"	126	3	2	77.7940729539435	1.1814851847649	0.312266953002537
"GO:0038023"	126	3	2	79.0610057983941	1.14906259775889	0.322169008402255
"GO:0043604"	126	3	2	60.0040071036891	3.72858850683149	0.0297636979594099
"GO:0015925"	126	3	2	81.9316938810171	1.12860935779177	0.328459240456024
"GO:0004557"	126	3	2	81.9594997599809	1.08233268149698	0.343596765658648
"GO:0004888"	126	3	2	81.8422941428769	1.11202495924472	0.333809873041286
"GO:0007186"	126	3	2	81.9195664005955	1.04312384003988	0.35698464809138
