"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"X"
"208224"	3807.4368264228	-10.5582128063359	1.04905637153631	-10.0644856585483	7.93007448884206e-24	9.7834988751877e-22	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter kobei"	NA
"2126319"	3359.1049371498	-11.7232262884439	0.865994255532056	-13.5373026016683	9.41842990911907e-42	8.32746177797944e-39	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. PMC12"	NA
"29370"	2600.5601516588	-12.3356310873101	1.22218060371593	-10.0931327577976	5.9247877258361e-24	7.6660972891611e-22	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lacrimispora"	"Lacrimispora sphenoides"	NA
"172042"	1971.06293484086	-11.0193518731738	1.11327907222397	-9.89810385203839	4.24242021076288e-23	4.50120784361941e-21	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	"Rothia aeria"	NA
"1532"	1562.71227459444	-30	1.94498552629791	-15.4242793040739	1.12402915106837e-53	1.49074366160443e-50	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"Blautia coccoides"	NA
"436515"	1260.13490906697	-12.2066310621864	0.874471178527149	-13.958871786656	2.77796535460889e-44	2.94742124124003e-41	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax boronicumulans"	NA
"1338689"	595.490442054183	-11.7759898730366	1.58000981419274	-7.45311185237997	9.11639298479573e-14	1.47897445823674e-12	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. JY-Q"	NA
"1596"	554.515072719566	-10.8723493038309	1.44407192228538	-7.52895277308931	5.11488775937321e-14	8.95527378332505e-13	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus gasseri"	NA
"2496265"	508.619517615101	-10.8483833909335	0.94042444115484	-11.5356246777378	8.72514892324686e-31	3.08579433585497e-28	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Jeotgalibaca"	"Jeotgalibaca ciconiae"	NA
"57706"	338.153043584155	-10.9728220531322	1.01543205849158	-10.8060622681464	3.22205790788931e-27	7.12209050056365e-25	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Citrobacter"	"Citrobacter braakii"	NA
"1656"	321.045531398191	-11.9472985996905	1.17107757713864	-10.2019702476774	1.94290467564903e-24	2.78570521738327e-22	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces viscosus"	NA
"1827481"	288.473174240951	-29.6477151947657	2.7008215221919	-10.9772952233825	4.9141745615591e-28	1.24141409757481e-25	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter sp. ODB01"	NA
"1904944"	269.732203516791	-10.3020255094894	1.41939616989601	-7.2580338935564	3.92757152788467e-13	5.51210766016619e-12	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Stenotrophomonas sp. LM091"	NA
"1118963"	234.45970340284	-11.6819396248079	1.69535264794171	-6.89056618337826	5.55707649720801e-12	5.59398307736024e-11	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"Arthrobacter sp. Rue61a"	NA
"421000"	232.621286226963	-29.1198999208043	3.12326189279828	-9.32355368211356	1.12507510963807e-20	7.55509298307587e-19	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Sulfitobacter"	"Sulfitobacter donghicola"	NA
"2594456"	193.50349296305	-10.2874477983928	1.39521757591184	-7.37336453898201	1.66374732614381e-13	2.50033415444559e-12	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"Streptomyces sp. RLB3-5"	NA
"231049"	181.207440985134	-10.0292757625028	0.870856811087933	-11.5165612013455	1.08869722451353e-30	3.60971173502766e-28	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus rossiae"	NA
"92706"	175.533451882512	-29.6130219124936	3.39364684682033	-8.72601754075839	2.63797786736629e-18	1.13776199889253e-16	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"[Brevibacterium] flavum"	NA
"33040"	159.170781579876	-10.158347276817	1.27744434376308	-7.95208599608546	1.83396869964527e-15	4.5042610887121e-14	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus milleri"	NA
"1837130"	150.997439957816	-28.6770824546047	2.46411832833147	-11.6378674371628	2.64547674434954e-31	1.16952117739786e-28	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus sp. FJAT-14266"	NA
"1633"	149.240419662103	-11.5469503076407	1.05857855470216	-10.9079767924162	1.05579934239833e-27	2.54591614155598e-25	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus vaginalis"	NA
"2077147"	126.32735209616	-10.8441136736903	2.13369506062233	-5.08231652864557	3.72859396179381e-07	1.04051504299401e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Citrobacter"	"Citrobacter freundii complex sp. CFNIH3"	NA
"1473112"	120.867451237519	-11.2494747753048	1.26251922525255	-8.910339383588	5.08765842470278e-19	2.58483829560667e-17	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Paenibacillus"	"Paenibacillus guangzhouensis"	NA
"1920128"	117.569097019449	-28.154058683791	1.62336081071731	-17.3430690810816	2.22531143496808e-67	5.90263858125282e-64	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	NA	"Enterobacteriaceae bacterium ENNIH3"	NA
"885040"	94.5374790830478	-12.7769882065422	1.50346146097571	-8.4983809284012	1.922533189469e-17	7.03381970354002e-16	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter soli"	NA
"2507162"	85.5869466270977	-10.3302011499489	1.03380721160343	-9.99238642756884	1.64571184610609e-23	1.94011140968729e-21	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Caproiciproducens"	"Caproiciproducens sp. NJN-50"	NA
"1573704"	80.9711668981811	-10.7738396216555	1.37852652058605	-7.8154750458303	5.47561251081284e-15	1.23609039871754e-13	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. R32"	NA
"1795"	53.8216488724459	-27.2139972861597	2.16323686479112	-12.5802207465559	2.71270794352847e-36	1.79886445505232e-33	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycolicibacterium"	"Mycolicibacterium neoaurum"	NA
"721785"	53.7698006943504	-11.8758899127817	1.24989230329078	-9.5015305570842	2.06827651496786e-21	1.68803183260069e-19	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Acidovorax"	"Acidovorax ebreus"	NA
"1233873"	52.6117901330366	-10.0609123527462	1.28316518771814	-7.84069927164841	4.48044296344016e-15	1.03793667777511e-13	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Geobacillus"	"Geobacillus sp. GHH01"	NA
"2083052"	48.8417009311711	-27.1127424630285	2.33333698349187	-11.6197285925044	3.27173954637682e-31	1.33512140719454e-28	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. SWI36"	NA
"2479393"	44.0169871723587	-26.9895596355723	2.91835623332021	-9.24820600289303	2.28292020830287e-20	1.47693801281058e-18	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. LTGT-11-2Z"	NA
"2153385"	40.4383155349494	-11.5193686208911	1.22085582533961	-9.43548646924516	3.89184076087484e-21	2.90791763893536e-19	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Lelliottia"	"Lelliottia sp. WB101"	NA
"253239"	37.8179150991307	-10.1804166341817	1.29986232215704	-7.83191916609134	4.80478428161858e-15	1.09868019887873e-13	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ethanoligenens"	"Ethanoligenens harbinense"	NA
"2069256"	35.3327736162423	-11.7248924517173	2.01801511593365	-5.81011131142729	6.24313188396617e-09	2.73717476400335e-08	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. XWY-1"	NA
"1930546"	35.279637277294	-26.4828733423071	1.63219305704424	-16.2253314508428	3.33910232380037e-59	5.90464594258698e-56	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Sporosarcina"	"Sporosarcina sp. P37"	NA
"1522"	32.3280548023392	-26.8334784738045	3.39524908124097	-7.90324298210157	2.71739138462975e-15	6.40700502020481e-14	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelatoclostridium"	"[Clostridium] innocuum"	NA
"1546149"	29.9939088202659	-10.9043363785106	1.24147684732811	-8.78335862805555	1.5866427010078e-18	7.19413634944134e-17	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Diaphorobacter"	"Diaphorobacter polyhydroxybutyrativorans"	NA
"2040586"	25.4677758742004	-10.2609341937612	2.18453683268936	-4.69707538926183	2.63913062139874e-06	6.07137378426726e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Stenotrophomonas sp. Pemsol"	NA
"399742"	24.7655249073638	-12.6384170896836	1.24377841322488	-10.1613092455227	2.9508692161578e-24	4.01393876710696e-22	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter sp. 638"	NA
"1096856"	24.0988730861028	-26.6443293494067	2.17650906580039	-12.2417727396915	1.85926783533674e-34	1.09593509627349e-31	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Pseudonocardia"	"Pseudonocardia sp. EC080619-01"	NA
"2654284"	23.277629802886	-25.6883376529286	1.46065558426129	-17.5868547861132	3.10648010462351e-69	1.64798769550277e-65	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA	"Bacillaceae bacterium C02"	NA
"1316410"	13.096690574909	-25.8175212702928	3.39644504408132	-7.6013363782472	2.93088176085025e-14	5.47476328919387e-13	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus sp. HSISS1"	NA
"2490939"	12.782379601365	-24.4067785410239	2.02253253572742	-12.0674343230013	1.56951669339088e-33	8.32628605843864e-31	"Bacteria"	"Cyanobacteria"	NA	"Nostocales"	"Nostocaceae"	"Anabaena"	"Anabaena sp. YBS01"	NA
"1319"	10.7419129612082	-25.4047843992757	2.49832848357837	-10.1687126277679	2.73499458170316e-24	3.81819638314086e-22	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus sp. 'group B'"	NA
"2699179"	7.61996104128162	-24.4546485637976	2.39572207091551	-10.2076317034773	1.83283779264295e-24	2.70089013610302e-22	"Bacteria"	"Candidatus Saccharibacteria"	NA	NA	NA	NA	"Candidatus Saccharibacteria bacterium oral taxon 488"	NA
"2109687"	7.18693953719358	-10.0887258013145	2.50485261995413	-4.0276724151137	5.63317558404973e-05	9.86921944299333e-05	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Oscillospiraceae"	"Oscillibacter"	"Oscillibacter sp. PEA192"	NA
