"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"X"
"208224"	3807.4368264228	-10.2458327730312	1.12746656689332	-9.08748256834179	1.01358650569707e-19	1.58149306256558e-17	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter kobei"	NA
"29370"	2600.5601516588	-14.00459905034	1.32808342500563	-10.5449693796763	5.35903113376262e-26	4.06138002351581e-23	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lacrimispora"	"Lacrimispora sphenoides"	NA
"1532"	1562.71227459444	-10.9011190523809	2.06919746848135	-5.26828358261119	1.3770526243817e-07	4.93168776885032e-07	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"Blautia coccoides"	NA
"1338689"	595.490442054183	-10.9120223446259	1.69393936418678	-6.44180221283453	1.1806307620938e-10	1.16417215481554e-09	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. JY-Q"	NA
"1596"	554.515072719566	-10.7977891660146	1.55248040900721	-6.95518545893898	3.5209853020933e-12	5.67745502358813e-11	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus gasseri"	NA
"106649"	438.730578464969	-10.6797363876878	1.08204755375142	-9.86993256503518	5.62023817257058e-23	1.86346021909293e-20	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	"Acinetobacter guillouiae"	NA
"1656"	321.045531398191	-10.7161564657837	1.24512494334515	-8.60649087712735	7.53311417136349e-18	6.66052844651389e-16	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces viscosus"	NA
"1827481"	288.473174240951	-14.0159145594882	2.91485328608533	-4.80844597784601	1.52108121360526e-06	4.02661468970854e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter sp. ODB01"	NA
"1904944"	269.732203516791	-11.1960043378605	1.53499802541726	-7.29382328346456	3.01280561423013e-13	7.3316210016013e-12	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Stenotrophomonas sp. LM091"	NA
"92706"	175.533451882512	-34.4101287515163	3.66957482482222	-9.37714323707337	6.77843844194546e-21	1.43838463738083e-18	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"[Brevibacterium] flavum"	NA
