tax_name	SRR7796663	SRR7788533	SRR7788532	SRR7788531	SRR7788530	SRR7788529	SRR7788528	SRR7788527	SRR7788526	SRR7788525	SRR7788524	SRR7788523	SRR7788522	SRR7788521	SRR7788520	SRR7788519	SRR7788518	SRR7788517	SRR7788516	SRR7788515	SRR7788514	SRR7788513	SRR7638297	SRR7638296	SRR7638295	SRR7638294	SRR7638293	SRR7638292	SRR7638291	SRR7638290	SRR7638289	SRR7638288	SRR7638287	SRR7638286	SRR7638285	SRR7638284	SRR7638283	SRR7638282	SRR7638281	SRR7638280	SRR7638279	SRR7638278	SRR7638277	SRR5787585	SRR5787584	SRR5787583	SRR5787582	SRR5787581	SRR11059947	SRR11059946	SRR11059945	SRR11059944	SRR11059943	SRR11059942	SRR11059941	SRR11059940	SRR10152593	SRR10152588	SRR10152587	CRR125998	CRR125949	CRR125948	CRR125947	CRR125946	CRR125945	CRR125944	CRR125943	CRR125942
-1	0	100	100	100	0	0	0	0	100	0	0	100	0	0	100	0	100	100	0	100	100	0	0	0	0	0	100	0	0	100	0	0	100	0	0	0	100	0	0	100	0	0	0	0	0	0	0	0	100	100	100	100	100	100	100	100	0	0	0	0	100	100	100	100	0	0	0	0
2	100	0	0	0	100	100	100	100	0	100	100	0	100	100	0	0	0	0	100	0	0	100	100	100	100	100	0	100	100	0	100	100	0	100	100	49.79383	0	100	100	0	100	100	100	100	100	100	100	100	0	0	0	0	0	0	0	0	100	100	100	100	0	0	0	0	100	100	100	100
194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01179	0.89869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20365	0
199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20365	0
204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.52086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49512	0	0	0	0	0	0	0	0	0
481	0	0	0	0	0	0	0	0	0	0	47.90519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.91838	0	0	0	0	0	0	0	0	0	0	0	0	11.4989	5.1543	33.02519	0	10.88098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
482	0	0	0	0	0	0	0	0	0	0	47.90519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.91838	0	0	0	0	0	0	0	0	0	0	0	0	11.4989	4.0283	27.49155	0	10.88098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11075	14.83303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
