"V1"	"V2"	"V3"
"GO:0000002-mitochondrial genome maintenance-mitochondrial genome maintenance"	0.00162878478546302	0.0668941196944544	0.495170258165006
"GO:0000003-reproduction-reproduction"	0.0844610324180578	0.0795947636074835	0.630325734619841
"GO:0000006-high-affinity zinc transmembrane transporter activity-high-affinity zinc transmembrane transporter activity"	0.00162878537448122	0.000880449823583726	0.453319470895149
"GO:0000009-alpha-1,6-mannosyltransferase activity-alpha-1,6-mannosyltransferase activity"	0.0339982707730849	0.00993444206951219	0.154674839063296
"GO:0000011-vacuole inheritance-vacuole inheritance"	0.00162877839070873	0.000885323196322034	0.0505456029424905
"GO:0000014-single-stranded DNA endodeoxyribonuclease activity-single-stranded DNA endodeoxyribonuclease activity"	0.117044544242493	0.077378919833516	0.683033813159145
"GO:0000018-regulation of DNA recombination-regulation of DNA recombination"	0.660531111710283	0.239712817057055	3.00865493932764
"GO:0000019-regulation of mitotic recombination-regulation of mitotic recombination"	0.0178173627437524	0.000880251239514963	0.319912030581858
"GO:0000023-maltose metabolic process-maltose metabolic process"	0.345432251342752	0.154482775704166	2.17320163209366
"GO:0000025-maltose catabolic process-maltose catabolic process"	0.0358354999377602	0.000878809376461513	0.55531291283017
"GO:0000026-alpha-1,2-mannosyltransferase activity-alpha-1,2-mannosyltransferase activity"	0.00162878012627923	0.0098904603102782	0.102976381693883
"GO:0000027-ribosomal large subunit assembly-ribosomal large subunit assembly"	0.513379576074689	0.256608853479402	3.16785749495439
"GO:0000028-ribosomal small subunit assembly-ribosomal small subunit assembly"	0.319052484924786	0.133512064576717	1.38827390502617
"GO:0000030-mannosyltransferase activity-mannosyltransferase activity"	0.810813603233336	0.306684066988355	3.09026688155582
"GO:0000032-cell wall mannoprotein biosynthetic process-cell wall mannoprotein biosynthetic process"	0.00162878526130587	0.000882334718074771	0.23261420429957
"GO:0000033-alpha-1,3-mannosyltransferase activity-alpha-1,3-mannosyltransferase activity"	0.00162876767463716	0.000884896486260889	0.0505455327228836
"GO:0000034-adenine deaminase activity-adenine deaminase activity"	0.22766600361348	0.123678130901969	1.88609475798999
"GO:0000035-acyl binding-acyl binding"	0.0339993537271239	0.00989041499418098	0.362882618022254
"GO:0000036-acyl carrier activity-acyl carrier activity"	0.222160821336252	0.113255213264056	2.25208360740094
"GO:0000038-very long-chain fatty acid metabolic process-very long-chain fatty acid metabolic process"	0.0178173995617393	0.000884803481280934	0.100638719102765
"GO:0000041-transition metal ion transport-transition metal ion transport"	4.04373304499066	1.0544972510565	16.4769819710601
"GO:0000045-autophagosome assembly-autophagosome assembly"	0.0367228756964626	0.0191822659243916	0.0528525753245425
"GO:0000048-peptidyltransferase activity-peptidyltransferase activity"	0.00162877630082588	0.00997925858878872	0.00456030168425065
"GO:0000049-tRNA binding-tRNA binding"	7.47247718847159	1.23105324272104	14.1247000125355
"GO:0000050-urea cycle-urea cycle"	0.338893950630136	0.136065687451098	2.48729477278862
"GO:0000052-citrulline metabolic process-citrulline metabolic process"	0.0181147315741908	0.000883848354739585	0.112255923124185
"GO:0000053-argininosuccinate metabolic process-argininosuccinate metabolic process"	0.0546721563915612	0.0397883651742133	0.627222776278551
"GO:0000054-ribosomal subunit export from nucleus-ribosomal subunit export from nucleus"	1.14125528086326	0.19928098532703	0.919582685412658
"GO:0000055-ribosomal large subunit export from nucleus-ribosomal large subunit export from nucleus"	1.14125527959856	0.199280978944556	0.686816514392645
"GO:0000062-fatty-acyl-CoA binding-fatty-acyl-CoA binding"	0.0719519812305583	0.0465988934864058	0.576271175567064
"GO:0000064-L-ornithine transmembrane transporter activity-L-ornithine transmembrane transporter activity"	0.0178174659718921	0.027829812032249	0.871346131207085
"GO:0000070-mitotic sister chromatid segregation-mitotic sister chromatid segregation"	0.367722822847371	0.113829654034488	0.477390721376517
"GO:0000075-cell cycle checkpoint-cell cycle checkpoint"	0.450166358496758	0.119524351385315	0.818004310968811
"GO:0000076-DNA replication checkpoint-DNA replication checkpoint"	0.0350977767247386	0.0391408589119241	0.223766970989232
"GO:0000077-DNA damage checkpoint-DNA damage checkpoint"	0.412762870454648	0.116181987179001	0.529309133453565
"GO:0000079-regulation of cyclin-dependent protein serine/threonine kinase activity-regulation of cyclin-dependent protein serine/threonine kinase activity"	0.0682781988865412	0.0190117987649822	0.290609591467279
"GO:0000082-G1/S transition of mitotic cell cycle-G1/S transition of mitotic cell cycle"	0.0354582674662547	0.0098902566225169	0.0964381324946704
"GO:0000083-regulation of transcription involved in G1/S transition of mitotic cell cycle-regulation of transcription involved in G1/S transition of mitotic cell cycle"	0.00162877910175119	0.000885229178454442	0.0964381302792645
"GO:0000086-G2/M transition of mitotic cell cycle-G2/M transition of mitotic cell cycle"	0.0339993533436195	0.0100547854905955	0.0505455342036703
"GO:0000096-sulfur amino acid metabolic process-sulfur amino acid metabolic process"	2.64925900868684	0.802135929998694	12.5448848211791
"GO:0000097-sulfur amino acid biosynthetic process-sulfur amino acid biosynthetic process"	2.48848414729803	0.777472412143536	11.9542161250729
"GO:0000098-sulfur amino acid catabolic process-sulfur amino acid catabolic process"	0.00162878489042388	0.0188443211581203	0.625731709548639
"GO:0000099-sulfur amino acid transmembrane transporter activity-sulfur amino acid transmembrane transporter activity"	0.17836975536445	0.0594623145113873	1.10318064847387
"GO:0000100-S-methylmethionine transmembrane transporter activity-S-methylmethionine transmembrane transporter activity"	0.0178255559849512	0.000880565732831374	0.355713204674326
"GO:0000101-sulfur amino acid transport-sulfur amino acid transport"	0.532537054329636	0.238073142964237	3.75892000165359
"GO:0000102-L-methionine secondary active transmembrane transporter activity-L-methionine secondary active transmembrane transporter activity"	0.00162878429277737	0.000884006484002615	0.157395024744106
"GO:0000103-sulfate assimilation-sulfate assimilation"	0.806891427817519	0.262450243141302	3.08683880378046
"GO:0000104-succinate dehydrogenase activity-succinate dehydrogenase activity"	0.901979253128537	0.394730122451222	5.29830764064974
"GO:0000105-histidine biosynthetic process-histidine biosynthetic process"	1.31198497166852	0.479262529831364	5.92397009493293
"GO:0000107-imidazoleglycerol-phosphate synthase activity-imidazoleglycerol-phosphate synthase activity"	0.42236546194777	0.179386327186458	2.5177274262889
"GO:0000122-negative regulation of transcription by RNA polymerase II-negative regulation of transcription by RNA polymerase II"	0.342779445622373	0.196264272679592	1.11287108754391
"GO:0000132-establishment of mitotic spindle orientation-establishment of mitotic spindle orientation"	0.017817441297585	0.00088477523331895	0.00456070072872992
"GO:0000140-acylglycerone-phosphate reductase activity-acylglycerone-phosphate reductase activity"	0.0182643105486977	0.000882405880084944	0.17976344548762
"GO:0000147-actin cortical patch assembly-actin cortical patch assembly"	0.00162877758622837	0.0100550951173536	0.0505455380210471
"GO:0000149-SNARE binding-SNARE binding"	0.00162878333713086	0.0193278166165619	0.0528525574588007
"GO:0000150-recombinase activity-recombinase activity"	2.16365330343139	0.738568776569744	7.03259784750206
"GO:0000154-rRNA modification-rRNA modification"	8.82297013688472	1.0984543761132	11.2758825362663
"GO:0000155-phosphorelay sensor kinase activity-phosphorelay sensor kinase activity"	4.92924871397936	1.04398050919089	19.5616588639308
"GO:0000156-phosphorelay response regulator activity-phosphorelay response regulator activity"	0.743995842414514	0.338067715101811	4.06681315035905
