feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0004252.serine.type.endopeptidase.activity.serine.type.endopeptidase.activity	outcome	Stabilized	0.000321522838300091	8.31151284111916e-05	25	0	0.000184324621314041	0.199230384759386
GO.0090501.RNA.phosphodiester.bond.hydrolysis.RNA.phosphodiester.bond.hydrolysis	outcome	Stabilized	-0.00197869941754587	0.000411021400763286	25	15	0.000189924103679109	0.199230384759386
GO.0000049.tRNA.binding.tRNA.binding	outcome	Recovered	0.000175999095453164	6.95515474431016e-05	25	0	0.0228161191712101	0.390874472857338
GO.0000271.polysaccharide.biosynthetic.process.polysaccharide.biosynthetic.process	outcome	Recovered	0.000806051015696504	0.000358420376053819	25	2	0.0394973251886347	0.390874472857338
GO.0000413.protein.peptidyl.prolyl.isomerization.protein.peptidyl.prolyl.isomerization	outcome	Recovered	6.50212116143498e-05	2.86338173303842e-05	25	0	0.0236791625734283	0.390874472857338
GO.0001882.nucleoside.binding.nucleoside.binding	outcome	Recovered	0.000254516372322973	0.000102525840501398	25	0	0.0250309856410502	0.390874472857338
GO.0001883.purine.nucleoside.binding.purine.nucleoside.binding	outcome	Recovered	0.0002341742860897	9.47100963351161e-05	25	0	0.0255112725563486	0.390874472857338
GO.0002134.UTP.binding.UTP.binding	outcome	Stabilized	-0.000661244807420587	0.000256688597437764	25	2	0.0202794174611039	0.390874472857338
GO.0002134.UTP.binding.UTP.binding	outcome	Recovered	-0.000676060063845038	0.000287745389967854	25	2	0.0319491673391932	0.390874472857338
GO.0003697.single.stranded.DNA.binding.single.stranded.DNA.binding	outcome	Recovered	5.69040118047116e-05	2.56235431603338e-05	25	0	0.0277937330393667	0.390874472857338
GO.0003723.RNA.binding.RNA.binding	outcome	Recovered	0.00151674082682782	0.000459386560469362	25	23	0.00465394606832255	0.390874472857338
GO.0003729.mRNA.binding.mRNA.binding	outcome	Recovered	5.65241045340492e-05	2.25909649643422e-05	25	0	0.0124008205250351	0.390874472857338
GO.0003735.structural.constituent.of.ribosome.structural.constituent.of.ribosome	outcome	Recovered	0.000775000740728914	0.000282527934618652	25	2	0.0144492759370628	0.390874472857338
GO.0003743.translation.initiation.factor.activity.translation.initiation.factor.activity	outcome	Recovered	6.05121208456054e-05	2.88429590341865e-05	25	0	0.0375630569102447	0.390874472857338
GO.0003746.translation.elongation.factor.activity.translation.elongation.factor.activity	outcome	Recovered	0.000167218171644445	6.23752135745513e-05	25	0	0.0168432141179884	0.390874472857338
GO.0003755.peptidyl.prolyl.cis.trans.isomerase.activity.peptidyl.prolyl.cis.trans.isomerase.activity	outcome	Recovered	6.50212116143498e-05	2.86338173303842e-05	25	0	0.0236791625734283	0.390874472857338
GO.0003899.DNA.directed.5.3.RNA.polymerase.activity.DNA.directed.5.3.RNA.polymerase.activity	outcome	Recovered	0.000123716831110594	4.81978504116192e-05	25	0	0.0211058752669375	0.390874472857338
GO.0003924.GTPase.activity.GTPase.activity	outcome	Recovered	0.000198758131916766	7.79291344957228e-05	25	0	0.0219210657834986	0.390874472857338
