"Depth","Depth 1 Parent(s)","NameSpace"
2,"GO:0003824 | catalytic activity","Molecular Function"
2,"GO:0003824 | catalytic activity","Molecular Function"
3,"GO:0003824 | catalytic activity","Molecular Function"
4,"GO:0003824 | catalytic activity","Molecular Function"
2,"GO:0005488 | binding","Molecular Function"
2,"GO:0008152 | metabolic process","Biological Process"
2,"GO:0008152 | metabolic process","Biological Process"
2,"GO:0008152 | metabolic process","Biological Process"
2,"GO:0008152 | metabolic process","Biological Process"
3,"GO:0008152 | metabolic process","Biological Process"
3,"GO:0008152 | metabolic process","Biological Process"
3,"GO:0008152 | metabolic process","Biological Process"
3,"GO:0008152 | metabolic process","Biological Process"
2,"GO:0008152 metabolic process | GO:0009987  cellular process","Biological Process"
3,"GO:0008152 metabolic process | GO:0009987  cellular process","Biological Process"
3,"GO:0008152 metabolic process | GO:0009987  cellular process","Biological Process"
3,"GO:0008152 metabolic process | GO:0009987  cellular process","Biological Process"
4,"GO:0008152 metabolic process | GO:0009987  cellular process","Biological Process"
2,"GO:0065007 | biological regulation","Biological Process"
3,"GO:0065007 | biological regulation","Biological Process"
2,"GO:0044419 | interspecies interaction between organisms","Biological Process"
2,"GO:0044419 | interspecies interaction between organisms","Biological Process"
3,"GO:0044419 | interspecies interaction between organisms","Biological Process"
3,"GO:0044419 | interspecies interaction between organisms","Biological Process"
3,"GO:0044419 | interspecies interaction between organisms","Biological Process"
4,"GO:0044419 | interspecies interaction between organisms","Biological Process"
5,"GO:0044419 | interspecies interaction between organisms","Biological Process"
5,"GO:0044419 | interspecies interaction between organisms","Biological Process"
6,"GO:0044419 | interspecies interaction between organisms","Biological Process"
