"taxon_id"	"treatment_1"	"treatment_2"	"log2_median_ratio"	"median_diff"	"mean_diff"	"wilcox_p_value"	"p.adjust"	"pseq_obj_filt$taxon_names()"	"OTU"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"239759"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	NA
"acn"	"Survived"	"Deceased"	-2.24477723296966	-0.40317591739152	-0.296801543765494	0.016275896670297	0.124288665482268	"Burkholderiales"	"1296669"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Aquabacterium"	"Aquabacterium olei"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"820"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides uniformis"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"329854"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"Bacteroides intestinalis"
"acw"	"Survived"	"Deceased"	5.17557619240574	0.099796259505237	0.101559012556157	0.00961649065700755	0.124288665482268	"Bacteroidales"	"2093856"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Odoribacteraceae"	"Butyricimonas"	"Butyricimonas faecalis"
"aat"	"Survived"	"Deceased"	-2.28842310255787	-0.424510179692272	-0.29646428187311	0.0264161333349649	0.184912933344755	"Betaproteobacteria"	"522306"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	NA	NA	"Candidatus Accumulibacter"	"Candidatus Accumulibacter phosphatis"
"aat"	"Survived"	"Deceased"	-2.28842310255787	-0.424510179692272	-0.29646428187311	0.0264161333349649	0.184912933344755	"Betaproteobacteria"	"1576550"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	NA	NA	"Candidatus Kinetoplastibacterium"	"Candidatus Kinetoplastibacterium sorsogonicusi"
"aat"	"Survived"	"Deceased"	-2.28842310255787	-0.424510179692272	-0.29646428187311	0.0264161333349649	0.184912933344755	"Betaproteobacteria"	"669502"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	NA	NA	"Candidatus Profftella"	"Candidatus Profftella armatura"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"946483"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Candidatus Symbiobacter"	"Candidatus Symbiobacter mobilis"
"agd"	"Survived"	"Deceased"	-2.25003105307073	-0.36149784489675	-0.370836557283379	0.000164588406612905	0.00691271307774202	"Comamonadaceae"	"1844971"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Curvibacter"	"Curvibacter sp. AEP1-3"
