	namespace	depth	name	baseMean	log2FoldChange	lfcSE	pvalue	padj
GO:0004527	molecular_function	5	exonuclease activity	211978.328686861	10.0926400981705	0.359587659224471	2.98577269650874e-176	5.32960426326811e-172
GO:0000175	molecular_function	8	3'-5'-exoribonuclease activity	195470.424728943	12.4079758397099	0.445471083333462	2.53263751631313e-174	2.26037898330947e-170
GO:1901986	biological_process	5	response to ketamine	23.8350077198437	-25.8845126616727	0.984866101835277	4.51494405537033e-153	2.68639171294535e-149
GO:0034593	molecular_function	7	phosphatidylinositol bisphosphate phosphatase activity	33.9841725535901	-26.4977532835493	1.0164656548221	1.16827446064205e-150	5.21342478061513e-147
GO:0016896	molecular_function	7	exoribonuclease activity, producing 5'-phosphomonoesters	221562.37524147	15.2957191589416	0.599402648579003	2.96042022998656e-149	1.0568700221052e-145
GO:0009720	biological_process	5	detection of hormone stimulus	46.1222863357463	-27.1912894446522	1.05391715925894	1.15407746012347e-147	3.43338044386732e-144
GO:0090320	biological_process	5	regulation of chylomicron remnant clearance	21.2432184207219	-25.9203186482282	1.00507188621437	1.70900305080232e-147	4.35795777954592e-144
GO:0035397	biological_process	8	helper T cell enhancement of adaptive immune response	22.9016297083457	-26.2392662566709	1.02158479203414	2.48019248355778e-146	5.53392947893829e-143
GO:0031073	molecular_function	5	cholesterol 26-hydroxylase activity	36.2329181687486	-26.8396887661365	1.04626347119148	5.33779152677331e-146	1.05866198614337e-142
GO:0043602	biological_process	6	nitrate catabolic process	28.2320112899137	-26.103383196565	1.02461953105363	5.2545919814095e-144	8.52676971528723e-141
GO:0047726	molecular_function	4	iron-cytochrome-c reductase activity	28.2320112899137	-26.103383196565	1.02461953105363	5.2545919814095e-144	8.52676971528723e-141
GO:0008242	molecular_function	5	omega peptidase activity	222249.39327733	14.9086319530588	0.655839613753114	8.53669299191017e-120	1.26983308254664e-116
GO:0046911	molecular_function	5	metal chelating activity	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:0051651	biological_process	4	maintenance of location in cell	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1901628	biological_process	8	positive regulation of postsynaptic membrane organization	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1901630	biological_process	7	negative regulation of presynaptic membrane organization	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1903002	biological_process	7	positive regulation of lipid transport across blood-brain barrier	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1905855	biological_process	5	positive regulation of heparan sulfate binding	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1905860	biological_process	6	positive regulation of heparan sulfate proteoglycan binding	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1905890	biological_process	4	regulation of cellular response to very-low-density lipoprotein particle stimulus	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1905906	biological_process	6	regulation of amyloid fibril formation	37.3015475639802	-22.8811060817271	1.00482611998105	8.45615776232686e-116	7.18773409797783e-113
GO:0019079	biological_process	4	viral genome replication	222372.367395614	12.3430833541657	0.553938427404989	1.49026840006422e-113	1.20914958823392e-110
GO:0039648	biological_process	10	modulation by virus of host protein ubiquitination	211465.572442968	14.565561521042	0.760991476997283	8.13842189530727e-87	6.3161230796189e-84
GO:0039587	biological_process	7	suppression by virus of host tetherin activity	3845.2482705472	18.2336463762241	0.953342566764929	8.53434955572137e-86	6.34742248206777e-83
GO:0036459	molecular_function	7	thiol-dependent ubiquitinyl hydrolase activity	213317.878793946	8.74981158608879	0.464535956714596	4.39467369412137e-82	3.13779701760266e-79
GO:0009405	biological_process	2	pathogenesis	43025.0182404636	7.5812352139061	0.414078634495804	1.43275997104961e-77	9.8364482627829e-75
GO:0039646	biological_process	9	modulation by virus of host G0/G1 transition checkpoint	6472.11410845811	18.2576268517309	1.03957497272733	2.70972172063973e-73	1.79142713753405e-70
GO:0039511	biological_process	9	suppression by virus of host interferon receptor activity	2080.10795325184	17.5218111593709	1.00846947548913	1.50259966810131e-72	9.57907288414582e-70
GO:2001179	biological_process	9	regulation of interleukin-10 secretion	614.214733212347	-15.3690540073203	0.930432965376131	7.97208347172601e-67	4.90695482656239e-64
GO:0008270	molecular_function	6	zinc ion binding	245930.144862513	5.66094080573271	0.336506499757422	5.58239802957187e-65	3.32152682759527e-62
GO:0002506	molecular_function	3	polysaccharide binding	1166.1141123446	-13.9105696222796	0.877103886316988	2.57925099659098e-61	1.4851493641661e-58
GO:0061025	biological_process	5	membrane fusion	44926.1710259753	9.14610739934849	0.581069308518654	8.7712900233376e-59	4.892735216143e-56
GO:0032673	biological_process	7	regulation of interleukin-4 production	666.011084386605	-13.6111479821048	0.910123874669715	5.09845433388771e-55	2.75780029878472e-52
GO:0019082	biological_process	4	viral protein processing	222847.492853491	10.1557720801551	0.670029031815917	7.02813016816864e-55	3.68976833828853e-52
GO:0006508	biological_process	5	proteolysis	262764.646179836	4.91860992223957	0.321738710045335	8.65954782846785e-54	4.4163693925186e-51
GO:0008233	molecular_function	3	peptidase activity	256699.876908375	5.18533447083531	0.344865329390981	2.83564740937219e-52	1.40600850714704e-49
GO:0042802	molecular_function	3	identical protein binding	234071.499250152	6.33007121906944	0.427739338603637	1.70899763036017e-51	8.24475883835921e-49
GO:0003676	molecular_function	3	nucleic acid binding	257378.277234335	4.96426586683778	0.338214402009339	7.88590601402488e-50	3.70430058816695e-47
GO:0002381	biological_process	4	immunoglobulin production involved in immunoglobulin mediated immune response	727.044482153383	-12.3088843596219	0.881654944819552	6.50820917350232e-48	2.97875727556453e-45
GO:0046813	biological_process	6	receptor-mediated virion attachment to host cell	44777.3855801401	10.2443382708608	0.731439409746497	1.41555516043403e-47	6.31691490343684e-45
GO:0004386	molecular_function	8	helicase activity	236236.256683362	5.85553715628505	0.412236621398922	2.1174082634067e-47	9.21847256141697e-45
GO:0004518	molecular_function	4	nuclease activity	232943.306178273	6.18949761773743	0.443028765686208	3.37782686485066e-46	1.43557641756153e-43
GO:0090305	biological_process	6	nucleic acid phosphodiester bond hydrolysis	235520.643704882	5.93323847545833	0.424412183703696	4.49056142892763e-46	1.86410515131065e-43
GO:0003723	molecular_function	4	RNA binding	286541.440047591	4.72936848961048	0.345009285057976	1.05979760437854e-43	4.29940619049021e-41
GO:2001202	biological_process	10	negative regulation of transforming growth factor-beta secretion	1151.9418420588	-12.3343664543863	0.933748550914499	1.7578993816233e-43	6.97300088043908e-41
GO:0004519	molecular_function	5	endonuclease activity	234186.551884389	6.0488253579007	0.44952503929704	5.11424630334424e-43	1.98454992423249e-40
GO:0006351	biological_process	9	transcription, DNA-templated	235466.979045695	5.88458153847302	0.440076672460581	2.07086721965649e-42	7.86488933422729e-40
GO:0000166	molecular_function	4	nucleotide binding	283660.062482963	4.0095880042849	0.297536808527397	5.15373114501304e-42	1.91654376955172e-39
GO:1904237	biological_process	8	positive regulation of substrate-dependent cell migration, cell attachment to substrate	1142.93160039426	-12.0723089360879	0.930879797581024	5.60678146339165e-42	2.04247039023553e-39
GO:0019885	biological_process	5	antigen processing and presentation of endogenous peptide antigen via MHC class I	480.17715182891	-10.0783294724416	0.774357301138337	9.79738452721557e-42	3.49766627621596e-39
GO:0002480	biological_process	6	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	970.048822747109	-9.9073783940689	0.770285496967084	7.30623838553759e-41	2.55718343493816e-38
GO:0039502	biological_process	12	suppression by virus of host type I interferon-mediated signaling pathway	214419.475959392	9.4671714567684	0.738173044819125	1.21471027626341e-40	4.16972662140419e-38
GO:0032805	biological_process	9	positive regulation of low-density lipoprotein particle receptor catabolic process	37.7931148378134	-12.6310339234441	1.00145499566999	2.7160232617416e-40	9.14736136265804e-38
GO:0008234	molecular_function	5	cysteine-type peptidase activity	230111.899605876	6.55551614618649	0.507784711637791	3.17209483416586e-40	1.0485535701826e-37
GO:0090503	biological_process	8	RNA phosphodiester bond hydrolysis, exonucleolytic	233253.783472364	7.13800765478859	0.559577334789122	1.00097120858889e-39	3.24860655878395e-37
GO:0005524	molecular_function	8	ATP binding	296346.734217242	3.82384507106676	0.293467328402053	2.28615397282904e-39	7.28711578839256e-37
GO:0071288	biological_process	6	cellular response to mercury ion	836.815547275779	-12.2811262336943	0.996747374849414	1.61764204120339e-38	5.06577376061061e-36
GO:0002503	biological_process	8	peptide antigen assembly with MHC class II protein complex	1298.14141719424	-10.1319976902735	0.817997559805361	2.91700590505573e-38	8.9773371388353e-36
GO:0045657	biological_process	9	positive regulation of monocyte differentiation	1378.10427757376	-8.80749246686468	0.715622877256406	8.97247187663228e-38	2.71455293216756e-35
GO:0002476	biological_process	5	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	584.580265409068	-9.68853913252553	0.79248551846612	2.24657085040768e-37	6.5962769721051e-35
GO:0042609	molecular_function	4	CD4 receptor binding	1403.03429517297	-9.21831012046196	0.753849876210122	2.25418988962695e-37	6.5962769721051e-35
GO:0060742	biological_process	5	epithelial cell differentiation involved in prostate gland development	922.98563492155	-10.6376134037485	0.871899619620103	2.5179837544895e-37	7.24935645445768e-35
GO:2000491	biological_process	6	positive regulation of hepatic stellate cell activation	50.1406450915439	-11.9761089963434	0.992697872699055	5.24181298957263e-37	1.48518034704558e-34
GO:0033622	biological_process	6	integrin activation	1240.81259042445	-9.88930231789655	0.821680258961698	2.22270631514194e-36	6.19926683207558e-34
GO:1905000	biological_process	11	regulation of membrane repolarization during atrial cardiac muscle cell action potential	200.986112853984	-11.7360530455936	0.986228404141598	4.7517125819133e-36	1.28512226647201e-33
GO:1905031	biological_process	9	regulation of membrane repolarization during cardiac muscle cell action potential	200.986112853984	-11.7360530455936	0.986228404141598	4.7517125819133e-36	1.28512226647201e-33
GO:0002486	biological_process	7	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	470.785293624404	-10.1415460231688	0.849984324875287	7.45974863178522e-36	1.98741064294576e-33
GO:1904845	biological_process	7	cellular response to L-glutamine	131.067826305613	-11.4312745523993	0.962810834038723	8.44728705009224e-36	2.21741285064921e-33
GO:0010887	biological_process	7	negative regulation of cholesterol storage	108.321164895416	-9.94689382926961	0.835848359193394	1.1167777222777e-35	2.88905541197926e-33
GO:0006687	biological_process	7	glycosphingolipid metabolic process	1316.06246325954	-8.2249811279756	0.690585179091616	1.38221368634819e-35	3.52464490018789e-33
GO:0032655	biological_process	7	regulation of interleukin-12 production	282.457502342396	-10.6165414020343	0.897812458931982	2.33241708269041e-35	5.78245068416997e-33
GO:0039526	biological_process	10	modulation by virus of host apoptotic process	341.310492450754	10.0140263380345	0.845918921988547	2.32153272939366e-35	5.78245068416997e-33
GO:0001775	biological_process	2	cell activation	892.451940294736	-9.43476688583164	0.79676669495623	2.380226707827e-35	5.82014338831671e-33
GO:0032259	biological_process	2	methylation	243201.060181205	5.25278736482432	0.431734411847074	2.784588549382e-35	6.71687913600929e-33
GO:0010873	biological_process	8	positive regulation of cholesterol esterification	97.9308136233901	-10.2096250060213	0.865093840533196	3.44281783468566e-35	8.19390644655187e-33
GO:0002481	biological_process	6	antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent	243.616549319116	-11.2002396087407	0.952529669833654	3.83615258162201e-35	9.00991099762539e-33
GO:0004998	molecular_function	2	transferrin receptor activity	85.2071757542981	-10.1387251956923	0.859793103915784	3.91723701711952e-35	9.08086763059525e-33
GO:0004197	molecular_function	6	cysteine-type endopeptidase activity	229916.033830289	6.57461313760104	0.550121805580872	4.99633521835542e-35	1.14339209804672e-32
GO:0032395	molecular_function	4	MHC class II receptor activity	1818.91707335929	-8.78219200365354	0.746299964397793	6.22160922963527e-35	1.40576866770873e-32
GO:0008168	molecular_function	4	methyltransferase activity	243080.917215797	5.25814448903925	0.434652193092872	6.4442939380674e-35	1.43788308493129e-32
GO:0051139	molecular_function	9	metal ion:proton antiporter activity	71.5977297856093	-11.2137010696622	0.959554277911188	8.86153452744387e-35	1.95281964586263e-32
GO:0032632	biological_process	6	interleukin-3 production	71.0829538764865	-11.2037727055259	0.958995793992791	9.29566825343694e-35	1.97532950385535e-32
GO:0045342	biological_process	5	MHC class II biosynthetic process	71.0829538764865	-11.2037727055259	0.958995793992791	9.29566825343694e-35	1.97532950385535e-32
GO:0070839	biological_process	8	divalent metal ion export	71.0846409156369	-11.2038056375713	0.958997397947901	9.2938646662503e-35	1.97532950385535e-32
GO:0050921	biological_process	6	positive regulation of chemotaxis	919.207298097367	-9.27578357451078	0.791065903818244	9.4957422734624e-35	1.9941058774271e-32
GO:1901166	biological_process	7	neural crest cell migration involved in autonomic nervous system development	1162.78533973925	-10.4848940084897	0.896192914698284	1.07025917711771e-34	2.22141003622688e-32
GO:0010877	biological_process	6	lipid transport involved in lipid storage	37.2337057843851	-11.5777165181115	0.99646482204203	1.49371698638553e-34	3.0646951962048e-32
GO:0046977	molecular_function	3	TAP binding	587.524038523169	-9.38701457275651	0.803323523975286	1.51169984204341e-34	3.06634570232669e-32
GO:0045060	biological_process	4	negative thymic T cell selection	1139.17666628289	-8.13176733077271	0.695154612191857	1.81680962600062e-34	3.64382604765294e-32
GO:0007044	biological_process	6	cell-substrate junction assembly	1269.60935251629	-9.14700614311567	0.784007032811297	1.91978278227608e-34	3.80756918484756e-32
