	namespace	depth	name	baseMean	log2FoldChange	lfcSE	pvalue	padj
GO:0004527	molecular_function	5	exonuclease activity	211978.328686861	10.0926400981705	0.359587659224471	2.98577269650874e-176	5.32960426326811e-172
GO:0000175	molecular_function	8	3'-5'-exoribonuclease activity	195470.424728943	12.4079758397099	0.445471083333462	2.53263751631313e-174	2.26037898330947e-170
GO:1901986	biological_process	5	response to ketamine	23.8350077198437	-25.8845126616727	0.984866101835277	4.51494405537033e-153	2.68639171294535e-149
GO:0034593	molecular_function	7	phosphatidylinositol bisphosphate phosphatase activity	33.9841725535901	-26.4977532835493	1.0164656548221	1.16827446064205e-150	5.21342478061513e-147
GO:0016896	molecular_function	7	exoribonuclease activity, producing 5'-phosphomonoesters	221562.37524147	15.2957191589416	0.599402648579003	2.96042022998656e-149	1.0568700221052e-145
GO:0009720	biological_process	5	detection of hormone stimulus	46.1222863357463	-27.1912894446522	1.05391715925894	1.15407746012347e-147	3.43338044386732e-144
GO:0090320	biological_process	5	regulation of chylomicron remnant clearance	21.2432184207219	-25.9203186482282	1.00507188621437	1.70900305080232e-147	4.35795777954592e-144
GO:0035397	biological_process	8	helper T cell enhancement of adaptive immune response	22.9016297083457	-26.2392662566709	1.02158479203414	2.48019248355778e-146	5.53392947893829e-143
GO:0031073	molecular_function	5	cholesterol 26-hydroxylase activity	36.2329181687486	-26.8396887661365	1.04626347119148	5.33779152677331e-146	1.05866198614337e-142
GO:0043602	biological_process	6	nitrate catabolic process	28.2320112899137	-26.103383196565	1.02461953105363	5.2545919814095e-144	8.52676971528723e-141
GO:0047726	molecular_function	4	iron-cytochrome-c reductase activity	28.2320112899137	-26.103383196565	1.02461953105363	5.2545919814095e-144	8.52676971528723e-141
GO:0008242	molecular_function	5	omega peptidase activity	222249.39327733	14.9086319530588	0.655839613753114	8.53669299191017e-120	1.26983308254664e-116
GO:0046911	molecular_function	5	metal chelating activity	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:0051651	biological_process	4	maintenance of location in cell	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1901628	biological_process	8	positive regulation of postsynaptic membrane organization	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1901630	biological_process	7	negative regulation of presynaptic membrane organization	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1903002	biological_process	7	positive regulation of lipid transport across blood-brain barrier	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1905855	biological_process	5	positive regulation of heparan sulfate binding	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1905860	biological_process	6	positive regulation of heparan sulfate proteoglycan binding	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
GO:1905890	biological_process	4	regulation of cellular response to very-low-density lipoprotein particle stimulus	37.2093436099143	-22.996774753837	1.00453698349049	5.51136997122284e-117	4.91889769931639e-114
