	namespace	depth	name	baseMean	log2FoldChange	lfcSE	pvalue	padj
GO:0002906	biological_process	11	negative regulation of mature B cell apoptotic process	972.144461487554	-8.94085948396959	0.78634922461589	6.16759188614174e-33	9.91815451960632e-31
GO:0010757	biological_process	10	negative regulation of plasminogen activation	158.079458711103	-9.69062823938441	0.891161131653252	1.42874379262724e-30	1.79599131678847e-28
GO:0032233	biological_process	10	positive regulation of actin filament bundle assembly	396.663337548175	-6.94400706505371	0.643714459107004	1.80407349596784e-29	1.97562649711816e-27
GO:0032834	biological_process	13	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	55.3621087439843	-10.3843680704165	0.986506786367428	5.18079220868825e-29	4.99876437432893e-27
GO:0039502	biological_process	12	suppression by virus of host type I interferon-mediated signaling pathway	214419.475959392	9.4671714567684	0.738173044819125	1.21471027626341e-40	4.16972662140419e-38
GO:0039526	biological_process	10	modulation by virus of host apoptotic process	341.310492450754	10.0140263380345	0.845918921988547	2.32153272939366e-35	5.78245068416997e-33
GO:0039648	biological_process	10	modulation by virus of host protein ubiquitination	211465.572442968	14.565561521042	0.760991476997283	8.13842189530727e-87	6.3161230796189e-84
GO:0042270	biological_process	10	protection from natural killer cell mediated cytotoxicity	514.743226768835	-8.80440056520297	0.789822880282165	7.91555879455693e-32	1.15332395596543e-29
GO:0050731	biological_process	10	positive regulation of peptidyl-tyrosine phosphorylation	1656.55797949185	-6.37059097759273	0.581776852743855	7.11409943795354e-30	8.08832324633571e-28
GO:0050852	biological_process	10	T cell receptor signaling pathway	2526.35458385768	-6.38595483395108	0.576622130088565	1.74282725499191e-30	2.14548044838659e-28
GO:0060907	biological_process	10	positive regulation of macrophage cytokine production	953.671051996743	-8.85442726748423	0.777556055308423	5.13632997973257e-33	8.33486273983877e-31
GO:0070241	biological_process	11	positive regulation of activated T cell autonomous cell death	55.2780844937233	-10.4945206430171	0.995742575724018	4.36178211520306e-29	4.25452517794397e-27
GO:0070372	biological_process	10	regulation of ERK1 and ERK2 cascade	1309.71125364933	-7.5251961480257	0.703036851244972	2.21754549674682e-29	2.30134808819365e-27
GO:0090023	biological_process	11	positive regulation of neutrophil chemotaxis	1078.03524285393	-7.17775487244114	0.671550769193143	3.8851919046342e-29	3.83152903302323e-27
GO:1900163	biological_process	10	positive regulation of phospholipid scramblase activity	37.9231744421125	-10.4942905164462	0.94478029126618	9.21079320485956e-32	1.29458786383262e-29
GO:1902166	biological_process	11	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1036.15827286561	-7.73475720196457	0.711223123576425	2.81349654641551e-30	3.37053109755147e-28
GO:1905000	biological_process	11	regulation of membrane repolarization during atrial cardiac muscle cell action potential	200.986112853984	-11.7360530455936	0.986228404141598	4.7517125819133e-36	1.28512226647201e-33
GO:2000755	biological_process	10	positive regulation of sphingomyelin catabolic process	37.9231744421125	-10.4942905164462	0.94478029126618	9.21079320485956e-32	1.29458786383262e-29
GO:2001187	biological_process	10	positive regulation of CD8-positive, alpha-beta T cell activation	190.458252895528	-10.2801179481094	0.967803688889215	1.93563150115887e-29	2.09696082148216e-27
GO:2001202	biological_process	10	negative regulation of transforming growth factor-beta secretion	1151.9418420588	-12.3343664543863	0.933748550914499	1.7578993816233e-43	6.97300088043908e-41
