	namespace	depth	name	baseMean	log2FoldChange	lfcSE	pvalue	padj
GO:0039646	biological_process	9	modulation by virus of host G0/G1 transition checkpoint	6401.44793358758	29.9487337849719	0.876203920824522	1.71452263048175e-256	3.30199913404481e-252
GO:0039511	biological_process	9	suppression by virus of host interferon receptor activity	2058.020843269	29.9469221944645	0.891546654535165	8.46449344902553e-248	8.15088396673914e-244
GO:0039587	biological_process	7	suppression by virus of host tetherin activity	3804.38937466694	29.9462267751419	0.897366547178887	1.28603063227365e-244	8.25588798231938e-241
GO:0039595	biological_process	10	induction by virus of catabolism of host mRNA	209249.041245523	25.724920446546	0.819971422926554	1.23226770292693e-216	5.93306092266746e-213
GO:0000175	molecular_function	8	3'-5'-exoribonuclease activity	193467.427404316	12.4219040809163	0.447424169344136	4.47182490892246e-172	1.72245751841875e-168
GO:0004527	molecular_function	5	exonuclease activity	209760.999933929	10.1127315244316	0.366848577679799	3.77454113654859e-171	1.21156479581315e-167
GO:0039644	biological_process	12	suppression by virus of host NF-kappaB transcription factor activity	208946.037644893	22.9233403452952	0.835113595373464	1.29001189613772e-167	3.22327608513627e-164
GO:0046911	molecular_function	5	metal chelating activity	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:0051651	biological_process	4	maintenance of location in cell	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1901628	biological_process	8	positive regulation of postsynaptic membrane organization	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1901630	biological_process	7	negative regulation of presynaptic membrane organization	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1903002	biological_process	7	positive regulation of lipid transport across blood-brain barrier	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905855	biological_process	5	positive regulation of heparan sulfate binding	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905860	biological_process	6	positive regulation of heparan sulfate proteoglycan binding	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905890	biological_process	4	regulation of cellular response to very-low-density lipoprotein particle stimulus	36.6597462719337	-26.6605532252541	0.968520805753642	2.67783464157954e-167	3.22327608513627e-164
GO:1905906	biological_process	6	regulation of amyloid fibril formation	36.7503728638173	-26.6716606532931	0.968671795131452	2.20161068272186e-167	3.22327608513627e-164
GO:0043602	biological_process	6	nitrate catabolic process	27.7372829089827	-26.674032899808	0.989047778665708	1.08479423099305e-160	1.1606695608164e-157
GO:0047726	molecular_function	4	iron-cytochrome-c reductase activity	27.7372829089827	-26.674032899808	0.989047778665708	1.08479423099305e-160	1.1606695608164e-157
GO:0034593	molecular_function	7	phosphatidylinositol bisphosphate phosphatase activity	33.3800346832877	-26.3352608674807	0.981902450843115	5.55548774788858e-159	5.63121781771506e-156
GO:0035397	biological_process	8	helper T cell enhancement of adaptive immune response	22.5032061041368	-26.173209535451	0.986005333176232	8.4775868433724e-156	8.16349225082545e-153
GO:0016896	molecular_function	7	exoribonuclease activity, producing 5'-phosphomonoesters	219289.829960666	15.5489343238398	0.594309073265299	2.12071249839519e-155	1.94489533364729e-152
GO:0031073	molecular_function	5	cholesterol 26-hydroxylase activity	35.6148522125959	-23.7012783584657	1.01444951156981	5.06494428432392e-122	4.4338982714452e-119
GO:0008242	molecular_function	5	omega peptidase activity	219969.986903599	14.9854610426985	0.652752892060104	1.65638091099167e-120	1.3869669549908e-117
GO:0009720	biological_process	5	detection of hormone stimulus	45.3014756002455	-23.2780483253776	1.02381215394668	5.32683179020876e-116	4.27456056031794e-113
GO:0019079	biological_process	4	viral genome replication	220090.788043272	12.3318056601279	0.553424849386253	1.78844595489951e-112	1.37774722581638e-109
GO:0090503	biological_process	8	RNA phosphodiester bond hydrolysis, exonucleolytic	226676.624543056	9.59152181816914	0.440999501498382	4.24449764737034e-109	3.14403000733482e-106
GO:0008270	molecular_function	6	zinc ion binding	238898.128710091	6.09124230146761	0.305093948838595	3.42420699404302e-90	2.44247416660276e-87
GO:0039648	biological_process	10	modulation by virus of host protein ubiquitination	209286.808906217	14.6438217918193	0.754051511205637	1.46755050343079e-87	1.00941268377049e-84
GO:0036459	molecular_function	7	thiol-dependent ubiquitinyl hydrolase activity	211108.783103021	8.69068302994858	0.462819633648791	7.9051948760503e-83	5.24986717647768e-80
GO:0009405	biological_process	2	pathogenesis	42511.938941255	7.63072130953804	0.419771469245519	5.58385596506027e-77	3.58464940103653e-74
