"V1"	"V2"	"V3"	"V4"
"biological_process"	16.1112185541567	28.5623610791356	52.1525424631338	0.745113402329481
"nitrogen utilization"	0.0676301443451931	0.00141510440124445	0.340589991225033	0.0148352645069459
"sulfur utilization"	0.0105687104392202	0.00141509153771964	0.0879207569777137	0.0148352604755995
"metabolic process"	3.95099557947207	18.4871823387026	29.9742633832432	0.576716665854314
"immune system process"	0.00764763652741656	1.11528226534178	0.0776801784146684	0.0148352604815833
"carbohydrate utilization"	0.0325387305315426	0.00141508442492255	0.187336212370914	0.0148352614237342
"carbon utilization"	0.126080512899424	0.0157471184015533	0.73164970364234	0.0148352648833681
"response to stimulus"	0.0430571333422076	0.00141510361103912	0.294589555948155	0.0148352636630046
"pigmentation"	0.00270235121179893	0.00141509374211842	0.0446465119217499	0.0148352613413671
"rhythmic process"	0.0424422406130652	0.00141510442927117	0.213003463531048	0.01483526139701
"behavior"	0.0126573974506299	58.6534696344848	0.178216217753175	0.0148352615273608
"seed germination"	0.0176970909999354	0.228943598244968	0.0836549678500301	0.014835263556933
"photoreceptor cell maintenance"	0.00762735259614557	0.00141509710739445	0.0447529212880622	0.0148352604974376
"nitrogen compound metabolic process"	0.540622193827557	14.0934146072164	6.77024367575368	0.0148352652828945
"secondary metabolic process"	0.0126844693296196	0.00141508216909761	0.260104808318466	0.0148352613993168
"cellular detoxification"	0.00273457079177315	0.00141509595302591	0.0151700460603857	0.0148352605317749
"sporulation"	0.015620029128557	0.0157493210595777	0.153909515212854	0.0148352605355509
"symbiotic process"	0.0293272617849356	0.015906290177403	0.194109838227392	0.014835260510294
"rhythmic behavior"	0.0103316115288697	0.0014150836780513	0.0298954392791945	0.0148352604683523
"cell adhesion"	1.89066290072736	0.527138893419168	5.14844667197306	0.223281869660439
"detection of stimulus"	0.00766430612024605	0.00141508718592114	0.0723313508739002	0.0148352605256682
"mechanosensory behavior"	0.0234917803930115	0.00141510015153389	0.00124503947811957	0.0148352605424195
"circadian rhythm"	0.0154900794498995	10.586224693833	0.0785990282382135	0.0148352634917427
"cell division"	1.14808564849817	2.67054396982889	14.9069564307196	0.231866116983113
"cell communication"	0.23688496636657	0.00141505461537561	1.22579802514545	0.0148352650101196
"cellular metabolic process"	0.422778766076078	0.148878407091644	3.33508118093158	0.20167316328384
"multicellular organism reproduction"	0.00522748113405653	0.00141508592129586	0.0151700460581495	0.0148352606055828
"cell population proliferation"	0.0257300954949573	0.171929799145256	0.148669208100645	0.0148352637072532
"cell aggregation"	0.000256231881713578	0.00141509390982876	0.0161863043609208	0.0148352604803442
"respiratory gaseous exchange by respiratory system"	0.00516437845677941	0.00141510411202396	0.0160947390678136	0.0148352613605936
"oxidation-reduction process"	17.5678956407161	126.83271974442	163.272538027026	1.4507692153487
"biosynthetic process"	19.8846876930995	11.8693016673632	50.7760527261097	0.566296354912449
"aging"	0.0205566313328673	10.4734111295791	0.20465571651268	0.0148352635094481
"response to redox state"	0.0343394290317966	0.00141509390948444	0.250520553737734	0.0148352614728735
"spore germination"	0.0877023771669631	0.00141509819788552	0.316636233524105	0.0148352616829171
"coagulation"	0.000256104301652716	0.00141509577070058	0.0303424203937956	0.0148352606559284
"response to activity"	0.00272918075636585	6.29045648889396	0.0299148616264324	0.0148352605463346
"NADH metabolic process"	0.00519645253160874	0.0949497153327972	0.11126822776882	0.014835260483438
"locomotory behavior"	0.00270711502183484	0.0456643272846068	0.0297066009251643	0.0148352606846039
"detoxification of arsenic-containing substance"	0.0153716322831463	0.00141507756478851	0.217356753099191	0.0148352613866041
"ossification"	0.00770164006744955	0.21303289531124	0.0602858954535956	0.0148352606867846
"chromosome segregation"	0.420633640605469	0.0942552543020471	3.75648331718698	0.0148352652709601
"organic substance metabolic process"	0.236896543646503	0.0466323684875396	1.87925349391179	0.014835265108061
"primary metabolic process"	0.122986616635025	0.0157513910335756	0.438404795601348	0.0148352618087879
"protein folding"	0.799152941998465	2.77771562088021	7.70992921826231	0.0148352653898651
"actin filament-based process"	0.0129310273058818	0.00140851072297394	0.0314032420586652	0.0148352605382441
"transposition"	0.451906593773696	0.467868918214704	2.24145772107463	0.0148352828574392
"response to inactivity"	0.00272918075436152	5.80256537033017	0.0151700460581634	0.0148352605512784
"NADP metabolic process"	0.0344577963327287	0.433260750895076	0.203681829291139	0.014835264583485
"cell death"	0.00518910642187983	0.317619509223343	0.146616624809002	0.0148352604922466
"pathogenesis"	0.8318217777335	0.787120404168124	6.48118654039455	0.253043940621958
"mycothiol-dependent detoxification"	0.00025686794310091	0.00141509738076138	0.0637859164790748	0.0148352605455901
"protein unfolding"	0.124735519166566	0.191575824143737	0.858085857886337	0.0148352648817369
"microtubule-based process"	0.0982055065510091	0.00141509231333324	0.268325429622227	0.0148352648009158
"determination of adult lifespan"	0.0519938773353267	74.7600197518705	0.256476107367614	0.0148352616221524
"antigen processing and presentation"	0.00270711474621302	0.937571999503694	0.00124879812626228	0.0148352607322155
"post-embryonic development"	0.0312873223236108	3.33593717038915	0.124263785335911	0.0148352637417346
"NAD metabolic process"	0.0802411080851499	0.0014150965937519	0.626516698772016	0.0148352648276519
"immune response"	0.0232767322858031	0.0460179143536543	0.198216625311772	0.0148352605542968
"developmental pigmentation"	0.000256774438455603	0.00141509235655895	0.0309168742874717	0.0148352605912787
"filamentous growth"	0.00518282682277025	0.00141509902261817	0.0302492812178432	0.0148352608007633
"multi-organism cellular process"	0.0154698041804987	0.0157497230243784	0.132614417510687	0.0148352605363885
"demethylation"	0.023665573011235	0.00141508019379503	0.280575315885431	0.0148352643908886
"ATP metabolic process"	0.25514837677582	62.8709464757646	2.03866461251665	0.0148352651430625
"septum digestion after cytokinesis"	0.108898450408457	0.00141510440833946	0.476148528246422	0.0148352646980893
"developmental growth"	0.00520651822838083	0.0306918734492224	0.0790478372283407	0.0148352613259595
"establishment or maintenance of cell polarity"	0.00519322641682745	0.00141509746162139	0.0985415937953859	0.014835260498951
"detoxification of zinc ion"	0.0051686079660762	0.00141509828236329	0.125867223850568	0.0148352604810819
"methylation"	5.71660123224508	11.3164465202472	31.9945355413539	1.8539207012082
"cell cycle"	0.839640311601867	0.859924832528541	10.548932247687	0.223281871943357
"dormancy process"	0.000256743645778224	0.0014150936181514	0.0479235928371581	0.0148352604780638
"plasmid maintenance"	0.0493493588949436	1.14800021137975	0.444674668077487	0.0148352646877793
"asexual reproduction"	0.00269992343549599	0.031127572158003	0.0152745499590499	0.0148352607270752
"catabolic process"	0.0179872241313584	0.00141507288042127	0.22143229373602	0.0148352614663826
"cytolysis"	0.137773833004204	0.00141510320742184	1.17735263492756	0.0148352649027157
"detoxification of copper ion"	0.0396831951085388	0.0160531450980783	0.257526880968824	0.0148352614659906
"retina layer formation"	0.000256779930884506	0.0972323692051779	0.00124800555432368	0.0148352604906178
"protein localization"	0.000256775284213775	0.00141509822285835	0.0805938055401556	0.0148352605644494
"hindbrain morphogenesis"	0.00270323669511044	26.166521983763	0.00124872112485851	0.0148352604793864
"embryonic morphogenesis"	0.0151694647349267	58.748971916721	0.181650992799999	0.014835261547262
"response to inorganic substance"	0.000256737964389566	0.0460357658638501	0.0153451947224221	0.0148352604227677
"adenohypophysis morphogenesis"	0.0102623326523207	0.00141510346710757	0.0151700419684559	0.0148352608616609
"chaperone-mediated protein folding"	0.120831142671791	0.274248582874264	0.603572080219071	0.0148352648844119
"midbrain-hindbrain boundary development"	0.0027023534776736	0.0014150731966026	0.0157523967952269	0.014835261369994
"prosthetic group biosynthetic process"	0.0239774179218338	0.00141507918003129	0.226644119291352	0.0148352605909714
"circadian behavior"	0.0103316115288697	0.0014150836780513	0.0298954392791945	0.0148352604683523
"regulation of protein complex stability"	0.000256731743436891	0.183583526213104	0.0306553773825743	0.0148352607789094
"angiogenesis"	0.0229762554004178	59.8946555691126	0.186243233211238	0.0148352615570587
"retina development in camera-type eye"	0.00764293209341934	0.0157513897944945	0.0626892329273686	0.0148352613623559
"toxin metabolic process"	0.000256779937793456	0.00141509823391625	0.12265129081649	0.0148352613251648
"face morphogenesis"	0.00522888802188113	26.1729109410061	0.00124486376055073	0.0148352604898171
"cellular catabolic process"	0.00271896370619041	0.00141509574008825	0.142416095934458	0.0148352614793527
"meiotic cell cycle"	0.00515805236902254	0.00141509766758401	0.0446465117084688	0.014835260570157
"NADH oxidation"	0.0102820529713983	0.0157497014777641	0.0693581594794038	0.0148352605000591
"response to nitrosative stress"	0.0260720696989833	0.00141507305341323	0.184533195620093	0.0148352605282592
"nervous system process"	0.0504995066277487	0.00141507892569237	0.0956276328219677	0.0148352606499031
"photosynthesis"	0.324602780001262	0.0789015074818458	0.713199235451349	0.0148352651025985
"establishment of localization in cell"	0.00270323669160707	0.00141509825181497	0.104021635366527	0.0148352613285488
"defense response"	0.028311656033982	0.0304554457286647	0.157971325845764	0.0148352605981566
"plasmid partitioning"	0.035084536804037	0.00141509869801222	0.25483575556734	0.0148352606130335
"regulation of membrane potential"	0.0533052007093993	0.00141508022476578	0.154086766624933	0.0148352606613601
"sulfur compound metabolic process"	0.125770019108943	0.0157517279545315	0.790456077902312	0.0148352648629314
"multicellular organism development"	0.169965550953968	2.38006876385261	0.428275657824362	0.0148352648213596
"regulation of carbon utilization"	0.000257088004977964	0.00141509782647409	0.0664021148389764	0.0148352604753567
"cellular component organization"	0.0403910243534524	0.0613833222631296	0.135318548142515	0.0148352606568998
"behavioral response to cocaine"	0.0103316115288697	0.0014150836780513	0.0298954392791945	0.0148352604683523
"growth of symbiont in host"	0.0027032369846632	0.00141508341490378	0.0444644818452684	0.01483526067079
"iris morphogenesis"	0.00526598739667978	0.0160531456031228	0.0151700460581574	0.0148352604634614
