"V1"	"V2"	"V3"	"V4"	"V5"
"biological_process"	10.7615959293891	28.9340310014601	35.6334882302994	0.182522198605095	634.217406880434
"locomotion"	0.000433017995778487	0.0013303442244609	0.000436603174026853	0.00432669110343397	0.0722451950790153
"nitrogen utilization"	0.0419329765376032	0.00133088552285363	0.133234356650525	0.00432669110343394	4.37296978560647
"sulfur utilization"	0.000433022771714236	0.00133050056074575	0.0204985327538779	0.00432669110343394	1.0039404913841
"metabolic process"	4.20173702420153	18.7207526659997	5.75125903674709	0.167336815173044	406.631879439481
"immune system process"	0.00476136759148754	1.12556411246118	0.014432657337428	0.00432669110343402	0.320751299668378
"signaling"	0.000426107810424714	0.00133035615245626	0.009649916944145	0.00432669110343402	0.00594700328239723
"carbohydrate utilization"	0.0230903709840646	0.00133075281642081	0.0596552327767566	0.00432669110343397	1.15136630457041
"carbon utilization"	0.0849247476465758	0.0157936724070649	0.264834970575105	0.00432669110343402	7.80879103642146
"response to stimulus"	0.0274200296489003	0.00133082169982294	0.0896016767561326	0.00432669110343402	2.29656424743109
"pigmentation"	0.00477167095465004	0.00133040540123634	0.00958623987052104	0.00432669110343394	0.0743963807000341
"reproduction"	0.000433019184417027	0.0157938111687738	0.00045464471340266	0.00432669110343394	0.0688633808226002
"rhythmic process"	0.0513818143477189	0.00133081708079653	0.0567134317460412	0.00432669110343394	0.64520856640723
"behavior"	0.00911622293946508	59.4204147924256	0.0296284022466752	0.00432669110343402	1.41058099347022
"developmental process"	0.000433020709429608	0.00133037658991611	0.00499839516118564	0.00432669110343402	0.14230271602724
"interspecies interaction between organisms"	0.000433017984617749	0.00133034421801868	0.000436603950638473	0.00432669110343397	0.0707391125369701
"reproductive process"	0.000433018460217919	0.00133034480089207	0.00499839162992408	0.00432669110343402	0.00594694448689157
"seed germination"	0.00477167500120712	0.230168145567014	0.043994782012026	0.00432669110343402	0.170524345637892
"embryo implantation"	0.000433019781471747	0.00133035982757911	0.000454648618162705	0.00432669110343402	0.15352845326121
"chemosensory behavior"	0.000433017969316027	0.001330344208395	0.000436605113317588	0.00432669110343397	0.0686136363594635
"photoreceptor cell maintenance"	0.0091162268758173	0.00133044250119102	0.0143290191859306	0.00432669110343394	0.0688641976936319
"nitrogen compound metabolic process"	0.436420901851367	14.2724273574945	1.19960476114453	0.00432669110343394	89.0582031035638
"stomatal movement"	0.000433017979604692	0.00133034345972391	0.000454607535150418	0.00432669110343402	0.0710093522234304
"secondary metabolic process"	0.00918238926413297	0.00133065687130613	0.04045194571332	0.00432669110343394	1.73411793859633
"cellular detoxification"	0.00487012195893814	0.00133036080043045	0.000454554231181695	0.00432669110343394	0.0686136411908313
"sporulation"	0.00476112232983022	0.0157940525747178	0.0365803267522647	0.00432669110343394	1.62117360313245
"symbiotic process"	0.00477074383733844	0.0159071889020603	0.0772410950168847	0.00432669110343399	1.28171439327083
"rhythmic behavior"	0.00480665617448697	0.00133043073876942	0.0195432873774985	0.00432669110343394	0.068613647605425
"cell adhesion"	2.15628956826757	0.531995519252349	2.03953065852596	0.0521369378705954	54.6455447296103
