GO_term	namespace	depth	name
GO:0016787	molecular_function	2	hydrolase_activity
GO:0016032	biological_process	3	viral_process
GO:0090305	biological_process	6	nucleic_acid_phosphodiester_bond_hydrolysis
GO:0006351	biological_process	9	transcription_DNA-templated
GO:0004519	molecular_function	5	endonuclease_activity
GO:0004518	molecular_function	4	nuclease_activity
GO:0016779	molecular_function	4	nucleotidyltransferase_activity
GO:0005524	molecular_function	8	ATP_binding
GO:0039503	biological_process	11	suppression_by_virus_of_host_innate_immune_response
GO:0019082	biological_process	4	viral_protein_processing
GO:0008242	molecular_function	5	omega_peptidase_activity
GO:0039520	biological_process	9	induction_by_virus_of_host_autophagy
GO:0016896	molecular_function	7	exoribonuclease_activity_producing_5-phosphomonoesters
GO:0039694	biological_process	5	viral_RNA_genome_replication
GO:0019079	biological_process	4	viral_genome_replication
GO:0016740	molecular_function	2	transferase_activity
GO:0030683	biological_process	9	mitigation_of_host_immune_response_by_virus
GO:0001172	biological_process	9	transcription_RNA-templated
GO:0003968	molecular_function	7	RNA-directed_5-3_RNA_polymerase_activity
GO:0004386	molecular_function	8	helicase_activity
GO:0046872	molecular_function	4	metal_ion_binding
GO:0004527	molecular_function	5	exonuclease_activity
GO:0039502	biological_process	12	suppression_by_virus_of_host_type_I_interferon-mediated_signaling_pathway
GO:0039648	biological_process	10	modulation_by_virus_of_host_protein_ubiquitination
GO:0039579	biological_process	12	suppression_by_virus_of_host_ISG15_activity
GO:0039595	biological_process	10	induction_by_virus_of_catabolism_of_host_mRNA
GO:0039657	biological_process	7	suppression_by_virus_of_host_gene_expression
GO:0090503	biological_process	8	RNA_phosphodiester_bond_hydrolysis_exonucleolytic
GO:0039644	biological_process	12	suppression_by_virus_of_host_NF-kappaB_transcription_factor_activity
GO:0032259	biological_process	2	methylation
GO:0008168	molecular_function	4	methyltransferase_activity
GO:0008234	molecular_function	5	cysteine-type_peptidase_activity
GO:0036459	molecular_function	7	thiol-dependent_ubiquitinyl_hydrolase_activity
GO:0004197	molecular_function	6	cysteine-type_endopeptidase_activity
GO:0008233	molecular_function	3	peptidase_activity
GO:0006508	biological_process	5	proteolysis
GO:0019083	biological_process	4	viral_transcription
GO:0000175	molecular_function	8	3-5-exoribonuclease_activity
GO:0000166	molecular_function	4	nucleotide_binding
GO:0003723	molecular_function	4	RNA_binding
GO:0008270	molecular_function	6	zinc_ion_binding
GO:0003676	molecular_function	3	nucleic_acid_binding
GO:0042802	molecular_function	3	identical_protein_binding
GO:0003674	molecular_function	0	molecular_function
GO:0008150	biological_process	0	biological_process
GO:0016853	molecular_function	2	isomerase_activity
GO:0039548	biological_process	12	suppression_by_virus_of_host_IRF3_activity
GO:0016829	molecular_function	2	lyase_activity
GO:0016874	molecular_function	2	ligase_activity
GO:0009231	biological_process	6	riboflavin_biosynthetic_process
GO:0008686	molecular_function	4	34-dihydroxy-2-butanone-4-phosphate_synthase_activity
GO:0003735	molecular_function	2	structural_constituent_of_ribosome
GO:0006412	biological_process	7	translation
GO:0009405	biological_process	2	pathogenesis
GO:0046813	biological_process	6	receptor-mediated_virion_attachment_to_host_cell
GO:0061025	biological_process	5	membrane_fusion
GO:0039654	biological_process	8	fusion_of_virus_membrane_with_host_endosome_membrane
GO:0019062	biological_process	5	virion_attachment_to_host_cell
GO:0039663	biological_process	7	membrane_fusion_involved_in_viral_entry_into_host_cell
GO:0046789	molecular_function	3	host_cell_surface_receptor_binding
GO:0030001	biological_process	6	metal_ion_transport
GO:0046873	molecular_function	6	metal_ion_transmembrane_transporter_activity
GO:0008236	molecular_function	5	serine-type_peptidase_activity
GO:0043457	biological_process	6	regulation_of_cellular_respiration
GO:0004747	molecular_function	6	ribokinase_activity
GO:0046718	biological_process	6	viral_entry_into_host_cell
GO:0006281	biological_process	7	DNA_repair
GO:0032190	molecular_function	4	acrosin_binding
GO:0051346	biological_process	5	negative_regulation_of_hydrolase_activity
GO:0046835	biological_process	6	carbohydrate_phosphorylation
GO:0001972	molecular_function	6	retinoic_acid_binding
GO:0031210	molecular_function	5	phosphatidylcholine_binding
GO:0006355	biological_process	9	regulation_of_transcription_DNA-templated
GO:0003677	molecular_function	4	DNA_binding
GO:0006096	biological_process	12	glycolytic_process
GO:0055085	biological_process	4	transmembrane_transport
GO:0005982	biological_process	7	starch_metabolic_process
GO:0009911	biological_process	7	positive_regulation_of_flower_development
GO:0009058	biological_process	2	biosynthetic_process
GO:0004347	molecular_function	5	glucose-6-phosphate_isomerase_activity
GO:0055114	biological_process	2	oxidation-reduction_process
GO:0004867	molecular_function	6	serine-type_endopeptidase_inhibitor_activity
GO:0006094	biological_process	7	gluconeogenesis
GO:0010951	biological_process	10	negative_regulation_of_endopeptidase_activity
GO:0019843	molecular_function	5	rRNA_binding
GO:0016491	molecular_function	2	oxidoreductase_activity
GO:0003960	molecular_function	5	NADPH:quinone_reductase_activity
GO:0004252	molecular_function	6	serine-type_endopeptidase_activity
GO:0000160	biological_process	6	phosphorelay_signal_transduction_system
GO:0045226	biological_process	7	extracellular_polysaccharide_biosynthetic_process
GO:0008879	molecular_function	5	glucose-1-phosphate_thymidylyltransferase_activity
GO:0060153	biological_process	8	modulation_by_virus_of_host_cell_cycle
GO:0039646	biological_process	9	modulation_by_virus_of_host_G0_G1_transition_checkpoint
GO:0007469	biological_process	5	antennal_development
GO:0021556	biological_process	3	central_nervous_system_formation
GO:0051536	molecular_function	3	iron-sulfur_cluster_binding
GO:0007379	biological_process	3	segment_specification
GO:0039660	molecular_function	2	structural_constituent_of_virion
GO:0090378	biological_process	5	seed_trichome_elongation
GO:0000155	molecular_function	7	phosphorelay_sensor_kinase_activity
GO:0048749	biological_process	6	compound_eye_development
GO:0070330	molecular_function	5	aromatase_activity
GO:0061339	biological_process	3	establishment_or_maintenance_of_monopolar_cell_polarity
GO:1902745	biological_process	8	positive_regulation_of_lamellipodium_organization
GO:0008652	biological_process	7	cellular_amino_acid_biosynthetic_process
GO:0090091	biological_process	7	positive_regulation_of_extracellular_matrix_disassembly
GO:0016998	biological_process	6	cell_wall_macromolecule_catabolic_process
GO:2000813	biological_process	12	negative_regulation_of_barbed-end_actin_filament_capping
GO:1900029	biological_process	9	positive_regulation_of_ruffle_assembly
GO:0019058	biological_process	4	viral_life_cycle
GO:0016772	molecular_function	3	transferase_activity_transferring_phosphorus-containing_groups
GO:0004568	molecular_function	5	chitinase_activity
GO:0006032	biological_process	7	chitin_catabolic_process
GO:0004497	molecular_function	3	monooxygenase_activity
GO:0010997	molecular_function	3	anaphase-promoting_complex_binding
GO:1904668	biological_process	12	positive_regulation_of_ubiquitin_protein_ligase_activity
GO:0051539	molecular_function	4	4_iron_4_sulfur_cluster_binding
GO:0097027	molecular_function	4	ubiquitin-protein_transferase_activator_activity
GO:0039587	biological_process	7	suppression_by_virus_of_host_tetherin_activity
GO:0039707	biological_process	10	pore_formation_by_virus_in_membrane_of_host_cell
GO:0030011	biological_process	3	maintenance_of_cell_polarity
GO:0023014	biological_process	8	signal_transduction_by_protein_phosphorylation
GO:0022857	molecular_function	2	transmembrane_transporter_activity
GO:0006260	biological_process	6	DNA_replication
GO:0039693	biological_process	5	viral_DNA_genome_replication
GO:0006414	biological_process	6	translational_elongation
GO:0019784	molecular_function	7	NEDD8-specific_protease_activity
GO:0003746	molecular_function	6	translation_elongation_factor_activity
GO:0007163	biological_process	2	establishment_or_maintenance_of_cell_polarity
GO:0051639	biological_process	6	actin_filament_network_formation
GO:0015979	biological_process	3	photosynthesis
GO:0008483	molecular_function	4	transaminase_activity
GO:0003954	molecular_function	4	NADH_dehydrogenase_activity
GO:0010592	biological_process	9	positive_regulation_of_lamellipodium_assembly
GO:0003333	biological_process	9	amino_acid_transmembrane_transport
GO:0003899	molecular_function	7	DNA-directed_5-3_RNA_polymerase_activity
GO:0030170	molecular_function	5	pyridoxal_phosphate_binding
GO:0018106	biological_process	9	peptidyl-histidine_phosphorylation
GO:0004673	molecular_function	6	protein_histidine_kinase_activity
GO:0039511	biological_process	9	suppression_by_virus_of_host_interferon_receptor_activity
GO:0005216	molecular_function	5	ion_channel_activity
GO:0008170	molecular_function	5	N-methyltransferase_activity
GO:0034219	biological_process	6	carbohydrate_transmembrane_transport
GO:0009252	biological_process	8	peptidoglycan_biosynthetic_process
GO:0003916	molecular_function	3	DNA_topoisomerase_activity
GO:0019538	biological_process	4	protein_metabolic_process
GO:0099132	biological_process	6	cation_transmembrane_transport
GO:0016987	molecular_function	2	sigma_factor_activity
GO:2000142	biological_process	10	regulation_of_DNA-templated_transcription_initiation
GO:0070475	biological_process	12	rRNA_base_methylation
GO:0071897	biological_process	7	DNA_biosynthetic_process
GO:0006541	biological_process	9	glutamine_metabolic_process
GO:0071424	molecular_function	8	rRNA_(cytosine-N4-)-methyltransferase_activity
GO:0009432	biological_process	5	SOS_response
GO:0015171	molecular_function	7	amino_acid_transmembrane_transporter_activity
GO:0016714	molecular_function	4	oxidoreductase_activity_acting_on_paired_donors_with_incorporation_or_reduction_of_molecular_oxygen_reduced_pteridine_as_one_donor_and_incorporation_of_one_atom_of_oxygen
GO:0003824	molecular_function	1	catalytic_activity
GO:0015562	molecular_function	3	efflux_transmembrane_transporter_activity
GO:0051259	biological_process	6	protein_complex_oligomerization
GO:0009651	biological_process	4	response_to_salt_stress
GO:0006352	biological_process	8	DNA-templated_transcription_initiation
GO:0009166	biological_process	8	nucleotide_catabolic_process
GO:0000150	molecular_function	3	recombinase_activity
GO:0008137	molecular_function	6	NADH_dehydrogenase_(ubiquinone)_activity
GO:0005351	molecular_function	9	carbohydrate:proton_symporter_activity
GO:0009086	biological_process	10	methionine_biosynthetic_process
GO:0009451	biological_process	7	RNA_modification
GO:0003887	molecular_function	6	DNA-directed_DNA_polymerase_activity
GO:0046933	molecular_function	9	proton-transporting_ATP_synthase_activity_rotational_mechanism
GO:0008408	molecular_function	6	3-5_exonuclease_activity
GO:0006189	biological_process	12	de_novo_IMP_biosynthetic_process
GO:0016747	molecular_function	4	transferase_activity_transferring_acyl_groups_other_than_amino-acyl_groups
GO:0031564	biological_process	11	transcription_antitermination
GO:0032549	molecular_function	4	ribonucleoside_binding
GO:0006855	biological_process	5	drug_transmembrane_transport
GO:0015891	biological_process	10	siderophore_transport
GO:0008643	biological_process	5	carbohydrate_transport
GO:0005215	molecular_function	1	transporter_activity
GO:0000272	biological_process	5	polysaccharide_catabolic_process
GO:0006269	biological_process	8	DNA_replication_synthesis_of_RNA_primer
GO:0009073	biological_process	8	aromatic_amino_acid_family_biosynthetic_process
GO:0015347	molecular_function	6	sodium-independent_organic_anion_transmembrane_transporter_activity
GO:1904265	molecular_function	3	ubiquitinyl_hydrolase_activity
GO:0015424	molecular_function	8	ATPase-coupled_amino_acid_transmembrane_transporter_activity
GO:0043252	biological_process	7	sodium-independent_organic_anion_transport
GO:0009982	molecular_function	4	pseudouridine_synthase_activity
GO:0001522	biological_process	8	pseudouridine_synthesis
GO:0030976	molecular_function	4	thiamine_pyrophosphate_binding
GO:0006221	biological_process	9	pyrimidine_nucleotide_biosynthetic_process
GO:0061505	molecular_function	9	DNA_topoisomerase_type_II_(double_strand_cut_ATP-hydrolyzing)_activity
GO:0010181	molecular_function	6	FMN_binding
GO:0009423	biological_process	8	chorismate_biosynthetic_process
GO:0090379	biological_process	7	secondary_cell_wall_biogenesis_involved_in_seed_trichome_differentiation
GO:0080009	biological_process	9	mRNA_methylation
GO:0016539	biological_process	8	intein-mediated_protein_splicing
GO:0016831	molecular_function	4	carboxy-lyase_activity
GO:0016857	molecular_function	4	racemase_and_epimerase_activity_acting_on_carbohydrates_and_derivatives
GO:0006535	biological_process	11	cysteine_biosynthetic_process_from_serine
GO:0090376	biological_process	5	seed_trichome_differentiation
GO:0005507	molecular_function	6	copper_ion_binding
GO:0009735	biological_process	5	response_to_cytokinin
GO:0004124	molecular_function	4	cysteine_synthase_activity
GO:0004748	molecular_function	6	ribonucleoside-diphosphate_reductase_activity_thioredoxin_disulfide_as_acceptor
