"V1"	"V2"	"V3"	"V4"
"biological_process"	34.2784908247598	3.04693964097536	39.3537786653868	31.9859631129745
"metabolic process"	3.28648906299892	2.05198443117179	26.8121844076039	21.2945041079658
"carbon utilization"	0.193002986711237	0.0701638230726018	0.0195775797630021	0.824332481389295
"behavior"	0.0309265970881286	0.013751851510856	86.6390041149697	0.200260889313192
"nitrogen compound metabolic process"	0.756569418727821	0.30298357996807	20.6580636642136	5.04825525976603
"cell adhesion"	1.55474007266509	1.09596349896919	0.638379379257096	5.57622802078568
"cell division"	1.76426435784357	0.515063358032574	3.7440859021607	14.2774990044233
"cell communication"	0.261127469761949	0.149439772182438	0.00170557081284571	0.297662953801159
"cellular metabolic process"	0.492354432139323	0.26733978864044	0.16397478170122	1.98146442255022
"oxidation-reduction process"	26.6997036516795	5.74058004074504	182.123130641365	115.687830182897
"biosynthetic process"	39.4223142516205	4.32752054179821	15.7740859047616	35.2153641650388
"chromosome segregation"	0.524118425252528	0.253959102936999	0.0978220324843995	3.27237709074942
"organic substance metabolic process"	0.337779427866992	0.137699901157934	0.0382914545347991	1.34827535320087
"protein folding"	1.36008822429841	0.363608121969904	3.80023631660931	5.21978746019403
"transposition"	0.668160498435705	0.23956523766531	0.579133656131521	3.04402491335383
"pathogenesis"	1.1209106486239	0.445169115638764	0.978285968908124	6.19436139048351
"protein unfolding"	0.187318226339372	0.0834208746163027	0.221904287704326	0.777909874502793
"determination of adult lifespan"	0.0911965869796619	0.0329476068082819	110.513431689974	0.254223219939792
"ATP metabolic process"	0.369856048906188	0.158348164059837	91.771264738343	2.11865478004632
"septum digestion after cytokinesis"	0.169908112867504	0.0488728138764369	0.00170557080869519	0.492870235990923
"methylation"	4.52958942615277	3.02596374513114	16.4544392705177	17.7179323459978
"cell cycle"	1.30024345319732	0.40577345133873	1.14263953018557	10.3879295600453
"cytolysis"	0.230524052563062	0.0643672048312448	0.00170557082855671	1.12985998370193
"embryonic morphogenesis"	0.0345150988816782	0.013751851510856	86.7856471604032	0.202456043885219
"chaperone-mediated protein folding"	0.202980374077139	0.0583504302313307	0.325595695279094	0.813188685265364
"angiogenesis"	0.0422203552934296	0.0181746322803172	88.1190705326059	0.209469139484698
"photosynthesis"	0.405966463115928	0.180927430411265	0.0993214887886045	0.337848789995924
"sulfur compound metabolic process"	0.160925741133077	0.078915666807585	0.0195775797630015	0.554867501935158
"organic acid metabolic process"	0.192836529780103	0.0463737852649905	0.00170557082693143	0.71360722982002
"response to radiation"	0.178085415494201	0.055369223283541	8.24573078818125	0.851944898958197
"aggregation of unicellular organisms"	0.1215241204139	0.0274924860927918	0.00170557079149559	0.134796911985804
"cellular biosynthetic process"	0.175364191031998	0.0625037285650292	0.00170557082560048	0.498202141319886
"carbon fixation"	0.677770347792948	0.298112516997804	1.24919565167216	0.763098860512429
"cell adhesion mediated by integrin"	0.300234568894523	0.7738312086256	0.0195775797608592	0.0943297345486813
"conjugation"	0.357279940636034	0.107794969673123	0.00170557082803684	1.15434484661283
"cellular oxidant detoxification"	1.23223356038646	0.341386137601861	11.0942996389234	4.34320266512888
