GO_Tag	name	metadata	value(as compared to COVID19)	coef	stderr	N	N.not.0	pval	qval	phyloseq_taxid	
GO:0034660	ncRNA metabolic process	case	Control_Healthy	0.003981729	0.0006363	141	133	6.14E-09	9.21E-07	GO.0034660.ncRNA.metabolic.process	
GO:0016740	transferase activity	case	Control_Sick	0.009075342	0.00146923	141	135	1.00E-08	9.21E-07	GO.0016740.transferase.activity	
GO:0140098	catalytic activity  acting on RNA	case	Control_Healthy	0.002885018	0.000469004	141	134	1.19E-08	9.21E-07	GO.0140098.catalytic.activity..acting.on.RNA	
GO:0043170	macromolecule metabolic process	case	Control_Healthy	0.005589451	0.000911267	141	136	5.98E-08	3.47E-06	GO.0043170.macromolecule.metabolic.process	
GO:0016070	RNA metabolic process	case	Control_Healthy	0.004123315	0.000725339	141	135	9.00E-08	4.17E-06	GO.0016070.RNA.metabolic.process	
GO:0019538	protein metabolic process	case	Control_Healthy	0.001399883	0.000264455	141	134	6.08E-07	2.35E-05	GO.0019538.protein.metabolic.process	
GO:0043168	anion binding	case	Control_Healthy	0.001858915	0.000383566	141	137	4.15E-06	0.000135966	GO.0043168.anion.binding	
GO:0016740	transferase activity	case	Control_Healthy	0.007359575	0.00153279	141	135	4.69E-06	0.000135966	GO.0016740.transferase.activity	
GO:0044260	cellular macromolecule metabolic process	case	Control_Healthy	0.002850432	0.000617485	141	135	9.71E-06	0.000243763	GO.0044260.cellular.macromolecule.metabolic.process	
GO:0003676	nucleic acid binding	case	Control_Sick	-0.002974457	0.00063811	141	138	1.12E-05	0.000243763	GO.0003676.nucleic.acid.binding	
GO:1901362	organic cyclic compound biosynthetic process	case	Control_Healthy	-0.002910851	0.000634474	141	138	1.16E-05	0.000243763	GO.1901362.organic.cyclic.compound.biosynthetic.process	
GO:0065007	biological regulation	case	Control_Healthy	0.002747947	0.000609926	141	134	1.54E-05	0.000298402	GO.0065007.biological.regulation	
GO:0003677	DNA binding	case	Control_Sick	-0.002225029	0.00047952	141	136	2.25E-05	0.0004019	GO.0003677.DNA.binding	
GO:0016772	transferase activity  transferring phosphorus containing groups	case	Control_Sick	0.005475526	0.001248775	141	133	2.57E-05	0.000425209	GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	
GO:0009987	cellular process	case	Control_Healthy	0.006062118	0.001403759	141	138	3.00E-05	0.000450447	GO.0009987.cellular.process	
GO:0050794	regulation of cellular process	case	Control_Healthy	0.002335097	0.00054037	141	134	3.11E-05	0.000450447	GO.0050794.regulation.of.cellular.process	
GO:0090304	nucleic acid metabolic process	case	Control_Healthy	0.003677832	0.000853141	141	135	3.45E-05	0.00047098	GO.0090304.nucleic.acid.metabolic.process	
GO:0050789	regulation of biological process	case	Control_Healthy	0.002322823	0.000551478	141	134	4.79E-05	0.00061703	GO.0050789.regulation.of.biological.process	
GO:0016829	lyase activity	case	Control_Healthy	-0.004643479	0.001143208	141	135	9.08E-05	0.001102006	GO.0016829.lyase.activity	
GO:0044260	cellular macromolecule metabolic process	case	Control_Sick	0.002371719	0.000587165	141	135	9.50E-05	0.001102006	GO.0044260.cellular.macromolecule.metabolic.process	
GO:0016779	nucleotidyltransferase activity	case	Control_Sick	0.003828213	0.000990541	141	130	0.000182038	0.002011091	GO.0016779.nucleotidyltransferase.activity	
GO:0034645	cellular macromolecule biosynthetic process	case	Control_Sick	0.001793419	0.00046992	141	134	0.000230659	0.002432406	GO.0034645.cellular.macromolecule.biosynthetic.process	
GO:0044281	small molecule metabolic process	case	Control_Healthy	-0.004324793	0.00114888	141	137	0.000273337	0.002726973	GO.0044281.small.molecule.metabolic.process	
GO:0044283	small molecule biosynthetic process	case	Control_Healthy	-0.004540546	0.001207262	141	135	0.000282101	0.002726973	GO.0044283.small.molecule.biosynthetic.process	
GO:0009987	cellular process	case	Control_Sick	0.004905174	0.001329148	141	138	0.000322799	0.002985086	GO.0009987.cellular.process	
GO:0009059	macromolecule biosynthetic process	case	Control_Sick	0.001745069	0.000470455	141	134	0.000334536	0.002985086	GO.0009059.macromolecule.biosynthetic.process	
GO:0044262	cellular carbohydrate metabolic process	case	Control_Sick	0.002421115	0.000659089	141	127	0.00035922	0.003029222	GO.0044262.cellular.carbohydrate.metabolic.process	
GO:0019438	aromatic compound biosynthetic process	case	Control_Healthy	-0.002051294	0.000557302	141	138	0.000365596	0.003029222	GO.0019438.aromatic.compound.biosynthetic.process	
GO:0019438	aromatic compound biosynthetic process	case	Control_Sick	-0.001938171	0.000489236	141	138	0.000392363	0.003138902	GO.0019438.aromatic.compound.biosynthetic.process	
GO:0006139	nucleobase containing compound metabolic process	case	Control_Healthy	0.003205237	0.000888699	141	136	0.000457662	0.003427321	GO.0006139.nucleobase.containing.compound.metabolic.process	
GO:1901566	organonitrogen compound biosynthetic process	case	Control_Healthy	-0.002981672	0.000826079	141	137	0.000457961	0.003427321	GO.1901566.organonitrogen.compound.biosynthetic.process	
GO:0043168	anion binding	case	Control_Sick	0.001311656	0.000364862	141	137	0.000493571	0.003578387	GO.0043168.anion.binding	
GO:0034641	cellular nitrogen compound metabolic process	case	Control_Healthy	0.003350179	0.000952122	141	137	0.000608617	0.004160104	GO.0034641.cellular.nitrogen.compound.metabolic.process	
GO:0006793	phosphorus metabolic process	case	Control_Sick	0.001688953	0.00047955	141	133	0.00060967	0.004160104	GO.0006793.phosphorus.metabolic.process	
GO:0006796	phosphate containing compound metabolic process	case	Control_Sick	0.001659228	0.000478994	141	133	0.000742143	0.004919348	GO.0006796.phosphate.containing.compound.metabolic.process	
GO:1901265	nucleoside phosphate binding	case	Control_Healthy	0.001891554	0.000563314	141	137	0.001091644	0.006844904	GO.1901265.nucleoside.phosphate.binding	
GO:0000166	nucleotide binding	case	Control_Healthy	0.001891554	0.000563314	141	137	0.001091644	0.006844904	GO.0000166.nucleotide.binding	
GO:0036094	small molecule binding	case	Control_Healthy	0.002022895	0.000606342	141	137	0.001162239	0.007095773	GO.0036094.small.molecule.binding	
GO:0044249	cellular biosynthetic process	case	Control_Healthy	-0.004424568	0.001338145	141	138	0.001237483	0.007182836	GO.0044249.cellular.biosynthetic.process	
GO:0006082	organic acid metabolic process	case	Control_Sick	-0.003924989	0.001077587	141	136	0.00123842	0.007182836	GO.0006082.organic.acid.metabolic.process	
GO:0043170	macromolecule metabolic process	case	Control_Sick	0.002971155	0.000856627	141	136	0.001311985	0.007234835	GO.0043170.macromolecule.metabolic.process	
