feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0034660.amino.acid.activation	case	Control_Healthy	0.00398172871806532	0.000636300032099015	141	133	6.14163451808572e-09	9.20765786095924e-07
GO.0016740.scavenger.receptor.activity	case	Control_Sick	0.00907534223502896	0.00146923045409257	141	135	1.00064045547641e-08	9.20765786095924e-07
GO.0140098.galactoside.binding	case	Control_Healthy	0.00288501776854517	0.000469003883548639	141	134	1.19064541305507e-08	9.20765786095924e-07
GO.0043170.macromolecule.metabolic.process	case	Control_Healthy	0.00558945120068264	0.000911266935363461	141	136	5.97528405423544e-08	3.46566475145656e-06
GO.0016070.cellular.response.to.dsRNA	case	Control_Healthy	0.00412331534388263	0.000725339460622644	141	135	8.99533076064568e-08	4.1738334729396e-06
GO.0019538.non.reproductive.fruiting.body.development	case	Control_Healthy	0.00139988319252243	0.000264455103219117	141	134	6.07587781376205e-07	2.34933942132133e-05
GO.0016740.scavenger.receptor.activity	case	Control_Healthy	0.0073595746690253	0.00153278990869697	141	135	4.68849808279962e-06	0.000135966444401189
GO.0043168.deaminase.activity	case	Control_Healthy	0.00185891549580183	0.00038356575609506	141	137	4.14767688645262e-06	0.000135966444401189
GO.1901362.organic.cyclic.compound.biosynthetic.process	case	Control_Healthy	-0.00291085054039494	0.000634473665526301	141	138	1.15577378909297e-05	0.000243763199154154
GO.0044260.cellular.macromolecule.metabolic.process	case	Control_Healthy	0.0028504318937123	0.000617485409242775	141	135	9.70612073339628e-06	0.000243763199154154
GO.0003676.dynein.light.intermediate.chain.binding	case	Control_Sick	-0.00297445658832181	0.000638110179893359	141	138	1.12069878971448e-05	0.000243763199154154
GO.0065007.biological.regulation	case	Control_Healthy	0.00274794675694974	0.000609926094675277	141	134	1.54345837738398e-05	0.000298401952960903
GO.0003677.alcohol.dehydrogenase..acceptor..activity	case	Control_Sick	-0.0022250288358491	0.000479519915761685	141	136	2.25202330236461e-05	0.000401899543191222
GO.0016772.virus.receptor.activity	case	Control_Sick	0.00547552628972925	0.00124877545911277	141	133	2.56591406719973e-05	0.00042520861685024
GO.0009987.cellular.process	case	Control_Healthy	0.00606211765075703	0.00140375854234766	141	138	3.00129537909339e-05	0.000450447447330131
GO.0050794.regulation.of.cellular.process	case	Control_Healthy	0.00233509674948476	0.000540370386498515	141	134	3.10653411951814e-05	0.000450447447330131
GO.0090304.regulation.of.myoblast.differentiation	case	Control_Healthy	0.003677832114703	0.000853140559954073	141	135	3.45114758106523e-05	0.000470980140474785
GO.0050789.regulation.of.biological.process	case	Control_Healthy	0.00232282260535372	0.000551478014567575	141	134	4.78730068173322e-05	0.000617029865645614
GO.0044260.cellular.macromolecule.metabolic.process	case	Control_Sick	0.0023717190981846	0.000587164980722938	141	135	9.50004770630896e-05	0.00110200553393184
GO.0016829.apolipoprotein.binding	case	Control_Healthy	-0.0046434791641637	0.00114320766944079	141	135	9.07874438057269e-05	0.00110200553393184
GO.0016779.isobutyryl.CoA.mutase.activity	case	Control_Sick	0.00382821303269079	0.000990540807319018	141	130	0.000182038433029771	0.00201109126013842
GO.0034645.negative.regulation.of.cell.activation	case	Control_Sick	0.00179341904662508	0.000469919715391727	141	134	0.00023065917780256	0.00243240587500881
GO.0044281.small.molecule.metabolic.process	case	Control_Healthy	-0.00432479307172352	0.00114887954417397	141	137	0.000273336630129789	0.0027269729537431
GO.0044283.small.molecule.biosynthetic.process	case	Control_Healthy	-0.00454054554998065	0.00120726159837127	141	135	0.000282100650387217	0.0027269729537431
GO.0009987.cellular.process	case	Control_Sick	0.00490517376241223	0.0013291478053415	141	138	0.000322798753809981	0.00298508618268268
GO.0009059.phenol.containing.compound.metabolic.process	case	Control_Sick	0.00174506891351392	0.000470454549643096	141	134	0.000334535520473059	0.00298508618268268
GO.0019438.aromatic.compound.biosynthetic.process	case	Control_Healthy	-0.00205129418355809	0.000557301895332883	141	138	0.000365595794594	0.00302922229806457
GO.0044262.cellular.carbohydrate.metabolic.process	case	Control_Sick	0.00242111537928853	0.000659088811294613	141	127	0.000359220056255982	0.00302922229806457
GO.0019438.aromatic.compound.biosynthetic.process	case	Control_Sick	-0.00193817064448171	0.000489236015344053	141	138	0.000392362736918356	0.00313890189534685
GO.1901566.organonitrogen.compound.biosynthetic.process	case	Control_Healthy	-0.00298167246539603	0.000826078999877227	141	137	0.000457961054720762	0.00342732144178119
GO.0006139.response.to.ionizing.radiation	case	Control_Healthy	0.00320523708473765	0.000888698943546073	141	136	0.000457662499875343	0.00342732144178119
GO.0043168.deaminase.activity	case	Control_Sick	0.00131165599962554	0.000364862236227383	141	137	0.000493570553099907	0.00357838650997432
GO.0034641.cellular.nitrogen.compound.metabolic.process	case	Control_Healthy	0.0033501785869429	0.000952121804482971	141	137	0.000608616713217259	0.00416010422845305
GO.0006793.phosphorus.metabolic.process	case	Control_Sick	0.00168895317381877	0.000479550244605205	141	133	0.000609670447273291	0.00416010422845305
GO.0006796.superoxide.metabolic.process	case	Control_Sick	0.00165922836289781	0.000478993633321328	141	133	0.000742142997290295	0.00491934786775281
GO.1901265.serine.hydrolase.activity	case	Control_Healthy	0.00189155424026774	0.000563314049202345	141	137	0.00109164410021209	0.0068449035472758
GO.0000166.oxidoreductase.activity..acting.on.the.aldehyde.or.oxo.group.of.donors..disulfide.as.acceptor	case	Control_Healthy	0.00189155424026774	0.000563314049202345	141	137	0.00109164410021209	0.0068449035472758
GO.0036094.polyamine.binding	case	Control_Healthy	0.0020228953764724	0.000606341712810289	141	137	0.00116223870645086	0.0070957731551737
GO.0006082.organic.acid.metabolic.process	case	Control_Sick	-0.00392498931093549	0.00107758748054325	141	136	0.00123841999422424	0.00718283596650061
GO.0044249.cellular.biosynthetic.process	case	Control_Healthy	-0.00442456822872432	0.00133814511250672	141	138	0.00123748307082885	0.00718283596650061
GO.0044281.small.molecule.metabolic.process	case	Control_Sick	-0.00354694453845147	0.00107601738905991	141	137	0.00146567769422082	0.00723483457572832
GO.0043170.macromolecule.metabolic.process	case	Control_Sick	0.00297115548375491	0.000856627066029187	141	136	0.00131198512352131	0.00723483457572832
GO.1901576.organic.substance.biosynthetic.process	case	Control_Healthy	-0.00436724686901645	0.00133520875605783	141	138	0.0013915219336935	0.00723483457572832
GO.0043436.oxoacid.metabolic.process	case	Control_Sick	-0.00390016718292997	0.00107803945095903	141	136	0.00133296700199617	0.00723483457572832
GO.0019752.chromatin.maintenance	case	Control_Sick	-0.00390162765869774	0.00108091961992521	141	136	0.00137044013813853	0.00723483457572832
