"OTU"	"Control_Healthy"	"Control_Sick"	"COVID19"
"1"	"(2,3-dihydroxybenzoyl)adenylate synthase activity"	0.0625	0.524590163934426	29.0975609756098
"2"	"(deoxy)nucleoside-phosphate kinase activity"	0	0	5.65853658536585
"3"	"(R)-2-hydroxyacid dehydrogenase activity"	0.125	0.0655737704918033	3.07317073170732
"4"	"(R)-citramalate synthase activity"	0.375	0.0491803278688525	3.21951219512195
"5"	"(R)-limonene 1,2-monooxygenase activity"	0.0625	0.0491803278688525	4.58536585365854
"6"	"(R,R)-butanediol dehydrogenase activity"	0	3.95081967213115	21.0975609756098
"7"	"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity"	6.25	39.5409836065574	146.146341463415
"8"	"(S)-2-haloacid dehalogenase activity"	0.375	0.360655737704918	13.0487804878049
"9"	"(S)-2-hydroxy-acid oxidase activity"	1.90625	5.18032786885246	43.1951219512195
"10"	"(S)-3-amino-2-methylpropionate transaminase activity"	0	5	9.95121951219512
"11"	"(S)-limonene 1,2-monooxygenase activity"	0.0625	0.0491803278688525	4.58536585365854
"12"	"[acyl-carrier-protein] phosphodiesterase activity"	0.125	3.81967213114754	14.1463414634146
"13"	"[acyl-carrier-protein] S-acetyltransferase activity"	0	0.540983606557377	2.19512195121951
"14"	"[acyl-carrier-protein] S-malonyltransferase activity"	3.625	43.8360655737705	142.560975609756
"15"	"[citrate (pro-3S)-lyase] ligase activity"	0	2.85245901639344	33.7317073170732
"16"	"[glutamate-ammonia-ligase] adenylyltransferase activity"	5.15625	27.0655737704918	114.121951219512
"17"	"[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase"	3.5	23.2459016393443	93.9756097560976
"18"	"[glycogen-synthase-D] phosphatase activity"	0.0625	0.934426229508197	0.585365853658537
"19"	"[isocitrate dehydrogenase (NADP+)] kinase activity"	0.4375	7.34426229508197	53.5365853658537
"20"	"[protein-PII] uridylyltransferase activity"	5.875	31.5573770491803	109.90243902439
"21"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity"	1.3125	18.3606557377049	49.4146341463415
"22"	"1-acyl-2-lysophosphatidylserine acylhydrolase activity"	0.125	0.426229508196721	14.780487804878
"23"	"1-acyl dihydroxyacetone phosphate reductase activity"	0	1.39344262295082	1.04878048780488
"24"	"1-acylglycerol-3-phosphate O-acyltransferase activity"	1.9375	8.19672131147541	70.8292682926829
"25"	"1-alkyl-2-acetylglycerophosphocholine esterase activity"	3.3125	14.344262295082	62.8780487804878
"26"	"1-deoxy-D-xylulose-5-phosphate reductoisomerase activity"	2.125	10.8360655737705	74
"27"	"1-ethyladenine demethylase activity"	0	0.655737704918033	5.60975609756098
"28"	"1-phosphatidylinositol-4-phosphate 5-kinase activity"	0	0.114754098360656	20.8292682926829
"29"	"1-phosphatidylinositol binding"	0	0.459016393442623	2.46341463414634
"30"	"1-phosphofructokinase activity"	0.28125	8.11475409836066	175.80487804878
"31"	"1-pyrroline-5-carboxylate dehydrogenase activity"	24.28125	28.5737704918033	141.317073170732
"32"	"1,2-diacylglycerol 3-glucosyltransferase activity"	0.65625	0	4.80487804878049
"33"	"1,3-beta-D-glucan synthase activity"	0	0	2.19512195121951
"34"	"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase activity"	0.0625	0.295081967213115	14.390243902439
"35"	"1,3-propanediol dehydrogenase activity"	0	1.60655737704918	6.58536585365854
"36"	"1,4-alpha-glucan branching enzyme activity"	45.125	205.262295081967	317.975609756098
"37"	"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)"	13.875	32.1803278688525	308.463414634146
"38"	"1,4-alpha-oligoglucan phosphorylase activity"	17.625	69.8524590163934	564.317073170732
"39"	"1,4-dihydroxy-2-naphthoate octaprenyltransferase activity"	0.65625	2.77049180327869	20.5365853658537
"40"	"1,4-dihydroxy-2-naphthoyl-CoA synthase activity"	10.6875	1.22950819672131	27.3414634146341
"41"	"1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity"	1.1875	7.21311475409836	14.1463414634146
"42"	"1,4-lactonase activity"	0	0.131147540983607	2.68292682926829
"43"	"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase activity"	0	0.754098360655738	4.95121951219512
"44"	"12-oxophytodienoate reductase activity"	10.34375	16.0327868852459	24.4878048780488
"45"	"13-prostaglandin reductase activity"	0	0	8.07317073170732
"46"	"15-hydroxyicosatetraenoate dehydrogenase activity"	0.0625	1.68852459016393	0.0975609756097561
"47"	"15-oxoprostaglandin 13-oxidase activity"	0	0	8.31707317073171
"48"	"16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity"	3.125	9.57377049180328	532.80487804878
"49"	"16S rRNA (guanine(1207)-N(2))-methyltransferase activity"	0	6.73770491803279	16.4390243902439
"50"	"16S rRNA (guanine(966)-N(2))-methyltransferase activity"	0.34375	4.86885245901639	26.0731707317073
"51"	"17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity"	0.21875	0.442622950819672	11.4146341463415
"52"	"2-5-RNA ligase activity"	1	362.065573770492	30.1951219512195
"53"	"2-alkenal reductase [NAD(P)+] activity"	0.90625	6.73770491803279	110.024390243902
"54"	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity"	0.6875	8.09836065573771	95.3170731707317
"55"	"2-aminoadipate transaminase activity"	0.125	0.459016393442623	7.65853658536585
"56"	"2-aminoethylphosphonate-pyruvate transaminase activity"	6.375	6.0983606557377	18.390243902439
"57"	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity"	11.125	10.2295081967213	121.121951219512
"58"	"2-chloroethanol cytochrome-c oxidoreductase activity"	1.25	14.5901639344262	2.02439024390244
"59"	"2-chloroethanol:cytochrome c oxidoreductase activity"	1.46875	12.5901639344262	12.1463414634146
"60"	"2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity"	0.125	0.229508196721311	9.51219512195122
"61"	"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity"	0	0.0983606557377049	8.90243902439024
"62"	"2-dehydro-3-deoxy-D-gluconate aldolase activity"	0	0.0819672131147541	5.41463414634146
"63"	"2-dehydro-3-deoxy-D-pentonate aldolase activity"	0.0625	3.36065573770492	5.53658536585366
"64"	"2-dehydro-3-deoxy-L-arabinonate dehydratase activity"	0	0	2.07317073170732
"65"	"2-dehydro-3-deoxy-phosphogluconate aldolase activity"	0	5.75409836065574	42.0243902439024
"66"	"2-dehydro-3-deoxygalactonokinase activity"	1.90625	0.721311475409836	24.2439024390244
"67"	"2-dehydro-3-deoxyglucarate aldolase activity"	0	2	9.82926829268293
"68"	"2-dehydro-3-deoxygluconokinase activity"	0.125	1.37704918032787	25.8048780487805
"69"	"2-dehydropantoate 2-reductase activity"	6.40625	17.655737704918	79.8292682926829
"70"	"2-deoxy-D-gluconate 3-dehydrogenase activity"	0.78125	1.55737704918033	16.8780487804878
"71"	"2-deoxyglucose-6-phosphatase activity"	1.21875	0.934426229508197	7.48780487804878
"72"	"2-enoate reductase activity"	0	0	6.17073170731707
"73"	"2-heptyl-3-hydroxy-4(1H)-quinolone synthase activity"	0	5.62295081967213	0
"74"	"2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity"	0	3.81967213114754	11.2682926829268
"75"	"2-hydroxy-3-oxopropionate reductase activity"	1.1875	5.78688524590164	43.3658536585366
"76"	"2-hydroxymuconate-semialdehyde hydrolase activity"	0	0.475409836065574	0.975609756097561
"77"	"2-isopropylmalate synthase activity"	13.96875	11.7704918032787	138.585365853659
"78"	"2-keto-3-deoxy-L-rhamnonate aldolase activity"	0	2.47540983606557	0.48780487804878
"79"	"2-keto-3-deoxygluconate:proton symporter activity"	0	0.114754098360656	29.8048780487805
"80"	"2-ketobutyrate formate-lyase activity"	0.125	0.377049180327869	5.41463414634146
"81"	"2-methylcitrate dehydratase activity"	3.90625	12.3606557377049	37.1463414634146
"82"	"2-methylcitrate synthase activity"	0	2.39344262295082	5.60975609756098
"83"	"2-methylisocitrate dehydratase activity"	2.78125	93.1311475409836	138.170731707317
"84"	"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity"	0.78125	6.36065573770492	166.829268292683
"85"	"2-oxo-hept-3-ene-1,7-dioate hydratase activity"	1.03125	6.39344262295082	9
"86"	"2-oxoglutaramate amidase activity"	0	0	2.1219512195122
"87"	"2-oxoglutarate decarboxylase activity"	0.125	2.55737704918033	41.0731707317073
"88"	"2-oxoglutarate synthase activity"	4.0625	0.540983606557377	70.390243902439
"89"	"2-oxopent-4-enoate hydratase activity"	0.3125	1.73770491803279	14.0975609756098
"90"	"2-phosphosulfolactate phosphatase activity"	0.8125	0.409836065573771	3.8780487804878
"91"	"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"	3.09375	11.8524590163934	191.463414634146
"92"	"2-pyrone-4,6-dicarboxylate lactonase activity"	0	0	2.92682926829268
"93"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity"	2.0625	15.2950819672131	100.80487804878
"94"	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity"	2.3125	11.327868852459	742.487804878049
"95"	"2,3-cyclic-nucleotide 2-phosphodiesterase activity"	1	0.491803278688525	102.658536585366
"96"	"2,3-cyclic-nucleotide 3-phosphodiesterase activity"	1	362.065573770492	32.7073170731707
"97"	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity"	0.0625	1.27868852459016	51.5853658536585
"98"	"2,3-dihydroxybenzoate-serine ligase activity"	0.09375	38.7213114754098	15.8536585365854
"99"	"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity"	0	3.85245901639344	11.3658536585366
"100"	"2,3-dimethylmalate lyase activity"	0.125	0.442622950819672	0.48780487804878
"101"	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity"	4.875	15.4426229508197	37.609756097561
"102"	"2,4-diaminopentanoate dehydrogenase activity"	0	0	1.92682926829268
"103"	"2,4-dichlorophenol 6-monooxygenase activity"	0	7.14754098360656	0.560975609756098
"104"	"2,4-dienoyl-CoA reductase (NADPH) activity"	1.5	60.5409836065574	74.4390243902439
"105"	"2,4-dihydroxyacetophenone dioxygenase activity"	0	18.344262295082	0.195121951219512
"106"	"2,4-dihydroxyhept-2-ene-1,7-dioate aldolase activity"	0.0625	6.80327868852459	8.41463414634146
"107"	"2,5-didehydrogluconate reductase activity"	0.1875	3.59016393442623	96.8292682926829
"108"	"2,5-dihydroxypyridine 5,6-dioxygenase activity"	0	0	3.51219512195122
"109"	"2,5-dioxovalerate dehydrogenase (NADP+) activity"	0	9.45901639344262	17.6829268292683
