"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"GO:0055114-oxidation-reduction process"	67.7367121734954	16.1248529217083	7.11256507477355	0.833872852846552	109.451410320081	8.71518137859919
"GO:0009846-pollen germination"	3.10392073492598e-09	0.00575527976978381	0.000648997581507949	0.000902826933857522	0.00252725170760743	0.0103053001527061
"GO:0044237-cellular metabolic process"	375.368632502727	126.40895718097	70.0410892965832	11.578992994264	537.389809992435	106.060969030539
"GO:0097194-execution phase of apoptosis"	2.46171108708396e-11	0.000434059133231188	0.000538068940333851	0.000901226073479598	0.023908102977525	0.0103214002298832
"GO:0007566-embryo implantation"	2.72081840744352e-09	0.000433684613460211	0.000773215040032625	0.000898592143241147	0.0493093763394444	0.0103212627476707
"GO:0036268-swimming"	2.46171108708396e-11	0.000434059133231188	0.000538068940333851	0.000901226073479598	0.023908102977525	0.0103214002298832
"GO:0033036-macromolecule localization"	2.23852618640597	3.18619204406575	1.34983570778216	0.268815834062299	18.4575330188461	3.61377469620667
"GO:0010073-meristem maintenance"	2.46171108708396e-11	0.000434059133231188	0.000538068940333851	0.000901226073479598	0.023908102977525	0.0103214002298832
"GO:0071704-organic substance metabolic process"	1129.08497280081	126.100247660059	64.1669916420178	12.0330307747862	548.956910296493	103.147455107115
"GO:0042221-response to chemical"	128.718677940927	1.27649408711024	0.585500241847864	0.193191175982253	6.66628119548052	0.807682580895413
"GO:0051234-establishment of localization"	85.4970273420492	17.4979115891076	7.01565760888702	0.839508313676665	187.391720860062	10.5121791860065
"GO:0080190-lateral growth"	6.08783253158182e-10	0.000426300241278181	0.000629369252041121	0.000901301598622207	0.0239114525942069	0.0103076955800611
"GO:0030447-filamentous growth"	0.0881238682220445	0.024903653079967	0.034320689713858	0.000867124831014863	0.0767889328057019	0.131823435205835
"GO:0051716-cellular response to stimulus"	27.7871384124912	9.83389534886901	3.38127551738206	0.337607380574034	38.8991560173469	7.1556530738403
"GO:0051641-cellular localization"	11.4115037856709	1.54869173010115	0.889271834607518	0.221785693906361	6.74942669583723	1.96197029451608
"GO:0009058-biosynthetic process"	228.321874255998	59.6554931481857	48.9238356682966	4.66865181338366	241.802851902461	69.4285240080467
"GO:0032963-collagen metabolic process"	1.07737610090728e-10	0.000433849735137919	0.000537976791039055	0.000903031799605897	0.00246769653682694	0.141010645534413
"GO:0002440-production of molecular mediator of immune response"	3.69256660332002e-11	0.000434056732121262	0.000538379153921198	0.000901260091130937	0.0241673802645983	0.0103214094729648
"GO:0016203-muscle attachment"	6.78397543617644e-11	0.000433885868197473	0.000527683286692624	0.000900197937918287	0.0239081038804139	0.124790621164165
"GO:0046034-ATP metabolic process"	39.1167083297298	1.26144602831668	0.534769877997441	0.267454104167892	8.46429431900389	2.35104003062534
"GO:0044281-small molecule metabolic process"	241.788417988795	32.742372387273	20.2363699506133	5.31810830081105	182.007947640004	43.8716750303338
"GO:0022602-ovulation cycle process"	3.69256660332002e-11	0.000434056732121262	0.000538379153921198	0.000901260091130937	0.0241673802645983	0.0103214094729648
"GO:0032196-transposition"	2.53952297313732	0.883569250318917	0.519182498939932	0.200688053286723	8.0909756893082	0.669907233145553
"GO:0044764-multi-organism cellular process"	0.0232534021682925	0.407004282541643	0.262018299738036	0.147552734411879	2.28112230701069	0.362024902179069
"GO:0014874-response to stimulus involved in regulation of muscle adaptation"	2.46171108708396e-11	0.000434059133231188	0.000538068940333851	0.000901226073479598	0.023908102977525	0.0103214002298832
"GO:0010118-stomatal movement"	2.69616876559471e-09	0.000433683988670059	0.000773214737669678	0.00089860182076145	0.0483814895528308	0.0103212566274341
"GO:0006950-response to stress"	45.5901857661411	9.45000610175325	3.3916723436571	0.342169976544886	43.0603496504264	8.48400063921258
"GO:0044283-small molecule biosynthetic process"	130.563013221939	16.6717839433723	15.4063199039924	1.70959413148204	77.0682919249177	34.3353077550624
"GO:0001709-cell fate determination"	2.46171108708396e-11	0.000434059133231188	0.000538068940333851	0.000901226073479598	0.023908102977525	0.0103214002298832
"GO:0021670-lateral ventricle development"	8.61900891961322e-11	0.000433849490242152	0.000538090917889065	0.000903048371560693	0.00246758680791709	0.136854213681099
"GO:0090659-walking behavior"	2.05293947400858e-09	0.000433685525040578	0.000773692816545642	0.00089860748286557	0.0489337984251464	0.0103212681689754
"GO:0090693-plant organ senescence"	3.22240511558507e-09	0.000426711775233362	0.000767108651345386	0.00089860838400275	0.0489267869562546	0.010310010527843
"GO:0051649-establishment of localization in cell"	14.4802151735606	1.32157886195289	0.618968379819857	0.217384912349332	6.0230167181913	1.94815571789317
"GO:0048583-regulation of response to stimulus"	12.1119963844323	0.499235953574552	0.287706839652427	0.192270551402547	1.0302661063381	0.332576850884168
"GO:0032964-collagen biosynthetic process"	4.3095045719634e-11	0.00043384894023821	0.000538329192010744	0.00090308914573128	0.0024671105706901	0.124787165775204
