"obs.tot"	"obs.groups"	"df"	"statistic"	"pvalue"
"GO:0003674"	87	3	2	2.73267217630854	0.255039692734628
"GO:0003824"	87	3	2	2.30586976674101	0.31570883973881
"GO:0008150"	87	3	2	3.26326392232784	0.195610085438545
"GO:0008152"	87	3	2	2.19066352982316	0.334428636854498
"GO:0009987"	87	3	2	2.65965860892478	0.264522410241379
"GO:0044237"	87	3	2	1.65500130755778	0.437140487534298
"GO:0071704"	87	3	2	1.99102570070128	0.369533880359069
"GO:0005488"	87	3	2	3.74318072083935	0.15387874444871
"GO:0044238"	87	3	2	2.08307752175263	0.352911217960435
"GO:0016787"	87	3	2	2.16253239163278	0.339165803324817
"GO:0006807"	87	3	2	1.84656720848209	0.397212608348944
"GO:0043170"	87	3	2	0.324867664092494	0.850072335911556
"GO:0097159"	87	3	2	3.16971059639746	0.204977451577392
"GO:1901363"	87	3	2	3.16971059639746	0.204977451577392
"GO:0034641"	87	3	2	0.843328931258815	0.65595409761811
"GO:0016740"	87	3	2	3.60343962402401	0.165014849524643
"GO:1901360"	87	3	2	1.01349980029313	0.602450424405865
"GO:0046483"	87	3	2	0.999380706602991	0.606718499009363
"GO:0006725"	87	3	2	0.447421588219632	0.799546334444938
"GO:0006139"	87	3	2	0.0210973908465678	0.989506746944814
"GO:0090304"	87	3	2	0.141236456551337	0.93181756582906
"GO:0016070"	87	3	2	0.322384832011785	0.851128284645055
"GO:0009058"	87	3	2	3.17352695262489	0.204586691029418
"GO:0034660"	87	3	2	0.950062838677364	0.621865517554761
"GO:0044260"	87	3	2	0.71659990633942	0.698863417267142
"GO:1901576"	87	3	2	3.23507643696969	0.198386482604774
"GO:0003676"	87	3	2	1.94613003045855	0.377922921614014
"GO:0044249"	87	3	2	3.05809215561062	0.216742324046551
"GO:0065007"	87	3	2	3.44026825904422	0.179042131465341
"GO:0140098"	87	3	2	0.953144709217802	0.620908000970433
"GO:0016772"	87	3	2	2.78140530621609	0.248900352567236
"GO:1901564"	87	3	2	2.60243852400384	0.272199707865005
"GO:0016788"	87	3	2	0.402632843309768	0.817653667290184
"GO:0043167"	87	3	2	3.75226907492396	0.153181078550107
"GO:0004518"	87	3	2	1.32365918764408	0.515906571013454
"GO:0050789"	87	3	2	3.6449446678197	0.161625663953674
"GO:0050794"	87	3	2	3.93677682816163	0.139681784117499
"GO:0006396"	87	3	2	0.548727678986552	0.760055486743862
"GO:0034470"	87	3	2	0.851838516210741	0.653169078100525
"GO:0016072"	87	3	2	1.30982051631629	0.519488680366232
"GO:0006364"	87	3	2	1.34716071798189	0.509879753257131
"GO:0007165"	87	3	2	3.68896140532438	0.158107404329103
"GO:0036094"	87	3	2	4.46704525335525	0.107150313991205
"GO:0009059"	87	3	2	2.16562551598499	0.338641667730582
"GO:0034645"	87	3	2	2.25602462030495	0.323675984907284
"GO:0000166"	87	3	2	4.25680162870409	0.11902748878515
"GO:1901265"	87	3	2	4.25680162870409	0.11902748878515
"GO:0044271"	87	3	2	2.18050036262292	0.336132389144537
"GO:0043412"	87	3	2	2.06683633812732	0.35578873365992
"GO:0016491"	87	3	2	3.07073760152367	0.215376245597392
"GO:1901566"	87	3	2	2.07460556763537	0.35440931249039
"GO:0016798"	87	3	2	0.354318301725001	0.8376464617572
"GO:0008168"	87	3	2	0.231385557310457	0.890748838321096
"GO:0016741"	87	3	2	0.0406058956658994	0.979901769218313
"GO:0032259"	87	3	2	0.303103783298653	0.859373286818631
"GO:0016829"	87	3	2	4.75051576176037	0.0929905056449004
"GO:0003677"	87	3	2	2.12208408553952	0.346094976592607
"GO:0044281"	87	3	2	2.34026025212539	0.310326557065004
"GO:0016779"	87	3	2	2.61639723295742	0.270306543831653
"GO:0050896"	87	3	2	0.622683182996379	0.732463629782131
"GO:0016874"	87	3	2	0.835706833232635	0.658458740461316
"GO:0006950"	87	3	2	0.156521078894324	0.924723468214141
"GO:0006399"	87	3	2	0.579408224179736	0.748485002480143
"GO:0140101"	87	3	2	0.981910456280424	0.612041475623065
"GO:0043168"	87	3	2	3.63511556691317	0.162421936491815
"GO:0006259"	87	3	2	1.30868490751061	0.519783732084075
"GO:0051716"	87	3	2	0.286930294417822	0.866350994411283
"GO:0033554"	87	3	2	0.1778898713232	0.914895950327667
"GO:0006793"	87	3	2	4.44014138914009	0.108601431022099
"GO:0003723"	87	3	2	0.175188626562065	0.916132464117701
"GO:0043169"	87	3	2	2.72503180295142	0.256015855345858
"GO:0005975"	87	3	2	2.06398869142861	0.356295674778
"GO:0006796"	87	3	2	4.29584467330242	0.116726424225733
"GO:0006974"	87	3	2	0.166744401442903	0.920008655600909
"GO:0051179"	87	3	2	6.84084980444596	0.0326985383052594
"GO:0051234"	87	3	2	6.84084980444596	0.0326985383052594
"GO:0006810"	87	3	2	6.70840127410748	0.0349372865679213
"GO:0046872"	87	3	2	2.68653628117465	0.260991316954262
