"V1"	"V2"	"V3"	"V4"	"V5"
"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity"	0.000367673325354278	0.00122937363603604	0.0408473310950269	0.25625489983213	0.0203513776339067
"protein phosphatase inhibitor activity"	0.00781038837017454	0.00122703443046401	0.0346369926180766	0.0024042015896999	0.0203513971423295
"homocitrate synthase activity"	0.00782952504090518	0.00122637575178403	0.000784510939367095	0.175175282136638	0.020351493000529
"N-acylglucosamine-6-phosphate 2-epimerase activity"	0.00405646002841606	0.00122508057863414	0.0528324073649337	0.332023297369323	0.0203514461371097
"pyrimidine nucleotide transmembrane transporter activity"	0.00409465386940424	0.00122430917479422	0.0243630417408917	0.226448024384977	0.0203514940933399
"glycerol dehydratase activity"	0.0115822580439727	0.00122667175555292	0.0248647026466196	0.213854509347135	0.0203514279892375
"endopeptidase activity"	0.0913495576847523	0.871850728052915	0.382339833130756	1.2406708536057	0.0203514823346793
"NAD(P)+ transhydrogenase activity"	0.0507540552807498	0.0395040625148735	0.165529254477697	1.47709041273289	0.0203514768614971
"acetaldehyde dehydrogenase (acetylating) activity"	0.032505297784079	19.0447671056713	0.196763570550083	1.10477811558606	0.0203514822505944
"D(-)-tartrate dehydratase activity"	0.0193112434359812	0.00123147942448161	0.0619112800106156	0.48309820872019	0.0203514823962712
"alcohol dehydrogenase (cytochrome c) activity"	0.0157101288848254	0.00123203836863007	0.0642967336986447	0.535724884853763	0.0203514830574361
"alanine-glyoxylate transaminase activity"	0.0116673032907737	0.00123194923763898	0.0325997035421201	0.397964938176256	0.020351482608441
"pullulanase activity"	0.0774984598288872	0.00122658331172168	0.245881200482131	1.10448213623615	0.0203514701976393
"formamidase activity"	0.0313322773426249	0.00123196803667799	0.108929892377836	0.584594772035153	0.0203514826272937
"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity"	0.0115418960141856	0.00123143481644021	0.0765543326265095	0.766578171979264	0.0203514824138771
"dihydrofolate reductase activity"	0.0525826916591401	0.0535318321448266	0.106046648456141	1.55003336862296	0.0203514830619237
"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	0.200615697504095	0.197679252981551	0.351266284336898	4.45843173274896	0.0203514849046909
"glucose-1-phosphate thymidylyltransferase activity"	12.6359378735994	8.22615757727143	104.28911846873	47.6223927084433	0.411125739777085
"NAD(P)H dehydrogenase (quinone) activity"	0.0716211825908336	0.00123186820643309	0.23003124524367	1.46591236210167	0.0203514823112115
"lysine 2-monooxygenase activity"	0.000364612625763887	0.00122977067443608	0.000784513386809553	0.313243627255099	0.0203513541412972
"fructan beta-fructosidase activity"	0.000365129232860933	0.00123151233706476	0.00857119381094793	0.133594431595282	0.0203513458292074
"4-hydroxy-2-oxoglutarate aldolase activity"	0.0078369460794088	0.00122653180399788	0.0429553605804285	0.690465023971626	0.020351545563569
"G protein-coupled peptide receptor activity"	0.0395138731862603	0.00122487749737748	0.0413494690564388	0.0542458086748113	0.0203514998457612
"S-methyl-5-thioribose kinase activity"	0.0194427329564753	0.00123203624734161	0.0162699650245625	0.371726287560168	0.0203514830494611
"phosphatidylethanolamine transfer activity"	0.000364612625747084	0.704899043592708	0.000784513386817383	0.00240421827006669	0.0203515004143697
"phosphatidylglycerol-membrane-oligosaccharide glycerophosphotransferase activity"	0.00784487178741893	0.00122468988804703	0.0606806966955549	0.382813633914004	0.0203515382539352
"(S)-2-haloacid dehalogenase activity"	0.00783218846361365	0.00122751235509633	0.0426829154944607	0.365043027253111	0.0203515308789232
"carbonyl sulfide nitrogenase activity"	0.0436446757081637	0.00122647237917016	0.102555343436529	0.711678674233263	0.0203514739980393
"allantoate deiminase activity"	0.000376553149634095	0.00122814285762701	0.00836576400877811	0.368955585046948	0.0203513867169818
"L-ascorbic acid binding"	0.0316274899375988	0.00123177819457924	0.150706891707543	1.4291531735257	0.0203514822878685
"serine-type peptidase activity"	0.840773895261329	1.06066070360875	1.56597881604403	35.8697468638785	0.0203514849641415
"L-arabinose 1-dehydrogenase (NAD+) activity"	0.000364612625757109	0.00123193755520087	0.000784513386810327	0.143685222239492	0.020351376675638
"CDP-glucose 4,6-dehydratase activity"	0.00777339310789894	0.00122471630128659	0.0250228697978944	0.449473750877551	0.0203515458961969
"pantothenate kinase activity"	0.0756977382516906	0.00123200693248057	0.26601075997161	1.61539932981106	0.0203514826850464
"AU-rich element binding"	0.00779594897827288	0.00122785894225627	0.00837605730662108	0.279939520424109	0.0203515197145044
"licheninase activity"	0.00404906613130304	0.00123108172600534	0.0166747372227184	0.203175518297002	0.0203513431310046
"nitrite reductase (NO-forming) activity"	0.0199497284751188	0.00123153065160016	0.135794959227303	1.22455658074466	0.0203514846847776
"L-pipecolate oxidase activity"	0.00404906485338905	0.00123026174452445	0.00859179006654425	0.229835925213912	0.0203513600781565
"pectate disaccharide-lyase activity"	0.00407793046575086	0.00122944144012473	0.0243659510717859	0.247466996617895	0.0203513440036294
"mycocerosate synthase activity"	0.00404900934429708	0.00123141425506499	0.0161537780634298	0.480353591459286	0.0203514824209238
