	GO_Terms	CRR119894	CRR119895	CRR119896	CRR119897	CRR125934	CRR125935	CRR125936	CRR125937	CRR125938	CRR125939	CRR125940	CRR125941	CRR125942	CRR125943	CRR125944	CRR125945	CRR125946	CRR125947	CRR125948	CRR125949	CRR125950	CRR125951	CRR125952	CRR125953	CRR125954	CRR125955	CRR125956	CRR125957	CRR125958	CRR125959	CRR125960	CRR125961	CRR125962	CRR125963	CRR125964	CRR125965	CRR125966	CRR125967	CRR125968	CRR125969	CRR125970	CRR125971	CRR125972	CRR125973	CRR125974	CRR125975	CRR125976	CRR125977	CRR125978	CRR125979	CRR125980	CRR125981	CRR125982	CRR125983	CRR125984	CRR125985	CRR125986	CRR125987	CRR125988	CRR125989	CRR125990	CRR125991	CRR125992	CRR125993	CRR125994	SRR10571655	SRR10571656	SRR10571657	SRR10571658	SRR10571659	SRR10571660	SRR10571662	SRR10571663	SRR10571664	SRR10571665	SRR10571719	SRR10571720	SRR10571721	SRR10571722	SRR10571723	SRR10571724	SRR10571725	SRR10571726	SRR10571727	SRR10571728	SRR10571730	SRR10571731	SRR10571732	SRR10571734	SRR10571735	SRR10571736	SRR10571737	SRR10571738	SRR10571739	SRR10571741	SRR10571742	SRR10571743	SRR10571744	SRR10571752	SRR10571753	SRR10571754	SRR10571755	SRR10571756	SRR10571757	SRR10903401	SRR10903402	SRR10971381	SRR11059942_PE	SRR11059942_SE	SRR11059944_PE	SRR11059944_SE	SRR11059945_PE	SRR11059946_PE	SRR11059946_SE	SRR11059947_PE	SRR11059947_SE	SRR11092056	SRR11092057	SRR11092058	SRR11092059	SRR11092060	SRR11092061	SRR11092062	SRR11092063	SRR11092064	SRR5677652	SRR5677654	SRR5677655	SRR5677656	SRR5677657	SRR5677658	SRR5677659	SRR5677660	SRR5677661	namespace	depth	name
1	GO:0008150	1498	553	957	396	7986	26878	2907	340	2102	583300	496204	71444	162407	459219	52716	5483	850	418118	284505	49326	1043	200	10393	765	2716	16455	1178	3631	355	196	165	2201	603	526	2528	779	7842	2890	19217	178	9725	5802	5926	355896	263742	3949	1317	16093	99956	71577	480557	25887	15242	17102	6352	249	6049	229	104435	4352	35285	5456	99065	7155	2128	1069	178	358	67	142	185	141	175	142	110	134	116	110	112	136	79	211	103	74	70	87	259	105	112	92	325	166	162	115	95	103	129	195	165	135	121	140	193	152	395	553	136930	0	0	0	0	0	3	0	25	3	266	210	448	186625	14918	17845	7723	4719	2631	7391	2003	7162	308	215	364	332	454	1977	biological_process	0	biological_process
2	GO:0019740	0	0	0	0	0	0	4	0	0	25	78	48	0	3	133	0	0	69	59	56	0	0	16	0	0	0	6	0	0	0	3	29	0	0	2	2	0	0	0	0	8	2	9	421	15	0	3	2	0	21	4	0	0	0	0	0	0	0	421	0	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1465	127	148	40	12	10	0	0	0	0	0	0	0	0	0	biological_process	1	nitrogen utilization
3	GO:0006791	0	0	0	0	0	0	0	0	0	2128	2	0	0	0	0	0	0	2121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	22	20	4	2	0	0	0	0	0	0	0	0	0	0	biological_process	1	sulfur utilization
4	GO:0008152	279	105	34	17	170	3575	392	271	244	30093	26869	5144	1632	86710	25978	34645	42	22491	18926	1901	623	154	1756	387	682	606	19194	288	2082	158	3297	36407	1209	214	2008	695	2534	2860	1856	602	1874	1144	1827	7936	149180	554	1273	505778	3837	11688	2175	5018	1708	441	3654	147	150	146	21969	1715	7705	2227	1947	272	1449	95	112	119	108	117	84	79	64	86	79	120	101	78	105	107	94	75	106	82	109	70	121	87	89	96	95	72	102	95	82	110	87	76	81	89	84	94	90	91	17	105	14210	0	0	0	0	0	2	0	13	2	130	112	58	148843	12482	13476	4622	1532	2749	916	779	279	336	236	131	115	49	377	biological_process	1	metabolic process
5	GO:0002376	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	3	0	5	11	9	3	0	3	3	4	0	7	4	4	10	6	0	4	4	11	6	15	8	3	0	7	8	0	0	5	6	9	4	3	5	2	8	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	2	0	0	0	0	0	0	2	0	0	0	biological_process	1	immune system process
6	GO:0009758	0	0	0	0	0	7	0	0	0	69	158	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	41	0	0	55	2	0	0	0	433	10	3	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	249	18	25	4	6	0	2	0	0	0	0	0	0	0	0	biological_process	1	carbohydrate utilization
7	GO:0015976	0	0	0	0	10	85	0	0	0	3435	74	26	172	1842	2	0	0	4077	175	20	0	0	21	0	2	21	4	0	0	0	0	50	0	0	2	2	2	42	3	2	7	0	25	45	1328	0	13	2	8	0	101	2	6	0	32	0	2	0	1323	9	22	14	9	7	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	2	0	2809	264	283	83	17	35	0	3	0	0	0	0	0	0	0	biological_process	1	carbon utilization
8	GO:0050896	0	0	0	0	0	0	0	0	0	0	0	90	0	2	5	10	0	0	0	88	5	0	0	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	16	0	2	0	0	0	0	0	3	0	8	0	4	0	0	0	1872	0	4	68	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	741	75	49	14	8	2	0	0	0	0	0	0	0	0	0	biological_process	1	response to stimulus
9	GO:0043473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	biological_process	1	pigmentation
10	GO:0048511	0	0	0	0	0	0	16	0	3	0	5	6	0	2	338	0	0	0	0	0	2	2	0	4	0	0	0	0	0	0	0	4	0	0	2	2	6	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	3	42	2	3	6	11	0	0	0	0	0	3	0	0	0	0	biological_process	1	rhythmic process
