feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GO.0004518.nuclease.activity	case	Community_acquired_pneumonia	-0.00607235777187354	0.000319238521463037	86	86	3.0395807118703e-29	1.67322839027036e-24
GO.0004518.nuclease.activity	case	Control_Healthy	-0.00594063556408086	0.000329580623319026	86	86	3.95904781600289e-28	1.08968832087664e-23
GO.0016788.hydrolase.activity..acting.on.ester.bonds	case	Community_acquired_pneumonia	-0.00547069828069735	0.000309982779718515	86	86	1.92977604439701e-27	3.54101038973222e-23
GO.0016788.hydrolase.activity..acting.on.ester.bonds	case	Control_Healthy	-0.00504673661472406	0.00031984826902621	86	86	6.52352128540349e-25	8.97766999297228e-21
GO.0016796.exonuclease.activity..active.with.either.ribo..or.deoxyribonucleic.acids.and.producing.5.phosphomonoesters	case	Community_acquired_pneumonia	-0.00204054217861176	0.000151567627945374	86	39	1.70179479032286e-21	1.37781415868643e-17
GO.0004532.exoribonuclease.activity	case	Community_acquired_pneumonia	-0.00204383533906126	0.000151876512863962	86	36	1.75205259242933e-21	1.37781415868643e-17
GO.0016896.exoribonuclease.activity..producing.5.phosphomonoesters	case	Community_acquired_pneumonia	-0.00204422890529542	0.000151875058178936	86	36	1.73366819123116e-21	1.37781415868643e-17
GO.0090503.RNA.phosphodiester.bond.hydrolysis..exonucleolytic	case	Community_acquired_pneumonia	-0.00127906470165691	9.66722354871301e-05	86	33	3.20880645595081e-21	2.20797972233976e-17
GO.0016796.exonuclease.activity..active.with.either.ribo..or.deoxyribonucleic.acids.and.producing.5.phosphomonoesters	case	Control_Healthy	-0.00205014790062077	0.000156244186479825	86	39	4.97822682534163e-21	2.49128572983097e-17
GO.0004532.exoribonuclease.activity	case	Control_Healthy	-0.00205717699076228	0.000156568058283495	86	36	4.67864615894805e-21	2.49128572983097e-17
GO.0016896.exoribonuclease.activity..producing.5.phosphomonoesters	case	Control_Healthy	-0.00205721312830586	0.000156566626841042	86	36	4.67240621102333e-21	2.49128572983097e-17
GO.0090503.RNA.phosphodiester.bond.hydrolysis..exonucleolytic	case	Control_Healthy	-0.00129156093720073	9.95382533160579e-05	86	33	6.71253044996609e-21	3.07926146841444e-17
GO.0090305.nucleic.acid.phosphodiester.bond.hydrolysis	case	Community_acquired_pneumonia	-0.00294459179219374	0.000226798371418105	86	86	9.02189889403846e-21	3.82028838706945e-17
GO.0004527.exonuclease.activity	case	Community_acquired_pneumonia	-0.00282558270143781	0.00022819591653789	86	58	1.30154092816639e-19	5.11765892955026e-16
GO.0004527.exonuclease.activity	case	Control_Healthy	-0.00285534373847619	0.000235158254992644	86	58	2.70653290922787e-19	9.93261490581171e-16
GO.0090305.nucleic.acid.phosphodiester.bond.hydrolysis	case	Control_Healthy	-0.00271590402180354	0.00023280679839339	86	86	1.4799413960743e-18	5.09173837319363e-15
GO.0004540.ribonuclease.activity	case	Community_acquired_pneumonia	-0.00234312982411817	0.00020151193329239	86	68	2.1120498095982e-18	6.83906575992717e-15
GO.0004540.ribonuclease.activity	case	Control_Healthy	-0.00217522642565907	0.000207187677991527	86	68	2.01355593121189e-16	6.15790149451958e-13
GO.1903313.positive.regulation.of.mRNA.metabolic.process	case	Community_acquired_pneumonia	-0.000835051087407757	8.55237186087904e-05	86	27	6.75187507055628e-15	1.61598790819123e-11
GO.0061014.positive.regulation.of.mRNA.catabolic.process	case	Community_acquired_pneumonia	-0.000835595461289752	8.55307312313656e-05	86	26	6.59774841298209e-15	1.61598790819123e-11
GO.0039595.induction.by.virus.of.catabolism.of.host.mRNA	case	Community_acquired_pneumonia	-0.000837748061652541	8.55313192220302e-05	86	26	5.93080330965761e-15	1.61598790819123e-11
GO.0039644.suppression.by.virus.of.host.NF.kappaB.transcription.factor.activity	case	Community_acquired_pneumonia	-0.000836767126947958	8.54122789723564e-05	86	26	5.87034398603156e-15	1.61598790819123e-11
GO.0000175.3.5.exoribonuclease.activity	case	Community_acquired_pneumonia	-0.000765823409755111	7.83715676983036e-05	86	23	6.60285455388224e-15	1.61598790819123e-11
GO.0039579.suppression.by.virus.of.host.ISG15.activity	case	Community_acquired_pneumonia	-0.00083404187633055	8.55762174254949e-05	86	28	7.30017245342056e-15	1.6744162217329e-11
GO.0061013.regulation.of.mRNA.catabolic.process	case	Community_acquired_pneumonia	-0.000831988825751489	8.5594107123796e-05	86	31	8.13077819070711e-15	1.79033231136818e-11
