metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
outcome	GO.0090501.RNA.phosphodiester.bond.hydrolysis	Stabilized	-0.00201211939787172	0.000414720486760768	25	25	0.000175901696237966	0.151275458764651
outcome	GO.0006220.pyrimidine.nucleotide.metabolic.process	Stabilized	-0.00123325711943579	0.000516457323193937	25	18	0.0295920640952019	0.198259434425047
outcome	GO.0006226.dUMP.biosynthetic.process	Recovered	-0.00068828133513762	0.000286928284946107	25	8	0.0289717943621206	0.198259434425047
outcome	GO.0006226.dUMP.biosynthetic.process	Stabilized	-0.00068971813296457	0.000255959892914642	25	8	0.0159247492655475	0.198259434425047
outcome	GO.0006244.pyrimidine.nucleotide.catabolic.process	Recovered	-0.000689320304319393	0.000286929778858789	25	8	0.0287643669188691	0.198259434425047
outcome	GO.0006244.pyrimidine.nucleotide.catabolic.process	Stabilized	-0.000694653943732568	0.000255961264341587	25	8	0.0153078919532186	0.198259434425047
outcome	GO.0006278.RNA.dependent.DNA.biosynthetic.process	Recovered	-0.000690686614876298	0.000289025214227533	25	8	0.0295024137500093	0.198259434425047
outcome	GO.0006278.RNA.dependent.DNA.biosynthetic.process	Stabilized	-0.000671366347610055	0.00025782310478322	25	8	0.0191647227270889	0.198259434425047
outcome	GO.0006281.DNA.repair	Recovered	0.00208586798628117	0.000749711937195026	25	14	0.0133817566045389	0.198259434425047
outcome	GO.0006412.translation	Recovered	0.00104438861790301	0.000383131169509766	25	13	0.0151107852861852	0.198259434425047
outcome	GO.0006518.peptide.metabolic.process	Recovered	0.00107381566521444	0.000393271294551235	25	13	0.0149973403388436	0.198259434425047
outcome	GO.0006950.response.to.stress	Recovered	0.00230993939313046	0.000848503897605842	25	19	0.015251785696269	0.198259434425047
outcome	GO.0006974.cellular.response.to.DNA.damage.stimulus	Recovered	0.00219115021290767	0.000793601135862928	25	15	0.0140720718897454	0.198259434425047
outcome	GO.0009059.macromolecule.biosynthetic.process	Recovered	0.00128862932820469	0.00048370646317226	25	25	0.0170953301717412	0.198259434425047
outcome	GO.0009129.pyrimidine.nucleoside.monophosphate.metabolic.process	Stabilized	-0.000636147284932274	0.000256750721377838	25	12	0.0247335824720923	0.198259434425047
outcome	GO.0009130.pyrimidine.nucleoside.monophosphate.biosynthetic.process	Stabilized	-0.000636149400851796	0.00025674715483596	25	12	0.0247314798505836	0.198259434425047
outcome	GO.0009143.nucleoside.triphosphate.catabolic.process	Recovered	-0.000685195964476021	0.000286937276689831	25	8	0.0296025998620623	0.198259434425047
outcome	GO.0009143.nucleoside.triphosphate.catabolic.process	Stabilized	-0.000684294703024647	0.000255967982368029	25	8	0.0166334605129622	0.198259434425047
outcome	GO.0009147.pyrimidine.nucleoside.triphosphate.metabolic.process	Stabilized	-0.000665585579166872	0.000259218800742241	25	8	0.0206236058485558	0.198259434425047
outcome	GO.0009149.pyrimidine.nucleoside.triphosphate.catabolic.process	Recovered	-0.000689315123886496	0.000286925812782659	25	8	0.028763510065905	0.198259434425047
outcome	GO.0009149.pyrimidine.nucleoside.triphosphate.catabolic.process	Stabilized	-0.000694655904698607	0.000255957691027891	25	8	0.0153064752317612	0.198259434425047
outcome	GO.0009157.deoxyribonucleoside.monophosphate.biosynthetic.process	Recovered	-0.00068391969871938	0.000287124314940053	25	8	0.0299571050315638	0.198259434425047
outcome	GO.0009157.deoxyribonucleoside.monophosphate.biosynthetic.process	Stabilized	-0.000681983403323103	0.000256134897540841	25	8	0.0170030976221348	0.198259434425047
outcome	GO.0009162.deoxyribonucleoside.monophosphate.metabolic.process	Recovered	-0.000683918793672279	0.000287124157417726	25	8	0.029957204622325	0.198259434425047
outcome	GO.0009162.deoxyribonucleoside.monophosphate.metabolic.process	Stabilized	-0.000681937918742633	0.000256134757406733	25	8	0.0170092096805743	0.198259434425047
outcome	GO.0009166.nucleotide.catabolic.process	Recovered	-0.00067993426249621	0.000287080541240034	25	8	0.0307726728627548	0.198259434425047
outcome	GO.0009166.nucleotide.catabolic.process	Stabilized	-0.000668903949891301	0.000256095703558136	25	8	0.0188542050555517	0.198259434425047
