metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
age	GO.0009987.cellular.process	age	0.000502374289022125	0.000937933353287076	102	99	0.593875837803046	0.88369445023463
age	GO.0006807.nitrogen.compound.metabolic.process	age	-0.000394939848397784	0.000809470567259547	102	100	0.627137996940705	0.88369445023463
age	GO.0009058.biosynthetic.process	age	0.00101695680868137	0.00100033558073844	102	99	0.312746270051546	0.88369445023463
age	GO.1901360.organic.cyclic.compound.metabolic.process	age	-0.000393520752117871	0.000453665362699681	102	99	0.388590936053945	0.88369445023463
age	GO.0034641.cellular.nitrogen.compound.metabolic.process	age	-0.000380632356808221	0.000599643037026039	102	97	0.52767863750443	0.88369445023463
age	GO.0046483.heterocycle.metabolic.process	age	-0.000445138502602536	0.000544085029703578	102	97	0.416077506814651	0.88369445023463
age	GO.0006725.cellular.aromatic.compound.metabolic.process	age	-0.000627306287254709	0.000505883349676857	102	99	0.218993539885559	0.88369445023463
age	GO.0044249.cellular.biosynthetic.process	age	0.000784422300809518	0.000894494419632667	102	99	0.383437237547984	0.88369445023463
age	GO.1901564.organonitrogen.compound.metabolic.process	age	0.000326084280214152	0.000528713177604236	102	99	0.539348226455674	0.88369445023463
age	GO.1901576.organic.substance.biosynthetic.process	age	0.000802747141370407	0.000892851120305437	102	99	0.371609597772025	0.88369445023463
age	GO.1901566.organonitrogen.compound.biosynthetic.process	age	0.000410702779831158	0.000571073370224711	102	98	0.474364749125278	0.88369445023463
age	GO.0006139.nucleobase.containing.compound.metabolic.process	age	-0.000653573263112968	0.000521663096856545	102	97	0.214467876075175	0.88369445023463
age	GO.0090304.nucleic.acid.metabolic.process	age	-0.000420519336754433	0.00050684447552607	102	96	0.409567486659206	0.88369445023463
age	GO.0003824.catalytic.activity	age	-0.00279335025048423	0.00401814236815459	102	102	0.489179725711106	0.88369445023463
age	GO.0005488.binding	age	-0.00109814383134405	0.00217932541008941	102	100	0.615875924743075	0.88369445023463
age	GO.0016740.transferase.activity	age	0.000609891404546746	0.00110922267281275	102	95	0.584518751076353	0.88369445023463
age	GO.0097159.organic.cyclic.compound.binding	age	-0.000486693528006348	0.000645460667640529	102	100	0.453370858873406	0.88369445023463
age	GO.0016787.hydrolase.activity	age	-0.00240142792459076	0.00433886547878581	102	101	0.581656917453682	0.88369445023463
age	GO.1901363.heterocyclic.compound.binding	age	-0.000487647532607429	0.000645409505825826	102	100	0.45245388711582	0.88369445023463
age	GO.0016829.lyase.activity	age	0.000741993681590888	0.000739821723625802	102	96	0.319362445764365	0.88369445023463
age	GO.0016772.transferase.activity..transferring.phosphorus.containing.groups	age	0.000448992925640474	0.000883297665063636	102	93	0.613195354845209	0.88369445023463
age	GO.0016779.nucleotidyltransferase.activity	age	0.000366042331653397	0.000689570306393515	102	90	0.597617518634033	0.88369445023463
age	GO.0008152.metabolic.process	age	0.000109885929379439	0.00102567684576405	102	100	0.914986515347406	0.914986515347406
age	GO.0044237.cellular.metabolic.process	age	0.000267129575241313	0.00085102744835926	102	99	0.754511720554784	0.914986515347406
age	GO.0044238.primary.metabolic.process	age	-0.000156812348857407	0.000638213047735653	102	99	0.806610950117721	0.914986515347406
age	GO.0071704.organic.substance.metabolic.process	age	0.000201748642344158	0.000807465282838336	102	99	0.803411554768546	0.914986515347406
age	GO.0044281.small.molecule.metabolic.process	age	0.000347600683743735	0.000851170371031711	102	98	0.684208873861064	0.914986515347406
age	GO.0043170.macromolecule.metabolic.process	age	-8.15987607929769e-05	0.000667398799929763	102	97	0.903044523925388	0.914986515347406
age	GO.0044260.cellular.macromolecule.metabolic.process	age	9.33527894153655e-05	0.000434352770523791	102	96	0.830466405789662	0.914986515347406
age	GO.0016070.RNA.metabolic.process	age	-5.82858905616356e-05	0.000422920908551049	102	96	0.890770666892689	0.914986515347406
age	GO.0043167.ion.binding	age	-9.41365546393898e-05	0.000686092634964401	102	99	0.891250323245747	0.914986515347406
