"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"X"
"1624"	3048.22395255445	-10.1259717326996	0.687096891647	-14.7373272325934	3.71186789325567e-49	9.86428892632694e-46	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus salivarius"	NA
"208224"	2472.32877984334	-10.5786738174611	1.11661645185245	-9.47386526493607	2.69675730129484e-21	1.22506538943436e-19	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter kobei"	NA
"2126319"	2181.60837232173	-11.7070154353621	0.974905872324239	-12.008354619356	3.21171569973393e-33	8.98435207583466e-31	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax sp. PMC12"	NA
"29370"	1689.1229091269	-12.3592091592827	1.09801101717715	-11.25599740434	2.16364359784183e-29	4.10705918661762e-27	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lacrimispora"	"Lacrimispora sphenoides"	NA
"1532"	1018.24769242984	-30	2.21253640323634	-13.5590989400753	6.9990575203165e-42	9.29999768012054e-39	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"Blautia coccoides"	NA
"436515"	818.491748522758	-12.2044736518653	0.978341771728605	-12.4746525238328	1.02653021165583e-35	5.45600807495072e-33	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"Variovorax boronicumulans"	NA
"1338689"	386.72229397725	-11.7790840701385	1.63195786785587	-7.21776235903337	5.28499663590184e-13	4.97163842828642e-12	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. JY-Q"	NA
"1596"	361.004124977178	-10.8786903386771	1.31890076066288	-8.24830090567957	1.60662409451132e-16	3.00676305011538e-15	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus gasseri"	NA
"2496265"	330.767827366977	-10.9504103302023	0.83234565516979	-13.1560851698908	1.57012926499406e-39	1.39087284057391e-36	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Jeotgalibaca"	"Jeotgalibaca ciconiae"	NA
"57706"	219.905851535951	-11.105498135973	0.913396054473792	-12.1584695725129	5.17185166554769e-34	1.61696421190506e-31	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Citrobacter"	"Citrobacter braakii"	NA
