"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"X"
"28135"	8863.2838305196	-10.1092188262362	0.682407052230801	-14.8140597216705	1.18840591120357e-49	1.26327548360939e-46	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella oris"	NA
"47671"	6332.69351477505	-10.5575036302097	0.737631926441508	-14.3126988566524	1.82299019163573e-46	1.21114910856799e-43	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Lautropia"	"Lautropia mirabilis"	NA
"839"	4427.80888525029	-10.8288556557874	0.672236185849829	-16.1087068559062	2.21609927250508e-58	3.92618921112149e-55	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella ruminicola"	NA
"2708117"	2678.52439394834	-10.3359524989037	0.812672153668137	-12.7184774970455	4.6686831454819e-37	9.19038922897641e-35	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Capnocytophaga"	"Capnocytophaga endodontalis"	NA
"208224"	2472.32877984334	-11.7621762235977	0.946780017729491	-12.4233465042967	1.95221135065369e-35	3.34709784797561e-33	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter kobei"	NA
"29370"	1689.1229091269	-12.5339544662161	0.933369433214531	-13.428717526188	4.10458330022752e-41	1.28328589651231e-38	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lacrimispora"	"Lacrimispora sphenoides"	NA
"589436"	1473.27040277485	-10.1920546264633	0.837776124464781	-12.165606453603	4.73912549409678e-34	6.14352487832301e-32	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"Prevotella fusca"	NA
"1382"	517.425538860608	-10.0246261783006	0.971305611675261	-10.3207744893089	5.67634110120006e-25	3.17576346872404e-23	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	"Atopobium parvulum"	NA
"1338689"	386.72229397725	-11.9905529979577	1.37956247989922	-8.69156212398126	3.5748956856174e-18	6.69034174966777e-17	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. JY-Q"	NA
"1656"	208.512400288731	-11.431112759572	0.997361650211056	-11.4613518147134	2.06269887297447e-30	1.89021457066539e-28	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"Actinomyces viscosus"	NA
"92706"	205.043822368664	-36.2196687305515	3.15756823783722	-11.4707477407868	1.85053291971656e-30	1.72554078391114e-28	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"[Brevibacterium] flavum"	NA
"1827481"	187.334187427331	-14.9368177754804	2.48746095915783	-6.00484510942335	1.91514643929051e-09	7.14316022795021e-09	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	"Enterobacter sp. ODB01"	NA
"1904944"	175.188675436935	-11.7206471957465	1.2262432031176	-9.55817505528099	1.19851373557988e-21	4.00635251862078e-20	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	"Stenotrophomonas sp. LM091"	NA
"82380"	102.4593068178	-10.0611800812065	0.861594618354966	-11.6773942952617	1.66315979301778e-31	1.63698042590546e-29	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"Microbacterium oxydans"	NA
"1837130"	98.0575847044883	-11.6969687821126	2.33687411046722	-5.0053910605283	5.5748734849164e-07	1.27169324344767e-06	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus sp. FJAT-14266"	NA
"1573704"	52.5825938436957	-13.810304773542	1.2451957586764	-11.0908703931194	1.3892934327256e-28	1.11880221135402e-26	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"Pseudomonas sp. R32"	NA
