#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	SRR7796663.SE.profile	SRR7788533.SE.profile	SRR7788532.SE.profile	SRR7788531.SE.profile	SRR7788530.SE.profile	SRR7788529.SE.profile	SRR7788528.SE.profile	SRR7788527.SE.profile	SRR7788526.SE.profile	SRR7788525.SE.profile	SRR7788524.SE.profile	SRR7788523.SE.profile	SRR7788522.SE.profile	SRR7788521.SE.profile	SRR7788520.SE.profile	SRR7788519.SE.profile	SRR7788518.SE.profile	SRR7788517.SE.profile	SRR7788516.SE.profile	SRR7788515.SE.profile	SRR7788514.SE.profile	SRR7788513.SE.profile	SRR7638297.SE.profile	SRR7638296.SE.profile	SRR7638295.SE.profile	SRR7638294.SE.profile	SRR7638293.SE.profile	SRR7638292.SE.profile	SRR7638291.SE.profile	SRR7638290.SE.profile	SRR7638289.SE.profile	SRR7638288.SE.profile	SRR7638287.SE.profile	SRR7638286.SE.profile	SRR7638285.SE.profile	SRR7638284.SE.profile	SRR7638283.SE.profile	SRR7638282.SE.profile	SRR7638281.SE.profile	SRR7638280.SE.profile	SRR7638279.SE.profile	SRR7638278.SE.profile	SRR7638277.SE.profile	SRR5787585.SE.profile	SRR5787584.SE.profile	SRR5787583.SE.profile	SRR5787582.SE.profile	SRR5787581.SE.profile	SRR11059947.SE.profile	SRR11059946.SE.profile	SRR11059945.SE.profile	SRR11059944.SE.profile	SRR11059943.SE.profile	SRR11059942.SE.profile	SRR11059941.SE.profile	SRR11059940.SE.profile	SRR10152593.SE.profile	SRR10152588.SE.profile	SRR10152587.SE.profile	CRR125998.SE.profile	CRR125949.SE.profile	CRR125948.SE.profile	CRR125947.SE.profile	CRR125946.SE.profile	CRR125945.SE.profile	CRR125944.SE.profile	CRR125943.SE.profile	CRR125942.SE.profile
UNKNOWN	-1	0	100.0	100.0	100.0	0	0	0	0	100.0	0	0	100.0	0	0	100.0	0	100.0	100.0	0	100.0	100.0	0	0	0	0	0	100.0	0	0	100.0	0	0	100.0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0	0	0	0	100.0	100.0	100.0	100.0	0	0	0	0
k__Bacteria	2	100.0	0	0	0	100.0	100.0	100.0	100.0	0	100.0	100.0	0	100.0	100.0	0	0	0	0	100.0	0	0	100.0	100.0	100.0	100.0	100.0	0	100.0	100.0	0	100.0	100.0	0	100.0	100.0	49.79383	0	100.0	100.0	0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0	0	0	0	0	0	0	0	100.0	100.0	100.0	100.0	0	0	0	0	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	2|201174	0	0	0	0	9.88419	14.6778	0	0	0	0	52.094809999999995	0	3.49811	0	0	0	0	0	0	0	0	0	0	0	18.43357	9.3848	0	0	0	0	5.32643	0	0	0	2.58379	0	0	0	0	0	0	0	0	2.9161599999999996	20.394170000000003	7.48305	6.18633	7.14825	0	0	0	0	0	0	0	0	0	0	44.86591	0	0	0	0	0	0	0	4.4059	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0	0	0	0	9.88419	14.6778	0	0	0	0	52.094809999999995	0	3.49811	0	0	0	0	0	0	0	0	0	0	0	18.43357	9.3848	0	0	0	0	5.32643	0	0	0	2.58379	0	0	0	0	0	0	0	0	2.9161599999999996	19.038529999999998	7.48305	5.0616900000000005	7.14825	0	0	0	0	0	0	0	0	0	0	44.86591	0	0	0	0	0	0	0	3.35066	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02436	12.61806	4.52295	2.5072900000000002	0.23624	0	0	0	0	0	0	0	0	0	0	0.85249	0	0	0	0	0	0	0	3.35066	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02436	12.61806	4.52295	2.5072900000000002	0.23624	0	0	0	0	0	0	0	0	0	0	0.85249	0	0	0	0	0	0	0	3.35066	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	2|201174|1760|2037|2049|76833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21565	4.20907	0.005679999999999999	0.07027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	2|201174|1760|2037|2049|76833|712888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21565	4.20907	0.005679999999999999	0.07027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.80872	8.40899	4.51727	2.43702	0.23624	0	0	0	0	0	0	0	0	0	0	0.85249	0	0	0	0	0	0	0	3.35066	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	2|201174|1760|2037|2049|1654|544581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42383999999999994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
