	namespace	depth	name	baseMean	log2FoldChange	lfcSE	pvalue	padj
GO:0039587	biological_process	7	suppression by virus of host tetherin activity	3217.63698776483	29.7198961396562	1.40317159940612	1.06985102867864e-100	9.1868107832635e-97
GO:0039646	biological_process	9	modulation by virus of host G0/G1 transition checkpoint	5671.87741744487	29.7121312499047	1.42248555335343	5.15753385833474e-98	2.21438716207602e-94
GO:0000175	molecular_function	8	3-5-exoribonuclease activity	170438.252761214	14.6097852252064	0.715284375999047	3.26729222874348e-93	9.35207945607342e-90
GO:0008242	molecular_function	5	omega peptidase activity	194727.337374993	19.142981676449	1.05957306248245	1.7778708462447e-73	3.81664423917581e-70
GO:0019079	biological_process	4	viral genome replication	194758.335593573	14.9529063497361	0.832281246650086	1.21975689648454e-72	2.09481049402255e-69
GO:0039545	biological_process	13	suppression by virus of host MAVS activity	35.8130696535356	-29.3668109017302	1.68390867725456	3.17531469580829e-69	4.54440454881764e-66
GO:0039554	biological_process	14	suppression by virus of host MDA-5 activity	1212.01416921262	-27.6727261044394	1.63882739837326	5.58326893333329e-65	6.84907576150471e-62
GO:0004527	molecular_function	5	exonuclease activity	186545.613940157	9.95813960710541	0.617272094567153	1.24266117497383e-61	1.33384143868754e-58
GO:0001594	molecular_function	6	trace-amine receptor activity	44.512114737038	-26.469448276235	1.6928791376195	4.77110270605202e-56	4.55216210409652e-53
GO:0019072	biological_process	4	viral genome packaging	44.712173668452	-26.452181136746	1.72779447856597	7.56212815732325e-54	6.49359944869348e-51
GO:0016896	molecular_function	7	exoribonuclease activity, producing 5-phosphomonoesters	194109.863304837	15.7770907887923	1.12971597906478	8.91520343436064e-45	6.95953199007771e-42
GO:0042802	molecular_function	3	identical protein binding	196259.82231844	7.90497804530187	0.589749452735141	1.17075170254705e-44	8.37770405814295e-42
GO:0090503	biological_process	8	RNA phosphodiester bond hydrolysis, exonucleolytic	557057.125197404	9.63109694871137	0.736909375478338	1.85729952018644e-42	1.22681776768007e-39
GO:0036459	molecular_function	7	thiol-dependent ubiquitinyl hydrolase activity	187942.156256392	7.92137230895878	0.621678532721964	7.094716926223e-41	4.35159530324835e-38
GO:0039540	biological_process	14	suppression by virus of host RIG-I activity	3187.06265708311	-14.5206633307922	1.09332783331224	8.46634469067485e-41	4.84670012392166e-38
GO:0039648	biological_process	10	modulation by virus of host protein ubiquitination	186018.590143897	12.7524032600256	0.993316289096085	1.05222636711882e-38	5.64716738403083e-36
GO:0008270	molecular_function	6	zinc ion binding	572924.986089998	6.70331100331198	0.539335434855973	3.70196458096974e-38	1.86992763863454e-35
GO:0043177	molecular_function	3	organic acid binding	19.2759923635892	-26.9134283145274	2.16836089399189	2.39124434129191e-36	1.14075639770409e-33
GO:0039664	biological_process	4	lysis of host organelle involved in viral entry into host cell	107.139643828511	-27.1125386568815	2.31674827751731	1.26417829101328e-32	5.71342051838474e-30
GO:0031720	molecular_function	3	haptoglobin binding	19.2280498495314	-29.1046299001932	2.50846077243482	3.07327154041734e-32	1.31950913587819e-29
