domain	phylum	class	order	family	genus	species	tax_id	tax_level	CRR125950_0.5.bracken_num	CRR125950_0.5.bracken_frac	CRR125950_0.90.bracken_num	CRR125950_0.90.bracken_frac	CRR125950_0.95.bracken_num	CRR125950_0.95.bracken_frac	CRR125950_0.99.bracken_num	CRR125950_0.99.bracken_frac	CRR125950_0.bracken_num	CRR125950_0.bracken_frac	CRR125950_1.bracken_num	CRR125950_1.bracken_frac
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas	Aureimonas sp. AU20	1349819	S	5	0.00014	3	0.00012	4	0.00020	6	0.00043	4	0.00009	7	0.00053
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	492670	S	67	0.00182	0	0.00000	0	0.00000	0	0.00000	13	0.00031	0	0.00000
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	1308	S	43	0.00117	5	0.00020	3	0.00015	2	0.00014	4	0.00009	2	0.00015
Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea	40559	S	5	0.00014	0	0.00000	0	0.00000	0	0.00000	19	0.00045	0	0.00000
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. 14171R-81	2704463	S	4	0.00011	0	0.00000	0	0.00000	0	0.00000	4	0.00009	0	0.00000
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyopneumoniae	2099	S	2	0.00005	1	0.00004	2	0.00010	2	0.00014	4	0.00009	3	0.00023
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis	27289	S	5	0.00014	22	0.00086	30	0.00151	50	0.00359	3	0.00007	63	0.00475
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium betae	244734	S	89	0.00242	19	0.00075	9	0.00045	9	0.00065	18	0.00042	9	0.00068
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Lzh-5	2049935	S	4978	0.13538	13354	0.52395	10634	0.53545	5841	0.41937	406	0.00954	4647	0.35014
Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia restricta	76775	S	412	0.01120	80	0.00314	60	0.00302	48	0.00345	452	0.01062	45	0.00339
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella sp. E39	2133944	S	1	0.00003	1	0.00004	1	0.00005	1	0.00007	156	0.00366	1	0.00008
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium matruchotii	43768	S	55	0.00150	0	0.00000	0	0.00000	0	0.00000	66	0.00155	0	0.00000
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania naganishii	588726	S	4	0.00011	0	0.00000	0	0.00000	0	0.00000	2	0.00005	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	549	S	34	0.00092	18	0.00071	0	0.00000	0	0.00000	8	0.00019	0	0.00000
