domain phylum class order family genus species tax_id tax_level 	CRR125950_0.5.bracken_frac CRR125950_0.90.bracken_frac CRR125950_0.95.bracken_frac CRR125950_0.99.bracken_frac CRR125950_0.bracken_frac CRR125950_1.bracken_frac 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Aurantimonadaceae Aureimonas Aureimonas sp. AU20 	S 0.00014 0.00012 0.00020 0.00043 0.00009 0.00053 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus velezensis 492670 	67 0 0 0 13 0 
Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus Streptococcus thermophilus 1308 	43 5 3 2 4 2 
Eukaryota Ascomycota Leotiomycetes Helotiales Sclerotiniaceae Botrytis Botrytis cinerea 40559 	5 0 0 0 19 0 
Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae Paenibacillus Paenibacillus sp. 14171R-81 	S 0.00011 0.00000 0.00000 0.00000 0.00009 0.00000 
Bacteria Tenericutes Mollicutes Mycoplasmatales Mycoplasmataceae Mycoplasma Mycoplasma hyopneumoniae 2099 	2 1 2 2 4 3 
Eukaryota Ascomycota Saccharomycetes Saccharomycetales Saccharomycetaceae Naumovozyma Naumovozyma dairenensis 27289 	5 22 30 50 3 63 
Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae Bradyrhizobium Bradyrhizobium betae 244734 	89 19 9 9 18 9 
Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus Bacillus sp. Lzh-5 	S 0.13538 0.52395 0.53545 0.41937 0.00954 0.35014 
Eukaryota Basidiomycota Malasseziomycetes Malasseziales Malasseziaceae Malassezia Malassezia restricta 76775 	412 80 60 48 452 45 
Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Alloprevotella Alloprevotella sp. E39 	S 0.00003 0.00004 0.00005 0.00007 0.00366 0.00008 
